gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
GeneID:26645896			100.0		93.361	93.361	98.34			95.436	94.191	95.851		
GeneID:26645897			100.0		93.519	93.519	98.457			95.988	94.753	96.296		
GeneID:26645899			98.519		97.407	97.407					98.889			
GeneID:26645900			98.333		96.333	96.333	99.0			97.667	98.333	97.333		
GeneID:26645903														
GeneID:26645904			98.38		98.611	98.611	97.222			97.454	97.987	97.454		
GeneID:26645905			89.095		91.874	91.874	86.713			88.631	89.095	87.879		
GeneID:26645906			96.573		98.131	98.131	98.131			98.287	96.573	97.508		
GeneID:26645907					99.399	99.399								
GeneID:26645908			95.745		92.908	92.908	96.454			99.291	95.745	94.326		
GeneID:26645909			96.708		97.531	97.531	94.65			97.942	96.708			
GeneID:26645910														
GeneID:26645912			93.023				94.964			95.848	96.797	97.034		
GeneID:26645914							90.957			88.83	97.436	99.645		
GeneID:26645916			98.413								98.413	98.942		
GeneID:26645917			89.691				100.0			100.0	89.175	97.119		
GeneID:26645918			92.267				98.933			98.667	94.933	99.733		
GeneID:26645919			95.238		94.309	95.238	93.506			93.506	93.939	93.506		
GeneID:26645920			95.767		96.296	96.296	93.915			93.651	94.974	93.915		
GeneID:26645921			94.35		89.617	89.617	89.891			89.891	94.068	89.617		
GeneID:26645922			93.537		93.537	93.537	93.537			93.197	93.537	93.197		
GeneID:26645923			82.258		88.779	88.779	88.449			88.779	88.449	88.779		
GeneID:26645924			96.37		96.7	96.7	96.7			97.36	96.7	97.36		
GeneID:26645925			94.04		95.364	95.364	95.364			95.364	95.364	95.364		
GeneID:26645927			95.996		95.81	95.81	95.624			95.996	95.717	95.717		
GeneID:26645928			95.184		97.212	97.465	97.465			97.465	95.184	97.465		
GeneID:26645929			98.955		97.569	97.561	97.561			97.909	98.955	97.561		
GeneID:26645930			100.0		98.413	99.603	100.0			99.603	100.0	99.603		
GeneID:26645931			100.0		98.585	99.528	100.0			99.528	100.0	99.528		
GeneID:26645934			98.901		97.07	100.0	99.267			97.802	99.267	100.0		
GeneID:26645935			98.83		80.347	100.0	100.0			82.313	98.83	100.0		
GeneID:26645937			96.252		93.886	99.014	99.211			96.252	97.041	99.211		
GeneID:26645939							100.0			90.338	95.169	99.517		
GeneID:26645941			98.379		97.149	97.585	98.858			98.813	98.07	98.684		
GeneID:26645942	70.313	70.833	99.145	70.284	98.718	98.718	98.932	70.573	69.271	98.932	98.504	98.504	70.052	71.094
GeneID:26645944	75.68	76.133	97.826	75.68	98.261	98.261	98.696	75.842	75.144	98.116	98.841	98.406	76.235	76.133
GeneID:26645945			99.634		94.277	94.277	91.262			91.877	93.538	92.062		
GeneID:26645947			96.454		95.981	95.981	97.636			96.336	95.863	95.626		
GeneID:26645948	65.909	64.319	98.019		97.552	98.019	98.368	66.364		98.135	97.669	98.135		65.455
GeneID:26645949			94.872		98.006	98.291	96.296			96.296	95.726	96.011		
GeneID:26645950	69.128	70.667	99.014	69.799	98.619	99.803	99.606	69.799	70.707	99.014	99.211	99.211	69.799	68.792
GeneID:26645951	72.034	72.034	98.92	71.61	98.785	99.055	99.19	71.751	71.469	98.516	98.65	98.381	71.893	72.034
GeneID:26645952	64.727		97.907		98.712	98.39	98.712			98.551	98.229	97.746		
GeneID:26645953			99.467		98.667	98.933	99.467			98.933	99.467	98.4		
GeneID:26645954	74.747	72.136	98.598	73.133	98.832	98.832	98.131	72.231	74.393	99.065	98.832	98.598	75.152	72.52
GeneID:26645955			98.742		98.847	98.532	95.493			98.952	98.847	98.952	65.111	
GeneID:26645956			94.631		99.663	98.99	95.302			99.663	95.302	99.663		
GeneID:26645957	74.163	73.034	98.874	74.215	100.0	100.0	98.876	74.94	73.077	99.099	99.55	99.099	72.727	72.36
GeneID:26645959			99.273		99.169	99.273	99.265			99.273	99.065	99.273		
GeneID:26645960	85.398	84.956	100.0	84.956	99.111	99.111	99.556	84.956	84.956	100.0	100.0	100.0	85.398	84.956
GeneID:26645961	85.629	85.629	100.0	85.629	99.412	99.412	99.412	85.629	85.629	100.0	100.0	100.0	85.03	85.629
GeneID:26645962	71.356	71.356	98.537	71.525	97.398	97.724	98.211	71.875	71.695	98.699	98.374	98.699	71.38	71.864
GeneID:26645963	73.0	73.667	99.483	73.0	98.45	98.966	99.742	73.0	75.0	98.966	98.966	98.966	76.0	73.0
GeneID:26645964	76.38	76.405	97.917	76.38	97.676	96.996	98.283	76.38	77.28	99.142	97.516	99.142	75.649	75.711
GeneID:26645966			99.225		98.295	98.295	98.527		65.949	98.295	98.837	98.217	65.696	
GeneID:26645968	77.136	76.884	99.444	77.136	99.448	99.448	99.816	77.136	77.387	99.632	99.816	99.632	77.387	77.494
GeneID:26645970	76.412	76.412	98.667	76.246	99.238	99.238	99.048	76.412	75.467	99.429	98.707	99.375	75.456	76.451
GeneID:26645971			99.849		100.0	100.0				100.0				
GeneID:26645972			99.669		100.0	100.0				100.0				
GeneID:26645973	69.411	69.038	98.793	69.453	98.419	98.419	98.697	70.506	69.701	98.335	98.569	98.086	69.385	69.041
GeneID:26645974	76.547	77.524	98.765	76.547	98.765	98.765	97.638	76.873	75.57	99.038	98.397	99.038	74.919	75.896
GeneID:26645975	74.576	74.576	98.742	74.576	98.365	98.365	98.478	75.098	74.967	99.371	98.616	99.371	74.576	74.543
GeneID:26645977			97.292		98.333	98.333	98.75			98.75	98.333	98.75		
GeneID:26645978			99.0		99.333	99.333	98.667			99.0	99.003	99.333		
GeneID:26645979	70.858	70.326	99.701	70.475	99.402	99.402	99.253	70.475	70.919	99.103	99.552	99.103	70.772	71.302
GeneID:26645980	71.429	72.201	99.462	71.429	96.505	96.505	98.656	71.429	71.815	98.656	99.462	98.656	72.201	72.201
GeneID:26645981			98.718		99.038	98.901	98.535			99.038	98.397	99.038		
GeneID:26645982			99.353		99.676	99.676	99.029			99.353	99.029	99.353		
GeneID:26645984			98.438		99.134	99.134	98.701			99.134	98.268	99.134		
GeneID:26645985	79.032	81.452	99.231	79.032	97.692	97.692	97.692	79.032	78.226	97.692	98.462	97.692	78.226	79.032
GeneID:26645986	71.262	70.846	97.624	71.096	97.851	97.851	98.756	71.096		98.529	99.661	98.416	70.413	69.423
GeneID:26645987			86.52		98.262	98.262	96.85			99.052	86.52	98.894		
GeneID:26645988	69.33	69.762	97.828	69.447	97.734	97.734	97.054	69.339	68.886	97.545	97.639	97.545	69.339	69.256
GeneID:26645989	66.723	66.495	98.799	66.723	99.099	99.099	98.048	66.723	66.667	96.246	99.249	98.198	66.743	65.812
GeneID:26645990			99.366		98.362	98.362	98.521			98.732	98.838	98.574		
GeneID:26645992	72.272	72.189	98.58	72.272	98.864	98.864	99.337	72.272	72.2	97.254	98.011	97.254	72.161	72.462
GeneID:26645993	76.704	76.929	99.185	76.854	98.778	98.778	99.389	76.854	81.538	99.185	99.253	99.253	76.779	77.228
GeneID:26645994	67.009	67.222	99.202	66.968	98.772	98.772	99.509	66.752	66.667	99.202	99.079	99.202		67.009
GeneID:26645996	73.942	74.549	95.657	74.366	95.544	95.458	95.519	73.999	74.583	95.458	95.77	95.609	74.055	73.942
GeneID:26645998			99.034		99.034	95.169	98.551			99.034	99.034	98.551		
GeneID:26645999	81.512	81.548	98.384	81.466	98.528	98.557	98.592	81.348	81.353	98.672	98.586	98.672	81.496	81.483
GeneID:26646001	74.292	73.856	98.125	74.51	97.917	97.917	99.167	73.856	74.292	97.917	98.125	99.167	72.985	74.51
GeneID:26646004							99.538			98.826		99.076		
GeneID:26646005	76.616	76.236	97.411	76.616	97.411	97.411	98.955	76.616	77.471	99.05	98.945	98.86	78.802	76.616
GeneID:26646006	77.059	77.32	98.723	77.059	99.007	99.007	98.582	77.206	76.73	98.298	98.582	98.582	76.141	77.614
GeneID:26646007	74.535	76.208	99.628	74.535	99.628	99.628	99.814	76.208	76.766	97.02	98.324	99.814	74.721	75.093
GeneID:26646008	75.109	75.687	98.839	75.109	98.403	98.403	98.505	75.543	75.758	98.984	98.258	99.13	75.519	75.543
GeneID:26646009			99.32		99.32	99.32	98.639		74.436	99.32	99.32	98.639	73.571	
GeneID:26646010			97.934		97.383	97.383	97.796				97.658	97.383		
GeneID:26646012	63.87	63.155	94.818	63.87	98.176	97.927	95.481	62.988	63.901	96.681	94.657	95.605	63.744	63.278
GeneID:26646014	72.36	71.842	95.723	72.069	96.636	95.065	95.302	72.085	71.396	95.174	95.639	95.283	71.775	72.458
GeneID:26646015	69.869	69.668	98.211	70.02	98.023	98.023	98.159	69.889	70.365	98.18	98.023	98.211	70.292	69.869
GeneID:26646019	69.637	69.664	96.992	69.637	98.961	98.961	98.655	69.746	70.955	97.812	96.937	98.715	69.637	69.637
GeneID:26646021	78.694	77.969	99.596	77.969	99.798	99.798	99.306	78.694	77.661	99.653	99.306	99.479	78.179	78.694
GeneID:26646022	73.882	73.882	99.156	73.882	98.101	98.101	98.523	74.353	74.353	98.101	99.156	98.945	75.059	73.882
GeneID:26646024		92.406			98.701	98.701	98.557			99.423				
GeneID:26646025	85.816	87.234	98.345	85.579	99.475	99.475	99.213	86.052	84.67	99.213	98.345	97.4	86.019	85.579
GeneID:26646026	81.978	81.861	98.947	81.802	91.871	91.871	99.064	81.802	81.531	98.83	98.947	98.889	81.882	81.919
GeneID:26646028	85.849	85.849	100.0	85.849	100.0	100.0	99.01	88.961	85.849	100.0	100.0	100.0	85.849	85.849
GeneID:26646029	74.205	74.441	98.582	74.205	99.173	98.582	98.818	74.558	74.676	98.818	98.7	98.7	74.676	74.205
GeneID:26646030	72.857	72.857	98.718	72.857	98.718	98.558	98.917	72.857	73.333	98.878	98.718	98.558	73.492	73.333
GeneID:26646031	72.491	72.308	98.621	72.071	98.851	99.54	98.966	72.426	71.953	99.31	98.736	99.54	72.544	72.071
GeneID:26646032	76.671	76.436	98.667	75.889	98.222	96.444	98.333	76.436	76.0	99.889	98.556	96.444	76.671	76.671
GeneID:26646033			99.346		99.346	100.0	87.582			100.0	99.346	100.0		
GeneID:26646035			98.864		99.242	100.0	91.667			99.621	99.291	100.0		
GeneID:26646036	82.336	82.266	99.211	82.196	97.634	99.429	99.221	82.267	82.156	99.14	99.14	99.429	81.865	82.196
GeneID:26646037			97.511		94.654	96.709	97.642			96.368	97.511	97.642		
GeneID:26646038	74.645	74.645	99.766	74.645	99.063	99.297	99.297	74.645	75.355	99.532	99.766	99.297	75.118	74.645
GeneID:26646040	74.774	74.774	99.861	74.774	99.369	99.495	99.369	74.774	75.42	99.495	99.874	99.369	75.291	74.774
GeneID:26646042	79.281	79.122	95.614	79.281	99.187	95.48	95.652	79.338	79.568	99.072	95.768	95.768	79.209	79.281
GeneID:26646044	68.935	68.639	97.971	68.935	99.71	98.261	98.261	68.639	68.639	100.0	98.261	97.971	68.639	68.935
GeneID:26646047			97.496		99.531	97.34	97.653			99.531	97.496	97.34		
GeneID:26646048			96.897		99.762	96.659	97.136			99.525	96.897	96.659		
GeneID:26646049	87.838	87.838	98.851	87.452	94.023	94.368	98.552	87.838	80.334	93.563	98.966	98.621	82.375	87.838
GeneID:26646050			98.261		96.703	95.604	97.391			96.232	98.261	97.971		
GeneID:26646051	68.409	68.182	97.156	67.955	97.211	98.047	96.932	68.182	68.409	99.052	97.071	97.314	67.929	67.197
GeneID:26646052			96.958		96.705	99.873	96.953			96.831	96.831	96.578		
GeneID:26646053	75.617	75.145	98.562	75.718	98.625	97.938	98.335	75.145	74.724	98.562	98.333	98.11	75.645	74.957
GeneID:26646054			99.681											97.125
GeneID:26646055	78.524	78.619	97.552	78.524	97.904		96.147	78.997		97.455	99.716	99.29	78.24	78.739
GeneID:26646056			99.068		97.902	97.902	99.038			99.068	99.291	98.834		
GeneID:26646057							100.0	69.65	70.817	100.0	100.0	100.0		
GeneID:26646058			100.0		99.259	99.259	100.0			98.519	100.0	100.0		
GeneID:26646060							99.617	73.881	74.627		99.617			
GeneID:26646061	82.405	82.405	100.0	82.405	100.0	100.0	100.0	82.405	82.111	100.0	100.0	100.0	82.405	82.405
GeneID:26646063			99.115		99.705	99.705	98.82			99.705	99.115	99.115		
