gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	AP018714	NC_009904	AP018715	TEX	V12_RAST
EFP01_101														
EFP01_102	97.222	97.222	75.655	96.825	77.509	77.509	77.114	97.222	75.646	77.114	75.281	77.612	97.222	97.222
EFP01_103	98.601	99.068		98.601				99.068					99.068	98.834
EFP01_104	98.81	99.405		99.405			70.817	98.925	70.817	70.817	70.817	70.817	99.405	98.81
EFP01_105	96.296	97.778		97.143				97.619					95.556	95.349
EFP01_106							74.627	99.225	74.627		74.627			
EFP01_107	99.138	99.138	82.111	99.138	82.111	82.111	82.111	99.138	82.111	82.111	82.111	82.111	99.713	99.138
EFP01_108	99.115	98.82		97.345				98.485					99.115	97.64
EFP01_109														
EFP01_110													98.095	
EFP01_111								98.413						
EFP01_112	96.847			96.847				97.938					94.144	96.847
EFP01_113														
EFP01_114				97.814									98.361	
EFP01_115	97.521	97.521		96.97				97.796					96.694	95.935
EFP01_116														
EFP01_117	99.111	98.667	78.302	98.667	78.302	78.302	77.934	98.222		78.302	77.934	77.934	100.0	98.667
EFP01_118	97.727	98.485		98.485				96.97					98.701	98.485
EFP01_119	97.685	97.685		96.759				97.685					98.148	97.685
EFP01_120	98.039	98.039		98.693				98.039					97.059	98.366
EFP01_121	96.751	96.992		96.751				96.766					97.232	96.992
EFP01_122	85.185	85.185		85.556				85.185					85.185	85.185
EFP01_123	89.293	88.697		88.889				89.101					89.101	89.484
EFP01_124														
EFP01_125	67.424	67.065		67.201				67.484					66.547	66.826
EFP01_126	85.14	85.14		85.664				85.14					98.897	98.284
EFP01_127	80.839	80.839		80.839				81.119					98.17	98.562
EFP01_128	75.745	75.745		76.17				76.17					91.667	92.083
EFP01_129													92.708	
EFP01_130	74.786	73.504		74.786				73.932					98.718	73.718
EFP01_131	90.267	90.267		90.533				90.133					96.4	90.0
EFP01_132	85.079	88.73		83.81				88.73					95.873	90.317
EFP01_133	88.153	88.153	70.877	88.153	70.258	70.692	70.375	88.153	70.692	71.747	70.258	70.188	95.625	81.727
EFP01_134	97.959	97.959		97.959				97.619					99.32	89.116
EFP01_135	97.073	97.073		97.073				97.236					97.561	92.52
EFP01_136	97.436	97.786		97.552		89.977	89.977	98.065			89.86	89.86	98.718	97.902
EFP01_137	96.226	97.059		97.059		84.762	85.714	97.059			85.714	85.714	96.078	98.039
EFP01_138	96.0	95.2		96.0		86.877	87.402	94.667			86.877	86.352		96.0
EFP01_139	99.174	99.174		99.174				97.521						99.174
EFP01_140	89.26	89.26		89.26				90.977						89.499
EFP01_141	93.44	93.972		94.681				93.794					93.085	94.149
EFP01_142	90.667	94.667		95.111				96.889					91.556	96.0
EFP01_143	95.442	95.442		98.006				97.151				67.918	95.157	96.296
EFP01_144	97.552	97.74		96.987				96.987					96.61	96.499
EFP01_145	94.792	95.313		95.313				95.313					99.826	95.486
EFP01_146	95.402	95.402		93.596				93.432	64.516	64.386			100.0	94.581
EFP01_147	95.767	95.767		95.238				96.899					100.0	95.238
EFP01_148	89.143	89.571	65.591	90.143	65.591	65.591		89.7		65.591	65.591	65.591	99.714	89.571
EFP01_149	94.393	94.081		99.377				94.081					98.754	93.146
EFP01_150	95.963	95.596		96.086				95.719					96.514	95.413
EFP01_151	96.212	96.212		95.833				96.591					96.212	95.833
EFP01_152	84.422	84.422		83.92				85.176					92.732	83.92
EFP01_153	77.083	77.083		77.829				76.852					98.21	78.06
EFP01_154	88.215	88.552		88.215				88.552					84.589	87.879
EFP01_155	90.0			91.304				91.628						89.13
EFP01_156	90.217	89.007		89.007				89.007					97.93	90.625
EFP01_157	90.566	89.308		89.308				87.189					99.683	89.308
EFP01_158	89.374	89.492		89.492				89.256					98.596	88.902
EFP01_159								93.78					99.475	
EFP01_160	89.712	89.712		89.712				90.123					99.177	89.3
EFP01_161	90.761	90.625		90.736			72.222	86.939				71.72	99.206	90.736
EFP01_162	96.948	96.948		97.349									96.386	97.51
EFP01_163	95.205	94.749		96.575				97.032						96.804
EFP01_164	87.903	87.903		83.155				86.446						83.155
EFP01_165													94.799	
EFP01_166				87.435				87.356					86.911	87.435
EFP01_167				93.256									94.402	93.256
EFP01_168	90.351	91.667		89.912				90.351					92.544	89.035
EFP01_169	84.444	84.889						84.889					96.0	
EFP01_170														
EFP01_171													97.567	
EFP01_172													94.872	
EFP01_173														
EFP01_174				85.417			92.361			88.889		88.889	94.444	
EFP01_175	92.908	93.617		91.489			92.908	90.476		92.908			90.071	92.908
EFP01_176	91.76			92.105			87.594		84.586	88.722	83.083			91.729
EFP01_177	93.836	93.151		92.517				94.558						93.197
EFP01_178														
EFP01_179									72.892		75.904			
EFP01_180														
EFP01_181	91.787	92.512		92.271									93.961	92.512
EFP01_182	88.889			90.0									91.039	88.889
EFP01_183	91.123	92.167		91.927									90.885	92.689
EFP01_184	89.08	90.805		90.23									92.529	90.805
EFP01_185	83.191	84.046		86.508									92.857	86.508
EFP01_186				88.976									90.551	88.976
EFP01_187	83.613	84.034	77.027				77.027						90.717	82.773
EFP01_188			75.694		74.913	74.913			75.347	74.216	74.653		87.973	
EFP01_189														
EFP01_190	90.612	90.204		87.319										88.571
EFP01_191	86.057	83.772		89.556				82.952					90.889	84.43
EFP01_192								97.342					96.524	97.788
EFP01_193	86.239	85.321		86.239									98.777	85.627
