gene	Ben	Bill	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
SEED:fig|6666666.336389.peg.98	88.996	88.996	88.61	93.908	94.368	99.276	88.996	98.851	81.262	93.448	99.885	99.31	83.302	88.996
SEED:fig|6666666.336389.peg.99				97.653	99.844	99.531		97.496		97.653	100.0	99.844	74.118	
SEED:fig|6666666.336389.peg.100	68.047	67.751	68.047	98.261	99.13	99.71	67.751	97.971	67.751	97.971	99.71	98.841	67.751	68.047
SEED:fig|6666666.336389.peg.101	78.417	78.546	78.561	95.041	98.682	99.06	78.618	95.614	78.849	95.802	100.0	99.185	78.921	78.417
SEED:fig|6666666.336389.peg.102											100.0			
SEED:fig|6666666.336389.peg.103	75.599	75.599	75.599	99.442	99.582	99.442	75.599	99.861	76.023	99.303	99.721	99.442	75.882	75.599
SEED:fig|6666666.336389.peg.104				93.892	96.122	97.037		97.511		98.616	100.0	97.037		
SEED:fig|6666666.336389.peg.105	82.151	82.078	82.004	98.423	99.283	99.416	82.004	99.211	81.785	99.928	99.928	99.283	81.665	82.004
SEED:fig|6666666.336389.peg.106				98.864	98.864	92.045		99.346		98.485	98.864	98.864		
SEED:fig|6666666.336389.peg.107	76.319	76.319	75.556	98.889	96.778	98.778	76.319	98.667	75.444	98.667	99.222	96.778	76.553	76.319
SEED:fig|6666666.336389.peg.108	72.373	72.189	71.953	99.08	98.161	99.195	72.189	98.621	71.834	98.851	99.885	98.161	72.308	72.222
SEED:fig|6666666.336389.peg.109	72.857	72.857	72.857	99.519	98.558	99.278	72.857	98.718	73.333	99.679	100.0	98.558	73.492	73.333
SEED:fig|6666666.336389.peg.110	73.672	74.144	73.672	99.409	99.291	99.527	74.026	98.582	74.144	99.527	99.882	99.409	74.144	73.672
SEED:fig|6666666.336389.peg.111	78.512	78.099	78.512	100.0	100.0		78.099	100.0	77.273	100.0	100.0	100.0	78.099	78.512
SEED:fig|6666666.336389.peg.112	81.568	81.568	81.51	91.754	91.754	99.883	81.217	98.947	81.297	99.649	100.0	99.474	81.707	81.51
SEED:fig|6666666.336389.peg.113	86.761	85.579	86.525	99.475	99.475	99.213	86.998	98.345	85.377	99.213	100.0	99.054	87.204	86.525
SEED:fig|6666666.336389.peg.114											100.0			
SEED:fig|6666666.336389.peg.115				95.918	95.918	96.599				96.599	100.0	96.599		
SEED:fig|6666666.336389.peg.116	73.176	73.176	73.176	98.523	98.523	99.367	73.647	99.156	74.118	98.945	100.0	99.789	74.353	73.176
SEED:fig|6666666.336389.peg.117	77.046	76.2	76.2	99.394	99.394	99.394	77.046	99.596	76.626	100.0	99.798	100.0	76.846	77.046
SEED:fig|6666666.336389.peg.118	69.844	69.863	69.844	96.937	96.937	96.842	69.953	96.992	70.905	96.5	99.287	97.019	69.735	69.844
SEED:fig|6666666.336389.peg.119	70.108	69.273	70.342	98.65	98.65	99.31	70.179	98.211	70.116	99.215	99.498	99.184	69.915	70.108
SEED:fig|6666666.336389.peg.120	72.337	71.477	71.856	96.07	97.769	97.404	71.871	95.723	71.521	97.385	98.885	97.458	71.879	72.365
SEED:fig|6666666.336389.peg.121	64.268	64.095	64.268	95.398	95.108	94.444	63.935	94.818	64.345	93.87	95.273	94.362	64.228	63.613
SEED:fig|6666666.336389.peg.122				99.174	99.174	98.485		97.934			98.072	98.072		
SEED:fig|6666666.336389.peg.123				100.0	100.0	97.959		99.32	74.627	98.639	100.0	97.959	73.913	
SEED:fig|6666666.336389.peg.124	75.109	75.398	75.109	99.275	99.275	98.804	75.253	98.839	75.325	98.696	99.13	99.129	75.074	75.253
SEED:fig|6666666.336389.peg.125	74.349	76.022	74.349	99.628	99.628	99.814	76.022	99.628	76.58	97.02	98.324	99.814	74.349	74.907
SEED:fig|6666666.336389.peg.126	77.059	77.909	77.059	99.716	99.716	98.723	77.206	98.723	76.73	97.872	98.44	98.723	76.141	78.203
SEED:fig|6666666.336389.peg.127	77.093	76.516	77.093	99.62	99.62	97.699	76.805	97.411	77.444	97.411	97.721	97.603	78.509	77.093
SEED:fig|6666666.336389.peg.128	72.983	70.537	72.622	99.001	99.5	74.648	72.727	74.599	72.587	74.776	99.572	74.904	72.365	70.364
SEED:fig|6666666.336389.peg.129	75.573	74.809	75.763	99.817	99.817	97.985	75.382	98.125	75.382	98.352	99.634	97.985	74.618	75.763
SEED:fig|6666666.336389.peg.130	81.007	81.612	81.02	98.442	98.47	98.435	80.991	98.384	81.3	98.384	98.874	98.499	80.991	80.978
SEED:fig|6666666.336389.peg.131	81.534		81.014	90.637	90.637	91.547	81.404		87.696	90.637		90.247		81.014
SEED:fig|6666666.336389.peg.132				100.0	96.135	99.517		99.034		100.0	100.0	99.517		
SEED:fig|6666666.336389.peg.133	73.785	74.068	74.254	99.436	99.016	99.087	73.672	95.657	74.829	98.713	99.323	98.864	73.842	73.785
SEED:fig|6666666.336389.peg.134	67.222	67.35	67.181	99.202	99.202	99.693	66.965	99.202	66.881	99.509	99.386	99.509		67.222
SEED:fig|6666666.336389.peg.135	77.079	76.854	76.779	99.593	99.593	99.525	76.779	99.185	81.958	99.457	99.525	99.525	77.154	77.453
SEED:fig|6666666.336389.peg.136	72.773	72.691	72.773	99.337	99.337	98.769	72.773	98.58	72.7	97.727	98.201	97.727	72.663	72.965
SEED:fig|6666666.336389.peg.137				98.574	98.574	98.838		99.366		99.049	98.838	98.891		
SEED:fig|6666666.336389.peg.138	67.063	66.838	67.063	98.799	98.799	98.348	67.063	98.799	64.873	97.147	99.55	98.498	65.646	65.812
SEED:fig|6666666.336389.peg.139	69.289	69.935	69.405	98.584	98.584	98.44	69.297	97.828	68.845	98.772	99.056	98.772	69.189	69.289
SEED:fig|6666666.336389.peg.140				87.304	87.304	85.781		86.52		86.834	98.894	86.991		
SEED:fig|6666666.336389.peg.141	70.764	70.598	70.598	97.74	97.74	97.74	70.598	97.624		97.514	97.74	97.401	69.917	69.421
SEED:fig|6666666.336389.peg.142				98.958	98.958	100.0		98.438		98.958	99.479	98.958		
SEED:fig|6666666.336389.peg.143				99.029	99.029	99.029		99.353		98.706	99.676	98.706		
SEED:fig|6666666.336389.peg.144				99.679	99.634	100.0		98.718		99.679	99.679	99.679		
SEED:fig|6666666.336389.peg.145	71.429	72.201	71.429	95.968	95.968	98.118	71.429	99.462	71.815	98.118	100.0	98.118	72.201	72.201
SEED:fig|6666666.336389.peg.146	71.154	70.623	70.772	99.701	99.701	99.552	70.772	99.701	71.295	99.402	99.552	99.402	71.068	71.598
SEED:fig|6666666.336389.peg.147				99.667	99.667	99.0		99.0		98.667	99.336	99.0		
SEED:fig|6666666.336389.peg.148				97.708	97.708	98.125		97.292		98.125	98.542	98.125		
SEED:fig|6666666.336389.peg.149	74.576	74.576	74.576	98.365	98.365	98.021	75.098	98.742	74.837	99.119	99.371	99.119	74.576	74.576
SEED:fig|6666666.336389.peg.150	75.63	76.891	75.63	99.177	99.177	98.425	76.05	98.765	74.37	98.354	99.177	98.354	73.95	74.79
SEED:fig|6666666.336389.peg.151	69.632	69.218	69.591	99.126	99.126	98.898	70.772	98.793	69.967	99.126	99.116	98.71	69.552	69.263
SEED:fig|6666666.336389.peg.152				99.849	99.849			99.849		99.849				
SEED:fig|6666666.336389.peg.153	76.869	76.869	76.636	98.667	98.667	98.857	76.869	98.667	76.636	98.857	98.667	98.958	75.058	76.636
SEED:fig|6666666.336389.peg.154	76.884	76.633	76.884	99.259	99.259	99.63	76.884	99.444	77.136	99.444	99.63	99.444	77.136	77.238
SEED:fig|6666666.336389.peg.155	64.464	65.941	65.941	98.45	98.45	98.837		99.225	65.992	98.45	98.992	98.372	64.537	65.685
SEED:fig|6666666.336389.peg.156	76.461	76.661	76.623	98.958	98.874	99.437	76.461	97.917	77.298	99.062	98.798	99.25	75.731	75.63
SEED:fig|6666666.336389.peg.157	73.0	73.667	73.667	98.966	98.966	99.742	73.0	99.483	74.242	99.483	99.483	99.483	76.0	73.667
SEED:fig|6666666.336389.peg.158	71.695	71.695	71.864	98.049	98.049	99.024	71.864	98.537	72.034	98.862	99.512	98.862	71.717	72.203
SEED:fig|6666666.336389.peg.159	85.766	85.401	85.401	99.275	99.275	99.638	85.401	100.0	85.401	100.0	100.0	100.0	85.401	85.401
SEED:fig|6666666.336389.peg.160				99.065	99.169	99.449		99.273		99.169	99.377	99.169		
SEED:fig|6666666.336389.peg.161	74.163	72.967	74.702	98.874	98.874	98.315	74.94	98.874	73.077	97.973	98.874	97.973	73.206	73.206
SEED:fig|6666666.336389.peg.162				94.966	94.295	99.02		94.631		94.966	99.02	94.966		
SEED:fig|6666666.336389.peg.163				99.057	98.952	95.702		98.742	65.778	99.161	99.266	99.161	64.667	
SEED:fig|6666666.336389.peg.164	72.38	72.543	73.539	98.832	98.676	98.91	72.638	98.598	71.916	99.065	99.143	99.065	72.358	72.846
SEED:fig|6666666.336389.peg.165				99.2	99.467	100.0		99.467		99.467	100.0	98.933		
SEED:fig|6666666.336389.peg.166				98.873	98.873	97.585		97.907		99.034	98.712	98.229		
SEED:fig|6666666.336389.peg.167	72.599	72.599	72.175	99.325	99.595	99.46	72.316	98.92	72.034	99.055	99.19	98.92	72.458	72.599
SEED:fig|6666666.336389.peg.168	68.581	70.134	69.257	98.422	98.817	99.014	69.257	99.014	70.569	98.817	99.014	99.014	69.257	68.243
SEED:fig|6666666.336389.peg.169				96.296	96.581	96.296		94.872		98.575	99.145	98.86		
SEED:fig|6666666.336389.peg.170	64.823	66.372	64.615	97.436	97.669	98.019	66.591	98.019		98.485	98.485	98.019		66.15
SEED:fig|6666666.336389.peg.171				99.054	99.054	97.4		96.454		96.927	96.809	96.572		
SEED:fig|6666666.336389.peg.172				94.523	94.523	91.262		99.634		91.877	93.538	91.938		
SEED:fig|6666666.336389.peg.173	75.529	75.982	75.831	98.986	98.986	98.841	76.133	97.826	75.431	98.841	98.696	99.13	76.852	76.284
SEED:fig|6666666.336389.peg.174	70.313	71.094	70.284	97.863	97.863	98.932	70.833	99.145	69.271	98.932	98.932	98.504	70.052	71.354
SEED:fig|6666666.336389.peg.175				96.15	97.021	98.029		98.379		98.596	98.206	98.294		
SEED:fig|6666666.336389.peg.176				93.491	96.844	97.041		96.252		98.817	99.211	97.041		
SEED:fig|6666666.336389.peg.177				80.347	98.83	98.83		98.83		82.313	100.0	98.83		
SEED:fig|6666666.336389.peg.178				97.436	98.901	98.901		98.901		97.436	99.634	98.901		
SEED:fig|6666666.336389.peg.179				98.413	99.603	100.0		100.0		99.603	100.0	99.603		
SEED:fig|6666666.336389.peg.180				98.606	98.611	98.611		98.955		98.958	100.0	98.611		
SEED:fig|6666666.336389.peg.181				96.705	97.212	97.212		95.184		96.705	100.0	96.958		
SEED:fig|6666666.336389.peg.182				99.069	99.255	99.069		95.996		99.069	99.162	99.348		
SEED:fig|6666666.336389.peg.183				99.01	99.01	99.01		96.37		99.01	99.01	99.01		
SEED:fig|6666666.336389.peg.184				88.779	88.779	89.109		82.258		89.109	89.109	89.109		
SEED:fig|6666666.336389.peg.185				97.959	97.959	97.959		93.537		97.619	97.959	97.619		
SEED:fig|6666666.336389.peg.186				97.222	97.222	97.222				97.778	98.333	97.778		
SEED:fig|6666666.336389.peg.187				86.179	86.179	86.45		94.35		86.45	96.893	86.179		
SEED:fig|6666666.336389.peg.188				99.471	99.471	96.561		95.767		96.296	93.122	96.561		
SEED:fig|6666666.336389.peg.189				99.187	99.134	97.403		95.238		97.403	97.835	97.403		
SEED:fig|6666666.336389.peg.190						91.733		92.267		92.0	96.8	92.533		
SEED:fig|6666666.336389.peg.191						89.418		89.691		89.418	99.561	89.175		
SEED:fig|6666666.336389.peg.192								98.413			100.0	98.413		
SEED:fig|6666666.336389.peg.193						96.802		93.023		91.86	100.0	91.57		
SEED:fig|6666666.336389.peg.194						99.365				97.46	99.841			
SEED:fig|6666666.336389.peg.195				95.885	95.885	96.708		96.708		97.119	100.0			
SEED:fig|6666666.336389.peg.196				90.78	90.78	99.291		95.745		95.035	100.0	92.199		
SEED:fig|6666666.336389.peg.197						98.974				95.897	100.0			
SEED:fig|6666666.336389.peg.198				97.508	97.508	96.573		96.573		96.729	100.0	96.384		
SEED:fig|6666666.336389.peg.199				93.287	93.287	93.995		89.095		96.847	100.0	95.15		
SEED:fig|6666666.336389.peg.200				99.769	99.769	96.528		98.38		97.685	100.0	96.759		
SEED:fig|6666666.336389.peg.201				98.0	98.0	97.333		98.333		97.333	100.0	97.667		
SEED:fig|6666666.336389.peg.202				97.938	97.938			98.519			99.313			
SEED:fig|6666666.336389.peg.203				92.958	92.958	98.122		100.0		95.775	93.897	96.244		
SEED:fig|6666666.336389.peg.204				95.035	95.035	97.163		97.163		93.617	97.163	97.163		
SEED:fig|6666666.336389.peg.205														
SEED:fig|6666666.336389.peg.206	80.995	81.448				88.596			77.027				81.622	80.09
SEED:fig|6666666.336389.peg.207				96.246	96.246			96.939	75.694	96.246	98.639		77.972	
SEED:fig|6666666.336389.peg.208				97.778	97.778	99.259		98.519		97.778	98.519	97.778		
