gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX
fig|6666666.222563.peg.117	100.0	99.173	73.672	99.645	74.144	74.205	74.087	99.291	74.205	98.936	74.087	73.79	74.205	98.936
fig|6666666.222563.peg.118	100.0	99.583	78.512	100.0	78.512	78.512		99.583	85.849	97.917	78.512	78.512	78.512	99.167
fig|6666666.222563.peg.119	99.942	98.713	81.51	98.713	87.185	87.185	81.51	98.246	81.919	96.725	81.568	81.51	81.627	97.368
fig|6666666.222563.peg.120	99.764	97.872	86.525	100.0	87.805	87.805	88.076	99.527	85.579	95.024	88.076	86.525	86.052	98.578
fig|6666666.222563.peg.121	100.0	100.0	73.176	100.0	73.176	73.176	72.941	99.578	73.882	92.405	73.176	73.176	72.941	91.139
fig|6666666.222563.peg.122	100.0	99.495	77.046	99.485	77.246	77.246	78.007	99.663	78.694	94.949	78.351	78.007	78.179	94.613
fig|6666666.222563.peg.123	99.891	99.043	69.844	99.836	69.37	69.37	69.629	99.125	69.637	85.823	69.634	69.866	69.445	89.893
fig|6666666.222563.peg.124	99.484	97.937	70.108	98.571	69.824	69.824	70.098	98.532	69.869	91.865	70.162	70.054	70.162	91.31
fig|6666666.222563.peg.125	99.169	89.019	72.393	97.251	72.393	72.337	72.535	94.835	72.458	91.402	72.224	72.45	72.252	91.526
fig|6666666.222563.peg.126	92.998	91.815	63.613	93.047	63.654	63.869	63.188	92.061	63.278	85.084	63.278	63.452	63.427	84.78
fig|6666666.222563.peg.127														
fig|6666666.222563.peg.128	99.32	95.918		99.32				98.529		93.836				91.837
fig|6666666.222563.peg.129	98.291	97.009	75.253	98.291	75.469	75.469	75.296	97.863	75.543	96.439	74.819	75.325	75.578	96.784
fig|6666666.222563.peg.130	98.138	97.952	74.907	98.138	74.721	74.721	74.907	98.138	75.093	97.207	75.651	75.465	74.907	96.276
fig|6666666.222563.peg.131	96.596	97.589	78.203	96.596	78.056	78.056	78.792	96.738	77.614	92.482	77.467	77.614	78.792	87.801
fig|6666666.222563.peg.132	99.905	98.765	77.093	99.905	76.708	76.708	76.996	98.575	76.616	93.162	76.901	76.886	76.996	90.408
fig|6666666.222563.peg.133	99.827	95.924		99.914				97.781						
fig|6666666.222563.peg.134	99.817	96.52	75.763	99.817	75.954	75.954	75.0	96.703	74.51	96.337	75.954	76.145	75.0	97.07
fig|6666666.222563.peg.135	99.855	94.859	80.978	99.046	81.122	81.151	82.208	94.507	81.483	97.398	81.094	80.921	81.237	98.12
fig|6666666.222563.peg.136	98.962		81.014	98.858	90.447	90.447	86.293	98.858		89.72	90.447		88.37	
fig|6666666.222563.peg.137	98.068	98.551		98.068				99.034		94.686				98.551
fig|6666666.222563.peg.138	100.0	96.847	73.785	97.466	73.857	74.392	73.964	99.043	73.942	97.281	74.696	73.913	74.164	97.973
fig|6666666.222563.peg.139	99.878	99.027	67.222	98.236	66.86	66.86	67.222	99.513	67.009	98.236	67.093	67.35	67.093	98.236
fig|6666666.222563.peg.140	97.963	96.47	77.453	96.47	77.528	77.528	77.528	94.908	77.228	99.038	77.303	77.378	77.378	98.235
fig|6666666.222563.peg.141	95.101	95.865	72.965	95.197	72.864	72.864	72.663	95.197	72.462	94.428	73.166	72.764	73.166	98.751
fig|6666666.222563.peg.142	97.464	96.989		97.781				97.728		97.042				99.313
fig|6666666.222563.peg.143	96.818	96.97	65.812	96.97	65.299	65.299	65.306	96.97	65.812	94.394	66.269	65.641	65.136	97.424
fig|6666666.222563.peg.144	97.443	97.727	69.289	97.254	69.181	69.181		97.348	69.256	96.117	69.397	69.504	69.397	98.39
fig|6666666.222563.peg.145	95.692	95.692	69.421	95.918	68.955	68.955	68.799	95.918	69.423	94.805	70.083	69.111	70.083	96.145
fig|6666666.222563.peg.146	98.095	97.143		97.143				96.203		96.203				99.048
fig|6666666.222563.peg.147	97.756	98.077		97.436						98.718				98.397
fig|6666666.222563.peg.148	98.077	99.038		98.718				98.718		99.038				99.038
fig|6666666.222563.peg.149	96.206	96.748	72.201	96.206	73.913	73.913	72.587	96.206	72.201	98.916	72.587	72.201	72.587	96.748
fig|6666666.222563.peg.150	97.068	98.457		97.685				97.685						
fig|6666666.222563.peg.151	96.912	98.083	71.598	98.378	71.302	71.302	71.746	98.378	71.302	98.239	71.746	71.302	71.746	97.063
fig|6666666.222563.peg.152	96.995	96.721		96.995				96.995		96.448				98.087
fig|6666666.222563.peg.153		99.275		98.551				98.551		97.826				100.0
fig|6666666.222563.peg.154	95.035	95.745		95.035				95.272		95.981				95.745
fig|6666666.222563.peg.155	98.491	98.616	74.576	98.491	74.282	74.282	75.333	98.365	74.543	98.491	74.576	74.446	74.576	97.987
fig|6666666.222563.peg.156	98.714	98.071	74.79	98.714	75.21	75.21	73.6	97.749	75.896	99.357	76.221	76.221	76.221	98.392
fig|6666666.222563.peg.157	97.621	97.39	69.221	97.456	69.221	69.221	69.107	97.485	69.041	98.427	69.472	70.679	69.428	96.729
fig|6666666.222563.peg.158	97.74	97.552	77.238	97.74	77.494	77.494	77.238	97.74	77.494	98.87	77.238	77.238	77.494	99.247
fig|6666666.222563.peg.159	98.026	97.798	65.685	98.178	66.125	66.125	65.707	98.07		95.9	66.208	66.24	66.083	95.444
fig|6666666.222563.peg.160	97.115	97.276	75.63	97.596	75.63	76.779	77.154	97.115	75.711	97.568	76.966	75.548	76.779	98.397
fig|6666666.222563.peg.161	95.733	96.267	73.667	99.2	73.764	74.242	73.333	95.733	73.0	96.97	76.211	73.244	76.211	95.733
fig|6666666.222563.peg.162	98.706	97.411	72.203	99.029	71.864	72.034	72.927	98.544	71.864	97.573	72.081	72.42	72.081	96.278
fig|6666666.222563.peg.163	99.283	99.642	85.401	100.0	85.766	85.766	85.401	100.0	85.629	99.642	85.401	85.401	85.401	98.925
fig|6666666.222563.peg.164	97.327	96.825		98.997				97.911		95.238				93.718
fig|6666666.222563.peg.165	96.644	94.407	73.206	97.291	72.36	72.36		96.868	72.36	93.065	71.685	71.91	71.685	92.29
fig|6666666.222563.peg.166	96.624	97.046		94.937						89.873				86.92
fig|6666666.222563.peg.167	97.778	98.889		98.519				99.259		82.222				82.222
fig|6666666.222563.peg.168	97.511	97.87		99.574	64.74		65.191	98.19		89.35	64.595		64.595	88.179
fig|6666666.222563.peg.169	97.196	97.352	72.846	97.586	75.761	75.862	72.927	97.352	72.52	96.73	72.439	72.764	72.764	96.417
fig|6666666.222563.peg.170	98.374	98.374		98.103				98.103		98.374				97.29
fig|6666666.222563.peg.171	96.279	97.829		98.605		65.704		98.45		94.419				95.504
fig|6666666.222563.peg.172	97.841	97.841	72.599	98.516	72.316	72.599	72.599	98.381	72.034	98.381	72.458	72.175	72.458	97.301
fig|6666666.222563.peg.173	99.206	97.222	68.243	99.008	69.128	68.456	69.128	98.016	68.792	94.444	69.128	69.128	69.128	95.04
fig|6666666.222563.peg.174	97.809	98.385	66.15	97.693	65.487	66.15	65.487	97.578	65.455	84.429	65.708	66.372	65.708	84.544
fig|6666666.222563.peg.175	98.172	97.989		99.454				96.161		75.224				74.955
fig|6666666.222563.peg.176	97.291	97.173		96.938				97.409		91.991				96.231
fig|6666666.222563.peg.177	96.528	96.528		92.994				96.267						93.519
fig|6666666.222563.peg.178	98.707	98.994	76.284	98.994	76.133	76.133	76.737	98.563	76.133	96.983	75.982	76.284	76.888	98.276
fig|6666666.222563.peg.179	98.495	96.774	71.354	98.065	71.615	71.615	71.094	98.71	71.094	94.839	71.354	71.354	71.094	95.054
fig|6666666.222563.peg.180	93.103	92.759		99.559				94.138		92.254				92.254
fig|6666666.222563.peg.181	97.731	97.49		98.886				98.267		93.909				95.466
fig|6666666.222563.peg.182	97.861	97.861		99.237				97.326		89.127				92.513
fig|6666666.222563.peg.183	87.764	99.578		94.937				94.937		91.983				84.81
fig|6666666.222563.peg.184	99.197	98.795		99.598				99.197		92.771				98.795
fig|6666666.222563.peg.185	99.773	99.546		98.857				95.207		91.014				97.74
fig|6666666.222563.peg.186	95.289	96.845						97.531						94.616
fig|6666666.222563.peg.187	98.777	98.471		96.024						85.627				85.321
fig|6666666.222563.peg.188								98.23		97.788				97.345
fig|6666666.222563.peg.189								97.701		96.552				97.126
fig|6666666.222563.peg.190	95.175	99.342		89.912				98.219		84.43				89.474
fig|6666666.222563.peg.191	97.464	97.101		96.014						88.571				
