gene	Ben	Bill	Bob	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
SEED:fig|6666666.334308.peg.60	99.605	99.605					91.963		89.26					99.868
SEED:fig|6666666.334308.peg.61	99.099	99.099					97.598							100.0
SEED:fig|6666666.334308.peg.62	99.483	97.674			87.927	88.451	96.641		96.0		87.927	87.402		98.966
SEED:fig|6666666.334308.peg.63	96.855	97.549			87.619	88.571	97.059		97.059		88.571	88.571	98.039	98.039
SEED:fig|6666666.334308.peg.64	99.184	99.767			89.87	89.753	98.531		97.552		89.753	89.753	96.97	98.951
SEED:fig|6666666.334308.peg.65	97.073	97.073					99.512		97.073				95.61	95.447
SEED:fig|6666666.334308.peg.66	100.0	100.0					99.66		97.959				97.279	87.755
SEED:fig|6666666.334308.peg.67	99.792	99.896	68.972	67.85	69.17	68.836	99.896	69.17	88.153	70.356	68.639	68.972	88.153	93.977
SEED:fig|6666666.334308.peg.68	96.154	92.54					93.333		83.81				83.651	90.635
SEED:fig|6666666.334308.peg.69	99.067	98.667					98.8		90.533				91.6	98.0
SEED:fig|6666666.334308.peg.70	98.932	98.077					98.718		74.786				74.573	98.077
SEED:fig|6666666.334308.peg.71	99.242	99.621					99.242							98.864
SEED:fig|6666666.334308.peg.72	99.697	99.394					99.394							99.394
SEED:fig|6666666.334308.peg.73	98.438	97.917					97.984						94.545	98.264
SEED:fig|6666666.334308.peg.74	97.606	97.872					98.582						96.432	97.163
SEED:fig|6666666.334308.peg.75	98.374	98.862					98.903							98.211
SEED:fig|6666666.334308.peg.76	95.993	96.903					97.45							97.243
SEED:fig|6666666.334308.peg.77	96.296	97.09					98.148						94.051	98.123
SEED:fig|6666666.334308.peg.78	99.583	99.583					97.917		76.17				83.404	82.553
SEED:fig|6666666.334308.peg.79	98.946	98.946					98.551		80.839				80.839	81.145
SEED:fig|6666666.334308.peg.80	99.248	99.248					99.248		85.664				86.014	86.014
SEED:fig|6666666.334308.peg.81														
SEED:fig|6666666.334308.peg.82	94.751	95.442					94.936		67.201				94.061	94.936
SEED:fig|6666666.334308.peg.83	98.519	99.259					98.519		85.556				99.259	99.259
SEED:fig|6666666.334308.peg.84	98.556	99.278					98.579		96.751				98.556	99.278
SEED:fig|6666666.334308.peg.85	98.693	98.693					98.693		98.693				97.712	99.673
SEED:fig|6666666.334308.peg.86	99.074	99.074					99.074		96.759				98.611	99.074
SEED:fig|6666666.334308.peg.87	98.956	99.348					98.63						81.513	99.217
SEED:fig|6666666.334308.peg.88	98.667	98.222	78.302	78.302	78.302	77.934	98.667		98.667	78.302	77.934	77.934	98.667	100.0
SEED:fig|6666666.334308.peg.89	99.458	99.458					99.187		96.97				98.103	95.592
SEED:fig|6666666.334308.peg.90									97.814				99.454	
SEED:fig|6666666.334308.peg.91	99.099						100.0		96.847				94.144	100.0
SEED:fig|6666666.334308.peg.92			77.778	77.778						77.778				
SEED:fig|6666666.334308.peg.93	98.901		91.484	91.667	91.667	92.026				91.667	92.026	92.026		99.615
SEED:fig|6666666.334308.peg.94														
SEED:fig|6666666.334308.peg.95	97.05	97.345					96.591		97.345				97.64	99.115
SEED:fig|6666666.334308.peg.96	100.0	100.0	82.405	82.405	82.405	82.405	100.0	82.405	99.138	82.405	82.405	82.405	99.425	100.0
SEED:fig|6666666.334308.peg.97	98.571	98.883					98.571		97.143				98.095	96.899
SEED:fig|6666666.334308.peg.98	99.405	100.0				79.268	98.81	79.268	99.405	79.268	79.268	79.268	100.0	99.405
SEED:fig|6666666.334308.peg.99	97.669	97.669					97.669		98.601				98.135	97.902
SEED:fig|6666666.334308.peg.100	98.475	98.475	78.619			76.806	98.257	78.524		78.846	76.594	77.246	98.802	99.053
SEED:fig|6666666.334308.peg.101	98.7	98.463					98.463		97.527				96.69	98.7
SEED:fig|6666666.334308.peg.102	99.371	99.214	67.727	66.998	67.197	67.594	99.057	67.955	98.899	66.998	66.998	70.219	98.585	99.371
SEED:fig|6666666.334308.peg.103	99.44	99.16					99.16		97.759				98.599	98.88
SEED:fig|6666666.334308.peg.104	99.602	99.364	88.61	86.293	85.714	88.224	99.364	87.452	87.323	86.1	88.417	88.417	88.11	99.682
SEED:fig|6666666.334308.peg.105	99.179	99.179							92.713				96.013	99.179
SEED:fig|6666666.334308.peg.106	99.048	98.73					98.836		97.354				99.153	99.153
SEED:fig|6666666.334308.peg.107	99.13	99.71	68.047	68.639	68.343	68.343	99.13	68.935	99.13	68.935	68.343	68.639	99.71	99.13
SEED:fig|6666666.334308.peg.108	99.29	98.401	78.561	79.424	78.417	78.417	98.52	79.281	98.621	79.424	78.561	78.489	98.224	99.23
SEED:fig|6666666.334308.peg.109	99.747	99.873	75.599	74.644	74.774	74.903	99.873	74.774	98.986	74.386	74.644	74.903	97.338	99.747
SEED:fig|6666666.334308.peg.110	99.011	98.039					98.328		94.466				87.87	99.604
SEED:fig|6666666.334308.peg.111	98.664	98.875	82.004	81.419	82.229	83.09	98.805	82.196	98.787	82.078	81.931	82.229	98.644	99.719
SEED:fig|6666666.334308.peg.112	100.0	99.603					100.0		98.413				98.81	98.81
SEED:fig|6666666.334308.peg.113	99.777	99.108	75.556	75.778	75.222	75.889	99.108	75.889	98.105	75.889	75.889	75.222	98.216	99.666
SEED:fig|6666666.334308.peg.114	99.427	98.74	71.953	71.834	72.361	71.834	99.198	72.071	98.167	72.071	71.953	72.361	98.282	99.198
SEED:fig|6666666.334308.peg.115	100.0	99.199	72.857	72.54	72.857	77.544	99.199	72.857	97.917	72.698	72.857	72.857	99.199	99.359
SEED:fig|6666666.334308.peg.116	99.645	99.291	73.672	74.144	74.205	74.087	99.409	74.205	99.054	74.087	73.79	74.205	99.054	99.645
SEED:fig|6666666.334308.peg.117	100.0	99.583	78.512	78.512	78.512		99.583	85.849	97.917	78.512	78.512	78.512	99.167	100.0
SEED:fig|6666666.334308.peg.118	98.772	99.883	81.51	87.185	87.185	81.51	98.713	81.802	97.544	81.568	81.51	81.51	98.07	98.713
SEED:fig|6666666.334308.peg.119	99.764	97.872	86.525	87.805	87.805	88.076	99.527	85.579	95.024	88.076	86.525	86.052	98.578	100.0
SEED:fig|6666666.334308.peg.120	100.0	100.0	73.176	73.176	73.176	72.941	99.578	73.882	92.405	73.176	73.176	72.941	91.139	100.0
SEED:fig|6666666.334308.peg.121	99.485	100.0	76.2	76.4	76.4	77.281	99.485	77.969	94.674	77.625	77.281	77.453	94.33	99.485
SEED:fig|6666666.334308.peg.122	99.836	99.152	69.844	69.37	69.37	69.629	99.234	69.637	85.932	69.634	69.866	69.445	90.003	99.836
SEED:fig|6666666.334308.peg.123	99.007	98.848	70.342	70.076	70.076	70.334	99.086	70.02	91.825	70.397	70.288	70.397	91.071	98.571
SEED:fig|6666666.334308.peg.124	97.212	90.899	71.856	71.94	71.884	72.081	96.97	72.069	92.947	71.771	71.968	71.799	93.197	97.251
SEED:fig|6666666.334308.peg.125	99.959	93.872	64.268	64.12	64.393	63.602	95.362	63.87	84.623	63.767	63.82	63.705	83.383	93.047
SEED:fig|6666666.334308.peg.126	100.0	97.087					97.365		75.134				83.285	
SEED:fig|6666666.334308.peg.127	100.0	96.599					100.0		94.521				92.517	99.32
SEED:fig|6666666.334308.peg.128	100.0	97.293	75.109	75.18	75.18	74.704	98.148	75.109	96.439	74.674	75.036	75.0	96.784	98.291
SEED:fig|6666666.334308.peg.129	100.0	97.207	74.349	74.164	74.164	74.349	97.765	74.535	96.462	75.51	74.907	74.349	96.276	98.138
SEED:fig|6666666.334308.peg.130	100.0	96.454	77.059	76.912	76.912	77.647	99.574	77.059	91.631	76.618	76.765	77.647	88.085	96.596
SEED:fig|6666666.334308.peg.131	100.0	98.86	77.093	76.708	76.708	76.996	98.67	76.616	93.067	76.901	76.886	76.996	90.313	99.905
SEED:fig|6666666.334308.peg.132	99.917	95.969					97.941							99.914
SEED:fig|6666666.334308.peg.133	99.634	96.337	75.763	75.954	75.954	75.0	96.52	74.51	96.154	75.954	76.145	75.0	96.886	99.817
SEED:fig|6666666.334308.peg.134	99.191	95.3	81.02	81.164	81.135	82.285	94.999	81.466	97.282	81.135	80.876	81.221	97.738	99.046
SEED:fig|6666666.334308.peg.135	99.481		81.014	90.135	90.135	86.397	99.377		89.823	90.135		88.266		98.858
SEED:fig|6666666.334308.peg.136	97.101	97.585					98.446		94.686				99.517	98.068
SEED:fig|6666666.334308.peg.137	97.466	95.664	74.254	74.324	74.772	74.461	97.748	74.366	96.677	75.152	74.381	74.62	98.93	97.466
SEED:fig|6666666.334308.peg.138	98.236	98.114	67.181	66.822	66.822	67.181	98.358	66.968	99.209	67.053	67.31	67.053	98.783	98.236
SEED:fig|6666666.334308.peg.139	98.099	98.778	76.779	76.854	76.854	76.854	98.167	76.854	99.679	76.629	76.704	76.704	97.488	96.47
SEED:fig|6666666.334308.peg.140	99.712	98.365	72.773	72.673	72.673	72.472	100.0	72.272	95.101	73.073	72.573	73.073	95.485	95.197
SEED:fig|6666666.334308.peg.141	99.577	97.412					99.947		96.355				97.623	97.781
SEED:fig|6666666.334308.peg.142	99.848	99.394	67.063	66.553	66.553	66.554	100.0	66.723	91.97	67.174	66.893	66.385	95.606	96.97
SEED:fig|6666666.334308.peg.143	99.432	97.917	69.405	69.405	69.405		99.905	69.447	96.023	69.73	69.838	69.73	98.011	97.254
SEED:fig|6666666.334308.peg.144	99.32	97.506	70.598	70.93	70.93	70.432	100.0	71.096	96.475	71.262	70.764	71.262	97.959	95.918
SEED:fig|6666666.334308.peg.145	98.095	100.0					100.0		98.095				98.095	97.143
SEED:fig|6666666.334308.peg.146	98.397	98.718							98.077				97.115	97.436
SEED:fig|6666666.334308.peg.147	99.359	99.038					100.0		98.397				98.397	98.718
SEED:fig|6666666.334308.peg.148	100.0	99.458	71.429	73.043	73.043	71.815	100.0	71.429	96.748	71.815	71.429	71.815	98.374	96.206
SEED:fig|6666666.334308.peg.149	99.383	98.92					100.0							97.685
SEED:fig|6666666.334308.peg.150	98.235	98.525	70.772	70.475	70.475	70.623	100.0	70.475	99.472	70.623	70.475	70.623	95.742	98.378
SEED:fig|6666666.334308.peg.151	99.454	96.995					100.0		96.448				97.541	96.995
SEED:fig|6666666.334308.peg.152		99.275					100.0		99.275				98.551	98.551
SEED:fig|6666666.334308.peg.153	100.0	96.927					99.764		95.035				93.617	95.035
SEED:fig|6666666.334308.peg.154	100.0	99.371	74.576	74.316	74.316	75.333	98.868	74.576	98.491	74.576	74.446	74.576	98.239	98.491
SEED:fig|6666666.334308.peg.155	100.0	99.038	75.63	76.05	76.05	73.6	99.038	76.547	98.718	76.873	76.873	76.873	98.397	98.714
SEED:fig|6666666.334308.peg.156	99.108	98.381	69.591	69.674	69.674	69.504	98.537	69.453	97.811	69.716	70.961	69.87	95.705	97.456
SEED:fig|6666666.334308.peg.157	100.0	99.435	76.884	76.633	76.633	76.884	100.0	77.136	98.493	76.884	76.884	77.136	97.74	97.74
SEED:fig|6666666.334308.peg.158	98.709	98.633	65.941	66.5	66.5	65.214	98.596		95.748	65.403	66.368	65.403	95.596	98.178
SEED:fig|6666666.334308.peg.159	98.958	98.317	76.623	76.461	76.966	77.341	98.958	76.38	97.191	77.154	76.361	76.966	97.196	97.596
SEED:fig|6666666.334308.peg.160	96.0	96.533	73.667	73.764	74.242	73.333	96.0	73.0	97.273	76.211	73.244	76.211	95.467	99.2
SEED:fig|6666666.334308.peg.161	99.029	97.087	71.864	71.525	71.695	72.25	98.867	71.525	97.249	71.743	72.081	71.743	96.278	99.029
SEED:fig|6666666.334308.peg.162	99.283	99.642	85.401	85.766	85.766	85.401	100.0	85.629	99.642	85.401	85.401	85.401	98.925	100.0
SEED:fig|6666666.334308.peg.163	97.661	97.16					97.577		94.737				93.379	98.997
SEED:fig|6666666.334308.peg.164	97.743	94.131	74.702	74.215	74.215		97.291	74.215	93.439	73.543	73.767	73.543	92.971	97.291
SEED:fig|6666666.334308.peg.165													90.945	
SEED:fig|6666666.334308.peg.166	94.937	95.359							89.451				86.498	94.937
SEED:fig|6666666.334308.peg.167	98.519	99.63					99.259		82.222				82.222	98.519
SEED:fig|6666666.334308.peg.168	97.727	98.083		64.451		64.822	98.403		89.137	64.306		64.306	87.966	99.574
SEED:fig|6666666.334308.peg.169	97.43	97.586	73.539	76.566	76.667	73.458	97.897	73.133	96.491	73.133	73.458	73.458	95.093	97.586
SEED:fig|6666666.334308.peg.170	98.103	98.103					97.832		98.103				97.019	98.103
SEED:fig|6666666.334308.peg.171	96.744	97.984			65.343		98.915		94.729				95.504	98.605
SEED:fig|6666666.334308.peg.172	97.706	97.706	72.175	71.893	72.175	72.175	98.516	71.61	99.055	72.034	71.751	72.034	97.436	98.516
SEED:fig|6666666.334308.peg.173	99.405	97.817	69.257	70.134	69.463	70.134	97.817	69.799	95.04	70.134	70.134	70.134	95.238	99.008
SEED:fig|6666666.334308.peg.174	98.962	98.155	64.615			64.462	97.578		84.66	64.615	64.733		84.544	97.693
SEED:fig|6666666.334308.peg.175	98.72	98.537					96.709		75.404				75.135	99.454
SEED:fig|6666666.334308.peg.176	96.113	95.995					96.466		91.755				95.289	96.938
SEED:fig|6666666.334308.peg.177	92.878	92.878					92.101						91.604	92.994
SEED:fig|6666666.334308.peg.178	99.138	98.851	75.831	75.68	75.68	75.982	98.707	75.68	96.839	75.529	75.831	76.133	97.845	98.994
SEED:fig|6666666.334308.peg.179	98.28	95.699	70.284	70.801	70.801	70.284	97.634	70.284	95.054	70.543	70.284	70.284	94.839	98.065
SEED:fig|6666666.334308.peg.180	90.455	90.455					92.273		92.056				92.056	99.559
SEED:fig|6666666.334308.peg.181	97.566	96.996					99.133		93.678				95.542	98.886
SEED:fig|6666666.334308.peg.182	97.71	96.947					96.947		88.743				92.875	99.237
SEED:fig|6666666.334308.peg.183	87.764	94.515					100.0		91.139				83.544	94.937
SEED:fig|6666666.334308.peg.184	98.795	99.197					99.598		93.173				99.197	99.598
SEED:fig|6666666.334308.peg.185	98.857	98.571					98.286		91.714					98.857
SEED:fig|6666666.334308.peg.186		97.436					97.436							
SEED:fig|6666666.334308.peg.187	96.024	96.33							86.239				86.239	96.024
SEED:fig|6666666.334308.peg.188	94.574	94.419												
SEED:fig|6666666.334308.peg.189	91.447	89.693					89.313		89.556				96.0	89.912
SEED:fig|6666666.334308.peg.190	97.101	96.739							87.319					96.014
SEED:fig|6666666.334308.peg.191	97.304	87.089												97.549
