gene	Ben	Bill	Bob	Bop	Car	Carl	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
GeneID:24628089	73.333	74.0	99.742	73.333	98.708	99.225	73.333	99.742	74.621	99.225	99.225	99.225	76.444	73.333
GeneID:24628090	76.428	76.64	99.142	76.72	98.712	97.568	76.428	98.283	76.96	97.997	98.569	97.997	75.11	75.073
GeneID:24628091						99.085			79.477					
GeneID:24628092	76.966	77.154	99.437	77.341	98.687	99.074	76.966	96.811	77.778	99.259	97.749	99.074	76.966	77.154
GeneID:24628093	64.763	64.891	98.837	65.214	98.217	98.217	64.195	98.527	66.007	98.992	98.605	98.915	64.776	65.707
GeneID:24628094	76.884	76.633	99.63	76.884	99.632	99.632	76.884	99.816	77.136	99.816	100.0	99.816	77.136	77.238
GeneID:24628095	75.935	75.935	98.857	75.701	99.429	99.429	75.935	99.048	75.701	99.619	99.429	99.792	74.126	75.701
GeneID:24628096	72.752	72.055	99.231	72.207	98.974	98.974	72.752	98.718	71.835	98.974	98.087	96.154	73.901	72.055
GeneID:24628097	69.354	69.038	98.898	69.554	99.048	99.048	70.407	98.697	69.75	99.098	99.299	99.098	69.204	69.107
GeneID:24628098	73.6	76.0	98.425	73.6	99.213	99.213	74.4	97.638	72.8	98.425	97.638	98.425	72.0	73.6
GeneID:24628099	75.333	75.0	98.021	75.333	97.717	97.717	75.667	98.478	75.667	98.478	98.174	98.478	75.0	75.333
GeneID:24628100	79.518	80.723	99.13	79.518	99.13	99.13	80.723	99.13	80.723	99.13	99.13	99.13	80.723	79.518
GeneID:24628101			98.125		98.333	98.333		98.75		100.0	99.167	100.0		
GeneID:24628102			99.0		99.333	99.333		98.667		98.333	99.003	98.667		
GeneID:24628103	71.302	70.772	99.552	70.623	99.253	99.253	70.623	99.253	71.482	99.851	99.103	99.851	71.217	71.746
GeneID:24628104	71.815	72.587	98.118	71.815	97.849	97.849	71.815	98.656	72.201	100.0	98.118	100.0	72.587	72.587
GeneID:24628105			100.0		99.634	99.634		98.535		99.634	99.634	99.634		
GeneID:24628106			99.029		98.706	98.706		99.029		98.382	99.353	98.382		
GeneID:24628107			100.0		98.701	98.701		98.701		98.701	99.567	98.701		
GeneID:24628108	70.598	70.219	97.74	70.432	98.644	98.644	70.432	98.756		98.418	99.096	98.305	69.752	68.799
GeneID:24628109			85.781		97.953	97.953		96.85		96.693	85.938	96.535		
GeneID:24628110	72.947	72.947	97.324	73.188	97.08	97.08	73.188	97.324	72.881	97.324	97.567	97.324	72.947	71.981
GeneID:24628111	68.7	68.966	98.44	68.717	98.614	98.614	68.449	97.054	69.022	98.787	98.614	98.787	68.684	68.668
GeneID:24628112	66.554	66.325	98.348	66.554	98.048	98.048	66.554	98.048	66.667	97.598	98.799	99.85	66.29	65.306
GeneID:24628113			98.838		99.313	99.313		98.521		99.155	98.521	99.419		
GeneID:24628114	72.472	72.39	98.769	72.472	99.053	99.053	72.472	99.337	72.2	97.538	98.106	97.538	72.362	72.663
GeneID:24628115	77.004	76.929	99.525	76.854	99.117	99.117	76.854	99.389	81.818	99.253	99.457	99.321	77.079	77.528
GeneID:24628116	67.222	67.35	99.693	67.181	99.263	99.263	66.965	99.509	66.881	99.57	99.325	99.57		67.222
GeneID:24628117	73.964	74.689	99.087	74.461	98.921	84.41	74.212	95.519	69.174	99.284	99.253	99.761	74.378	73.964
GeneID:24628118			99.517		99.517	96.618		98.551		99.517	99.517	100.0		
GeneID:24628119	86.501		91.547	86.397	95.639	95.639	86.397		94.917	95.639		93.873		86.293
GeneID:24628120	82.27	82.596	98.435	82.285	98.905	98.779	82.322	98.592	81.977	99.155	98.811	99.718	82.325	82.208
GeneID:24628121	69.057	70.056	98.092	69.057	98.855	98.473	67.925	96.947	71.186	99.237	96.947	99.237	69.057	69.057
GeneID:24628122	74.809	74.427	97.985	75.0	97.802	97.802	74.618	99.167	74.618	98.168	97.985	100.0	73.855	75.0
GeneID:24628123	88.134						88.337	99.538	83.686	98.826		99.378	83.676	
GeneID:24628124	76.996	76.616	97.699	76.996	97.699	97.699	76.996	98.955	77.852	99.335	99.041	99.905	78.897	76.996
GeneID:24628125	77.647	78.498	98.723	77.647	99.007	99.007	77.794	98.582	77.32	97.447	98.298	100.0	76.73	78.792
GeneID:24628126	74.349	76.022	99.814	74.349	99.814	99.814	76.022	99.814	76.58	97.207	98.51	100.0	74.535	74.907
GeneID:24628127	74.704	75.0	98.804	74.704	98.356	98.356	74.704	98.505	75.0	98.356	98.206	99.402	74.62	75.296
GeneID:24628128			97.959		97.959	97.959		98.639	73.684	99.32	97.959	100.0	72.059	
GeneID:24628129			98.485		97.934	97.934		97.796			97.383	99.325		
GeneID:24628130	63.602	63.381	94.444	63.602	95.978	96.476	63.348	95.481	63.267	97.121	95.643	99.129	64.803	63.188
GeneID:24628131	72.478	71.609	97.404	72.081	96.856	98.044	72.069	95.302	71.549	99.579	97.66	99.525	71.879	72.506
GeneID:24628132	70.098	69.841	99.31	70.334	98.323	98.323	70.17	98.159	70.521	99.408	99.211	99.869	70.518	70.098
GeneID:24628133	69.629	69.355	96.842	69.629	98.596	98.596	69.444	98.655	70.554	98.48	97.164	99.912	69.466	69.629
GeneID:24628134	78.351	78.351	99.497	78.351	99.497	99.497	78.351	99.497	79.793	99.497	99.497	99.497	79.793	78.351
GeneID:24628135	78.007	77.281	99.394	77.281	99.192	99.192	78.007	99.306	77.312	99.306	98.958	99.132	77.835	78.007
GeneID:24628136	72.941	72.941	99.367	72.941	98.734	98.734	73.412	98.523	73.647	99.156	99.367	99.156	73.882	72.941
GeneID:24628137			96.599		99.32	99.32				100.0	96.599	100.0		
GeneID:24628138		94.186			97.471	97.471		98.557		97.651				
GeneID:24628139	88.347	88.076	99.213	88.076	98.728	98.728	88.618	99.213	87.332	98.982	99.213	99.213	88.076	88.076
GeneID:24628140	81.568	81.568	99.883	81.51	91.754	91.754	81.334	99.064	81.297	99.649	99.883	99.474	81.707	81.51
GeneID:24628141	74.087	74.558	99.527	74.087	99.645	99.764	74.441	98.818	74.558	100.0	99.645	99.882	74.558	74.087
GeneID:24628142	77.544	77.544	98.81	77.544	98.512	100.0	77.544	97.917	78.246	98.81	98.81	100.0	77.895	77.544
GeneID:24628143	72.222	72.222	99.278	72.222	98.917	98.556	72.222	98.917	72.593	99.639	99.278	98.556	73.333	73.333
GeneID:24628144	72.255	72.071	99.195	71.834	99.425	98.506	72.189	98.966	71.479	99.425	99.31	98.506	72.071	71.834
GeneID:24628145	76.671	76.671	98.778	75.889	99.0	97.333	76.671	98.333	76.0	98.333	99.333	97.333	76.905	76.671
GeneID:24628146			92.045		92.045	91.667		91.667		91.288	92.045	91.667		
GeneID:24628147	83.754	83.754	98.575	83.754	98.575	100.0	83.473	99.72	83.754	98.575	98.575	100.0	83.193	84.034
GeneID:24628148	83.194	83.09	99.416	83.09	97.468	99.903	83.09	99.221	82.672	99.318	99.318	99.903	82.568	82.881
GeneID:24628149			97.037		95.652	99.057		97.642		95.716	97.037	100.0		
GeneID:24628150	74.903	74.903	99.442	74.903	99.495	99.874	74.903	99.369	75.55	99.116	99.242	100.0	75.291	74.903
GeneID:24628151	78.273	78.402	99.06	78.417	95.169	99.497	78.474	95.652	78.705	96.0	99.13	99.884	78.777	78.273
GeneID:24628152	68.343	68.047	99.71	68.343	97.971	99.42	68.047	98.261	68.047	98.261	100.0	99.13	68.047	68.343
GeneID:24628153			99.531		97.496	99.374		97.653		97.496	99.531	99.374	74.118	
GeneID:24628154	88.61	88.61	99.276	88.224	93.727	94.451	88.61	98.552	81.262	93.245	99.397	99.035	83.302	88.61
GeneID:24628155			99.13		96.703	95.604		97.391		95.362	99.13	99.42		
GeneID:24628156	67.793	67.992	98.578	67.594	99.024	98.047	67.992	96.932	67.793	97.788	99.442	99.368	70.92	67.793
GeneID:24628157			99.13		99.71	96.522		96.522		99.71	99.71	98.841		
GeneID:24628158	73.423	74.324	99.446	74.324	97.784	96.676	73.874	96.953	74.249	98.061	98.017	98.892	72.961	73.423
GeneID:24628159	76.368	76.234	100.0	76.806	99.313	97.251	76.462	98.335	75.671	99.216	97.813	99.828	76.964	79.525
GeneID:24628160	79.459	80.541	100.0	78.919	100.0		81.081	97.849	81.765	100.0	99.099	99.099	78.919	79.459
GeneID:24628161										99.663				
GeneID:24628162										99.369				
GeneID:24628163	76.617	76.617	98.5	77.114	97.5	97.5	76.617	98.5	77.114	99.51	98.0	99.51	76.617	76.617
GeneID:24628164			99.679		98.718	98.718		99.038		99.359	100.0	100.0		
GeneID:24628165							69.65	100.0	70.817	100.0	100.0	100.0		
GeneID:24628166			100.0		99.259	99.259		100.0		98.519	100.0	100.0		
GeneID:24628167							73.881	99.617	74.627		99.234			
GeneID:24628168	82.405	82.405	100.0	82.405	100.0	100.0	82.405	100.0	82.111	100.0	100.0	100.0	82.405	82.405
GeneID:24628169			99.115		99.115	99.115		98.82		99.115	98.525	99.115		
GeneID:24628170											100.0			
GeneID:24628171										98.667	100.0	100.0		
GeneID:24628049										100.0	100.0	100.0		
GeneID:24628050										100.0	97.297	98.649		
GeneID:24628051										97.647	100.0	100.0		
GeneID:24628052											100.0	100.0		
GeneID:24628172										100.0	100.0	100.0		
GeneID:24628053	92.026		98.35	92.026	98.808	98.808				98.808	98.443	100.0		93.325
GeneID:24628173	78.873	78.404	99.111	77.934	99.111	99.111	77.465		77.934	99.111	100.0	100.0	77.934	77.934
GeneID:24628174			98.268		98.268	98.268				98.268	99.134	100.0		
GeneID:24628175			99.673		99.673	99.673				99.673	99.673	100.0		
GeneID:24628176			98.502		98.502	98.502				98.502	100.0	99.625		
GeneID:24628177			99.177		99.588	99.588				99.588	99.177	99.588		
GeneID:24628178			99.49		98.139	98.139				97.97	99.319	100.0		
GeneID:24628179					99.422	99.615				99.807		99.422		
GeneID:24628180			96.23		97.397	99.566				99.131	96.223	99.392		
GeneID:24628181			98.679		98.272	99.487				99.593	99.085	99.695		
GeneID:24628182	89.635	89.753		89.753		99.534	89.976		89.977		99.301	99.301	89.627	89.87
GeneID:24628183	85.0	85.714		88.571		99.333	85.714		85.714		100.0	100.0	87.619	87.619
GeneID:24628184	87.927	87.664		88.451		99.483	87.139		87.402		99.483	98.966		87.927
GeneID:24628185	68.836	68.836	97.996	68.836	96.414	98.523	68.836	98.207	70.375	95.781	99.262	98.629	70.76	70.02
GeneID:24628186			83.007		82.353	83.007				81.046	82.353	94.771		
GeneID:24628187			95.833		95.602	95.139		95.139		98.148	95.833	99.769		
GeneID:24628188			94.805		95.133	93.939		95.671		95.671	95.175	95.671		
GeneID:24628189			97.685		93.287	90.046		97.222		95.139	97.454	98.611		
GeneID:24628190			93.86		93.421	90.351		91.228		92.105	88.785	91.787		
GeneID:24628191			95.238		96.753	96.97		95.455		96.97	88.312	96.537		
GeneID:24628192			98.63		94.886	95.205		98.402		95.434	95.662	95.662		
GeneID:24628193			99.405		94.94	97.619		99.107		97.321	95.536	98.512		
GeneID:24628194			96.471		94.902	96.863		96.863		96.863	96.863	97.255		
GeneID:24628195			97.942		96.078	96.863		96.863		96.863	97.255	98.354		
GeneID:24628196			97.973		97.973	97.973		97.973		97.973	99.324	99.324		
GeneID:24628197			98.039		99.346	97.386		98.039		98.039	98.693	100.0		
GeneID:24628198					99.123	99.123		98.276		98.276	94.253	99.425		
GeneID:24628199			95.522								95.522	95.322		
GeneID:24628200			97.436								96.97	96.465		
GeneID:24628201			98.413		98.148	98.148		99.483		99.471	98.413			
GeneID:24628202			81.205		98.309	98.309		99.517		81.205	81.205	91.304		
GeneID:24628203			92.958		100.0	100.0				92.958	92.958			
GeneID:24628204			96.581		99.145	99.145		92.308			96.581	82.569		
GeneID:24628205					99.43	99.43		99.43		99.43	79.552	83.476		
GeneID:24628206			93.954		92.81	92.81		92.81		94.281	94.659	94.118		
GeneID:24628207			97.814		100.0	100.0		98.413		99.603	97.619	98.016		
GeneID:24628208								98.958		99.167	98.958	99.792		
GeneID:24628209	70.877	71.579	96.954	71.228	93.401	93.401	70.877	97.462	72.432	97.462	97.462	98.731	71.713	71.579
GeneID:24628210			100.0		96.581	96.581		96.154		99.573	98.291	99.573		
GeneID:24628211			92.237					93.607		92.694	93.151	92.237		
GeneID:24628212			86.0		95.96	95.96		98.485		96.465	96.465	95.96		
GeneID:24628213			94.915		92.655	92.655		91.525		90.96	94.915	94.915		
GeneID:24628214			97.403		98.268	98.268		97.619		96.97	99.351	97.619		
GeneID:24628215			98.413		100.0	100.0		97.354		99.471	100.0	98.413		
GeneID:24628216			95.465		95.465	95.465		97.321		95.692	99.32	96.372		
GeneID:24628217			98.588		98.023	98.023		97.881		97.458	99.435	98.164		
GeneID:24628218			92.389		91.755	91.755		91.121		97.257	99.578	92.389		
GeneID:24628219			97.303		97.495	98.459		96.146		96.917	96.532	97.881		
GeneID:24628220			93.296		100.0	100.0		92.222		100.0	100.0	93.855		
GeneID:24628221			99.727		96.721	97.814		98.087		98.087	98.634	100.0		
GeneID:24628222			95.754		97.028	97.028		97.24		97.028		97.452		
GeneID:24628223			94.764		96.063	95.538		96.859		96.597	95.812	97.382		
GeneID:24628224			97.422		95.948	95.948		96.501		87.293	99.263	99.263		
GeneID:24628225			98.889		98.889	99.167		98.039		100.0	99.167	99.167		
GeneID:24628226			98.473		98.473	98.473		95.065		100.0	99.237	98.982		
GeneID:24628227			82.468		94.805	94.805		99.351			82.468			
GeneID:24628228			99.742		95.09	95.09		96.641		100.0	99.742	99.483		
GeneID:24628229			98.795		95.181	95.181		95.181		100.0	97.189	100.0		
GeneID:24628230			97.868		96.512	96.512		94.961		99.225	98.062	97.287		
GeneID:24628231			95.455		94.949	94.949		92.424		98.99	97.98	95.96		
GeneID:24628232								97.826		96.226		96.855		
GeneID:24628233			77.487		78.906	78.906		94.737		100.0		97.9		
GeneID:24628234			95.0		96.825	97.222		97.222		97.222	95.0	97.619		
GeneID:24628235			99.111		95.556	95.556		96.0		99.556	99.111	98.222		
GeneID:24628236			97.917		97.917	97.917		95.833		97.917	97.396	97.917		
GeneID:24628237	72.076	72.368		71.93			71.596		72.222			99.282	72.409	72.661
GeneID:24628238			95.192		96.795	96.795		97.436		97.756	98.077	98.397		
GeneID:24628239	93.125		93.96	93.624	99.329	99.329		95.918		99.688	97.987	96.644		93.624
GeneID:24628240				86.111					92.361	95.139		95.139	97.917	
GeneID:24628241	94.326	95.035		95.745			95.238		92.908	97.163			92.908	94.326
GeneID:24628242	89.85			91.011				93.258	87.594	97.378	94.007			90.637
GeneID:24628243										98.611		97.222		
GeneID:24628244			90.1		93.678	93.678		90.948		93.257	89.655	92.407		
GeneID:24628245												99.531		
GeneID:24628246					96.053	96.053				97.807				
GeneID:24628247			94.167		96.111	96.111		96.698		96.667	97.778	94.444		
GeneID:24628248			98.958		98.958	98.958		98.165		99.479	98.958	99.479		
GeneID:24628249					96.732	96.732				96.7		98.693		
GeneID:24628250			97.63		99.531	99.531		98.985		100.0	97.63	97.642		
GeneID:24628251			95.263		97.895	97.895		98.387		97.895	95.54			
GeneID:24628252					96.991	96.991		99.306			97.222			
GeneID:24628253			95.548		95.89	95.89		95.205		93.493	96.575	95.578		
GeneID:24628254					93.284	93.284					91.791	98.667		
GeneID:24628255			98.058		97.573	97.573		96.117		93.72	95.169	93.72		
GeneID:24628256			95.595		98.268	98.268		97.403			95.154	96.97		
GeneID:24628257			98.374					97.561			97.561	97.967		
GeneID:24628258										95.868	99.177	98.765		
GeneID:24628259			99.259		94.203	94.203		94.686		94.686	94.686	94.686		
GeneID:24628260	76.923	76.923	88.596						77.027				76.923	76.018
GeneID:24628261			97.163		97.872	97.872		100.0		93.617	100.0	100.0		
GeneID:24628262			98.122		93.519	93.519		98.457		97.531	95.988	97.84		
GeneID:24628263			97.333		95.333	95.333		99.0		96.667	97.333	97.0		
GeneID:24628264			96.528		96.296	96.296		97.222		97.454	96.528	98.38		
GeneID:24628265			93.995		93.256	93.256		86.713		95.843	93.995	97.471		
GeneID:24628266												100.0		
GeneID:24628267			96.573		98.754	98.754		98.131		99.533	96.573	98.754		
GeneID:24628268			98.974							95.897	98.974			
GeneID:24628269			99.291		91.489	91.489		96.454		95.745	99.291	92.908		
GeneID:24628270			96.708		92.593	92.593		94.65		94.65	96.708			
GeneID:24628271			99.365							97.778	99.524			
GeneID:24628272			96.802					94.964		94.484	97.122	94.964		
