gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	TEX	V12_RAST
PHIM1EF22_0550			99.679		100.0	100.0	99.634		99.038		100.0	99.359		
PHIM1EF22_0560	71.815	72.587	98.118	71.815	97.849	97.849	100.0	71.815	98.656	72.201	100.0	98.118	72.587	72.587
PHIM1EF22_0570	71.302	70.772	99.402	70.623	99.103	99.103	99.851	70.623	99.103	71.482	100.0	98.954	71.217	71.746
PHIM1EF22_0580			99.0		99.333	99.333	98.667		99.333		99.667	99.003		
PHIM1EF22_0590			98.125		98.333	98.333	100.0		98.75		100.0	99.167		
PHIM1EF22_0600	74.576	74.576	99.119	74.576	97.987	97.987	98.478	75.098	99.371	74.967	100.0	98.994	74.576	74.576
PHIM1EF22_0610	76.873	77.85	98.354	76.873	99.177	99.177	98.425	77.199	99.038	75.896	100.0	98.718	75.244	76.221
PHIM1EF22_0620	69.828	69.412	98.71	69.87	98.668	98.668	99.098	70.825	98.086	70.797	98.835	99.281	69.748	69.47
PHIM1EF22_0630										95.507				
PHIM1EF22_0640	77.023	77.023	98.958	76.762	99.583	99.583	99.792	77.023	99.375	76.762	99.792	99.792	75.26	76.762
PHIM1EF22_0650	77.136	76.884	99.444	77.136	99.448	99.448	99.816	77.136	99.632	77.387	99.632	99.816	77.387	77.494
PHIM1EF22_0660	64.948	65.161	98.372	65.403	98.217	98.217	98.915	64.418	98.217	64.607	99.457	98.45	64.72	66.083
PHIM1EF22_0670	76.966	76.779	99.25	76.966	99.625	99.63	99.074	76.966	96.623	77.778	99.815	98.687	76.966	76.779
PHIM1EF22_0680	75.988	76.48	97.997	76.281	98.712	96.996	97.997	75.988	99.142	77.12	100.0	97.997	75.11	75.22
PHIM1EF22_0690	75.33	76.211	99.483	76.211	98.45	98.45	99.225	75.33	98.966	75.771	100.0	98.966	76.0	76.211
PHIM1EF22_0700	71.574	71.574	98.862	71.743	97.724	97.886	98.537	71.743	98.699	71.912	100.0	99.024	71.597	72.081
PHIM1EF22_0710	85.766	85.401	100.0	85.401	99.275	99.275	99.638	85.401	100.0	85.401	100.0	100.0	85.401	85.401
PHIM1EF22_0720			99.169		99.481	99.585	99.265		99.273		100.0	99.169		
PHIM1EF22_0730	73.445	72.422	97.973	73.543	99.099	99.099	96.629	74.224	99.099	72.837	100.0	98.649	72.076	71.685
PHIM1EF22_0740			94.966		100.0	99.327	95.638		99.663		100.0	95.638		
PHIM1EF22_0750	64.595	64.255	99.161	64.306	99.476	99.161	96.331	64.595	98.952	65.778	100.0	99.476	64.667	64.595
PHIM1EF22_0760	75.152	72.461	99.065	73.458	99.143	98.988	98.91	72.557	98.598	74.595	99.533	99.299	75.152	72.764
PHIM1EF22_0770			98.933		99.733	99.467	98.933		98.4		99.467	98.933		
PHIM1EF22_0780			98.229		99.034	99.034	98.068		97.746		99.195	99.517		
PHIM1EF22_0790	72.458	72.458	98.92	72.034	99.595	99.325	98.92	72.175	98.381	71.893	98.785	99.73	72.316	72.458
PHIM1EF22_0800	69.463	71.0	99.014	70.134	98.619	99.014	99.606	70.134	99.211	71.044	99.803	100.0	70.134	69.128
PHIM1EF22_0810			98.86		96.866	97.151	96.866		96.011		99.715	99.715		
PHIM1EF22_0820	66.15	65.038	98.019		97.552	98.019	97.669	66.591	98.135		97.902	98.601		65.708
PHIM1EF22_0830			96.572		96.099	96.099	96.099		95.626		98.582	98.818		
PHIM1EF22_0840			91.938		93.738	93.738	95.519		92.062		96.133	96.808		
PHIM1EF22_0850	76.133	76.586	99.13	76.133	99.275	99.275	99.71	76.435	98.406	75.718	99.13	99.275	77.16	76.888
PHIM1EF22_0860	70.833	71.354	98.504	70.284	97.65	97.65	99.145	71.094	98.504	69.792	99.573	97.863	70.573	71.094
PHIM1EF22_0870			98.294		96.579	97.412	98.772		98.684		99.342	98.684		
PHIM1EF22_0880							99.517		99.517		90.821	95.652		
PHIM1EF22_0890			97.041		93.688	99.803	100.0		99.211		96.647	97.83		
PHIM1EF22_0900			98.83		80.347	100.0	100.0		100.0		82.313	98.83		
PHIM1EF22_0910			98.901		97.07	100.0	99.267		100.0		97.802	99.267		
PHIM1EF22_0920			99.603		98.016	100.0	99.603		99.603		99.206	99.603		
PHIM1EF22_0930			98.611		99.303	100.0	100.0		97.561		98.958	98.611		
PHIM1EF22_0940			96.958		97.212	99.493	99.493		97.465		99.747	96.958		
PHIM1EF22_0950			99.348		98.79	99.534	99.348		95.717		99.348	99.255		
PHIM1EF22_0960			99.01		99.34	99.34	99.34		97.36		100.0	99.34		
PHIM1EF22_0970			89.109		99.34	99.34	99.67		88.779		100.0	99.67		
PHIM1EF22_0980			97.619		99.66	99.66	99.66		93.197		100.0	99.66		
PHIM1EF22_0990			97.778		99.444	99.444	99.444				100.0	99.444		
PHIM1EF22_1000			85.908		100.0	100.0	99.727		89.344		99.727	86.721		
PHIM1EF22_1010			96.561		97.09	97.09	100.0		93.915		99.735	96.032		
PHIM1EF22_1020			97.403		97.561	97.403	100.0		93.506		100.0	98.701		
PHIM1EF22_1030			92.533				99.2		99.733		98.933	95.2		
PHIM1EF22_1040			89.175				97.059		97.119		97.059	88.66		
PHIM1EF22_1050			98.413						98.942			98.413		
PHIM1EF22_1060							91.062		99.645		88.87	97.692		
PHIM1EF22_1070			91.57				94.964		97.034		95.255	95.73		
PHIM1EF22_1080														
PHIM1EF22_1090			92.199		98.582	98.582	92.908		94.326		93.617	92.199		
PHIM1EF22_1100			96.384		98.27	98.27	98.754		97.508		98.287	96.384		
PHIM1EF22_1110							100.0							
PHIM1EF22_1120			95.15		94.884	94.884	97.471		87.879		97.46	95.15		
PHIM1EF22_1130			96.759		96.528	96.528	98.38		97.454		97.222	96.759		
PHIM1EF22_1140			97.667		96.333	96.333	97.0		97.333		95.667	97.667		
PHIM1EF22_1150			96.244		92.593	92.593	97.84		96.296		97.84	94.444		
PHIM1EF22_1160			97.163		97.872	97.872	100.0		100.0		93.617	100.0		
PHIM1EF22_1170			97.778		98.551	98.551	94.686		99.034		100.0	97.101		
PHIM1EF22_1180							98.765				95.868	99.177		
PHIM1EF22_1190			98.78				97.967		97.154			97.967		
PHIM1EF22_1200			95.154		97.835	97.835	96.97		98.701			94.714		
PHIM1EF22_1210			94.66		95.146	95.146	93.72		96.602		100.0	94.686		
PHIM1EF22_1220			94.0				98.667				97.333	91.975		
PHIM1EF22_1230			91.781		93.836	93.836	95.578		92.123		93.151	93.493		
PHIM1EF22_1240			96.19		97.17	97.17	97.642		97.449		97.642	96.19		
PHIM1EF22_1250					96.732	96.732	98.693				97.36			
PHIM1EF22_1260			98.438		98.438	98.438	99.479		97.248		98.958	98.438		
PHIM1EF22_1270			93.611		95.278	95.278	94.444		97.17		96.111	94.444		
PHIM1EF22_1280												96.471		91.765
PHIM1EF22_1290			99.371						96.226			98.113		
PHIM1EF22_1300							99.531							
PHIM1EF22_1310	79.111	78.667	82.589	76.339				79.018	93.333			79.464		76.889
PHIM1EF22_1320			93.103		92.418	92.418	92.407		87.679		94.109	90.129		
PHIM1EF22_1330							97.222				97.222			
PHIM1EF22_1340				86.806			95.139			88.889	100.0		93.056	
PHIM1EF22_1350					96.053	96.053			97.807			100.0		
PHIM1EF22_1360									98.524			98.168		
PHIM1EF22_1370	94.966		95.724	93.421	96.262	96.262	96.644		96.471		96.309	95.639		93.421
PHIM1EF22_1380			95.513		97.756	97.756	98.397		98.397		97.436	99.038		
PHIM1EF22_1390	71.72	71.866		71.429			99.282	71.157		71.72			72.052	72.157
PHIM1EF22_1400			98.958		96.875	96.875	97.917		96.875		97.917	98.438		
PHIM1EF22_1410			99.111		94.667	94.667	98.222		96.889		98.667	98.222		
PHIM1EF22_1420			97.5		97.619	98.016	97.619		98.81		99.603	97.5		
PHIM1EF22_1430			77.105		78.01	78.01	97.9		96.842		97.9			
PHIM1EF22_1440							96.855		97.826		96.855			
PHIM1EF22_1450			93.434		93.939	93.939	95.96		93.434		95.96	95.96		
PHIM1EF22_1460			95.93		96.899	96.899	97.287		94.186		97.674	96.124		
PHIM1EF22_1470			98.795		95.181	95.181	100.0		95.181		100.0	97.189		
PHIM1EF22_1480			99.81		94.55	94.55	99.483		95.972		99.619	99.81		
PHIM1EF22_1490			98.982		98.982	98.982	98.982		95.584		98.982	99.746		
PHIM1EF22_1500			99.167		99.722	100.0	99.167		98.319		99.167	100.0		
PHIM1EF22_1510			99.415		98.83	98.83			98.246		98.246	100.0		
PHIM1EF22_1520			98.158		95.212	95.212	99.263		95.764		86.556	100.0		
PHIM1EF22_1530			96.344		95.474	95.259	97.382		97.414		97.845	95.699		
PHIM1EF22_1540			95.966		97.028	97.028	97.452		97.24		99.151			
PHIM1EF22_1550			99.727		96.721	97.814	100.0		98.087		98.087	98.634		
PHIM1EF22_1560			99.441		93.889	93.889	93.855		93.855		93.889	93.889		
PHIM1EF22_1570			98.266		97.303	98.266	97.881		95.183		96.724	96.724		
PHIM1EF22_1580			100.0		99.367	99.367	92.389		96.203		92.178	91.966		
PHIM1EF22_1590			99.576		98.729	98.729	98.164		98.588		98.164	97.599		
PHIM1EF22_1600			99.093		97.732	97.732	96.372		98.81		97.959	96.145		
PHIM1EF22_1610			100.0		98.413	98.413	98.413		97.884		97.884	98.413		
PHIM1EF22_1620			99.784		96.97	96.97	97.619		96.32		97.186	97.835		
PHIM1EF22_1630			100.0		88.136	88.136	94.915		87.006		90.395	100.0		
PHIM1EF22_1640			86.869		93.939	93.939	95.96		97.475		99.495	99.495		
PHIM1EF22_1650			99.543				92.237		93.836		98.186	98.174		
PHIM1EF22_1660	65.478	65.621	98.516		95.547	95.547	98.731		97.706		98.92	98.381		
PHIM1EF22_1670							99.792		98.75		98.958	98.75		
PHIM1EF22_1680			100.0		98.016	98.016	98.016		99.603		97.619	98.81		
PHIM1EF22_1690			99.837		95.425	95.425	94.118		95.752		97.222	99.816		
PHIM1EF22_1700	68.731	68.731		67.677	83.476	83.476	83.476	67.34	84.046	67.918	84.046	78.992	69.024	68.121
PHIM1EF22_1710			84.404		83.486	83.486	82.569		83.486			84.404		
PHIM1EF22_1720			79.137		92.029	92.029	91.304		90.821		79.616	79.137		
PHIM1EF22_1730			96.28				95.322					95.935		
PHIM1EF22_1740					99.123	99.123	99.425		98.851		98.851	94.828		
PHIM1EF22_1750			98.551		98.841	98.261	100.0		98.551		98.261	99.13		
PHIM1EF22_1760			99.588		96.708	97.531	98.354		97.531		97.531	98.765		
PHIM1EF22_1770			98.431		97.647	98.824	97.255		98.824		98.824	99.608		
PHIM1EF22_1780			97.917		94.345	96.429	98.512		98.81		96.429	95.238		
PHIM1EF22_1790			95.434		97.333	97.945	95.662		95.662		97.717	100.0		
PHIM1EF22_1800			95.671		94.589	96.753	96.537		96.104		97.403	87.879		
PHIM1EF22_1810												81.176		
PHIM1EF22_1820			97.101		93.237	94.313	91.787		95.169		96.651	93.204		
PHIM1EF22_1830			97.222		92.593	89.583	98.611		96.759		95.139	96.991		
PHIM1EF22_1840			90.476		91.593	89.61	95.671		91.342		91.342	90.789		
PHIM1EF22_1850			95.602		95.37	94.907	99.769		94.907		97.917	95.602		
PHIM1EF22_1860			79.085		79.739	79.085	94.771				84.967	78.431		
PHIM1EF22_1870	68.972	68.972	98.523	68.972	96.519	98.84	98.629	68.972	98.734	70.188	95.042	98.101	70.726	70.553
PHIM1EF22_1880	86.877	86.614		87.402		98.966	98.966	86.089		86.352		99.483		86.877
PHIM1EF22_1890	85.0	85.714		88.571		99.333	100.0	85.714		85.714		100.0	87.619	87.619
PHIM1EF22_1900	89.635	89.753		89.753		99.534	99.301	89.976		89.86		100.0	89.51	89.87
PHIM1EF22_1910			98.984		98.374	99.487	99.695				99.695	99.39		
PHIM1EF22_1920			97.561		97.29	99.187	99.187				99.187	97.561		
PHIM1EF22_1930			98.102		97.567	99.481	99.392				99.048	95.958		
PHIM1EF22_1940					99.615	99.422	99.422				99.615			
PHIM1EF22_1950			99.49		98.139	98.139	100.0				97.97	99.319		
PHIM1EF22_1960			99.588		100.0	100.0	99.588				100.0	99.588		
PHIM1EF22_1970			98.127		98.127	98.127	99.625				98.127	99.625		
PHIM1EF22_1980			99.673		99.673	99.673	100.0				99.673	99.673		
PHIM1EF22_1990			98.268		98.268	98.268	100.0				98.268	99.134		
PHIM1EF22_2000	78.873	78.404	99.111	77.934	99.111	99.111	100.0	77.465		77.934	99.111	100.0	77.934	77.934
PHIM1EF22_2010	92.026		98.35	92.026	98.808	98.808	100.0				98.808	98.443		93.325
PHIM1EF22_t0010							100.0				100.0	100.0		
PHIM1EF22_2020							100.0					100.0		
PHIM1EF22_t0020							100.0				97.647	100.0		
PHIM1EF22_t0030							98.649				98.684	98.649		
PHIM1EF22_t0040							100.0				100.0	100.0		
PHIM1EF22_t0050							100.0				98.684	100.0		
PHIM1EF22_2030			100.0		98.82	98.82	99.115		99.115		98.82	98.23		
PHIM1EF22_2040	82.405	82.405	100.0	82.405	100.0	100.0	100.0	82.405	100.0	82.111	100.0	100.0	82.405	82.405
