gene	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
SEED:fig|6666666.336387.peg.23	100.0		98.103				98.103		98.916				97.832	98.374
SEED:fig|6666666.336387.peg.24	99.844	72.38	97.43	75.354	75.455	75.455	98.754	74.747	96.81	74.747	75.253	75.152	95.483	97.196
SEED:fig|6666666.336387.peg.25	98.593		97.727	64.74		65.068	98.701		89.286	64.595		64.595	87.879	97.511
SEED:fig|6666666.336387.peg.26	98.148		98.519				98.519		81.481				81.481	97.778
SEED:fig|6666666.336387.peg.27	99.578		94.937						89.873				87.764	96.624
SEED:fig|6666666.336387.peg.28	93.96	74.163	97.743	74.163	74.163		97.315	74.163	92.617	73.445	74.163	73.445	92.29	96.644
SEED:fig|6666666.336387.peg.29	97.16		97.661				96.825		94.904				93.548	97.327
SEED:fig|6666666.336387.peg.30	99.642	85.766	99.283	86.131	86.131	85.766	99.283	85.629	99.642	85.766	85.766	85.766	99.642	99.283
SEED:fig|6666666.336387.peg.31	97.411	71.695	99.029	71.356	71.525	72.081	99.838	71.356	97.573	71.574	71.912	71.574	96.602	98.706
SEED:fig|6666666.336387.peg.32	98.133	73.0	96.0	73.004	74.242	73.333	99.733	73.0	95.758	75.33	72.575	75.33	96.533	95.733
SEED:fig|6666666.336387.peg.33	98.397	76.461	98.958	76.299	76.966	76.966	100.0	76.38	96.853	77.154	76.198	76.966	97.115	97.115
SEED:fig|6666666.336387.peg.34	99.317	64.464	98.709	64.895	64.895	64.763	99.123		95.52	64.948	64.734	64.948	95.368	98.026
SEED:fig|6666666.336387.peg.35	99.435	76.884	100.0	76.633	76.633	76.884	100.0	77.136	98.493	76.884	76.884	77.136	97.74	97.74
SEED:fig|6666666.336387.peg.36	98.018	69.632	99.108	69.632	69.632	69.304	99.771	69.411	98.222	69.674	70.961	69.828	95.771	97.621
SEED:fig|6666666.336387.peg.37	99.038	75.63	100.0	76.05	76.05	73.6	99.038	76.547	98.718	76.873	76.873	76.873	98.397	98.714
SEED:fig|6666666.336387.peg.38	99.371	74.576	100.0	74.316	74.316	75.333	98.868	74.576	98.491	74.576	74.446	74.576	98.239	98.491
SEED:fig|6666666.336387.peg.39	96.927		100.0				99.764		95.035				93.617	95.035
SEED:fig|6666666.336387.peg.40	96.995		99.454				99.454		96.448				97.541	96.995
SEED:fig|6666666.336387.peg.41	97.353	71.154	98.235	70.858	70.858	71.302	98.235	70.858	99.472	71.302	70.858	71.302	96.018	96.912
SEED:fig|6666666.336387.peg.42	98.302		99.383				99.383							97.068
SEED:fig|6666666.336387.peg.43	99.458	71.429	100.0	73.043	73.043	71.815	100.0	71.429	96.748	71.815	71.429	71.815	98.374	96.206
SEED:fig|6666666.336387.peg.44	98.397		99.359				100.0		97.756				97.756	98.077
SEED:fig|6666666.336387.peg.45	99.038		98.397						99.038				96.795	97.756
SEED:fig|6666666.336387.peg.46	98.095		98.095				98.095		99.048				98.095	98.095
SEED:fig|6666666.336387.peg.47	97.279	70.764	99.32	71.096	71.096	70.598	99.32	71.262	96.475	71.429	70.93	71.429	97.732	95.692
SEED:fig|6666666.336387.peg.48	98.39	69.289	99.432	69.289	69.289		99.527	69.33	96.402	69.612	69.72	69.612	98.295	97.443
SEED:fig|6666666.336387.peg.49	99.242	67.063	99.848	66.553	66.553	66.554	99.848	66.723	91.97	67.174	66.893	66.385	95.606	96.818
SEED:fig|6666666.336387.peg.50	97.2		99.577				99.63		96.038				97.306	97.464
SEED:fig|6666666.336387.peg.51	98.269	72.773	99.712	72.673	72.673	72.472	99.712	72.272	95.005	73.073	72.573	73.073	95.389	95.101
SEED:fig|6666666.336387.peg.52	97.963	77.079	98.099	77.154	77.154	77.004	96.538	76.704	99.038	76.929	77.004	77.004	98.099	97.963
SEED:fig|6666666.336387.peg.53	99.027	67.222	98.236	66.86	66.86	67.222	99.513	67.009	98.236	67.093	67.35	67.093	98.236	99.878
SEED:fig|6666666.336387.peg.54	96.847	73.785	97.466	73.857	74.392	73.964	99.043	73.942	97.281	74.696	73.913	74.164	97.973	100.0
SEED:fig|6666666.336387.peg.55	96.618		97.101				97.101		93.72				97.585	98.068
SEED:fig|6666666.336387.peg.56		81.534	99.481	90.239	90.239	86.501	99.896		89.927	90.239		88.37		98.962
SEED:fig|6666666.336387.peg.57	94.8	81.007	99.191	81.151	81.18	82.27	94.594	81.512	97.456	81.122	80.921	81.266	98.061	99.855
SEED:fig|6666666.336387.peg.58	96.337	75.573	99.634	75.763	75.763	74.809	96.52	74.292	96.154	75.763	75.954	74.809	97.253	99.817
SEED:fig|6666666.336387.peg.59	95.969		99.917				97.968							99.827
SEED:fig|6666666.336387.peg.60	98.86	77.093	100.0	76.708	76.708	76.996	98.67	76.616	93.067	76.901	76.886	76.996	90.313	99.905
SEED:fig|6666666.336387.peg.61	96.454	77.059	100.0	76.912	76.912	77.647	99.574	77.059	91.631	76.618	76.765	77.647	88.085	96.596
SEED:fig|6666666.336387.peg.62	97.207	74.349	100.0	74.164	74.164	74.349	97.765	74.535	96.462	75.51	74.907	74.349	96.276	98.138
SEED:fig|6666666.336387.peg.63	97.293	75.109	100.0	75.18	75.18	74.704	98.148	75.109	96.439	74.674	75.036	75.0	96.784	98.291
SEED:fig|6666666.336387.peg.64	96.599		100.0				100.0		94.521				92.517	99.32
SEED:fig|6666666.336387.peg.65	97.087		100.0				97.365		75.134				83.285	
SEED:fig|6666666.336387.peg.66	93.83	64.268	99.959	64.12	64.393	63.602	95.321	63.87	84.623	63.767	63.82	63.705	83.383	92.998
SEED:fig|6666666.336387.peg.67	89.136	72.365	97.212	72.365	72.309	72.506	95.045	72.36	91.635	72.196	72.422	72.224	91.907	99.169
SEED:fig|6666666.336387.peg.68	98.451	70.108	99.007	69.824	69.824	70.098	98.888	69.869	91.667	70.162	70.054	70.162	90.992	99.484
SEED:fig|6666666.336387.peg.69	99.043	69.844	99.836	69.37	69.37	69.629	99.125	69.637	85.823	69.634	69.866	69.445	89.893	99.891
SEED:fig|6666666.336387.peg.70	99.495	77.046	99.485	77.246	77.246	78.007	99.663	78.694	94.949	78.351	78.007	78.179	94.613	100.0
SEED:fig|6666666.336387.peg.71	100.0	73.176	100.0	73.176	73.176	72.941	99.578	73.882	92.405	73.176	73.176	72.941	91.139	100.0
SEED:fig|6666666.336387.peg.72	97.636	86.761	99.764	88.076	88.076	88.347	99.291	85.816	94.787	88.347	86.761	86.288	98.341	99.764
SEED:fig|6666666.336387.peg.73	98.772	81.568	98.772	87.244	87.244	81.568	98.304	81.978	96.784	81.627	81.568	81.685	97.427	99.942
SEED:fig|6666666.336387.peg.74	99.583	78.512	100.0	78.512	78.512		99.583	85.849	97.917	78.512	78.512	78.512	99.167	100.0
SEED:fig|6666666.336387.peg.75	99.173	73.672	99.645	74.144	74.205	74.087	99.291	74.205	98.936	74.087	73.79	74.205	98.936	100.0
SEED:fig|6666666.336387.peg.76	99.199	72.857	100.0	72.54	72.857	77.544	99.199	72.857	97.917	72.698	72.857	72.857	99.199	99.359
SEED:fig|6666666.336387.peg.77	98.625	72.373	99.427	72.255	72.781	72.255	99.084	72.491	98.511	72.491	72.373	72.781	98.625	99.542
SEED:fig|6666666.336387.peg.78	99.331	76.319	99.777	76.553	75.967	76.671	99.331	76.671	98.105	76.671	76.671	75.967	98.439	99.889
SEED:fig|6666666.336387.peg.79	99.603		100.0				100.0		98.413				98.81	98.81
SEED:fig|6666666.336387.peg.80	99.789	82.151	98.664	81.492	82.374	83.194	99.508	82.336	98.287	82.224	82.224	82.374	98.43	98.664
SEED:fig|6666666.336387.peg.81	99.02		99.011				99.312		94.565				87.673	98.813
SEED:fig|6666666.336387.peg.82	99.873	75.599	99.747	74.644	74.774	74.903	99.873	74.774	98.733	74.386	74.644	74.903	97.338	100.0
SEED:fig|6666666.336387.peg.83	98.757	78.417	99.29	79.568	78.417	78.273	98.875	79.281	98.741	79.281	78.417	78.345	98.342	99.941
SEED:fig|6666666.336387.peg.84	99.42	68.047	99.13	68.639	68.343	68.343	98.841	68.935	98.841	68.935	68.343	68.639	99.42	100.0
SEED:fig|6666666.336387.peg.85	98.836		99.048				98.942		97.672				98.836	99.894
SEED:fig|6666666.336387.peg.86	99.343		99.179						93.178				96.172	99.672
SEED:fig|6666666.336387.peg.87	99.761	88.996	99.602	86.68	86.1	88.61	99.761	87.838	87.559	86.486	88.803	88.803	88.346	99.92
SEED:fig|6666666.336387.peg.88	99.72		99.44				99.72		98.319				99.16	99.44
SEED:fig|6666666.336387.peg.89	99.214	66.799	99.371	67.197	67.793	67.793	99.057	68.409	98.899	67.594	67.197	70.533	98.27	99.371
SEED:fig|6666666.336387.peg.90	98.818		98.7				99.054		97.409				97.045	100.0
SEED:fig|6666666.336387.peg.91	98.529	78.619	98.475			76.368	98.366	78.524		78.974	76.407	76.886	97.603	99.905
SEED:fig|6666666.336387.peg.92	98.135		97.669				98.135		98.601				98.601	99.767
SEED:fig|6666666.336387.peg.93	99.405		99.405			80.0	99.405	80.0	98.81	80.0	80.0	80.0	99.405	100.0
SEED:fig|6666666.336387.peg.94	97.207		98.571				97.143		96.296				99.259	99.225
SEED:fig|6666666.336387.peg.95	100.0	82.405	100.0	82.405	82.405	82.405	100.0	82.405	99.138	82.405	82.405	82.405	99.425	100.0
SEED:fig|6666666.336387.peg.96	99.705		97.05				99.621		99.115				98.82	97.345
SEED:fig|6666666.336387.peg.97		91.484	98.901	91.667	91.667	92.026				91.667	92.026	92.026		99.101
SEED:fig|6666666.336387.peg.98			99.099				100.0		96.847				94.144	99.099
SEED:fig|6666666.336387.peg.99	100.0		99.458				99.729		97.521				98.645	96.143
SEED:fig|6666666.336387.peg.100	99.556	79.245	98.667	79.245	79.245	78.873	98.222		99.111	79.245	78.873	78.873	99.111	98.667
SEED:fig|6666666.336387.peg.101	99.217		98.956				99.282						81.577	98.434
SEED:fig|6666666.336387.peg.102	100.0		99.074				100.0		97.685				98.611	100.0
SEED:fig|6666666.336387.peg.103	98.693		98.693				100.0		98.039				96.405	99.02
SEED:fig|6666666.336387.peg.104	99.037		98.556				99.871		96.751				98.315	99.037
SEED:fig|6666666.336387.peg.105	99.259		98.519				100.0		85.185				99.259	99.259
SEED:fig|6666666.336387.peg.106	98.941		94.751				99.816		67.424				95.948	96.317
SEED:fig|6666666.336387.peg.107	100.0		99.248				100.0		85.14				85.839	85.839
SEED:fig|6666666.336387.peg.108	100.0		98.946				99.341		80.839				80.839	81.145
SEED:fig|6666666.336387.peg.109	100.0		99.583				98.333		75.745				83.83	82.979
SEED:fig|6666666.336387.peg.110	99.206		96.296				97.619						93.768	97.051
SEED:fig|6666666.336387.peg.111	95.082		95.993				96.357							95.037
SEED:fig|6666666.336387.peg.112	99.512		98.374				98.211							97.236
SEED:fig|6666666.336387.peg.113	98.05		97.606				98.493						97.681	96.72
SEED:fig|6666666.336387.peg.114	98.785		98.438				98.438						94.746	98.785
SEED:fig|6666666.336387.peg.115	99.091		99.697				99.091							99.091
SEED:fig|6666666.336387.peg.116	99.621		99.242				98.485							98.106
SEED:fig|6666666.336387.peg.117	98.291		98.932				98.504		74.786				75.0	98.291
SEED:fig|6666666.336387.peg.118	98.267		99.067				98.133		90.267				91.333	97.867
SEED:fig|6666666.336387.peg.119	93.968		96.154				93.492		85.079				85.443	92.381
SEED:fig|6666666.336387.peg.120	99.688	68.972	99.792	67.85	69.17	68.836	99.688	69.17	88.153	70.356	68.639	68.972	88.153	93.769
SEED:fig|6666666.336387.peg.121	100.0		100.0				99.66		97.959				97.279	87.755
SEED:fig|6666666.336387.peg.122	100.0		97.073				96.911		97.073				96.748	94.309
SEED:fig|6666666.336387.peg.123	99.417		99.184		89.753	89.635	98.776		97.436		89.635	89.635	97.319	99.068
SEED:fig|6666666.336387.peg.124	100.0		96.855				99.371		96.226				95.597	97.484
SEED:fig|6666666.336387.peg.125	98.191		99.483		87.402	87.927	96.641		96.0		87.402	86.877		98.45
SEED:fig|6666666.336387.peg.126	100.0		99.099				98.498							99.099
SEED:fig|6666666.336387.peg.127	100.0		99.605				92.095		89.26					99.736
SEED:fig|6666666.336387.peg.128	99.642		99.104				94.444							98.746
SEED:fig|6666666.336387.peg.129	99.113		95.567				95.745		93.44				93.972	95.39
SEED:fig|6666666.336387.peg.130	100.0						92.593						88.889	
SEED:fig|6666666.336387.peg.131	99.573		76.961				78.261							76.961
SEED:fig|6666666.336387.peg.132	100.0						85.268							
SEED:fig|6666666.336387.peg.133	100.0		86.434				85.537						86.454	86.777
SEED:fig|6666666.336387.peg.134	100.0		98.592										99.052	
SEED:fig|6666666.336387.peg.135			99.55										97.696	
SEED:fig|6666666.336387.peg.136	95.111		93.778				90.411		90.667				97.333	94.977
SEED:fig|6666666.336387.peg.137	100.0		97.436				97.721		95.442			68.731	97.436	98.006
SEED:fig|6666666.336387.peg.138	99.812		95.669				97.175		97.552				96.045	95.405
SEED:fig|6666666.336387.peg.139	99.132		98.09				97.743		94.792				94.965	98.264
SEED:fig|6666666.336387.peg.140	99.672		95.895	65.4	65.4		96.059	65.594	95.402	65.462			95.402	96.88
SEED:fig|6666666.336387.peg.141	100.0		97.354				98.942		95.767				95.767	97.354
SEED:fig|6666666.336387.peg.142	99.595	65.906	97.571	65.759	65.759		97.432	66.051	89.143	65.67	65.812	65.478	89.623	96.491
SEED:fig|6666666.336387.peg.143	99.688		95.016				96.573		94.393				94.393	97.508
SEED:fig|6666666.336387.peg.144	98.777		97.431				97.92		95.963				96.453	97.003
SEED:fig|6666666.336387.peg.145	100.0		99.621				99.621		96.212				96.212	99.621
SEED:fig|6666666.336387.peg.146	100.0		97.243				95.99		84.422				83.582	97.744
SEED:fig|6666666.336387.peg.147	99.776		99.329				99.776		77.083				76.19	98.658
SEED:fig|6666666.336387.peg.148	99.663		100.0				99.174		88.215				80.479	96.97
SEED:fig|6666666.336387.peg.149			94.372				91.304		90.0					89.61
SEED:fig|6666666.336387.peg.150														
SEED:fig|6666666.336387.peg.151	95.614		95.614				95.906							96.199
SEED:fig|6666666.336387.peg.152	98.925		98.925				100.0		90.217				89.13	98.208
SEED:fig|6666666.336387.peg.153	98.765		98.765				98.765		90.566				90.566	98.765
SEED:fig|6666666.336387.peg.154	96.831		96.831				96.592		89.374				89.138	96.479
SEED:fig|6666666.336387.peg.155	99.735		98.942				66.244							95.767
SEED:fig|6666666.336387.peg.156	98.354		100.0				95.473		89.712				90.535	99.588
SEED:fig|6666666.336387.peg.157	99.595		96.458			72.076	93.387		90.761			71.72	90.625	97.003
SEED:fig|6666666.336387.peg.158	100.0						96.714							
SEED:fig|6666666.336387.peg.159	99.73		95.816				96.036						94.062	94.467
SEED:fig|6666666.336387.peg.160	98.942		92.063				92.593						92.063	92.063
SEED:fig|6666666.336387.peg.161	99.197		96.466						96.948				96.386	96.627
SEED:fig|6666666.336387.peg.162	97.436													
SEED:fig|6666666.336387.peg.163	99.543		96.119				96.575		95.205					96.347
SEED:fig|6666666.336387.peg.164	99.475		90.439				96.522		87.903					90.439
SEED:fig|6666666.336387.peg.165	98.788		91.515											91.515
SEED:fig|6666666.336387.peg.166	99.388						95.719							
SEED:fig|6666666.336387.peg.167	98.718		97.436				97.436						94.872	97.436
SEED:fig|6666666.336387.peg.168	97.807		95.175				95.614		90.351				92.544	94.298
SEED:fig|6666666.336387.peg.169	97.717						97.717		84.444				87.111	
SEED:fig|6666666.336387.peg.170	97.619		97.619				99.603							97.619
SEED:fig|6666666.336387.peg.171		95.638	97.987	94.966	94.966	93.125		97.887		92.813	92.953	94.966		97.987
SEED:fig|6666666.336387.peg.172							98.502							98.502
SEED:fig|6666666.336387.peg.173	96.454		91.489			94.326	90.476		92.908	91.489			88.652	100.0
SEED:fig|6666666.336387.peg.174			98.872			89.85		87.594	91.76	88.722	85.338			98.496
SEED:fig|6666666.336387.peg.175			100.0				97.884						98.942	99.471
SEED:fig|6666666.336387.peg.176	97.333	83.482	95.536				95.536	80.444			84.375	79.111		94.222
SEED:fig|6666666.336387.peg.177	97.959		97.26				99.315		93.836					97.945
SEED:fig|6666666.336387.peg.178			93.519				96.759							
SEED:fig|6666666.336387.peg.179	96.667	84.906	97.222				98.889	82.075			78.302			97.222
SEED:fig|6666666.336387.peg.180	96.97		95.96											95.96
SEED:fig|6666666.336387.peg.181	94.792		94.792				94.792							94.792
SEED:fig|6666666.336387.peg.182							98.246							
SEED:fig|6666666.336387.peg.183	97.826		96.86						91.787				92.995	98.792
SEED:fig|6666666.336387.peg.184			98.039						88.889				91.039	97.849
SEED:fig|6666666.336387.peg.185	97.135		97.389						91.123				91.645	96.354
SEED:fig|6666666.336387.peg.186	97.126		96.552						89.08				91.954	93.678
SEED:fig|6666666.336387.peg.187	97.989		93.447						83.191				88.034	93.447
