gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	AP018715	TEX	V12_RAST
GeneID:5666561			98.838		98.362	98.362	98.521		98.838		98.943	98.679		
GeneID:5666493	66.893	66.667	99.55	66.893	99.249	99.249	98.799	66.893	99.249	66.667	96.997	98.949	66.743	65.641
GeneID:5666496	69.72	70.259	99.056	69.838	99.15	99.15	98.614	69.73	97.639	69.248	99.528	99.528	69.622	69.504
GeneID:5666490			98.894		87.461	87.461	85.938		86.52		86.834	86.991		
GeneID:5666391	70.93	70.533	97.74	70.764	97.966	97.966	99.096	70.764	99.661		98.87	98.757	70.083	69.111
GeneID:5666555			99.479		98.268	98.268	99.567		98.268		98.268	98.268		
GeneID:5666482			99.676		98.706	98.706	99.353		99.029		98.382	98.382		
GeneID:5666431			99.679		99.359	99.267	99.634		98.397		99.359	99.359		
GeneID:5666487	71.429	72.201	100.0	71.429	95.968	95.968	98.118	71.429	99.462	71.815	98.118	98.118	72.201	72.201
GeneID:5666348	70.858	70.326	99.552	70.475	99.253	99.253	99.103	70.475	99.552	70.919	98.954	98.954	70.772	71.302
GeneID:5666486			99.336		99.668	99.668	99.003		99.003		98.693	99.003		
GeneID:5666556			98.542		98.75	98.75	99.167		98.333		99.167	99.167		
GeneID:5666402	74.446	74.446	99.371	74.446	98.491	98.491	98.174	74.967	98.616	74.837	98.994	98.994	74.446	74.446
GeneID:5666562	76.873	77.85	99.177	76.873	98.354	98.354	97.638	77.199	98.397	75.896	98.718	98.718	75.244	76.221
GeneID:5666481	70.961	70.665	99.116	70.961	99.411	99.411	99.299	72.338	98.569	70.211	99.327	99.281	70.775	70.679
GeneID:5666475	76.884	76.633	99.63	76.884	99.632	99.632	100.0	76.884	99.816	77.136	99.816	99.816	77.136	77.238
GeneID:5666386	64.734	66.496	98.992	66.368	97.907	97.907	98.605		98.837	66.035	98.837	98.45	64.326	66.24
GeneID:5666418	76.198	76.385	98.798	76.361	98.558	98.687	98.569	76.198	97.516	76.923	98.499	98.687	75.63	75.548
GeneID:5666394	72.575	73.244	99.483	73.244	98.966	98.45	99.225	72.575	98.966	73.764	98.966	98.966	76.0	73.244
GeneID:5666387	71.912	71.912	99.512	72.081	97.724	97.886	99.187	72.081	98.374	72.25	99.024	99.024	71.933	72.42
GeneID:5666377	85.766	85.401	100.0	85.401	99.275	99.275	99.638	85.401	100.0	85.401	100.0	100.0	85.401	85.401
GeneID:5666383			99.377		98.858	98.962	99.449		99.065		99.169	99.169		
GeneID:5666415	74.163	72.584	98.874	73.767	99.55	99.55	98.315	74.463	99.55	72.596	98.649	98.649	72.727	71.91
GeneID:5666419			99.02		95.638	94.966	100.0		95.302		95.638	95.638		
GeneID:5666408			99.266		99.161	98.847	96.017		98.847		99.476	99.476		
GeneID:5666399	75.253	72.461	99.143	73.458	99.533	99.377	98.988	75.533	98.832	74.696	99.143	99.299	75.254	72.764
GeneID:5666388			100.0		99.2	99.467	100.0		99.467		99.467	98.933		
GeneID:5666359			98.712		99.517	99.517	98.551		98.229		99.678	99.517		
GeneID:5666433	72.175	72.175	99.19	71.751	99.865	99.595	99.19	71.893	98.65	71.61	99.055	99.73	72.034	72.175
GeneID:5666413	69.463	71.0	99.014	70.134	98.619	99.014	99.606	70.134	99.211	71.044	99.803	100.0	70.134	69.128
GeneID:5666420			99.145		96.581	96.866	97.151		95.726		99.43	99.715		
GeneID:5666373	64.733	65.191	98.485	64.733	97.552	97.786	97.902	65.038	97.669		97.436	98.601		66.372
GeneID:5666409			96.809		96.572	96.572	96.572		95.863		98.582	98.818		
GeneID:5666344			93.538		95.335	95.335	95.764		93.538		95.273	96.808		
GeneID:5666436	75.831	76.284	98.696	75.831	99.42	99.42	99.275	75.831	98.841	75.287	99.275	99.275	76.389	76.284
GeneID:5666396	70.313	71.094	98.932	70.284	98.077	98.077	98.291	70.833	98.504	69.271	98.291	97.863	70.052	71.354
GeneID:5666410			98.206		96.228	96.974	98.158		98.07		98.64	98.684		
GeneID:5666423							95.169		95.169		94.686	95.652		
GeneID:5666434			99.211		93.491	97.633	97.83		97.041		98.422	97.83		
GeneID:5666380														
GeneID:5666349			100.0		80.347	98.83	98.83		98.83		82.313	98.83		
GeneID:5666395			99.634		97.07	99.267	99.267		99.267		97.802	99.267		
GeneID:5666398			100.0		98.413	99.603	100.0		100.0		99.603	99.603		
GeneID:5666452			100.0		98.606	98.611	98.611		98.955		98.958	98.611		
GeneID:5666544			100.0		96.705	97.212	97.212		95.184		96.705	96.958		
GeneID:5666397			99.162		99.348	99.162	98.976		95.717		98.79	99.255		
GeneID:5666357			99.01		100.0	100.0	100.0		96.7		99.34	99.34		
GeneID:5666421			89.109		99.67	99.67	100.0		88.449		99.67	99.67		
GeneID:5666460			97.959		100.0	100.0	100.0		93.537		99.66	99.66		
GeneID:5666543			98.333		98.889	98.889	98.889				99.444	99.444		
GeneID:5666465			96.893		86.992	86.992	87.263		94.068		87.263	86.992		
GeneID:5666439			93.122		93.651	93.651	96.032		94.974		95.767	96.032		
GeneID:5666463			97.835		98.374	97.835	98.701		93.939		98.701	98.701		
GeneID:5666462			96.8				94.933		94.933		94.667	95.2		
GeneID:5666541			99.561				88.889		89.175		88.889	88.66		
GeneID:5666548			100.0						98.413			98.413		
GeneID:5666411			99.284				95.385		97.436		92.821	97.692		
GeneID:5666364			100.0				97.122		96.797		94.781	95.73		
GeneID:5666444			99.841				99.524				97.619			
GeneID:5666400			100.0		95.885	95.885	96.708		96.708		97.119			
GeneID:5666405			100.0		90.78	90.78	99.291		95.745		95.035	92.199		
GeneID:5666432			100.0				98.974				95.897			
GeneID:5666424			100.0		97.508	97.508	96.573		96.573		96.729	96.384		
GeneID:5666467			100.0		93.287	93.287	93.995		89.095		96.847	95.15		
GeneID:5666458			100.0		99.769	99.769	96.528		97.987		97.685	96.759		
GeneID:5666450			100.0		98.0	98.0	97.333		98.333		97.333	97.667		
GeneID:5666362			99.313		98.625	98.625			98.889					
GeneID:5666417			93.897		96.914	96.914	95.988		94.753		95.37	94.444		
GeneID:5666382			97.163		97.872	97.872	100.0		100.0		93.617	100.0		
GeneID:5666361			98.639		95.563	95.563			96.259	74.653	96.246		76.923	
GeneID:5666442			98.519		96.618	96.618	94.686		97.101		97.101	97.101		
GeneID:5666422							99.177				96.694	99.177		
GeneID:5666476			98.374				97.561		99.187			97.967		
GeneID:5666477			97.854		96.035	96.035	95.154		96.035			94.714		
GeneID:5666414			96.117		95.631	95.631	95.169		98.058		94.686	94.686		
GeneID:5666406			96.386		97.101	97.101	91.791				96.386	91.975		
GeneID:5666448														
GeneID:5666459			96.296		97.98	97.98	96.575		97.306		92.593	93.493		
GeneID:5666355														
GeneID:5666549					98.38	98.38	97.222		96.991					
GeneID:5666454			98.575		100.0	100.0								
GeneID:5666552			98.396		93.583	93.583	95.54		94.624		93.583			
GeneID:5666353			100.0		97.156	97.156	97.63		100.0		97.63	96.19		
GeneID:5666479			98.958		98.958	98.958	98.958		98.165		99.479	98.438		
GeneID:5666351			93.611		97.778	97.778	97.778		97.642		96.667	94.444		
GeneID:5666430									99.02					
GeneID:5666378												96.471		91.373
GeneID:5666542	85.338			86.517			94.007		94.007	83.083	91.386			86.142
GeneID:5666425									93.452					
GeneID:5666390	78.302	77.358	90.909	79.245				78.302	92.614					79.245
GeneID:5666372			97.701						94.737		95.402			
GeneID:5666443	84.375	87.054	91.964	84.889				85.333	79.911			79.464		82.589
GeneID:5666441			99.353											
GeneID:5666446													69.0	
GeneID:5666468			98.742						95.597			98.113		
GeneID:5666470			99.167						92.917	75.904				
GeneID:5666474			94.309											
GeneID:5666480			93.966		93.678	93.678	89.655		92.96		90.517	90.129		
GeneID:5666464			100.0		90.8	90.8			86.0					
GeneID:5666407			96.923		98.889	98.889			97.688					
GeneID:5666440														
GeneID:5666427					96.053	96.053			97.807			100.0		
GeneID:5666435									99.257			98.168		
GeneID:5666416	92.953		92.763	91.447	98.131	98.131	97.987		95.882		98.322	95.639		91.447
GeneID:5666426			94.551		98.718	98.718	98.077		98.718		97.756	99.038		
GeneID:5666438														
GeneID:5666429			98.366						95.425		95.385			
GeneID:5666471			99.479		96.354	96.354	97.396		96.354		97.396	98.438		
GeneID:5666447			99.111		94.667	94.667	99.111		95.111		99.556	98.222		
GeneID:5666451			100.0		95.0	95.417	95.0		96.25		97.083	97.5		
GeneID:5666469			96.465		93.939	93.939	97.98		91.414		97.98	95.96		
GeneID:5666461			98.035		95.736	95.736	98.062		93.411		98.45	96.124		
GeneID:5666457			96.787		96.386	96.386	97.189		95.181		97.189	97.189		
GeneID:5666350			100.0		94.787	94.787	99.742		96.209		99.81	99.81		
GeneID:5666379			99.237		99.237	99.237	99.237		95.844		99.237	99.746		
GeneID:5666371			99.167		99.722	100.0	99.167		98.319		99.167	100.0		
GeneID:5666412			99.415		98.83	98.83			98.246		98.246	100.0		
GeneID:5666376			98.158		95.212	95.212	99.263		95.764		86.556	100.0		
GeneID:5666514			97.204		93.319	93.534	95.812		95.259		94.828	95.699		
GeneID:5666539					97.26	97.26			97.26					
GeneID:5666369			98.361		97.541	98.087	98.634		98.361		98.907	98.634		
GeneID:5666491			93.296		100.0	100.0	100.0		92.179		100.0	93.889		
GeneID:5666485			96.339		96.339	96.532	96.532		94.798		98.459	96.724		
GeneID:5666502			91.966		91.332	91.332	99.578		90.698		97.257	91.966		
GeneID:5666499			98.023		97.458	97.458	99.435		97.316		96.893	97.599		
GeneID:5666551			95.238		95.238	95.238	99.32		97.024		95.465	96.145		
GeneID:5666356			98.413		100.0	100.0	100.0		97.354		99.471	98.413		
GeneID:5666504			97.619		98.918	98.918	99.351		98.268		97.186	97.835		
GeneID:5666511			100.0		88.136	88.136	94.915		87.006		90.395	100.0		
GeneID:5666508			86.364		94.444	94.444	96.465		97.98		98.99	99.495		
GeneID:5666510			97.717				93.151		95.205		99.087	98.174		
GeneID:5666554	65.812	65.621	98.516		95.007	95.007	97.462		97.301		98.92	98.381		
GeneID:5666509							98.958		99.167		98.542	98.75		
GeneID:5666507			98.907		97.619	97.619	97.619		99.206		97.222	98.81		
GeneID:5666466			99.816		96.501	96.501	94.659		96.501		98.527	99.816		
GeneID:5666545				67.577	79.552	79.552	79.552	69.038	79.552		79.552	78.992	68.942	67.308
GeneID:5666503			100.0		97.436	97.436	96.581		94.017			84.404		
GeneID:5666567			100.0		92.958	92.958	92.958				100.0			
GeneID:5666498									96.296					
GeneID:5666558			100.0		81.446	81.446	81.205		81.205		99.517	79.137		
GeneID:5666345			100.0		98.698	98.698	98.413		97.884		97.917			
GeneID:5666565			99.858				95.522					95.935		
GeneID:5666506			100.0		97.268	97.268			97.268		98.907			
GeneID:5666521					91.228	91.228	94.253		95.977		95.977	94.828		
GeneID:5666519			97.681		97.971	97.391	99.324		97.681		98.551	99.13		
GeneID:5666518			99.177		95.686	96.471	97.255		96.471		96.471	98.765		
GeneID:5666520			98.824		97.255	99.216	96.863		99.216		99.216	99.608		
GeneID:5666517			95.536		99.107	94.643	95.536		94.643		95.238	95.238		
GeneID:5666343			95.434		97.333	97.945	95.662		95.662		97.717	100.0		
GeneID:5666515			89.394		87.879	89.827	88.312		90.043		89.394	87.879		
GeneID:5666530												81.176		
GeneID:5666533			92.523		91.589	89.72	88.785		90.654		91.589	93.204		
GeneID:5666531			99.769		93.287	91.204	97.454		99.306		96.759	96.991		
GeneID:5666532			99.567		94.595	97.835	95.175		98.684		97.835	90.789		
GeneID:5666535			100.0		98.611	99.306	95.833		98.38		95.833	95.602		
GeneID:5666536			99.346		98.693	99.346	82.353				81.699	78.431		
GeneID:5666527	68.639	68.639	97.89	68.639	96.519	98.207	99.262	68.639	98.101	70.258	95.675	98.101	70.643	69.822
GeneID:5666513									97.368					
GeneID:5666525	87.402	87.139		87.927		99.483	99.483	86.614		86.877		99.483		87.402
GeneID:5666529	85.0	85.714		88.571		99.333	100.0	85.714		85.714		100.0	87.619	87.619
GeneID:5666494	89.635	89.753		89.753		99.534	99.301	89.976		89.86		100.0	89.51	89.87
GeneID:5666512			99.593		98.577	98.462	99.085				99.085	99.39		
GeneID:5666366			99.901		97.503	95.782	96.223				95.87	95.958		
GeneID:5666568			100.0		99.588	99.588	99.177				99.588	99.588		
GeneID:5666566			98.502		98.502	98.502	100.0				98.502	99.625		
GeneID:5666524			99.346		99.346	99.346	99.673				99.346	99.673		
GeneID:5666526			99.134		99.134	99.134	99.134				99.134	99.134		
GeneID:5666528	78.873	78.404	99.111	77.934	99.111	99.111	100.0	77.465		77.934	99.111	100.0	77.934	77.934
GeneID:5666538	92.026		98.075	92.026	97.984	97.984	98.443				97.984	98.443		92.683
GeneID:5666537							100.0				100.0	100.0		
GeneID:5666489							100.0					100.0		
GeneID:5666516							100.0				97.647	100.0		
GeneID:5666523							97.297				97.297	98.649		
GeneID:5666546														
GeneID:5666403							100.0				100.0	100.0		
GeneID:5666547							100.0				98.667	100.0		
GeneID:5666455							100.0							
GeneID:5666534			98.23		99.41	99.41	98.525		99.115		99.41	98.23		
GeneID:5666352	82.405	82.405	100.0	82.405	100.0	100.0	100.0	82.405	100.0	82.111	100.0	100.0	82.405	82.405
GeneID:5666374							99.234	73.881	99.617	74.627				
