gene	Ben	Bill	Bob	Bop	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
SEED:fig|6666666.336390.peg.163			97.436		100.0	99.145		93.162			97.436	83.486		
SEED:fig|6666666.336390.peg.164			92.958		100.0	100.0				92.958	92.958			
SEED:fig|6666666.336390.peg.165			81.446		100.0	98.309		97.826		81.446	81.446	92.029		
SEED:fig|6666666.336390.peg.166			98.698		100.0	98.148		97.619		97.656	98.698			
SEED:fig|6666666.336390.peg.167					100.0			100.0		98.83				
SEED:fig|6666666.336390.peg.168			97.268		100.0			100.0		98.684	97.268			
SEED:fig|6666666.336390.peg.169					100.0	99.123		97.368		97.368	91.228	99.123		
SEED:fig|6666666.336390.peg.170			98.551		98.841	99.346		99.13		98.841	97.971	98.841		
SEED:fig|6666666.336390.peg.171			96.296		97.647	96.078		97.647		97.647	95.686	96.708		
SEED:fig|6666666.336390.peg.172			96.863		97.255	94.902		97.255		97.255	97.255	97.647		
SEED:fig|6666666.336390.peg.173			94.94		94.94	94.94		94.048		95.536	99.107	94.345		
SEED:fig|6666666.336390.peg.174			93.778		97.333	93.778		94.222		96.889	97.333	97.333		
SEED:fig|6666666.336390.peg.175			94.318		98.315	94.886		93.75		98.315	97.191	97.191		
SEED:fig|6666666.336390.peg.176			93.939		95.238	96.753		94.156		95.238	87.879	94.589		
SEED:fig|6666666.336390.peg.177			94.737		92.982	93.421		93.86		94.737	91.589	93.237		
SEED:fig|6666666.336390.peg.178			93.519		88.426	93.287		93.981		93.75	93.287	92.593		
SEED:fig|6666666.336390.peg.179			94.273		93.392	95.133		94.69		94.273	94.595	91.593		
SEED:fig|6666666.336390.peg.180			98.611		97.917	95.602		97.454		95.602	98.611	95.37		
SEED:fig|6666666.336390.peg.181			99.346		99.346	82.353				81.699	98.693	79.739		
SEED:fig|6666666.336390.peg.182	67.85	67.85	97.468	67.85	96.624	96.414	67.85	97.363	70.258	94.093	96.519	96.519	70.843	68.836
SEED:fig|6666666.336390.peg.183			98.577		98.12	98.272				98.679	98.577	98.374		
SEED:fig|6666666.336390.peg.184			97.222		97.394	97.397				97.133	97.503	97.567		
SEED:fig|6666666.336390.peg.185					99.422	99.422				99.615		99.615		
SEED:fig|6666666.336390.peg.186			97.619		100.0	98.139				99.831	98.126	98.139		
SEED:fig|6666666.336390.peg.187			99.588		100.0	99.588				100.0	99.588	100.0		
SEED:fig|6666666.336390.peg.188			100.0		100.0	98.502				100.0	98.502	98.127		
SEED:fig|6666666.336390.peg.189			100.0		100.0	99.673				100.0	99.346	99.673		
SEED:fig|6666666.336390.peg.190			100.0		100.0	98.268				100.0	99.134	98.268		
SEED:fig|6666666.336390.peg.191	79.245	78.774	100.0	78.302	100.0	99.111	77.83		78.302	100.0	99.111	99.111	78.302	78.302
SEED:fig|6666666.336390.peg.192			100.0	77.778						100.0				
SEED:fig|6666666.336390.peg.193	91.667		98.26	91.667	100.0	98.808				100.0	97.984	98.808		92.94
SEED:fig|6666666.336390.peg.194			98.82		100.0	99.115		99.705		100.0	99.41	98.82		
SEED:fig|6666666.336390.peg.195	82.405	82.405	100.0	82.405	100.0	100.0	82.405	100.0	82.111	100.0	100.0	100.0	82.405	82.405
SEED:fig|6666666.336390.peg.196			99.259		100.0	99.259		99.259		99.259	99.259	99.259		
SEED:fig|6666666.336390.peg.197			98.368		100.0	98.718		97.902		98.834	98.582	98.601		
SEED:fig|6666666.336390.peg.198	76.493	76.493	98.872	76.866	100.0	97.5	76.493	98.519	77.509	98.0	99.624	97.5	76.493	76.493
SEED:fig|6666666.336390.peg.199														
SEED:fig|6666666.336390.peg.200	79.33	79.888	97.207	79.888		100.0	80.447	98.324	80.447	97.207	98.324	98.324	78.771	79.33
SEED:fig|6666666.336390.peg.201														
SEED:fig|6666666.336390.peg.202														
SEED:fig|6666666.336390.peg.203	77.495	77.495	96.646	77.919		96.383	77.707	97.904	80.0	97.065	97.66	97.447	78.132	77.987
SEED:fig|6666666.336390.peg.1			95.833		100.0	95.833		96.667		95.833	97.5	98.639		
SEED:fig|6666666.336390.peg.2					100.0							99.784		
SEED:fig|6666666.336390.peg.3	75.439	74.517	99.313	75.395	97.595	99.313	74.868	98.625	75.174	98.969	99.656	99.485	75.347	75.395
SEED:fig|6666666.336390.peg.4			98.479		96.578	99.71		96.705		99.873	98.859	98.226		
SEED:fig|6666666.336390.peg.5	67.197	67.396	98.894	66.998	98.326	99.024	67.396	97.211	67.197	98.262	99.303	99.368	70.623	67.197
SEED:fig|6666666.336390.peg.6			97.436		97.436	96.703		96.703		97.07	97.436	97.436		
SEED:fig|6666666.336390.peg.7	86.68	86.68	93.908	86.293	98.276	93.727	86.68	94.023	80.891	99.195	93.793	93.908	82.931	86.68
SEED:fig|6666666.336390.peg.8								98.462						
SEED:fig|6666666.336390.peg.9			97.653		97.496	97.496		99.762		99.687	97.653	97.496		
SEED:fig|6666666.336390.peg.10	68.639	68.343	98.261	68.639	97.971	97.971	68.343	99.71	68.343	99.71	97.971	97.681	68.343	68.639
SEED:fig|6666666.336390.peg.11	79.568	79.122	95.041	79.424	95.417	95.169	79.194	99.187	79.568	99.071	95.18	95.18	79.353	79.568
SEED:fig|6666666.336390.peg.12	74.644	74.644	99.442	74.644	99.621	99.495	74.644	99.369	75.291	99.116	99.242	99.495	75.162	74.644
SEED:fig|6666666.336390.peg.13			93.892		96.584	95.652		94.654		92.638	93.892	95.652		
SEED:fig|6666666.336390.peg.14	81.492	81.492	98.423	81.419	97.849	97.468	81.346	97.634	81.2	98.351	98.351	97.849	81.081	81.419
SEED:fig|6666666.336390.peg.15			98.864		99.242	92.045		99.346		98.864	100.0	99.242		
SEED:fig|6666666.336390.peg.16	76.553	76.553	98.889	75.778	97.0	99.0	76.553	98.222	75.667	98.222	99.444	97.0	76.788	76.553
SEED:fig|6666666.336390.peg.17	72.255	72.071	99.08	71.834	98.391	99.425	72.189	98.851	71.716	99.08	99.195	98.391	72.308	71.834
SEED:fig|6666666.336390.peg.18	72.54	72.54	99.519	72.54	98.397	98.917	72.54	98.718	73.016	99.519	99.519	98.397	73.175	73.016
SEED:fig|6666666.336390.peg.19	74.144	74.38	99.409	74.144	99.409	99.645	74.498	99.173	74.616	99.645	99.527	99.527	74.616	74.144
SEED:fig|6666666.336390.peg.20	78.512	78.099	100.0	78.512	100.0		78.099	100.0	77.273	100.0	100.0	100.0	78.099	78.512
SEED:fig|6666666.336390.peg.21	87.244	87.244	91.754	87.185	100.0	91.754	86.834	91.871	87.888	91.754	91.754	91.871	87.946	87.185
SEED:fig|6666666.336390.peg.22	88.076	87.805	99.475	87.805	100.0	98.728	88.347	99.475	87.062	99.237	99.475	98.95	87.805	87.805
SEED:fig|6666666.336390.peg.23		93.605			100.0	97.471		98.701		99.458				
SEED:fig|6666666.336390.peg.24			95.918		100.0	99.32				99.32	95.918	99.32		
SEED:fig|6666666.336390.peg.25	73.176	73.176	98.523	73.176	100.0	98.734	73.647	98.101	73.882	99.156	98.523	98.312	74.118	73.176
SEED:fig|6666666.336390.peg.26	77.246	76.4	99.394	76.4	100.0	99.192	77.246	99.798	76.829	99.394	99.192	99.394	77.046	77.246
SEED:fig|6666666.336390.peg.27	69.37	69.397	96.937	69.37	100.0	98.596	69.479	98.961	71.017	97.84	96.883	98.66	69.773	69.37
SEED:fig|6666666.336390.peg.28	69.824	69.521	98.65	70.076	100.0	98.323	69.944	98.023	70.415	98.211	98.336	98.211	70.262	69.824
SEED:fig|6666666.336390.peg.29	72.337	71.396	96.07	71.94	97.642	96.856	71.871	96.636	71.521	96.874	95.961	96.782	71.739	72.365
SEED:fig|6666666.336390.peg.30	64.12	64.134	95.398	64.12	99.088	95.978	63.727	98.176	64.482	96.925	95.643	96.02	63.822	63.654
SEED:fig|6666666.336390.peg.31			99.174		100.0	97.934		97.383			97.796	97.658		
SEED:fig|6666666.336390.peg.32			100.0		100.0	97.959		99.32	74.627	98.639	100.0	97.959	73.913	
SEED:fig|6666666.336390.peg.33	75.18	75.613	99.275	75.18	100.0	98.356	75.325	98.403	75.613	98.551	99.855	98.694	75.074	75.469
SEED:fig|6666666.336390.peg.34	74.164	75.836	99.628	74.164	100.0	99.814	75.836	99.628	76.394	97.393	98.696	99.814	74.349	74.721
SEED:fig|6666666.336390.peg.35	76.912	77.761	99.716	76.912	100.0	99.007	77.059	99.007	76.583	97.872	98.723	99.007	75.994	78.056
SEED:fig|6666666.336390.peg.36	76.708	76.131	99.62	76.708	100.0	97.699	76.42	97.411	77.444	97.411	97.721	97.603	78.509	76.708
SEED:fig|6666666.336390.peg.37	72.727	70.364	99.001	72.334	99.5	74.52	72.471	74.465	72.329	74.52	99.286	74.776	72.108	70.191
SEED:fig|6666666.336390.peg.38	75.763	75.0	99.817	75.954	100.0	97.802	75.573	97.917	75.573	98.168	99.451	97.802	74.809	75.954
SEED:fig|6666666.336390.peg.39	81.151	81.494	98.442	81.164	99.625	98.905	81.164	98.528	81.359	99.163	98.529	99.048	80.818	81.122
SEED:fig|6666666.336390.peg.40	90.239		90.637	90.135	100.0	95.639	90.135		92.739	100.0		95.639		90.447
SEED:fig|6666666.336390.peg.41			100.0		96.135	99.517		99.034		100.0	100.0	99.517		
SEED:fig|6666666.336390.peg.42	73.857	74.124	99.436	74.324	99.697	98.921	73.744	95.544	74.924	98.789	99.436	98.94	73.913	73.857
SEED:fig|6666666.336390.peg.43	66.86	67.453	99.202	66.822	100.0	99.263	66.628	98.772	66.551	98.956	98.956	98.956	66.667	66.86
SEED:fig|6666666.336390.peg.44	77.154	76.929	99.593	76.854	100.0	99.117	76.704	98.778	81.678	99.185	99.253	99.253	77.228	77.528
SEED:fig|6666666.336390.peg.45	72.673	72.59	99.337	72.673	100.0	99.053	72.673	98.864	72.5	98.201	98.674	98.201	72.563	72.864
SEED:fig|6666666.336390.peg.46			98.574		100.0	99.313		98.362		98.891	98.362	99.155		
SEED:fig|6666666.336390.peg.47	66.553	66.323	98.799	66.553	100.0	98.048	66.553	99.099	65.952	96.246	99.249	98.198	65.136	65.299
SEED:fig|6666666.336390.peg.48	69.289	69.828	98.584	69.405	100.0	98.614	69.297	97.734	68.811	99.056	99.15	99.056	69.297	69.181
SEED:fig|6666666.336390.peg.49			87.304		100.0	97.953		98.262		98.736	87.461	98.578		
SEED:fig|6666666.336390.peg.50	71.096	70.376	97.74	70.93	100.0	98.644	70.93	97.851		97.74	97.966	97.627	70.248	68.955
SEED:fig|6666666.336390.peg.51			98.958		100.0	98.701		99.134		100.0	98.268	100.0		
SEED:fig|6666666.336390.peg.52			99.029		100.0	98.706		99.676		99.029	98.706	99.029		
SEED:fig|6666666.336390.peg.53			99.679		100.0	99.634		99.038		100.0	99.359	100.0		
SEED:fig|6666666.336390.peg.54	73.043	73.913	95.968	73.043	100.0	97.849	73.043	96.505	73.478	97.849	95.968	97.849	73.913	73.913
SEED:fig|6666666.336390.peg.55	70.858	70.326	99.701	70.475	100.0	99.253	70.475	99.402	70.919	99.103	99.253	99.103	70.772	71.302
SEED:fig|6666666.336390.peg.56			99.667		100.0	99.333		99.333		99.0	99.668	99.333		
SEED:fig|6666666.336390.peg.57			97.708		100.0	98.333		98.333		98.333	98.75	98.333		
SEED:fig|6666666.336390.peg.58	74.316	74.316	98.365	74.316	100.0	97.717	74.837	98.365	74.576	97.987	98.491	97.987	74.316	74.282
SEED:fig|6666666.336390.peg.59	76.05	77.311	99.177	76.05	100.0	99.213	76.471	98.765	74.79	99.177	98.354	99.177	74.37	75.21
SEED:fig|6666666.336390.peg.60	69.674	69.26	99.126	69.716	100.0	99.048	70.639	98.419	69.701	99.584	99.411	98.668	69.636	69.221
SEED:fig|6666666.336390.peg.61			99.849		100.0			100.0		100.0				
SEED:fig|6666666.336390.peg.62	76.168	76.168	98.667	75.935	100.0	99.429	76.168	99.238	75.467	99.81	99.619	99.583	74.359	75.935
SEED:fig|6666666.336390.peg.63	76.633	76.382	99.259	76.633	100.0	99.632	76.633	99.448	76.884	99.448	99.632	99.448	76.884	77.494
SEED:fig|6666666.336390.peg.64	64.895	66.5	98.45	66.5	100.0	98.217		98.295	66.213	98.295	97.907	98.217	66.089	66.125
SEED:fig|6666666.336390.peg.65	76.299	76.491	98.958	76.461	99.625	98.712	76.299	97.676	77.111	99.437	98.558	99.625	75.731	75.63
SEED:fig|6666666.336390.peg.66	73.004	73.764	98.966	73.764	98.45	98.708	73.004	98.45	73.384	98.45	98.966	98.45	75.556	73.764
SEED:fig|6666666.336390.peg.67	71.356	71.356	98.049	71.525	99.512	97.561	71.525	97.398	71.525	97.724	97.724	97.724	71.38	71.864
SEED:fig|6666666.336390.peg.68	86.131	85.766	99.275	85.766	100.0	98.913	85.766	99.412	85.766	99.275	99.275	99.275	85.766	85.766
SEED:fig|6666666.336390.peg.69			99.065		99.896	99.449		99.169		99.481	98.858	99.481		
SEED:fig|6666666.336390.peg.70	74.163	73.034	98.874	74.215	100.0	98.876	74.94	100.0	73.077	99.099	99.55	99.099	72.727	72.36
SEED:fig|6666666.336390.peg.71			94.966		99.327	95.638		99.663		100.0	95.638	100.0		
SEED:fig|6666666.336390.peg.72	64.74	64.399	99.057	64.451	99.266	96.017	64.74	98.847	66.0	99.476	99.161	99.476	64.889	64.74
SEED:fig|6666666.336390.peg.73	75.354	75.354	98.832	76.566	99.688	98.832	75.635	98.832	74.798	98.988	99.533	99.143	75.355	75.761
SEED:fig|6666666.336390.peg.74			99.2		99.733	99.2		98.667		99.733	99.2	99.733		
SEED:fig|6666666.336390.peg.75	65.343		98.873		99.678	98.712		98.712		99.839	99.517	99.034		
SEED:fig|6666666.336390.peg.76	72.316	72.316	99.325	71.893	99.73	99.325	72.034	98.785	71.751	99.19	99.865	99.595	72.175	72.316
SEED:fig|6666666.336390.peg.77	69.463	71.0	98.422	70.134	98.422	99.014	70.134	98.619	71.044	98.422	98.619	98.619	70.134	69.128
SEED:fig|6666666.336390.peg.78			96.296		99.715	95.442		98.006		96.581	96.581	96.866		
SEED:fig|6666666.336390.peg.79	65.487	65.708	97.436		99.068	97.552	65.909	97.552		97.319	97.552	97.552		65.487
SEED:fig|6666666.336390.peg.80			99.054		100.0	97.163		95.981		96.454	96.572	96.099		
SEED:fig|6666666.336390.peg.81			94.523		100.0	93.677		94.277		93.063	95.335	93.738		
SEED:fig|6666666.336390.peg.82	75.68	75.831	98.986	75.68	100.0	99.275	75.68	98.261	75.0	99.855	99.42	99.275	76.389	76.133
SEED:fig|6666666.336390.peg.83	70.833	71.354	97.863	70.801	100.0	98.077	71.094	98.718	69.792	98.077	98.077	97.65	70.573	71.615
SEED:fig|6666666.336390.peg.84			96.15		96.667	96.535		97.149		96.491	96.228	96.579		
SEED:fig|6666666.336390.peg.85			93.491		93.491	93.688		93.886		93.491	93.491	93.688		
SEED:fig|6666666.336390.peg.86			80.347		80.347	80.347		80.347		98.246	80.347	80.347		
SEED:fig|6666666.336390.peg.87			97.436		97.07	97.802		97.07		97.07	97.07	97.07		
SEED:fig|6666666.336390.peg.88			98.413		98.016	98.413		98.585		98.016	98.413	98.016		
SEED:fig|6666666.336390.peg.89			98.606		99.303	99.303		97.569		98.258	98.606	99.303		
SEED:fig|6666666.336390.peg.90			96.705		96.958	96.958		97.212		97.212	96.705	97.212		
SEED:fig|6666666.336390.peg.91			99.069		98.696	98.51		95.81		98.324	99.348	98.79		
SEED:fig|6666666.336390.peg.92			99.01		100.0	100.0		96.7		99.34	100.0	99.34		
SEED:fig|6666666.336390.peg.93			88.779		100.0	99.67		88.779		99.34	99.67	99.34		
SEED:fig|6666666.336390.peg.94			97.959		100.0	100.0		93.537		99.66	100.0	99.66		
SEED:fig|6666666.336390.peg.95			97.222		100.0	100.0				99.444	98.889	99.444		
SEED:fig|6666666.336390.peg.96			85.908		100.0	99.727		89.344		99.727	86.721	100.0		
SEED:fig|6666666.336390.peg.97			99.471		100.0	97.09		96.296		96.825	93.651	97.09		
SEED:fig|6666666.336390.peg.98			99.187		100.0	97.561		94.309		97.561	98.374	97.561		
SEED:fig|6666666.336390.peg.99			100.0		100.0	98.165		97.248	82.716	98.165	98.165	98.165		
SEED:fig|6666666.336390.peg.100			95.885		100.0	92.593		97.531		97.119	95.885			
SEED:fig|6666666.336390.peg.101			90.78		100.0	91.489		92.908		92.199	90.78	98.582		
SEED:fig|6666666.336390.peg.102					100.0			99.399						
SEED:fig|6666666.336390.peg.103			97.508		100.0	98.754		98.131		98.91	97.508	98.27		
SEED:fig|6666666.336390.peg.104			93.287		100.0	93.256		91.874		95.602	93.287	94.884		
SEED:fig|6666666.336390.peg.105			99.769		100.0	96.296		98.611		97.454	99.769	96.528		
SEED:fig|6666666.336390.peg.106			98.0		100.0	95.333		96.333		95.333	98.0	96.333		
SEED:fig|6666666.336390.peg.107			97.938		100.0			97.407			98.625			
SEED:fig|6666666.336390.peg.108			92.958		100.0	93.519		93.519		92.901	96.914	92.593		
SEED:fig|6666666.336390.peg.109			95.035		100.0	97.872		97.872		92.908	97.872	97.872		
SEED:fig|6666666.336390.peg.110			96.246		100.0			96.587	74.913	97.279	95.563		78.049	
