gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	NC_009904	AP018715	TEX	V12_RAST
PHIEF17H_0580	71.302	70.772	99.402	70.623	99.103	99.103	99.851	70.623	99.103	71.482	98.954	100.0	71.217	71.746
PHIEF17H_0590			98.667		99.0	99.0	98.333		99.0		98.693	99.667		
PHIEF17H_0600			98.125		98.333	98.333	100.0		98.75		99.167	100.0		
PHIEF17H_0610	74.576	74.576	99.119	74.576	97.987	97.987	98.478	75.098	99.371	74.967	98.994	100.0	74.576	74.576
PHIEF17H_0620	76.873	77.85	98.354	76.873	99.177	99.177	98.425	77.199	99.038	75.896	98.718	100.0	75.244	76.221
PHIEF17H_0630	69.716	69.302	99.126	69.758	99.584	99.584	99.098	70.639	98.335	69.834	99.327	98.835	69.72	69.472
PHIEF17H_0640			99.849		100.0	100.0			100.0					
PHIEF17H_0650	76.168	76.168	98.857	75.935	99.81	99.81	99.619	76.168	99.429	75.467	99.429	99.792	74.359	75.935
PHIEF17H_0660	76.884	76.633	99.444	76.884	99.448	99.448	99.816	76.884	99.632	77.136	99.816	99.632	77.136	77.238
PHIEF17H_0670	64.948	65.323	98.45	65.403	98.295	98.295	98.992	64.516	98.295	64.607	98.837	99.457	64.64	66.208
PHIEF17H_0680	77.154	76.966	99.062	77.154	99.437	99.815	99.259	77.154	96.435	77.963	98.499	99.815	77.154	76.966
PHIEF17H_0690	75.988	76.48	97.997	76.281	98.712	96.996	97.997	75.988	99.142	77.12	97.997	100.0	75.11	75.22
PHIEF17H_0700	75.33	76.211	99.483	76.211	98.45	98.45	99.225	75.33	98.966	75.771	98.966	100.0	76.0	76.211
PHIEF17H_0710	71.574	71.574	98.862	71.743	97.724	97.886	98.537	71.743	98.699	71.912	99.024	100.0	71.597	72.081
PHIEF17H_0720	85.766	85.401	100.0	85.401	99.275	99.275	99.638	85.401	100.0	85.401	100.0	100.0	85.401	85.401
PHIEF17H_0730			99.169		99.481	99.585	99.265		99.273		99.169	100.0		
PHIEF17H_0740	73.445	72.422	97.973	73.543	99.099	99.099	96.629	74.224	99.099	72.837	98.649	100.0	72.076	71.685
PHIEF17H_0750			94.966		100.0	99.327	95.638		99.663		95.638	100.0		
PHIEF17H_0760	64.595	64.255	99.161	64.306	99.476	99.161	96.331	64.595	98.952	65.778	99.476	100.0	64.667	64.595
PHIEF17H_0770	74.747	72.136	99.065	73.133	98.988	98.832	98.91	72.231	99.065	74.19	99.143	99.533	74.949	72.439
PHIEF17H_0780			99.467		99.733	100.0	99.467		98.933		99.467	99.467		
PHIEF17H_0790			99.034		99.839	99.839	98.551		98.551		99.678	99.195		
PHIEF17H_0800	72.175	72.175	99.055	72.034	99.19	98.92	98.785	72.175	98.516	71.893	99.055	98.785	72.316	72.458
PHIEF17H_0810	69.463	71.0	98.817	70.134	98.422	98.817	99.408	70.134	99.014	71.044	99.803	99.803	70.134	69.128
PHIEF17H_0820			98.575		96.581	96.866	97.151		96.296		99.43	99.715		
PHIEF17H_0830	64.823	66.372	98.485	64.615	97.319	97.786	97.669	66.591	98.135		97.436	97.902		65.708
PHIEF17H_0840			96.927		96.454	96.454	96.809		96.336		98.582	98.582		
PHIEF17H_0850			91.877		93.063	93.063	97.79		91.877		95.273	96.133		
PHIEF17H_0860	75.529	75.68	98.841	75.529	99.855	99.855	99.13	75.529	98.116	74.856	99.275	99.13	76.235	75.982
PHIEF17H_0870	70.573	71.094	98.932	70.543	98.077	98.077	99.573	70.833	98.932	69.531	98.291	99.573	70.313	71.354
PHIEF17H_0880			98.596		96.491	97.625	98.901		98.813		98.64	99.342		
PHIEF17H_0890							90.338		90.338		94.686	90.821		
PHIEF17H_0900			98.817		93.491	96.45	96.647		96.252		98.422	96.647		
PHIEF17H_0910			82.313		98.246	82.313	82.313		82.313		82.313	82.313		
PHIEF17H_0920			97.436		97.07	97.802	98.535		97.802		97.802	97.802		
PHIEF17H_0930			99.603		98.016	99.206	99.603		99.603		99.603	99.206		
PHIEF17H_0940			98.958		98.258	98.958	98.958		97.909		98.958	98.958		
PHIEF17H_0950			96.705		97.212	99.24	99.24		97.465		96.705	99.747		
PHIEF17H_0960			99.069		98.324	99.069	98.883		95.996		98.79	99.348		
PHIEF17H_0970			99.01		99.34	99.34	99.34		97.36		99.34	100.0		
PHIEF17H_0980			89.109		99.34	99.34	99.67		88.779		99.67	100.0		
PHIEF17H_0990			97.619		99.66	99.66	99.66		93.197		99.66	100.0		
PHIEF17H_1000			97.778		99.444	99.444	99.444				99.444	100.0		
PHIEF17H_1010			86.45		99.727	99.727	100.0		89.891		87.263	99.727		
PHIEF17H_1020			96.296		96.825	96.825	99.735		93.651		95.767	99.735		
PHIEF17H_1030			97.403		97.561	97.403	100.0		93.506		98.701	100.0		
PHIEF17H_1040			92.0				99.733		98.667		94.667	98.933		
PHIEF17H_1050			89.418				99.612		100.0		88.889	97.059		
PHIEF17H_1060							97.475		88.83		92.821	88.87		
PHIEF17H_1070			91.86				94.484		95.848		94.781	95.255		
PHIEF17H_1080			97.46				97.778				97.619			
PHIEF17H_1090			97.119		97.119	97.119	94.65		97.942		97.119			
PHIEF17H_1100			95.035		92.199	92.199	95.745		99.291		95.035	93.617		
PHIEF17H_1110			95.897				95.897				95.897			
PHIEF17H_1120			96.729		98.91	98.91	99.533		98.287		96.729	98.287		
PHIEF17H_1130			96.847		95.602	95.602	95.843		88.631		96.847	97.46		
PHIEF17H_1140			97.685		97.454	97.454	97.454		97.454		97.685	97.222		
PHIEF17H_1150			97.333		95.333	95.333	96.667		97.667		97.333	95.667		
PHIEF17H_1160			95.775		92.901	92.901	97.531		95.988		95.37	97.84		
PHIEF17H_1170														
PHIEF17H_1180			96.246		97.279	97.279			96.587	74.216	96.246		77.003	
PHIEF17H_1190			97.778		98.551	98.551	94.686		99.034		97.101	100.0		
PHIEF17H_1200							95.868				96.694	95.868		
PHIEF17H_1210			94.66		95.146	95.146	93.72		96.602		94.686	100.0		
PHIEF17H_1220			97.076		95.652	95.652	94.872				96.386	97.333		
PHIEF17H_1230			92.256		92.929	92.929	93.493		91.83		92.593	93.151		
PHIEF17H_1240					83.448	83.448			85.287					
PHIEF17H_1250					94.828	94.828	95.69		94.828		93.966			
PHIEF17H_1260			95.455		100.0	100.0	97.895		97.475		93.583			
PHIEF17H_1270			97.63		99.531	99.531	100.0		98.985		97.63	97.642		
PHIEF17H_1280					99.34	99.34	96.7					97.36		
PHIEF17H_1290			99.479		99.479	99.479	99.479		99.083		99.479	98.958		
PHIEF17H_1300			94.167		95.0	95.0	96.667		96.698		96.667	96.111		
PHIEF17H_1310			93.103						89.474		95.402			
PHIEF17H_1320					96.491	96.491	97.807							
PHIEF17H_1330			92.241		92.098	92.098	93.257		89.67		90.517	94.109		
PHIEF17H_1340							98.611					97.222		
PHIEF17H_1350	88.722			89.888			97.378		90.637	88.722	91.386			89.513
PHIEF17H_1360	91.489	93.617		94.326			97.163	92.381		92.908			91.489	91.489
PHIEF17H_1370				86.806			95.139			88.889		100.0	93.056	
PHIEF17H_1380	92.813		93.624	93.289	99.664	99.664	99.688		95.918		98.322	96.309		93.289
PHIEF17H_1390			95.513		97.756	97.756	97.756		98.397		97.756	97.436		
PHIEF17H_1400									98.649					
PHIEF17H_1410			97.436						96.41		95.385			
PHIEF17H_1420			97.917		96.875	96.875	97.917		95.833		97.396	97.917		
PHIEF17H_1430			99.556		95.111	95.111	99.556		95.556		99.556	98.667		
PHIEF17H_1440			97.083		97.222	97.619	97.222		98.601		97.083	99.603		
PHIEF17H_1450			77.487		78.906	78.906	100.0		94.737			97.9		
PHIEF17H_1460							96.226		95.652			96.855		
PHIEF17H_1470			95.455		94.949	94.949	98.99		92.424		97.98	95.96		
PHIEF17H_1480			98.256		96.512	96.512	99.225		94.961		98.45	97.674		
PHIEF17H_1490			98.795		95.181	95.181	100.0		95.181		97.189	100.0		
PHIEF17H_1500			99.81		94.55	94.55	100.0		95.972		99.81	99.619		
PHIEF17H_1510			98.473		98.473	98.473	100.0		95.065		99.237	98.982		
PHIEF17H_1520			98.889		98.889	99.167	100.0		98.039		99.167	99.167		
PHIEF17H_1530			98.83		99.415	99.415			98.83		98.246	98.246		
PHIEF17H_1540			85.451		89.871	89.871	87.293		89.687		86.556	86.556		
PHIEF17H_1550			95.474		96.344	96.129	96.597		97.419		94.828	97.845		
PHIEF17H_1560			96.391		96.815	96.815	97.028		96.815			99.151		
PHIEF17H_1570			97.814		97.541	97.541	98.087		97.814		98.907	98.087		
PHIEF17H_1580			93.296		100.0	100.0	100.0		92.179		100.0	93.889		
PHIEF17H_1590			96.724		96.724	96.917	96.917		94.798		98.459	96.724		
PHIEF17H_1600			92.178		92.389	92.389	97.257		90.909		97.257	92.178		
PHIEF17H_1610			98.588		99.435	99.435	97.458		99.011		96.893	98.164		
PHIEF17H_1620			97.959		99.773	99.773	95.692		99.104		95.465	97.959		
PHIEF17H_1630			97.884		99.471	99.471	99.471		96.825		99.471	97.884		
PHIEF17H_1640			96.97		97.403	97.403	96.97		96.32		97.186	97.186		
PHIEF17H_1650			90.395		95.48	95.48	90.96		93.22		90.395	90.395		
PHIEF17H_1660			86.364		94.444	94.444	96.465		96.97		98.99	99.495		
PHIEF17H_1670			98.174				92.694		94.749		99.087	98.186		
PHIEF17H_1680	65.67	65.478	98.516		95.007	95.007	97.462		97.571		98.92	98.92		
PHIEF17H_1690							99.167		98.542		98.542	98.958		
PHIEF17H_1700			97.268		99.603	99.603	99.603		98.016		97.222	97.619		
PHIEF17H_1710	65.462	65.462	97.059		97.222	97.222	94.281	65.06	97.222	64.386	98.527	97.222	64.386	65.392
PHIEF17H_1720					99.43	99.43	99.43	67.82	100.0		79.552	84.046	68.056	
PHIEF17H_1730			100.0		92.958	92.958	92.958				100.0			
PHIEF17H_1740			99.517		81.446	81.446	81.205		80.723		99.517	79.616		
PHIEF17H_1750			97.917		97.656	97.656	99.471		99.471		97.917			
PHIEF17H_1760					98.83	98.83			98.83					
PHIEF17H_1770			98.907		98.684	98.684			98.684		98.907			
PHIEF17H_1780					97.368	97.368	98.276		100.0		95.977	98.851		
PHIEF17H_1790			97.971		98.841	98.841	98.039		99.13		98.551	98.261		
PHIEF17H_1800			97.119		97.647	100.0	96.863		100.0		96.471	97.531		
PHIEF17H_1810			99.608		97.255	100.0	96.863		100.0		99.216	98.824		
PHIEF17H_1820			97.321		95.536	99.107	97.321		96.429		95.238	96.429		
PHIEF17H_1830			95.205		98.315	99.772	95.434		95.434		97.717	97.717		
PHIEF17H_1840			97.403		95.238	99.134	96.97		97.619		89.394	97.403		
PHIEF17H_1850			97.368		94.737	98.246	92.105		97.368		91.589	96.651		
PHIEF17H_1860			96.991		93.75	88.889	95.139		96.991		96.759	95.139		
PHIEF17H_1870			98.268		94.273	97.403	95.671		97.403		97.835	91.342		
PHIEF17H_1880			95.833		95.602	95.139	98.148		95.139		95.833	97.917		
PHIEF17H_1890			81.046		81.699	81.046	81.046				81.699	84.967		
PHIEF17H_1900	70.356	70.356	95.781	70.356	94.093	95.359	95.781	70.356	96.097	71.747	95.675	95.042	71.897	69.419
PHIEF17H_1910			98.882		98.679	99.316	99.593				99.085	99.695		
PHIEF17H_1920			97.409		97.15	99.483	100.0				97.409	99.187		
PHIEF17H_1930			97.897		97.133	99.221	99.131				95.87	99.048		
PHIEF17H_1940					99.615	99.807	99.807					99.615		
PHIEF17H_1950			97.449		99.831	99.831	97.97				97.956	97.97		
PHIEF17H_1960			99.588		100.0	100.0	99.588				99.588	100.0		
PHIEF17H_1970			100.0		100.0	100.0	98.502				98.502	98.127		
PHIEF17H_1980			100.0		100.0	100.0	99.673				99.346	99.673		
PHIEF17H_1990			100.0		100.0	100.0	98.268				99.134	98.268		
PHIEF17H_2000	79.245	78.774	100.0	78.302	100.0	100.0	99.111	77.83		78.302	99.111	99.111	78.302	78.302
PHIEF17H_2010			100.0	77.778	100.0									
PHIEF17H_t0010								95.833						95.833
PHIEF17H_2020	91.667		98.26	91.667	100.0	100.0	98.808				97.984	98.808		92.94
PHIEF17H_t0020							100.0				100.0	100.0		
PHIEF17H_t0030														
PHIEF17H_t0040							97.647				97.647	97.647		
PHIEF17H_t0050							100.0				97.297	98.684		
PHIEF17H_t0060							100.0				100.0	100.0		
PHIEF17H_t0070							98.667				98.667	98.684		
PHIEF17H_2030			98.82		100.0	100.0	99.115		99.705		99.41	98.82		
PHIEF17H_2040	82.405	82.405	100.0	82.405	100.0	100.0	100.0	82.405	100.0	82.111	100.0	100.0	82.405	82.405
