gene	Ben	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
SEED:fig|6666666.336388.peg.72	99.259		99.259				99.259		85.185				100.0	100.0
SEED:fig|6666666.336388.peg.73	99.037		99.278				99.096		96.992				99.037	99.759
SEED:fig|6666666.336388.peg.74	98.693		98.693				98.693		98.039				97.059	99.02
SEED:fig|6666666.336388.peg.75	100.0		99.074				100.0		97.685				98.611	100.0
SEED:fig|6666666.336388.peg.76	99.217		99.348				98.891						81.448	98.695
SEED:fig|6666666.336388.peg.77	99.556	78.774	98.222	78.774	78.774	78.404	97.778		98.667	78.774	78.404	78.404	98.667	98.222
SEED:fig|6666666.336388.peg.78	100.0		99.458				99.729		97.521				98.645	96.143
SEED:fig|6666666.336388.peg.79														
SEED:fig|6666666.336388.peg.80	99.705		97.345				100.0		98.82				98.525	97.64
SEED:fig|6666666.336388.peg.81	100.0	82.405	100.0	82.405	82.405	82.405	100.0	82.405	99.138	82.405	82.405	82.405	99.425	100.0
SEED:fig|6666666.336388.peg.82	97.207		98.883				100.0		97.778				97.207	96.899
SEED:fig|6666666.336388.peg.83	99.405		100.0			79.268	98.81	79.268	99.405	79.268	79.268	79.268	100.0	99.405
SEED:fig|6666666.336388.peg.84	98.135		97.669				100.0		99.068				98.601	98.368
SEED:fig|6666666.336388.peg.85	98.529	79.092	98.475			76.234	98.965	78.619		79.615	76.287	77.061	98.148	98.769
SEED:fig|6666666.336388.peg.86	98.818		98.463				99.291		97.644				97.045	98.818
SEED:fig|6666666.336388.peg.87	99.214	66.998	99.214	67.396	67.594	67.992	99.843	68.182	99.057	67.396	67.396	67.396	98.742	99.214
SEED:fig|6666666.336388.peg.88	99.72		99.16				100.0		98.039				98.88	99.16
SEED:fig|6666666.336388.peg.89	99.761	88.996	99.364	86.68	86.1	88.61	100.0	87.838	87.48	86.486	88.803	88.803	88.268	99.682
SEED:fig|6666666.336388.peg.90	99.343		99.179						93.178				96.491	99.343
SEED:fig|6666666.336388.peg.91	98.836		98.73				99.894		97.778				98.73	98.942
SEED:fig|6666666.336388.peg.92	99.42	67.751	99.71	68.343	68.047	68.047	99.42	68.639	99.42	68.639	68.047	68.343	100.0	99.42
SEED:fig|6666666.336388.peg.93	98.757	78.546	98.401	79.122	78.402	78.402	99.645	79.122	98.561	79.266	78.546	78.474	98.401	98.697
SEED:fig|6666666.336388.peg.94	99.873	75.599	99.873	74.644	74.774	74.903	100.0	74.774	98.859	74.386	74.644	74.903	97.465	99.873
SEED:fig|6666666.336388.peg.95	99.02		98.039				99.706		93.634				86.804	97.843
SEED:fig|6666666.336388.peg.96	99.789	82.078	98.875	81.492	82.302	83.09	99.578	82.266	98.358	82.151	82.151	82.302	98.501	98.875
SEED:fig|6666666.336388.peg.97	99.603		99.603				99.603		98.016				98.413	98.413
SEED:fig|6666666.336388.peg.98	99.331	76.319	99.108	76.553	75.733	76.671	100.0	76.436	98.328	76.436	76.671	75.733	98.885	99.22
SEED:fig|6666666.336388.peg.99	98.625	72.189	98.74	72.071	72.598	72.071	99.084	72.308	98.282	72.308	72.189	72.598	97.709	98.396
SEED:fig|6666666.336388.peg.100	99.199	72.857	99.199	72.54	72.857	77.544	100.0	72.857	97.756	72.698	72.857	72.857	98.718	98.558
SEED:fig|6666666.336388.peg.101	99.173	74.144	99.291	74.38	74.676	74.558	99.882	74.441	99.054	74.558	74.262	74.676	99.054	99.173
SEED:fig|6666666.336388.peg.102	99.583	78.099	99.583	78.099	78.099		100.0	85.849	98.333	78.099	78.099	78.099	99.583	99.583
SEED:fig|6666666.336388.peg.103	98.772	81.568	99.883	87.244	87.244	81.568	98.83	81.861	97.661	81.627	81.568	81.568	98.187	98.713
SEED:fig|6666666.336388.peg.104	97.636	85.579	97.872	87.805	87.805	88.076	97.4	87.234	94.55	88.076	85.579	85.106	97.63	97.872
SEED:fig|6666666.336388.peg.105				93.605	93.605	94.186		92.406		93.605				
SEED:fig|6666666.336388.peg.106	100.0	73.176	100.0	73.176	73.176	72.941	99.578	73.882	92.405	73.176	73.176	72.941	91.139	100.0
SEED:fig|6666666.336388.peg.107	99.495	76.2	100.0	76.4	76.4	77.281	99.495	77.969	94.781	77.625	77.281	77.453	94.444	99.495
SEED:fig|6666666.336388.peg.108	99.043	69.863	99.152	69.397	69.397	69.355	99.809	69.664	85.664	69.661	69.885	69.473	89.702	99.043
SEED:fig|6666666.336388.peg.109	98.451	69.273	98.848	69.521	69.521	69.841	98.729	69.668	91.508	69.324	69.324	69.324	90.913	97.937
SEED:fig|6666666.336388.peg.110	89.136	71.477	90.899	71.396	71.34	71.609	91.655	71.842	89.42	71.244	71.412	71.617	89.754	89.019
SEED:fig|6666666.336388.peg.111	93.83	64.095	93.872	64.134	63.88	63.381	96.273	63.155	85.089	63.506	63.44	63.506	85.324	91.815
SEED:fig|6666666.336388.peg.112	97.087		97.087				96.982		73.497				95.249	
SEED:fig|6666666.336388.peg.113	96.599		96.599				100.0		93.151				91.156	95.918
SEED:fig|6666666.336388.peg.114	97.293	75.398	97.293	75.613	75.613	75.0	97.151	75.687	96.011	75.109	75.469	75.289	96.053	97.009
SEED:fig|6666666.336388.peg.115	97.207	76.022	97.207	75.836	75.836	76.022	98.324	76.208	98.883	76.438	76.58	76.022	96.648	97.952
SEED:fig|6666666.336388.peg.116	96.454	77.909	96.454	77.761	77.761	78.498	96.312	77.32	92.624	77.172	77.614	78.498	88.652	97.589
SEED:fig|6666666.336388.peg.117	98.86	76.516	98.86	76.131	76.131	76.616	99.43	76.236	92.593	76.711	76.692	76.616	89.649	98.765
SEED:fig|6666666.336388.peg.118	95.969		95.969				97.339							95.924
SEED:fig|6666666.336388.peg.119	96.337	74.809	96.337	75.0	75.0	74.427	97.985	73.856	97.07	75.382	75.191	74.427	94.505	96.52
SEED:fig|6666666.336388.peg.120	94.8	81.612	95.3	81.494	81.464	82.596	98.443	81.548	94.506	81.464	81.434	81.577	94.652	94.859
SEED:fig|6666666.336388.peg.121	96.618		97.585				99.517		94.203				98.068	98.551
SEED:fig|6666666.336388.peg.122	96.847	74.068	95.664	74.124	74.829	74.689	96.734	74.549	94.94	74.829	74.294	74.829	95.89	96.847
SEED:fig|6666666.336388.peg.123	99.027	67.35	98.114	67.453	67.453	67.35	98.783	67.222	98.114	67.222	67.478	67.222	98.236	99.027
SEED:fig|6666666.336388.peg.124	97.963	76.854	98.778	76.929	76.929	76.929	97.352	76.929	98.878	76.704	76.779	76.779	97.352	96.47
SEED:fig|6666666.336388.peg.125	98.269	72.691	98.365	72.59	72.59	72.39	98.365	72.189	94.615	72.992	72.49	72.992	96.154	95.865
SEED:fig|6666666.336388.peg.126														
SEED:fig|6666666.336388.peg.127	97.2		97.412				97.359		96.83				96.83	96.989
SEED:fig|6666666.336388.peg.128	99.242	66.838	99.394	66.323	66.323	66.325	99.394	66.495	92.273	66.952	66.667	66.154	95.909	96.97
SEED:fig|6666666.336388.peg.129	98.39	69.935	97.917	69.828	69.828		98.011	69.762	96.686	70.151	70.259	70.151	98.011	97.727
SEED:fig|6666666.336388.peg.130	97.279	70.598	97.506	70.376	70.376	70.219	97.506	70.846	95.918	71.262	70.533	71.262	96.599	95.692
SEED:fig|6666666.336388.peg.131	98.095		100.0				100.0		98.095				98.095	97.143
SEED:fig|6666666.336388.peg.132	99.038		98.718						98.718				97.115	98.077
SEED:fig|6666666.336388.peg.133	98.397		99.038				99.038		98.718				98.718	99.038
SEED:fig|6666666.336388.peg.134	99.458	72.201	99.458	73.913	73.913	72.587	99.458	72.201	96.748	72.587	72.201	72.587	98.916	96.748
SEED:fig|6666666.336388.peg.135	98.302		98.92				98.92							98.457
SEED:fig|6666666.336388.peg.136	97.353	70.623	98.525	70.326	70.326	70.772	98.525	70.326	98.063	70.772	70.326	70.772	96.035	98.083
SEED:fig|6666666.336388.peg.137	96.995		96.995				96.995		97.814				96.721	96.721
SEED:fig|6666666.336388.peg.138			99.275				99.275		98.551				99.275	99.275
SEED:fig|6666666.336388.peg.139	96.927		96.927				97.163		94.799				93.853	95.745
SEED:fig|6666666.336388.peg.140	99.371	74.576	99.371	74.316	74.316	75.0	99.497	74.576	98.616	74.576	74.446	74.576	98.491	98.616
SEED:fig|6666666.336388.peg.141	99.038	76.891	99.038	77.311	77.311	76.0	99.359	77.524	98.077	77.85	77.85	77.85	97.436	98.071
SEED:fig|6666666.336388.peg.142	98.018	69.176	98.381	69.26	69.26	69.038	97.942	69.038	97.196	69.302	70.665	69.37	95.639	97.39
SEED:fig|6666666.336388.peg.143	99.435	76.633	99.435	76.382	76.382	76.633	99.435	76.884	98.305	76.633	76.633	76.884	97.552	97.552
SEED:fig|6666666.336388.peg.144	99.317	65.941	98.633	66.5	66.5	64.891	98.421		95.292	65.323	66.496	65.161	95.14	97.798
SEED:fig|6666666.336388.peg.145	98.397	76.661	98.317	76.491	76.779	77.154	98.397	76.405	97.191	76.966	76.385	76.779	97.436	97.276
SEED:fig|6666666.336388.peg.146	98.133	73.667	96.533	73.764	74.242	74.0	98.4	73.667	96.364	76.211	73.244	76.211	96.8	96.267
SEED:fig|6666666.336388.peg.147	97.411	71.695	97.087	71.356	71.525	72.081	97.249	71.356	97.249	71.574	71.912	71.574	97.573	97.411
SEED:fig|6666666.336388.peg.148	99.642	85.401	99.642	85.766	85.766	85.401	99.642	85.629	100.0	85.401	85.401	85.401	99.283	99.642
SEED:fig|6666666.336388.peg.149	97.16		97.16				96.575		94.57				92.784	96.825
SEED:fig|6666666.336388.peg.150	93.96	72.967	94.131	73.034	73.034		96.421	73.034	93.736	72.422	72.584	72.422	95.692	94.407
SEED:fig|6666666.336388.peg.151	99.578		95.359						90.295				88.186	97.046
SEED:fig|6666666.336388.peg.152	98.148		99.63				99.63		82.593				82.593	98.889
SEED:fig|6666666.336388.peg.153	98.593		98.083	64.399			99.468		89.244	64.255		64.255	87.859	97.87
SEED:fig|6666666.336388.peg.154	99.844	72.543	97.586	75.354	75.455	72.624	98.91	72.136	96.651	72.136	72.461	72.461	95.483	97.352
SEED:fig|6666666.336388.peg.155	100.0		98.103				98.103		98.916				97.832	98.374
SEED:fig|6666666.336388.peg.156	98.14		97.984				97.519		95.814				96.589	97.829
SEED:fig|6666666.336388.peg.157	100.0	72.599	97.706	72.316	72.599	72.599	98.65	72.034	97.841	72.175	72.175	72.458	96.761	97.841
SEED:fig|6666666.336388.peg.158	97.222	70.134	97.817	71.0	70.333	71.0	97.619	70.667	94.444	71.0	71.0	71.0	94.643	97.222
SEED:fig|6666666.336388.peg.159	98.27	66.372	98.155	65.708	66.814	64.778	98.962	64.319	84.775	66.372	65.191	65.038	85.121	98.385
SEED:fig|6666666.336388.peg.160	99.818		98.537				97.45		75.812				75.36	97.989
SEED:fig|6666666.336388.peg.161	99.882		95.995				96.702		92.58				95.642	97.173
SEED:fig|6666666.336388.peg.162	100.0		92.878				96.875						93.113	96.528
SEED:fig|6666666.336388.peg.163	99.425	75.982	98.851	75.831	75.831	76.435	98.132	76.133	96.839	75.68	76.284	76.586	97.845	98.994
SEED:fig|6666666.336388.peg.164	96.559	71.094	95.699	71.354	71.354	70.833	96.774	70.833	95.914	71.094	71.094	71.354	97.849	96.774
SEED:fig|6666666.336388.peg.165	99.66		90.455				94.558		88.851				88.851	92.759
SEED:fig|6666666.336388.peg.166	98.311		96.996				97.613		94.979				96.119	97.49
SEED:fig|6666666.336388.peg.167	97.504		96.947				99.109		89.84				92.157	97.861
SEED:fig|6666666.336388.peg.168	88.186		94.515				94.515		91.561				85.232	99.578
SEED:fig|6666666.336388.peg.169	98.795		99.197				99.598		93.173				99.197	98.795
SEED:fig|6666666.336388.peg.170	99.32		98.571				94.771		90.783				97.175	99.546
SEED:fig|6666666.336388.peg.171	95.473						96.787						93.827	96.845
SEED:fig|6666666.336388.peg.172			97.436				98.901							
SEED:fig|6666666.336388.peg.173	97.859		96.33						85.321				85.015	98.471
SEED:fig|6666666.336388.peg.174	98.605		94.419											
SEED:fig|6666666.336388.peg.175	94.518		89.693				97.455		83.772				89.693	99.342
SEED:fig|6666666.336388.peg.176	98.913		96.739						90.204					97.101
SEED:fig|6666666.336388.peg.177	87.848		87.089											87.848
SEED:fig|6666666.336388.peg.178			100.0											95.72
SEED:fig|6666666.336388.peg.179	98.734	81.448				76.923			84.034				85.294	97.468
SEED:fig|6666666.336388.peg.180	97.989		96.011						84.046				88.319	96.011
SEED:fig|6666666.336388.peg.181	97.126		98.276						90.805				93.103	95.402
SEED:fig|6666666.336388.peg.182	97.135		99.739						92.167				92.428	97.396
