gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	V12_RAST
SEED:fig|6666666.336393.peg.85	98.27	98.742		98.585	70.623	67.659	70.92	98.723	67.929	98.298	67.46			98.27
SEED:fig|6666666.336393.peg.86	99.16	98.88		98.599				98.88		97.479				98.599
SEED:fig|6666666.336393.peg.87	88.346	88.268	83.302	88.11	82.931	83.302	83.302	88.268	82.375	98.03	83.859	83.117	83.117	88.425
SEED:fig|6666666.336393.peg.88	96.172	96.491	74.118	96.013		74.118	74.118			95.504		74.118	74.118	96.172
SEED:fig|6666666.336393.peg.89	98.836	98.73		99.153				98.836		97.354				98.942
SEED:fig|6666666.336393.peg.90	99.42	100.0	67.751	99.71	68.343	68.047	68.047	99.42	68.639	99.42	68.639	68.047	68.343	99.42
SEED:fig|6666666.336393.peg.91	98.342	98.401	78.921	98.224	79.353	78.777	78.777	98.401	79.209	98.501	79.496	78.921	78.849	98.283
SEED:fig|6666666.336393.peg.92	97.338	97.465	75.882	97.338	75.162	75.162	75.291	97.465	75.291	97.465	74.903	75.162	75.291	97.338
SEED:fig|6666666.336393.peg.93	87.673	86.804		87.87				87.059		91.395				87.87
SEED:fig|6666666.336393.peg.94	98.43	98.501	81.665	98.644	81.081	81.719	82.568	98.073	81.865	99.286	81.738	81.738	81.719	98.787
SEED:fig|6666666.336393.peg.95	98.81	98.413		98.81				98.81		99.603				99.603
SEED:fig|6666666.336393.peg.96	98.439	98.885	76.553	98.216	76.788	75.967	76.905	98.885	76.671	98.551	76.671	76.905	75.967	98.328
SEED:fig|6666666.336393.peg.97	98.625	97.709	72.308	98.282	72.308	72.835	72.071	98.625	72.544	98.396	72.308	72.308	72.835	98.396
SEED:fig|6666666.336393.peg.98	99.199	98.718	73.492	99.199	73.175	73.492	77.895	98.718	73.492	98.718	73.333	73.492	73.492	99.519
SEED:fig|6666666.336393.peg.99	98.936	99.054	74.144	99.054	74.616	74.676	74.558	99.173	74.676	100.0	74.558	74.262	74.676	98.936
SEED:fig|6666666.336393.peg.100	99.167	99.583	78.099	99.167	78.099	78.099		99.583	85.849	97.917	78.099	78.099	78.099	99.167
SEED:fig|6666666.336393.peg.101	97.427	98.187	81.707	98.07	87.946	87.946	81.707	97.661	81.882	99.006	81.765	81.707	81.707	97.368
SEED:fig|6666666.336393.peg.102	98.341	97.63	87.204	98.578	87.805	87.805	88.076	98.104	86.019	95.035	88.076	87.204	86.73	98.578
SEED:fig|6666666.336393.peg.103	91.139	91.139	74.353	91.139	74.118	74.118	73.882	91.561	75.059	98.312	74.118	74.353	74.118	91.139
SEED:fig|6666666.336393.peg.104	94.613	94.444	76.846	94.33	77.046	77.046	77.835	94.949	78.179	98.316	77.835	77.835	78.007	94.613
SEED:fig|6666666.336393.peg.105	89.893	89.702	69.735	90.003	69.773	69.773	69.466	89.757	69.637	95.967	69.492	69.838	69.628	89.893
SEED:fig|6666666.336393.peg.106	90.992	90.913	69.915	91.071	70.262	70.262	70.518	91.151	70.292	94.286	70.065	69.965	70.065	91.31
SEED:fig|6666666.336393.peg.107	91.907	89.754	71.879	93.197	71.739	71.682	71.879	92.258	71.775	96.586	71.739	71.823	71.739	91.526
SEED:fig|6666666.336393.peg.108	83.383	85.324	64.228	83.383	63.822	63.723	64.803	83.776	63.744	86.67	64.885	64.376	64.885	84.78
SEED:fig|6666666.336393.peg.109	83.285	95.249		83.285				83.235		70.815				
SEED:fig|6666666.336393.peg.110	92.517	91.156	73.913	92.517	73.913	73.913	72.059	94.118	73.571	95.205	72.857	73.913	72.059	91.837
SEED:fig|6666666.336393.peg.111	96.784	96.053	75.074	96.784	75.074	75.074	74.62	96.491	75.519	98.392	74.926	74.926	74.926	96.784
SEED:fig|6666666.336393.peg.112	96.276	96.648	74.349	96.276	74.349	74.349	74.535	96.089	74.721	96.276	75.279	75.093	74.535	96.276
SEED:fig|6666666.336393.peg.113	88.085	88.652	76.141	88.085	75.994	75.994	76.73	87.943	76.141	93.475	75.994	76.73	76.73	87.801
SEED:fig|6666666.336393.peg.114	90.313	89.649	78.509	90.313	78.509	78.509	78.897	89.744	78.802	96.106	78.992	79.014	78.802	90.408
SEED:fig|6666666.336393.peg.115										93.923				
SEED:fig|6666666.336393.peg.116	97.253	94.505	74.618	96.886	74.809	74.809	73.855	95.055	72.985	95.421	74.809	75.0	73.855	97.07
SEED:fig|6666666.336393.peg.117	98.061	94.652	80.991	97.738	80.818	80.789	82.325	94.301	81.496	98.179	80.876	80.818	80.962	98.12
SEED:fig|6666666.336393.peg.118	97.585	98.068		99.517				98.551		95.169				98.551
SEED:fig|6666666.336393.peg.119	97.973	95.89	73.842	98.93	73.913	74.696	74.378	98.142	74.055	96.979	75.076	73.97	74.544	97.973
SEED:fig|6666666.336393.peg.120	98.236	98.236		98.783	66.667	66.667		98.114		99.088				98.236
SEED:fig|6666666.336393.peg.121	98.099	97.352	77.154	97.488	77.228	77.228	77.079	95.927	76.779	99.038	77.004	77.079	77.079	98.235
SEED:fig|6666666.336393.peg.122	95.389	96.154	72.663	95.485	72.563	72.563	72.362	95.485	72.161	94.236	72.864	72.663	72.864	98.751
SEED:fig|6666666.336393.peg.123	97.306	96.83		97.623				97.57		97.2				99.313
SEED:fig|6666666.336393.peg.124	95.606	95.909	65.646	95.606	65.136	65.136	66.29	95.606	66.743	94.848	66.102	66.743	66.063	97.424
SEED:fig|6666666.336393.peg.125	98.295	98.011	69.189	98.011	69.297	69.297		98.106	69.339	96.496	69.514	69.622	69.514	98.39
SEED:fig|6666666.336393.peg.126	97.732	96.599	69.917	97.959	70.248	70.248	69.752	97.959	70.413	96.475	70.579	70.083	70.579	96.145
SEED:fig|6666666.336393.peg.127	98.095	98.095		98.095				98.095		97.143				99.048
SEED:fig|6666666.336393.peg.128	96.795	97.115		97.115						97.756				98.397
SEED:fig|6666666.336393.peg.129	97.756	98.718		98.397				98.558		100.0				99.038
SEED:fig|6666666.336393.peg.130	98.374	98.916	72.201	98.374	73.913	73.913	72.587	98.374	72.201	96.748	72.587	72.201	72.587	96.748
SEED:fig|6666666.336393.peg.131										99.136				
SEED:fig|6666666.336393.peg.132	96.018	96.035	71.068	95.742	70.772	70.772	71.217	95.742	70.772	97.359	71.217	70.772	71.217	97.063
SEED:fig|6666666.336393.peg.133	97.541	96.721		97.541				97.541		97.814				98.087
SEED:fig|6666666.336393.peg.134		99.275		98.551				98.551		97.826				100.0
SEED:fig|6666666.336393.peg.135	93.617	93.853		93.617				93.853		97.4				95.745
SEED:fig|6666666.336393.peg.136	98.239	98.491	74.576	98.239	74.316	74.316	75.0	97.987	74.576	98.742	74.576	74.446	74.576	97.987
SEED:fig|6666666.336393.peg.137	98.397	97.436	73.95	98.397	74.37	74.37	72.0	97.436	74.919	99.038	75.244	75.244	75.244	98.392
SEED:fig|6666666.336393.peg.138	95.771	95.639	69.552	95.705	69.636	69.636	69.204	95.107	69.385	96.033	69.72	70.775	69.748	96.729
SEED:fig|6666666.336393.peg.139	97.74	97.552	77.136	97.74	76.884	76.884	77.136	97.74	77.387	98.87	77.136	77.136	77.387	99.247
SEED:fig|6666666.336393.peg.140	95.368	95.14	64.537	95.596	66.089	66.089	64.776	95.351	65.696	98.102	64.64	64.326	64.72	95.444
SEED:fig|6666666.336393.peg.141	97.115	97.436	75.731	97.196	75.731	76.966	76.966	97.115	75.649	97.568	77.154	75.63	76.966	98.397
SEED:fig|6666666.336393.peg.142	96.533	96.8	76.0	95.467	75.556	75.556	76.444	96.533	76.0	95.455	76.0	76.0	76.0	95.733
SEED:fig|6666666.336393.peg.143	96.602	97.573	71.717	96.278	71.38	71.549	72.101	96.44	71.38	96.44	71.597	71.933	71.597	96.278
SEED:fig|6666666.336393.peg.144	99.642	99.283	85.401	98.925	85.766	85.766	85.401	98.925	85.398	99.283	85.401	85.401	85.401	98.925
SEED:fig|6666666.336393.peg.145	93.548	92.784		93.379				93.888		96.265				93.718
SEED:fig|6666666.336393.peg.146	92.29	95.692	73.206	92.971	72.727	72.727		93.424	72.727	95.011	72.076	72.727	72.076	92.29
SEED:fig|6666666.336393.peg.147				90.945										
SEED:fig|6666666.336393.peg.148	87.764	88.186		86.498						96.203				86.92
SEED:fig|6666666.336393.peg.149	81.481	82.593		82.222				82.222		98.519				82.222
SEED:fig|6666666.336393.peg.150	87.879	87.859	64.667	87.966	64.889	64.444		88.285	65.111	97.657	64.667		64.667	88.179
SEED:fig|6666666.336393.peg.151	95.483	95.483	72.358	95.093	75.355	75.456	75.659	95.405	75.152	96.73	74.949	75.254	75.152	96.417
SEED:fig|6666666.336393.peg.152	97.832	97.832		97.019				97.019		98.916				97.29
SEED:fig|6666666.336393.peg.153	96.279	96.589		95.504				95.659		96.434				95.504
SEED:fig|6666666.336393.peg.154	96.761	96.761	72.458	97.436	72.175	72.458	72.458	97.031	71.893	97.571	72.316	72.034	72.316	97.301
SEED:fig|6666666.336393.peg.155	94.643	94.643	69.257	95.238	70.134	69.463	70.134	95.833	69.799	97.619	70.134	70.134	70.134	95.04
SEED:fig|6666666.336393.peg.156	84.544	85.121		84.544				85.236		97.924				84.544
SEED:fig|6666666.336393.peg.157	75.719	75.36		75.135				75.763		97.623				74.955
SEED:fig|6666666.336393.peg.158	95.76	95.642		95.289				97.173		93.286				96.231
SEED:fig|6666666.336393.peg.159	93.113	93.113		91.604				92.969						93.519
SEED:fig|6666666.336393.peg.160	97.557	97.845	76.852	97.845	76.389	76.389	77.006	97.701	76.235	98.42	76.235	76.389	77.16	98.276
SEED:fig|6666666.336393.peg.161	96.129	97.849	70.052	94.839	70.573	70.573	70.052	95.054	70.052	97.634	70.313	70.052	70.573	95.054
SEED:fig|6666666.336393.peg.162										96.165				
SEED:fig|6666666.336393.peg.163														
SEED:fig|6666666.336393.peg.164														
SEED:fig|6666666.336393.peg.165	89.189	88.851		92.056				90.878		100.0				92.254
SEED:fig|6666666.336393.peg.166	96.155	96.119		95.542				95.951		93.425				95.466
SEED:fig|6666666.336393.peg.167	92.335	92.157		92.875				91.622		87.701				92.513
SEED:fig|6666666.336393.peg.168	89.873	85.232		83.544				83.544		82.278				84.81
SEED:fig|6666666.336393.peg.169	98.795	99.197		99.197				99.598		93.976				98.795
SEED:fig|6666666.336393.peg.170	95.455	94.697		95.455				95.455		95.556				95.455
SEED:fig|6666666.336393.peg.171	97.175	97.175		94.318				88.718		91.176				97.74
SEED:fig|6666666.336393.peg.172	93.2	93.827						94.239						94.616
SEED:fig|6666666.336393.peg.173	85.933	85.015		86.239						98.777				85.321
SEED:fig|6666666.336393.peg.174								98.773		96.524				97.345
SEED:fig|6666666.336393.peg.175	91.009	89.693		96.0				89.313		90.889				89.474
SEED:fig|6666666.336393.peg.176														
SEED:fig|6666666.336393.peg.177			77.972		78.049	78.049			79.021	87.973	77.003	76.923		
SEED:fig|6666666.336393.peg.178	84.874	85.294	81.622				76.923			90.717				84.034
SEED:fig|6666666.336393.peg.179				94.118						90.551				94.118
SEED:fig|6666666.336393.peg.180	88.034	88.319		90.476						92.857				90.476
SEED:fig|6666666.336393.peg.181	91.954	93.103		91.379						92.529				90.805
SEED:fig|6666666.336393.peg.182	91.645	92.428		92.708						90.885				91.906
