gene	Ben	Bill	Bob	Bop	Car	NC_027335	NC_029009	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
SEED:fig|6666666.336391.peg.58					100.0			96.517						
SEED:fig|6666666.336391.peg.57			97.541		97.814	97.814		97.541		97.541	98.087	97.814		
SEED:fig|6666666.336391.peg.56			93.296		100.0	100.0		92.179		100.0	100.0	93.889		
SEED:fig|6666666.336391.peg.55			97.495		98.651	98.459		95.183		96.917	96.532	98.266		
SEED:fig|6666666.336391.peg.54			99.367		100.0	91.755		95.57		92.389	91.332	99.367		
SEED:fig|6666666.336391.peg.53			99.153		100.0	98.023		99.294		99.435	97.458	98.729		
SEED:fig|6666666.336391.peg.52			97.732		100.0	95.465		98.806		99.773	95.238	97.732		
SEED:fig|6666666.336391.peg.51			98.413		100.0	100.0		97.354		99.471	100.0	98.413		
SEED:fig|6666666.336391.peg.50			96.753		100.0	98.268		98.485		97.403	98.918	96.97		
SEED:fig|6666666.336391.peg.49			88.136		100.0	92.655		97.74		95.48	88.136	88.136		
SEED:fig|6666666.336391.peg.48			83.5		100.0	95.96		96.465		94.444	94.444	93.939		
SEED:fig|6666666.336391.peg.47					100.0									
SEED:fig|6666666.336391.peg.46	65.759	65.71	94.602		100.0	93.401		94.872		95.007	95.007	95.547	70.408	
SEED:fig|6666666.336391.peg.45			98.81		100.0	97.619		99.405		97.619	97.024	97.619		
SEED:fig|6666666.336391.peg.44			97.814		100.0	100.0		98.413		99.603	97.619	98.016		
SEED:fig|6666666.336391.peg.43	65.4	65.4	95.261		100.0	92.81	65.0	98.366		97.222	96.501	95.425		65.731
SEED:fig|6666666.336391.peg.42					100.0	99.43		99.43		99.43	79.552	83.476		
SEED:fig|6666666.336391.peg.41			97.436		100.0	99.145		93.162			97.436	83.486		
SEED:fig|6666666.336391.peg.40			92.958		100.0	100.0				92.958	92.958			
SEED:fig|6666666.336391.peg.39			81.446		100.0	98.309		97.826		81.446	81.446	92.029		
SEED:fig|6666666.336391.peg.38			98.698		100.0	98.148		97.619		97.656	98.698			
SEED:fig|6666666.336391.peg.37					100.0			100.0		98.83				
SEED:fig|6666666.336391.peg.36			97.268		100.0			100.0		98.684	97.268			
SEED:fig|6666666.336391.peg.35					100.0	99.123		97.368		97.368	91.228	99.123		
SEED:fig|6666666.336391.peg.34			97.971		98.841	97.973		99.71		98.841	97.391	98.261		
SEED:fig|6666666.336391.peg.33			97.119		97.647	96.863		100.0		100.0	96.471	97.531		
SEED:fig|6666666.336391.peg.32			99.608		97.255	96.863		100.0		100.0	99.216	98.824		
SEED:fig|6666666.336391.peg.31			97.619		94.94	97.619		96.726		99.107	94.643	96.429		
SEED:fig|6666666.336391.peg.30			94.977		98.315	95.205		95.205		99.772	97.945	97.945		
SEED:fig|6666666.336391.peg.29			96.97		95.238	96.97		97.619		99.134	89.827	96.753		
SEED:fig|6666666.336391.peg.28			95.614		92.982	90.351		97.368		98.246	89.72	94.313		
SEED:fig|6666666.336391.peg.27			91.435		88.426	90.046		91.435		88.889	91.204	89.583		
SEED:fig|6666666.336391.peg.26			98.268		93.392	93.939		98.268		97.403	97.835	89.61		
SEED:fig|6666666.336391.peg.25			99.306		97.917	95.139		98.148		95.139	99.306	94.907		
SEED:fig|6666666.336391.peg.24			100.0		99.346	83.007				81.046	99.346	79.085		
SEED:fig|6666666.336391.peg.23	69.17	69.17	98.523	69.17	96.624	98.523	69.17	98.629	70.692	95.359	98.207	98.84	70.994	70.923
SEED:fig|6666666.336391.peg.22	87.402	87.139		87.927		99.483	86.614		86.877		99.483	98.966		87.402
SEED:fig|6666666.336391.peg.21	83.333	84.762		87.619		99.333	84.762		84.762		99.333	99.333	86.667	86.667
SEED:fig|6666666.336391.peg.20	89.753	89.87		89.87		99.534	90.098		89.977		99.534	99.534	89.627	89.988
SEED:fig|6666666.336391.peg.19			98.788		98.182	99.091				99.394	99.394	99.394		
SEED:fig|6666666.336391.peg.18														
SEED:fig|6666666.336391.peg.17			98.462		98.12	99.487				99.316	98.462	99.487		
SEED:fig|6666666.336391.peg.16			97.409		97.15	99.483				99.483	97.409	99.187		
SEED:fig|6666666.336391.peg.15														
SEED:fig|6666666.336391.peg.14			98.088		97.394	99.566				99.221	95.782	99.481		
SEED:fig|6666666.336391.peg.13					99.422	99.615				99.807		99.422		
SEED:fig|6666666.336391.peg.12			97.619		100.0	98.139				99.831	98.126	98.139		
SEED:fig|6666666.336391.peg.11			99.588		100.0	99.588				100.0	99.588	100.0		
SEED:fig|6666666.336391.peg.10			100.0		100.0	98.502				100.0	98.502	98.127		
SEED:fig|6666666.336391.peg.9			100.0		100.0	99.673				100.0	99.346	99.673		
SEED:fig|6666666.336391.peg.8			100.0		100.0	98.268				100.0	99.134	98.268		
SEED:fig|6666666.336391.peg.7	79.245	78.774	100.0	78.302	100.0	99.111	77.83		78.302	100.0	99.111	99.111	78.302	78.302
SEED:fig|6666666.336391.peg.6	91.667		98.26	91.667	100.0	98.808				100.0	97.984	98.808		92.94
SEED:fig|6666666.336391.peg.5			98.82		100.0	99.115		99.705		100.0	99.41	98.82		
SEED:fig|6666666.336391.peg.4	82.405	82.405	100.0	82.405	100.0	100.0	82.405	100.0	82.111	100.0	100.0	100.0	82.405	82.405
SEED:fig|6666666.336391.peg.3			99.259		100.0	99.259		99.259		99.259	99.259	99.259		
SEED:fig|6666666.336391.peg.2			98.368		100.0	98.718		97.902		98.834	98.582	98.601		
SEED:fig|6666666.336391.peg.1	76.493	76.493	98.872	76.866	100.0	97.5	76.493	98.519	77.509	98.0	99.624	97.5	76.493	76.493
SEED:fig|6666666.336391.peg.204			95.833		100.0	95.833		96.667		95.833	97.5	98.639		
SEED:fig|6666666.336391.peg.203					100.0							99.784		
SEED:fig|6666666.336391.peg.202	75.263	74.912	97.251	75.439	97.595	97.251	74.912	97.938	75.174	98.282	97.251	97.423	75.0	75.439
SEED:fig|6666666.336391.peg.201			96.831		96.578	96.676		99.873		96.705	96.705	96.451		
SEED:fig|6666666.336391.peg.200	67.793	67.594	98.736	67.197	98.326	98.047	67.594	98.047	67.396	98.42	98.187	98.578	67.659	67.396
SEED:fig|6666666.336391.peg.199			96.337		97.436	95.604		95.604		98.901	96.337	96.337		
SEED:fig|6666666.336391.peg.198	86.1	86.1	94.368	85.714	98.276	94.451	86.1	94.368	81.262	98.851	94.253	94.368	83.302	86.1
SEED:fig|6666666.336391.peg.197			99.844		97.496	99.374		97.34		97.496	99.844	100.0	74.118	
SEED:fig|6666666.336391.peg.196	68.343	68.047	99.13	68.343	97.971	99.42	68.047	98.261	68.047	98.261	99.42	99.71	68.047	68.343
SEED:fig|6666666.336391.peg.195	78.417	78.402	98.682	78.417	95.417	99.497	78.474	95.48	78.705	95.543	98.682	99.498	78.777	78.417
SEED:fig|6666666.336391.peg.194	74.774	74.774	99.582	74.774	99.621	99.874	74.774	99.495	75.42	99.242	99.369	99.874	75.162	74.774
SEED:fig|6666666.336391.peg.193			96.122		96.584	99.057		96.709		94.824	96.122	99.057		
SEED:fig|6666666.336391.peg.192	82.374	82.302	99.283	82.229	97.849	99.903	82.229	99.429	82.01	99.211	99.211	100.0	81.719	82.229
SEED:fig|6666666.336391.peg.191			98.864		99.242	91.667		100.0		99.621	99.242	100.0		
SEED:fig|6666666.336391.peg.190	75.967	75.733	96.778	75.222	97.0	97.333	75.733	96.444	75.333	96.556	96.889	100.0	75.967	75.967
SEED:fig|6666666.336391.peg.189	72.781	72.598	98.161	72.361	98.391	98.506	72.716	99.54	72.242	99.08	98.276	100.0	72.835	72.361
SEED:fig|6666666.336391.peg.188	72.857	72.857	98.558	72.857	98.397	100.0	72.857	98.558	73.651	98.878	98.558	100.0	73.492	73.333
SEED:fig|6666666.336391.peg.187	74.205	74.676	99.291	74.205	99.409	99.764	74.558	98.582	74.676	99.764	99.409	99.882	74.676	74.205
SEED:fig|6666666.336391.peg.186	78.512	78.099	100.0	78.512	100.0		78.099	100.0	77.273	100.0	100.0	100.0	78.099	78.512
SEED:fig|6666666.336391.peg.185	87.244	87.244	91.754	87.185	100.0	91.754	86.834	91.871	87.888	91.754	91.754	91.871	87.946	87.185
SEED:fig|6666666.336391.peg.184	88.076	87.805	99.475	87.805	100.0	98.728	88.347	99.475	87.062	99.237	99.475	98.95	87.805	87.805
SEED:fig|6666666.336391.peg.183		93.605			100.0	97.471		98.701		99.458				
SEED:fig|6666666.336391.peg.182			95.918		100.0	99.32				99.32	95.918	99.32		
SEED:fig|6666666.336391.peg.181	73.176	73.176	98.523	73.176	100.0	98.734	73.647	98.101	73.882	99.156	98.523	98.312	74.118	73.176
SEED:fig|6666666.336391.peg.180	77.246	76.4	99.394	76.4	100.0	99.192	77.246	99.798	76.829	99.394	99.192	99.394	77.046	77.246
SEED:fig|6666666.336391.peg.179	69.37	69.397	96.937	69.37	100.0	98.596	69.479	98.961	71.017	97.84	96.883	98.66	69.773	69.37
SEED:fig|6666666.336391.peg.178	69.824	69.521	98.65	70.076	100.0	98.323	69.944	98.023	70.415	98.211	98.336	98.211	70.262	69.824
SEED:fig|6666666.336391.peg.177	72.28	71.34	97.769	71.884	97.642	98.044	71.815	95.065	71.465	98.098	97.806	98.044	71.682	72.309
SEED:fig|6666666.336391.peg.176	64.393	63.88	95.108	64.393	99.088	96.476	63.846	97.927	63.873	97.511	94.986	96.434	63.723	63.869
SEED:fig|6666666.336391.peg.175			99.174		100.0	97.934		97.383			97.796	97.658		
SEED:fig|6666666.336391.peg.174			100.0		100.0	97.959		99.32	74.627	98.639	100.0	97.959	73.913	
SEED:fig|6666666.336391.peg.173	75.18	75.613	99.275	75.18	100.0	98.356	75.325	98.403	75.613	98.551	99.855	98.694	75.074	75.469
SEED:fig|6666666.336391.peg.172	74.164	75.836	99.628	74.164	100.0	99.814	75.836	99.628	76.394	97.393	98.696	99.814	74.349	74.721
SEED:fig|6666666.336391.peg.171	76.912	77.761	99.716	76.912	100.0	99.007	77.059	99.007	76.583	97.872	98.723	99.007	75.994	78.056
SEED:fig|6666666.336391.peg.170	76.708	76.131	99.62	76.708	100.0	97.699	76.42	97.411	77.444	97.411	97.721	97.603	78.509	76.708
SEED:fig|6666666.336391.peg.169	72.727	70.364	99.5	72.334	99.5	74.52	72.471	74.465	72.329	74.52	99.786	74.776	72.108	70.191
SEED:fig|6666666.336391.peg.168	75.763	75.0	99.817	75.954	100.0	97.802	75.573	97.917	75.573	98.168	99.451	97.802	74.809	75.954
SEED:fig|6666666.336391.peg.167	81.18	81.464	98.47	81.135	99.625	98.779	81.135	98.557	81.3	98.961	98.615	99.019	80.789	81.151
SEED:fig|6666666.336391.peg.166	90.239		90.637	90.135	100.0	95.639	90.135		92.739	100.0		95.639		90.447
SEED:fig|6666666.336391.peg.165			96.135		96.135	96.618		95.169		96.135	96.135	96.618		
SEED:fig|6666666.336391.peg.164	74.392	74.829	99.016	74.772	99.697	84.41	74.544	95.458	71.681	84.738	99.016	84.933	74.696	74.392
SEED:fig|6666666.336391.peg.163	66.86	67.453	99.202	66.822	100.0	99.263	66.628	98.772	66.551	98.956	98.956	98.956	66.667	66.86
SEED:fig|6666666.336391.peg.162	77.154	76.929	99.593	76.854	100.0	99.117	76.704	98.778	81.678	99.185	99.253	99.253	77.228	77.528
SEED:fig|6666666.336391.peg.161	72.673	72.59	99.337	72.673	100.0	99.053	72.673	98.864	72.5	98.201	98.674	98.201	72.563	72.864
SEED:fig|6666666.336391.peg.160			98.574		100.0	99.313		98.362		98.891	98.362	99.155		
SEED:fig|6666666.336391.peg.159	66.553	66.323	98.799	66.553	100.0	98.048	66.553	99.099	65.952	96.246	99.249	98.198	65.136	65.299
SEED:fig|6666666.336391.peg.158	69.289	69.828	98.584	69.405	100.0	98.614	69.297	97.734	68.811	99.056	99.15	99.056	69.297	69.181
SEED:fig|6666666.336391.peg.157			87.304		100.0	97.953		98.262		98.736	87.461	98.578		
SEED:fig|6666666.336391.peg.156	71.096	70.376	97.74	70.93	100.0	98.644	70.93	97.851		97.74	97.966	97.627	70.248	68.955
SEED:fig|6666666.336391.peg.155			98.958		100.0	98.701		99.134		100.0	98.268	100.0		
SEED:fig|6666666.336391.peg.154			99.029		100.0	98.706		99.676		99.029	98.706	99.029		
SEED:fig|6666666.336391.peg.153			99.634		100.0	99.634		98.901		100.0	99.267	100.0		
SEED:fig|6666666.336391.peg.152	73.043	73.913	95.968	73.043	100.0	97.849	73.043	96.505	73.478	97.849	95.968	97.849	73.913	73.913
SEED:fig|6666666.336391.peg.151	70.858	70.326	99.701	70.475	100.0	99.253	70.475	99.402	70.919	99.103	99.253	99.103	70.772	71.302
SEED:fig|6666666.336391.peg.150			99.667		100.0	99.333		99.333		99.0	99.668	99.333		
SEED:fig|6666666.336391.peg.149			97.708		100.0	98.333		98.333		98.333	98.75	98.333		
SEED:fig|6666666.336391.peg.148	74.316	74.316	98.365	74.316	100.0	97.717	74.837	98.365	74.576	97.987	98.491	97.987	74.316	74.282
SEED:fig|6666666.336391.peg.147	76.05	77.311	99.177	76.05	100.0	99.213	76.471	98.765	74.79	99.177	98.354	99.177	74.37	75.21
SEED:fig|6666666.336391.peg.146	69.674	69.26	99.126	69.716	100.0	99.048	70.639	98.419	69.701	99.584	99.411	98.668	69.636	69.221
SEED:fig|6666666.336391.peg.145			99.849		100.0			100.0		100.0				
SEED:fig|6666666.336391.peg.144	76.168	76.168	98.667	75.935	100.0	99.429	76.168	99.238	75.467	99.81	99.619	99.583	74.359	75.935
SEED:fig|6666666.336391.peg.143	76.633	76.382	99.259	76.633	100.0	99.632	76.633	99.448	76.884	99.448	99.632	99.448	76.884	77.494
SEED:fig|6666666.336391.peg.142	64.895	66.5	98.45	66.5	100.0	98.217		98.295	66.213	98.295	97.907	98.217	66.089	66.125
SEED:fig|6666666.336391.peg.141	76.966	76.779	98.874	76.966	99.625	99.074	76.966	96.248	77.778	99.815	98.687	99.63	76.966	76.779
SEED:fig|6666666.336391.peg.140						99.085			79.085					
SEED:fig|6666666.336391.peg.139	75.403	75.84	97.282	75.695	97.425	97.568	75.403	96.996	76.16	96.996	96.996	96.996	74.378	74.34
SEED:fig|6666666.336391.peg.138	74.242	74.242	98.966	74.242	98.45	99.225	74.242	98.966	74.621	98.45	98.45	98.45	75.556	74.242
SEED:fig|6666666.336391.peg.137	71.525	71.525	98.049	71.695	99.512	97.724	71.695	97.724	71.864	97.886	97.886	97.886	71.549	72.034
SEED:fig|6666666.336391.peg.136	86.131	85.766	99.275	85.766	100.0	98.913	85.766	99.412	85.766	99.275	99.275	99.275	85.766	85.766
SEED:fig|6666666.336391.peg.135			99.169		99.896	99.449		99.273		99.585	98.962	99.585		
SEED:fig|6666666.336391.peg.134	74.163	73.034	98.874	74.215	100.0	98.876	74.94	100.0	73.077	99.099	99.55	99.099	72.727	72.36
SEED:fig|6666666.336391.peg.133			94.295		99.327	94.966		98.99		99.327	94.966	99.327		
SEED:fig|6666666.336391.peg.132			98.952		99.266	95.912		98.532	65.556	99.161	98.847	99.161	64.444	
SEED:fig|6666666.336391.peg.131	75.455	75.455	98.676	76.667	99.688	98.676	75.736	98.832	74.899	98.832	99.377	98.988	75.456	75.862
SEED:fig|6666666.336391.peg.130			99.467		99.733	99.467		98.933		100.0	99.467	99.467		
SEED:fig|6666666.336391.peg.129	65.58		98.873	65.343	99.678	98.39		98.39		99.839	99.517	99.034		65.704
SEED:fig|6666666.336391.peg.128	72.599	72.599	99.595	72.175	99.73	99.595	72.316	99.055	72.034	98.92	99.595	99.325	72.458	72.599
SEED:fig|6666666.336391.peg.127	68.792	70.333	98.817	69.463	98.422	99.408	69.463	99.803	70.37	98.817	99.014	99.014	69.463	68.456
SEED:fig|6666666.336391.peg.126			96.581		99.715	95.157		98.291		96.866	96.866	97.151		
SEED:fig|6666666.336391.peg.125	66.15	66.814	97.669		99.068	97.552	67.045	98.019		97.786	97.786	98.019		66.15
SEED:fig|6666666.336391.peg.124			99.054		100.0	97.163		95.981		96.454	96.572	96.099		
SEED:fig|6666666.336391.peg.123			94.523		100.0	93.677		94.277		93.063	95.335	93.738		
SEED:fig|6666666.336391.peg.122	75.68	75.831	98.986	75.68	100.0	99.275	75.68	98.261	75.0	99.855	99.42	99.275	76.389	76.133
SEED:fig|6666666.336391.peg.121	70.833	71.354	97.863	70.801	100.0	98.077	71.094	98.718	69.792	98.077	98.077	97.65	70.573	71.615
SEED:fig|6666666.336391.peg.120			97.021		96.667	98.287		97.585		97.625	96.974	97.412		
SEED:fig|6666666.336391.peg.119			96.844		93.491	99.803		99.014		96.45	97.633	99.803		
SEED:fig|6666666.336391.peg.118			98.83		80.347	100.0		100.0		82.313	98.83	100.0		
SEED:fig|6666666.336391.peg.117			98.901		97.07	99.267		100.0		97.802	99.267	100.0		
SEED:fig|6666666.336391.peg.116			99.603		98.016	99.603		99.603		99.206	99.603	100.0		
SEED:fig|6666666.336391.peg.115			98.611		99.303	100.0		97.561		98.958	98.611	100.0		
SEED:fig|6666666.336391.peg.114			97.212		96.958	100.0		97.465		99.24	97.212	99.493		
SEED:fig|6666666.336391.peg.113			99.255		98.696	99.814		95.81		99.069	99.162	99.534		
SEED:fig|6666666.336391.peg.112			99.01		100.0	100.0		96.7		99.34	100.0	99.34		
SEED:fig|6666666.336391.peg.111			88.779		100.0	99.67		88.779		99.34	99.67	99.34		
SEED:fig|6666666.336391.peg.110			97.959		100.0	100.0		93.537		99.66	100.0	99.66		
SEED:fig|6666666.336391.peg.109			97.222		100.0	100.0				99.444	98.889	99.444		
SEED:fig|6666666.336391.peg.108			85.908		100.0	99.727		89.344		99.727	86.721	100.0		
SEED:fig|6666666.336391.peg.107			99.471		100.0	97.09		96.296		96.825	93.651	97.09		
SEED:fig|6666666.336391.peg.106			99.134		100.0	97.403		95.238		97.403	97.835	97.403		
SEED:fig|6666666.336391.peg.105			100.0		100.0	98.165		97.248	82.716	98.165	98.165	98.165		
SEED:fig|6666666.336391.peg.104			95.885		100.0	92.593		97.531		97.119	95.885			
SEED:fig|6666666.336391.peg.103			90.78		100.0	91.489		92.908		92.199	90.78	98.582		
SEED:fig|6666666.336391.peg.102					100.0			99.399						
SEED:fig|6666666.336391.peg.101			97.508		100.0	98.754		98.131		98.91	97.508	98.27		
SEED:fig|6666666.336391.peg.100			93.287		100.0	93.256		91.874		95.602	93.287	94.884		
SEED:fig|6666666.336391.peg.99			99.769		100.0	96.296		98.611		97.454	99.769	96.528		
SEED:fig|6666666.336391.peg.98			98.0		100.0	95.333		96.333		95.333	98.0	96.333		
SEED:fig|6666666.336391.peg.97			97.938		100.0			97.407			98.625			
SEED:fig|6666666.336391.peg.96			92.958		100.0	93.519		93.519		92.901	96.914	92.593		
SEED:fig|6666666.336391.peg.95			95.035		100.0	97.872		97.872		92.908	97.872	97.872		
SEED:fig|6666666.336391.peg.94			96.246		100.0			96.587	74.913	97.279	95.563		78.049	
SEED:fig|6666666.336391.peg.93			97.778		100.0	94.203		99.517		98.551	96.618	98.551		
SEED:fig|6666666.336391.peg.92			96.476		100.0	98.268		98.268			96.035	97.835		
SEED:fig|6666666.336391.peg.91			97.585		100.0	97.573		96.618		95.146	95.631	95.146		
SEED:fig|6666666.336391.peg.90			95.652		100.0	93.284				95.652	97.101	93.284		
SEED:fig|6666666.336391.peg.89			94.949		100.0	95.89		95.96		92.929	97.98	93.836		
SEED:fig|6666666.336391.peg.88					100.0			83.448		83.448				
SEED:fig|6666666.336391.peg.87					100.0	96.991		97.454			98.38			
SEED:fig|6666666.336391.peg.86			98.575		100.0						100.0			
SEED:fig|6666666.336391.peg.85			95.455		100.0	97.895		97.475		100.0	93.583			
SEED:fig|6666666.336391.peg.84			97.156		100.0	99.531		98.864		99.531	97.156	97.17		
SEED:fig|6666666.336391.peg.83					100.0	96.732				99.34		96.732		
SEED:fig|6666666.336391.peg.82			98.958		100.0	98.958		98.165		99.479	98.958	98.438		
SEED:fig|6666666.336391.peg.81			95.833		100.0	96.111		97.642		95.0	97.778	95.278		
