gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
EGEOBHOM_00122	99.367	100.0	72.785	72.785	100.0	72.785	100.0	72.152	72.152	100.0	72.785	100.0	100.0	72.152	72.785
EGEOBHOM_00123	100.0	100.0	79.897	79.897	100.0	79.897	100.0	79.381	79.381	99.479	79.897	100.0	99.479	79.381	79.897
EGEOBHOM_00124	99.836	99.754	68.481	68.481	98.769	68.562	100.0	67.997	67.018	99.648	68.481	100.0	98.687	68.73	68.481
EGEOBHOM_00125	99.623	99.623	71.021	71.021	99.623	71.021	100.0	71.646	71.235	99.606	71.021	99.623	99.718	71.125	71.581
EGEOBHOM_00126	97.097	97.097	73.148	72.582	96.55	73.255	97.645	72.077	71.657	97.043	73.255	97.974	96.714	72.582	73.232
EGEOBHOM_00127	88.127	96.393	55.802	56.35	96.393	55.926	99.129	56.219	54.883	96.393	56.35	98.881	95.438	56.095	58.874
EGEOBHOM_00128		97.51			98.76		100.0			97.51		97.521	96.694		
EGEOBHOM_00129	100.0	100.0	62.222	60.0	100.0	62.222	100.0	61.538	61.538	100.0	64.444	100.0	100.0	62.222	62.222
EGEOBHOM_00130	98.696	98.696	78.947	78.947	99.565	78.947	100.0	78.509	78.509	98.655	78.509	99.13	99.565	78.947	78.947
EGEOBHOM_00131	99.441	100.0	85.475	86.034	100.0	85.475	100.0	86.034	86.034	100.0	86.034	99.441	99.441	86.034	86.034
EGEOBHOM_00132	98.723	99.149	81.974	82.833	100.0	81.974	100.0	81.974	81.545	99.149	81.974	98.723	98.723	81.974	82.403
EGEOBHOM_00133	98.86	98.575	85.928	85.629	99.43	85.928	100.0	85.928	86.228	98.86	85.629	98.575	98.86	86.228	85.928
EGEOBHOM_00134	62.722	63.314	63.905	64.497	99.094	63.314	99.396	63.314	63.314	63.314	63.314	62.722	99.094	63.314	63.314
EGEOBHOM_00135	98.75	100.0	74.375	74.375	100.0	74.375	100.0	73.125	75.625	100.0	74.375	99.375	100.0	73.75	74.375
EGEOBHOM_00136	100.0	99.913	90.58	90.58	99.74	90.761	100.0	89.894	90.399	100.0	90.58	99.827	99.827	90.58	90.58
EGEOBHOM_00137	100.0	95.95	91.589		81.62	91.9	100.0	91.589	94.393	97.196	91.589				91.9
EGEOBHOM_00138	100.0	100.0			100.0		100.0			100.0		97.619	100.0		
EGEOBHOM_00139	100.0	100.0	81.664	82.003	99.831	82.003	100.0	81.834	85.812	98.997	81.664	99.492	100.0	81.834	81.664
EGEOBHOM_00140	98.994	98.994	51.357	51.357	99.195	50.939	100.0	51.148	51.148	99.195	51.148	98.994	99.396	51.148	51.357
EGEOBHOM_00141	100.0	100.0	78.484	78.689	100.0	78.484	100.0	78.893	82.857	100.0	78.484	100.0	100.0	78.893	78.893
EGEOBHOM_00142	99.148	99.148	74.716	74.716	99.148	74.716	100.0	74.148	73.864	100.0	74.716	99.716	100.0	73.864	74.148
EGEOBHOM_00143	99.049	98.891	65.61	65.61	99.049	65.61	100.0	65.61	65.61	99.208	65.61	99.049	98.891	65.769	65.61
EGEOBHOM_00144	98.198	98.198	53.182	53.182	99.55	53.182	100.0	53.636	54.545	98.198	53.182	99.099	99.55	53.636	53.636
EGEOBHOM_00145	100.0	100.0	69.972	69.972	100.0	69.405	100.0	69.688	69.972	99.479	69.972	99.433	100.0	69.972	69.972
EGEOBHOM_00146	97.63	97.63			79.621		100.0			97.156		97.156	79.147		
EGEOBHOM_00147	98.644	98.305	59.636	60.0	99.661	59.273	100.0	57.075	57.143	99.322	59.273	98.305	98.983	59.636	59.636
EGEOBHOM_00148	100.0	100.0			98.701		100.0			98.701		100.0	97.403		
EGEOBHOM_00149	100.0	100.0			100.0		100.0			99.029		100.0	100.0		
EGEOBHOM_00150	100.0	100.0			100.0		100.0			100.0		100.0	99.038		
EGEOBHOM_00151	98.387	98.387	63.025	63.025	98.387	63.025	100.0	63.025	63.025	98.387	63.025	98.387	98.387	63.025	63.025
EGEOBHOM_00152	99.552	99.552	72.321	72.768	100.0	72.768	100.0	72.321	73.797	99.552	72.768	99.552	100.0	72.768	72.321
EGEOBHOM_00153	100.0	99.0			100.0		100.0			100.0		99.0	100.0		
EGEOBHOM_00154	98.125	98.125			98.75		100.0			98.125		98.125	98.75		
EGEOBHOM_00155	99.245	99.245	79.245	79.245	99.245	79.245	100.0	79.245	79.245	99.087	79.245	99.245	99.245	79.245	79.245
EGEOBHOM_00156	100.0	100.0	80.392	80.392	100.0	80.392	100.0	80.392	80.392	93.75	80.392	100.0	99.038	80.392	80.392
EGEOBHOM_00157	99.741	99.092	69.816	69.816	99.481	69.725	100.0	70.265	70.0	99.52	70.265	99.611	99.607	70.472	69.554
EGEOBHOM_00158	100.0				99.548		100.0					100.0			
EGEOBHOM_00159	100.0	100.0	71.613	71.613	100.0	71.613	100.0	70.968	67.883	100.0	71.613	100.0	100.0	71.613	70.968
EGEOBHOM_00160	100.0	100.0	81.905	81.905	100.0	81.905	100.0	81.905	81.905	100.0	81.905	100.0	100.0	81.905	81.905
EGEOBHOM_00161	99.767	99.767	53.453	53.046	99.535	53.453	100.0	53.197	55.263	99.535	53.197	99.767	99.302	55.526	53.197
EGEOBHOM_00162	100.0	100.0	77.54	77.54	99.734	77.807	100.0	77.273	74.026	100.0	77.54	100.0	100.0	77.54	77.273
EGEOBHOM_00163	97.143	97.143	73.469	73.469	99.048	73.469	99.048	73.196	72.449	99.048	73.469	99.048	100.0	73.196	73.469
EGEOBHOM_00164	100.0	100.0	93.151	93.151	100.0	93.151	100.0	93.151	93.151	100.0	93.151	100.0	100.0	93.151	93.151
EGEOBHOM_00165	100.0	100.0	50.831	51.163	99.688	51.163	100.0	50.0	50.0	99.435	50.166	100.0	100.0	50.331	
EGEOBHOM_00166	100.0	100.0	68.027	68.027	100.0	68.027	100.0	66.438	68.707		68.027	100.0	100.0	67.808	68.027
EGEOBHOM_00167	100.0	100.0			91.489		98.99			93.617		98.99	93.617		
EGEOBHOM_00168	100.0	100.0	53.584	53.925	99.338	52.787	99.669	52.041	53.061	98.344	53.925	98.344	99.338	52.041	52.787
EGEOBHOM_00169	100.0	100.0	76.353	76.353	100.0	76.638	100.0	76.353	76.353	99.715	76.353	100.0	100.0	76.353	76.638
EGEOBHOM_00170	99.2	99.2	57.377	57.377	99.2	56.557	99.2	57.377	57.377	99.2	58.197	98.4	99.2	57.377	57.377
EGEOBHOM_00171	100.0	99.517	52.83	52.358	100.0	51.887	100.0	52.83	52.83	99.517	51.887	100.0	100.0	52.83	51.887
EGEOBHOM_00172	100.0	100.0	79.835	79.835	100.0	79.835	100.0	79.835	79.835	100.0	79.835	100.0	100.0	79.424	79.835
EGEOBHOM_00173	99.408	100.0	57.485	57.485	100.0	57.485	99.408	57.485	57.485	100.0	57.485	99.408	100.0	57.485	57.485
EGEOBHOM_00174	97.436	98.291			98.291		100.0			95.726		97.436	98.291		
EGEOBHOM_00175	99.301	98.951	50.859	50.859	98.951	50.515	99.65	50.515	50.515	98.951	50.859	99.301	99.301	50.515	50.859
EGEOBHOM_00176	95.745	96.099			99.291		100.0			96.454		96.099	95.745		
EGEOBHOM_00177	93.923	94.659			95.203		100.0			95.028		95.018	95.948		
EGEOBHOM_00178	100.0	100.0	84.052	84.052	100.0	84.052	100.0	84.052	83.621	100.0	84.052	100.0	100.0	84.052	84.052
EGEOBHOM_00179	99.359	98.718	66.667	66.026	98.718	67.308	100.0	66.667	65.385	99.359	66.667	100.0	98.718	66.026	67.308
EGEOBHOM_00180	96.447	96.447			96.588		96.447			96.316		97.237	96.184		
EGEOBHOM_00181	91.716	90.533			91.716		90.533			90.533		91.124	91.716		
EGEOBHOM_00182	96.491	75.51			77.551		75.51			75.51		75.51	77.551		
EGEOBHOM_00183	95.604	95.604			96.703		95.604			97.802		95.604	96.703		
EGEOBHOM_00184	97.619	97.619			97.619		97.619			97.619		97.619	97.619		
EGEOBHOM_00185	97.917	98.958			96.875		98.958			98.958		94.792	96.875		
EGEOBHOM_00186	96.578	96.578			96.578		96.578			96.578		96.578	96.578		
EGEOBHOM_00187	98.603	99.162			99.441		98.603			98.045		95.28	99.721		
EGEOBHOM_00188	100.0	100.0			100.0		100.0			100.0		98.02	100.0		
EGEOBHOM_00189	99.01	99.01			83.168		100.0			100.0		87.129	100.0		
EGEOBHOM_00190	100.0	100.0			97.959		100.0			100.0		89.796	100.0		
EGEOBHOM_00191	98.333	98.333			98.333		100.0			100.0			98.333		
EGEOBHOM_00192	99.18	100.0			85.0		100.0			99.18		86.885	85.0		
EGEOBHOM_00193	96.032	96.032			99.206		100.0			96.032		96.825	91.27		
EGEOBHOM_00194	96.104	96.104			98.701		100.0			96.104		94.805	97.403		
EGEOBHOM_00195	100.0	100.0	62.5	62.5	100.0	62.5	100.0		72.222	100.0	64.103	100.0	100.0		62.5
EGEOBHOM_00196	96.226				92.453		100.0			84.906		98.113	92.453		
EGEOBHOM_00197	93.617	100.0			89.362		100.0			91.489		93.617	89.362		
EGEOBHOM_00198							100.0					99.099			
EGEOBHOM_00199	98.131	98.131			95.794		100.0			98.598		98.598	95.794		
EGEOBHOM_00200	93.243	99.091			91.892		100.0			98.182		89.865	91.892		
EGEOBHOM_00201	96.644	95.833			99.306		100.0			95.139		99.306	99.329		
EGEOBHOM_00202	97.0	98.0			99.0		100.0			96.0		97.0	99.0		
EGEOBHOM_00203					98.969		100.0					98.889	100.0		
EGEOBHOM_00204	91.667	91.667			92.958		100.0			93.519		92.593	96.296		
EGEOBHOM_00205	82.979	97.826	51.064		91.489	51.064	100.0			97.872		97.872	97.872		51.064
EGEOBHOM_00206	100.0				97.959		100.0		70.833			98.98	97.959	78.125	
