gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
JEFDOCMN_00038	50.0	50.617	97.674	97.674	50.0	95.349	50.0	51.852	98.837	50.0	97.674	50.0	50.0	98.837	96.512
JEFDOCMN_00039	54.95	55.665	97.537	97.044	55.665	97.044	55.941	55.941	96.552	54.95	97.044	55.446	55.665	96.552	97.537
JEFDOCMN_00040			97.396	97.396		96.875			98.438		97.396			98.438	97.396
JEFDOCMN_00041			99.435	100.0		99.435			99.435		100.0			98.305	
JEFDOCMN_00042	60.606	56.311	98.291	98.291	56.863	98.291	60.606	60.606	96.581	59.596	98.291	60.606	56.863	97.436	99.145
JEFDOCMN_00043															
JEFDOCMN_00044		53.659	60.0	60.0		60.0							58.025	58.75	
JEFDOCMN_00045			83.529	83.529		97.674					96.512			98.81	96.512
JEFDOCMN_00046			95.213	95.213		96.277			96.277		96.277			93.617	96.809
JEFDOCMN_00047		68.75	81.25	81.818		81.818		68.75	86.364	68.75	81.818		68.75	87.097	81.818
JEFDOCMN_00048		61.765	100.0	100.0		98.529		60.294	100.0	61.765	100.0		61.765	97.059	98.529
JEFDOCMN_00049		95.455	98.951	98.951		98.951		95.455	98.951	95.455	96.085		95.455	98.951	98.951
JEFDOCMN_00050			98.049	98.049		98.537			98.049		98.537			99.024	97.561
JEFDOCMN_00051			95.918	95.918		95.918			95.918		94.898			95.918	92.857
JEFDOCMN_00052	58.696	59.006	81.931	82.243	58.696	82.243	58.385	59.006	81.875	59.006	81.931	59.006	58.696	82.5	79.439
JEFDOCMN_00053			78.571	84.286		76.667			91.429		84.286			98.095	84.286
JEFDOCMN_00054			97.2	97.6		97.2			99.6		97.6			99.6	96.8
JEFDOCMN_00055			75.641	75.0		75.641			99.359		75.641			99.359	75.641
JEFDOCMN_00056			98.367	98.367		97.959					98.367			100.0	98.367
JEFDOCMN_00057									88.235					97.521	
JEFDOCMN_00058			98.663	98.663		98.663					98.396			98.936	98.128
JEFDOCMN_00059			97.458	97.458		95.763					97.458			99.174	97.458
JEFDOCMN_00060	53.333	53.333	83.75	83.75	53.333	83.75	53.333	53.333	95.0	53.333	83.75		53.333	100.0	98.75
JEFDOCMN_00061			87.654	87.654		87.243			99.608		87.243			99.608	99.216
JEFDOCMN_00062			74.525	74.525		74.525			100.0		74.525			100.0	100.0
JEFDOCMN_00063						98.799									
JEFDOCMN_00064			98.594	98.438		99.531			64.748		98.594			98.438	98.438
JEFDOCMN_00065	50.0		97.143	97.143	50.0	97.143	50.0	50.0	90.0		97.143			97.143	97.143
JEFDOCMN_00066			99.541	99.541		99.083			100.0		99.541			99.541	99.541
JEFDOCMN_00067			100.0	99.02		100.0			100.0		100.0			100.0	100.0
JEFDOCMN_00068	55.882	55.882	100.0	100.0	55.882	100.0	55.882	55.882	100.0	55.882	100.0		55.882	100.0	100.0
JEFDOCMN_00069			80.312	80.312		80.117					79.922			97.656	79.532
JEFDOCMN_00070	84.932	84.932	100.0	100.0	84.932	100.0	84.932	84.932	100.0	84.932	98.667		84.932	100.0	100.0
JEFDOCMN_00071															
JEFDOCMN_00072															
JEFDOCMN_00073															
JEFDOCMN_00074															
JEFDOCMN_00075									96.364						89.091
JEFDOCMN_00076			95.935	95.935		95.122			97.561		96.748			93.496	96.748
JEFDOCMN_00077															
JEFDOCMN_00078									97.647						100.0
JEFDOCMN_00079															
JEFDOCMN_00080			100.0	100.0		100.0			96.721		100.0			100.0	98.361
JEFDOCMN_00082															
JEFDOCMN_00083															
JEFDOCMN_00084															
JEFDOCMN_00085			95.238			97.619					97.619			100.0	97.619
JEFDOCMN_00086			96.429			95.238			95.238		96.429			98.81	95.238
JEFDOCMN_00087															
JEFDOCMN_00088															
JEFDOCMN_00089															
JEFDOCMN_00090															
JEFDOCMN_00091															
JEFDOCMN_00092															
JEFDOCMN_00093	94.505	94.78	98.352		94.231	98.626	94.505	94.505		94.78	98.626		94.78		98.069
JEFDOCMN_00094															
JEFDOCMN_00095															
JEFDOCMN_00096															
JEFDOCMN_00097															
JEFDOCMN_00098															
JEFDOCMN_00099															
JEFDOCMN_00100															
JEFDOCMN_00101															
JEFDOCMN_00102															
JEFDOCMN_00103			97.727	97.727		97.727			97.727		97.727			97.727	97.727
JEFDOCMN_00104	92.982	92.982	99.138	99.138	92.982	99.138	92.982	92.982	100.0	92.982	99.138	92.982	92.982	100.0	99.138
JEFDOCMN_00105					60.0		60.0	60.0	100.0	60.0		60.0	60.0		
JEFDOCMN_00106			100.0	95.714		98.571			94.286		95.714			100.0	98.571
JEFDOCMN_00107	67.133	67.133	100.0	100.0	67.133	100.0	66.434	66.434	100.0	64.423	100.0	67.133	67.133	100.0	100.0
JEFDOCMN_00108			99.837	99.837	90.341	99.837				83.565	99.673	90.341	84.725	99.837	100.0
JEFDOCMN_00109	52.14	52.529	98.227	98.227	52.14	97.872	52.14	52.918	98.587		98.227	52.918	52.14	100.0	98.227
JEFDOCMN_00110	50.638	50.213	100.0	100.0	50.213	100.0	50.213	51.064	100.0	50.213	100.0	51.064	50.213	100.0	100.0
JEFDOCMN_00111			100.0	100.0		99.16			97.479		100.0			100.0	100.0
JEFDOCMN_00112			91.489	91.489		91.489			98.345		91.489			99.764	91.489
JEFDOCMN_00113			98.413	98.73		99.048			98.73		98.73			99.048	98.413
JEFDOCMN_00114	83.779	83.779	99.423	99.423	83.779	99.423	83.779	83.588	99.423	83.46	99.423	83.779	83.779	100.0	99.423
JEFDOCMN_00115	80.645	80.645	100.0	100.0	80.645	100.0	80.645	80.645	100.0	80.645	100.0	80.645	80.0	100.0	100.0
JEFDOCMN_00116			82.39	82.39		83.019			93.038		82.39			96.203	83.648
JEFDOCMN_00117	84.483	84.582	98.101	98.101	84.483	98.734	83.621	84.582	98.734	84.685	98.101	84.582	84.483	98.945	98.734
JEFDOCMN_00118	50.667		100.0	100.0		100.0			98.81	50.0	100.0			100.0	98.81
JEFDOCMN_00119	83.667	83.333	99.331	99.331	83.667	99.666	83.667	83.333	100.0	83.667	99.331	83.667	83.667	99.666	99.331
JEFDOCMN_00120	70.79	70.79	99.313	99.313	70.79	99.313	70.79	70.79	99.656	70.79	99.313	70.79	70.79	99.656	99.313
JEFDOCMN_00121	81.25	81.25	100.0	100.0	81.25	100.0	81.25	81.25	100.0	81.197	100.0	81.25	81.25	100.0	100.0
JEFDOCMN_00122	75.532	75.532	99.645	99.645	75.532	99.291	75.532	75.532	100.0	75.532	99.645	75.532	75.532	100.0	99.645
JEFDOCMN_00123			100.0	100.0		100.0			97.5		100.0			100.0	100.0
JEFDOCMN_00124	84.737	84.737	97.895	98.421	84.737	98.421	91.579	91.579	98.596	84.912	98.421	85.088	84.737	98.947	97.719
JEFDOCMN_00125	96.923	97.163	100.0	100.0	97.163	100.0	96.923	96.923	100.0	96.923	100.0	97.163	97.163	100.0	100.0
JEFDOCMN_00126	72.785	72.152	96.203	96.203	72.152	96.203	72.152	72.152	100.0	72.152	96.203	72.152	72.152	100.0	96.203
JEFDOCMN_00127	79.381	79.381	97.475	97.475	79.381	97.475	79.381	79.381	100.0	78.866	97.475	79.381	79.381	100.0	97.475
JEFDOCMN_00128	67.671	67.752	91.632	91.468	68.219	91.715	67.752	67.752	91.646	67.627	91.632	67.752	68.301	97.531	91.632
JEFDOCMN_00129	71.342	71.342	97.024	97.024	71.342	97.024	71.084	71.084	97.976	72.594	97.024	71.342	71.342	99.167	97.381
JEFDOCMN_00130			94.828	95.259		96.49			97.31		95.054			97.972	93.033
JEFDOCMN_00131	55.8	56.604	87.205	87.081	56.468	87.329	56.219	56.468	83.54	56.73	87.702	56.888	55.734	94.037	84.824
JEFDOCMN_00132			89.773	87.5		89.773			87.209		86.364			88.636	59.016
JEFDOCMN_00133	61.538	61.538	88.372	86.047	61.538	88.372	61.538	61.538	93.023	61.538	88.372	61.538	61.538	100.0	88.372
JEFDOCMN_00134	77.193	77.632	96.93	96.93	78.07	96.93	78.509	78.509	97.368	77.477	96.93	77.632	78.509	98.246	96.491
JEFDOCMN_00135	86.034	86.034	99.441	100.0	86.034	99.441	86.034	86.034	100.0	86.034	100.0	86.592	86.034	100.0	100.0
JEFDOCMN_00136	81.974	82.403	98.298	98.298	81.974	98.298	81.974	81.974	99.149	82.403	98.298	82.833	81.974	99.574	98.723
JEFDOCMN_00137	86.228	86.228	97.904	97.605	85.928	97.904	85.928	85.928	98.802	86.228	97.605	85.928	85.629	98.802	97.904
JEFDOCMN_00138														62.637	
JEFDOCMN_00139															
JEFDOCMN_00140															
JEFDOCMN_00141	73.125	73.125	98.125	96.875	73.125	98.125	73.125	73.125	96.875	73.125	96.25	73.125	73.125	98.125	98.125
JEFDOCMN_00142	89.894	89.805	99.187	97.38	89.805	99.097	89.894	89.894	99.006	90.61	97.561	89.716	89.982	99.006	99.006
JEFDOCMN_00143	91.589	89.097	98.754		75.389	99.688	91.589	91.589	90.343	88.785	98.754				98.442
JEFDOCMN_00144			97.101	98.551		100.0			97.101		98.551			98.551	98.551
JEFDOCMN_00145	85.812	85.812	99.662	99.662	81.834	99.831	81.834	85.812	94.304	84.461	99.662	81.664	81.834	99.831	99.662
JEFDOCMN_00146	51.357	51.357	99.27	99.088	51.357	99.453	51.148	51.148	99.635	51.357	99.088	51.148	51.357	100.0	99.27
JEFDOCMN_00147	78.893	78.893	99.593	99.796	78.893	99.593	78.893	78.893	99.647	78.893	99.185	78.893	78.893	100.0	100.0
JEFDOCMN_00148	73.864	73.864	98.847	98.271	74.432	98.847	74.148	74.148	98.847	74.148	98.847	73.864	74.148	99.424	99.712
JEFDOCMN_00149	65.927	65.61	99.366	99.208	65.769	99.366	65.61	65.61	97.94	65.452	99.366	65.769	65.927	99.842	99.525
JEFDOCMN_00150	54.091	53.636	97.727	97.727	54.091	97.727	53.636	53.636	95.909	53.636	97.727	53.636	54.091	98.636	100.0
JEFDOCMN_00151	69.688	69.688	98.864	99.148	69.688	98.295	69.688	69.688	98.864	64.583	98.58	69.688	69.688	99.432	99.716
JEFDOCMN_00152	54.425	57.075	92.273	92.727	57.075	92.273	57.075	57.075	80.088	57.075	92.273	57.547	57.075	92.727	92.727
JEFDOCMN_00153	80.769	80.769	98.305	93.22	80.769	96.61	80.769	80.769	92.453	80.769	96.61	82.692	80.769	94.915	94.915
JEFDOCMN_00154			96.203	97.468		97.468			96.203		97.468			100.0	100.0
JEFDOCMN_00155			99.038	98.077		98.077			99.038		98.077			100.0	99.038
JEFDOCMN_00156			97.115	97.115		97.115			100.0		97.115			100.0	98.077
JEFDOCMN_00157	63.025	63.025	98.374	98.374	63.025	98.374	63.025	63.025	100.0	63.025	98.374	63.025	63.025	98.374	99.187
JEFDOCMN_00158			97.685	97.222		96.759					96.759				98.611
JEFDOCMN_00159	72.768	72.768	100.0	98.673	72.321	98.673	72.321	72.321	100.0	72.768	98.673	72.321	72.321	99.558	98.23
JEFDOCMN_00160			96.721	95.902		97.541			95.082		97.541			98.361	100.0
JEFDOCMN_00161			98.413	100.0		98.571			97.143		98.571			100.0	100.0
JEFDOCMN_00162			99.291	97.872		99.291			97.872		99.291			96.454	97.872
JEFDOCMN_00163	79.245	79.245	99.245	99.245	79.245	99.245	79.245	79.245	99.245	78.539	99.245	79.245	79.245	99.245	99.623
JEFDOCMN_00164	80.392	80.392	100.0	100.0	80.392	100.0	80.392	80.392	100.0	73.438	100.0	80.392	80.392	99.038	100.0
JEFDOCMN_00165	67.803	67.803	98.8	99.2	67.803	98.8	67.803	67.803	99.602	67.803	99.203	67.803	67.803	99.2	99.6
JEFDOCMN_00166									100.0		100.0				
JEFDOCMN_00167	70.468	70.226	99.307	99.307	70.468	99.169	70.265	70.265	99.795		99.307	70.468	71.031	97.645	99.584
JEFDOCMN_00168	81.905	81.905	99.138	99.138	81.905	99.138	81.905	81.905	99.138	81.905	99.138	81.905	81.905	99.138	99.138
JEFDOCMN_00169	53.247	53.247	97.368	97.105	52.987	97.368	53.247	53.247	98.421	52.987	96.842	52.987	52.987	98.947	96.579
JEFDOCMN_00170	73.593	73.593	99.202	99.734	77.005	99.202	77.273	73.593	99.142	73.593	99.202	77.273	77.273	99.734	99.734
JEFDOCMN_00171	72.165	72.165	97.273	96.364	73.196	96.364	73.196	73.196	95.455	73.196	97.273	73.196	73.196	100.0	96.364
JEFDOCMN_00172	93.151	93.151	100.0	100.0	93.151	100.0	93.151	93.151	100.0	93.151	100.0	93.151	93.151	100.0	100.0
JEFDOCMN_00173			89.474	89.223		89.474			94.236		90.977			97.455	90.226
JEFDOCMN_00174	66.438	66.438	96.575	97.26	66.438	96.575	66.438	66.438	97.26		96.575	66.438	66.438	97.279	96.575
JEFDOCMN_00175						93.333								71.324	
JEFDOCMN_00176									97.368					100.0	
JEFDOCMN_00177			81.111	81.111		81.111			98.889		81.111			100.0	81.111
JEFDOCMN_00178	51.084	51.084	90.096	89.457	51.393	89.776	52.041	52.041	98.083	52.012	90.096	51.703	51.393	99.681	89.776
JEFDOCMN_00179	76.353	76.353	99.043	99.043	76.353	99.043	76.353	76.353	99.282	76.353	99.043	76.353	76.353	100.0	99.043
JEFDOCMN_00180	57.377	57.377	99.187	99.187	57.377	99.187	57.377	57.377	100.0	57.377	99.187	56.557	57.377	100.0	100.0
JEFDOCMN_00181	52.83	53.302	100.0	99.535	52.83	98.605	52.83	52.83	99.535	52.83	98.605	52.83	52.83	99.535	98.14
JEFDOCMN_00182	79.835	79.835	100.0	100.0	79.835	100.0	79.835	79.835	100.0	79.835	100.0	79.835	79.835	99.595	100.0
JEFDOCMN_00183	56.886	57.485	99.405	99.405	57.485	99.405	57.485	57.485	100.0	57.485	98.214	57.485	57.485	99.405	98.81
JEFDOCMN_00184	50.172	50.172	91.696	91.696	50.172	91.349	50.515	50.172	98.962	50.172	91.696	50.172	50.172	99.308	91.349
JEFDOCMN_00185			68.306	68.306		68.852			96.175		68.306			98.361	68.306
JEFDOCMN_00186			94.7	94.346		94.7			94.7		94.7			97.88	94.7
JEFDOCMN_00187			94.792	94.792		92.882			52.768		92.689			99.826	96.007
JEFDOCMN_00188	84.052	84.052	100.0	100.0	84.052	100.0	84.052	84.052	99.138	84.052	100.0	84.052	84.052	100.0	100.0
JEFDOCMN_00189	66.667	67.308	98.71	99.355	66.026	98.065	66.667	66.667	98.065	66.667	98.71	66.667	66.026	99.355	98.065
JEFDOCMN_00190									95.745					94.043	
JEFDOCMN_00191														97.797	
JEFDOCMN_00192														97.368	
JEFDOCMN_00193			73.684	73.684		87.692			93.0		77.895			93.0	83.158
JEFDOCMN_00194			82.404	82.2		81.165			90.335		81.784			80.859	81.784
JEFDOCMN_00195			89.305	88.77		87.701			97.861		88.235			82.353	88.235
JEFDOCMN_00196			83.544	93.671		93.671			93.671		93.671			79.747	93.671
JEFDOCMN_00197			98.795	98.795		98.795			97.59		98.795			98.795	98.795
JEFDOCMN_00198			100.0	100.0		100.0			94.737		100.0			100.0	100.0
JEFDOCMN_00199			91.743	90.826		89.908			96.33					97.248	90.826
JEFDOCMN_00200									93.252		96.319			97.546	
JEFDOCMN_00201			87.582	83.553		97.333			88.0		87.582			97.333	84.868
JEFDOCMN_00202			80.435	80.435		81.522			97.826						80.435
JEFDOCMN_00203	54.348	52.174	87.805		54.348	87.805			81.395	52.174		52.174	52.174	85.366	87.805
JEFDOCMN_00204			96.825	96.825		96.825			93.651					100.0	96.825
