gene	AP018714	AP018715	Ben	Bill	Bob	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
KEBGJNKE_00065	58.232	58.537	99.377	100.0	58.232	57.927	58.537	82.243	81.571	58.537	99.688	58.537	58.232	81.269	94.393
KEBGJNKE_00066			97.115	90.952				76.667	79.524		91.905			77.143	89.524
KEBGJNKE_00067			100.0	99.6				97.2	96.8		99.6			97.2	99.6
KEBGJNKE_00068			100.0	99.359				75.641	75.641		100.0			75.0	100.0
KEBGJNKE_00069			100.0	100.0							100.0				98.864
KEBGJNKE_00070			100.0	99.091							100.0				99.091
KEBGJNKE_00071			99.597	99.597				97.959			99.597			97.959	99.597
KEBGJNKE_00072			99.734	99.468				98.663			99.468			99.465	99.468
KEBGJNKE_00073			99.187	99.593							99.593				98.374
KEBGJNKE_00074			99.454	100.0							100.0				98.361
KEBGJNKE_00075			97.619	98.413				95.763			98.413			96.61	98.387
KEBGJNKE_00076	52.0	52.0	100.0	100.0	52.0	52.0	52.0	83.75	79.487	52.0	100.0		52.0	83.75	85.0
KEBGJNKE_00077			99.605	99.605				87.243	86.831		99.209			86.345	85.944
KEBGJNKE_00078			100.0	100.0				74.525	74.525		100.0			74.525	74.525
KEBGJNKE_00079								98.799							
KEBGJNKE_00080			98.438	98.594				99.531	64.568		98.438			98.594	98.594
KEBGJNKE_00081	50.0		100.0	100.0	50.0	50.0	50.0	97.143	92.857		100.0			100.0	100.0
KEBGJNKE_00082			99.548	99.548				99.083	99.095		99.548			99.548	99.548
KEBGJNKE_00083			100.0	99.02				100.0	100.0		100.0			100.0	100.0
KEBGJNKE_00084	55.882	55.882	100.0	100.0	55.882	55.882	55.882	100.0	100.0	55.882	100.0		55.882	100.0	100.0
KEBGJNKE_00085			99.609	99.804				80.117			99.413			79.727	99.413
KEBGJNKE_00086	84.932	84.932	100.0	100.0	84.932	84.932	84.932	100.0	100.0	84.932	98.667		84.932	100.0	100.0
KEBGJNKE_00087															
KEBGJNKE_00088															
KEBGJNKE_00089															
KEBGJNKE_00090															
KEBGJNKE_00091			99.187	99.187				95.122	95.935		98.374			96.748	91.87
KEBGJNKE_00092															
KEBGJNKE_00093															
KEBGJNKE_00094			100.0	100.0				100.0	96.721		100.0			100.0	98.361
KEBGJNKE_00096															
KEBGJNKE_00097															
KEBGJNKE_00098															
KEBGJNKE_00099			97.619					97.619			100.0			97.619	100.0
KEBGJNKE_00100			98.81					95.238	97.619		98.81			96.429	100.0
KEBGJNKE_00101	84.375				84.375	84.375									
KEBGJNKE_00102															
KEBGJNKE_00103															
KEBGJNKE_00104															
KEBGJNKE_00105															
KEBGJNKE_00106															
KEBGJNKE_00107															
KEBGJNKE_00108	94.505	94.78	99.725		94.231	94.505	94.505	98.626		94.78	100.0		94.78		100.0
KEBGJNKE_00109															
KEBGJNKE_00110															
KEBGJNKE_00111															
KEBGJNKE_00112															
KEBGJNKE_00113															
KEBGJNKE_00114															
KEBGJNKE_00115															
KEBGJNKE_00116															
KEBGJNKE_00117															
KEBGJNKE_00118			97.727	97.727				97.727	97.727		97.727			97.727	100.0
KEBGJNKE_00119	93.86	93.86	100.0	100.0	93.86	93.86	93.86	99.138	99.138	93.86	100.0	93.86	93.86	99.138	100.0
KEBGJNKE_00120			98.571	97.143				98.571	95.714		97.143			98.571	97.143
KEBGJNKE_00121	67.133	67.133	100.0	100.0	67.133	66.434	66.434	100.0	100.0	64.423	100.0	67.133	67.133	100.0	100.0
KEBGJNKE_00122			100.0	100.0	90.341			99.837		83.333	99.837	90.341	84.521	100.0	100.0
KEBGJNKE_00123	52.14	52.529	98.936	98.936	52.14	52.14	52.918	97.872	97.527		98.936	52.918	51.751	97.872	98.936
KEBGJNKE_00124	50.638	50.213	100.0	100.0	50.213	50.213	51.064	100.0	100.0	50.213	100.0	51.064	50.213	100.0	100.0
KEBGJNKE_00125			99.16	99.16				99.16	96.639		99.16			99.16	99.16
KEBGJNKE_00126			100.0	100.0				91.489	90.544		100.0			91.726	100.0
KEBGJNKE_00127			99.365	99.683				99.048	97.778		99.683			100.0	99.365
KEBGJNKE_00128	83.779	83.779	100.0	100.0	83.779	83.779	83.588	99.423	100.0	83.46	100.0	83.779	83.779	99.423	100.0
KEBGJNKE_00129	80.645	80.645	100.0	100.0	80.645	80.645	80.645	100.0	100.0	80.645	100.0	80.645	80.0	100.0	100.0
KEBGJNKE_00130			99.367	99.367			51.923	84.277	87.342		99.367			83.019	99.367
KEBGJNKE_00131	85.129	85.225	99.156	99.156	85.129	84.267	85.225	98.734	99.156	85.586	99.156	85.225	85.129	99.367	100.0
KEBGJNKE_00132	50.667		100.0	100.0				100.0	98.81	50.0	100.0			100.0	98.81
KEBGJNKE_00133	83.667	83.333	99.666	99.666	83.667	83.667	83.333	99.666	99.666	83.667	99.666	83.667	83.667	99.331	99.666
KEBGJNKE_00134	71.134	71.134	100.0	100.0	71.134	71.134	71.134	99.313	99.656	71.134	100.0	71.134	71.134	99.656	100.0
KEBGJNKE_00135	81.25	81.25	100.0	100.0	81.25	81.25	81.25	100.0	100.0	81.197	100.0	81.25	81.25	100.0	100.0
KEBGJNKE_00136	75.177	75.177	99.645	99.645	75.177	75.177	75.177	99.291	99.291	75.177	99.645	75.177	75.177	99.291	99.645
KEBGJNKE_00137			100.0	100.0				100.0	97.5		100.0			100.0	100.0
KEBGJNKE_00138	85.439	85.439	99.474	100.0	85.439	91.93	91.93	98.421	98.07	85.263	99.298	85.614	85.439	98.772	99.298
KEBGJNKE_00139	96.923	97.163	100.0	100.0	97.163	96.923	96.923	100.0	100.0	96.923	100.0	97.163	97.163	100.0	100.0
KEBGJNKE_00140	73.418	72.785	100.0	100.0	72.785	72.785	72.785	96.203	96.203	72.785	100.0	72.785	72.785	96.203	100.0
KEBGJNKE_00141	79.897	79.897	100.0	100.0	79.897	79.897	79.897	97.475	97.475	79.381	100.0	79.897	79.897	97.475	100.0
KEBGJNKE_00142	68.075	68.156	99.918	99.754	68.704	68.156	68.156	91.715	86.825	68.146	99.918	68.156	68.786	93.273	99.918
KEBGJNKE_00143	64.286	64.286	100.0	100.0	64.286	64.156	64.156	97.024	96.429	64.861	100.0	64.286	64.286	96.667	99.643
KEBGJNKE_00144	73.339	73.339	98.016	94.955	73.255	73.255	73.255	96.49	95.69	73.339	99.324	73.339	73.339	96.552	97.798
KEBGJNKE_00145	55.556	56.049	99.876	96.522	56.173	55.926	56.049	87.329	80.273	56.173	97.64	56.633	55.936	86.211	94.606
KEBGJNKE_00146			100.0	96.708					67.333		96.296			80.658	
KEBGJNKE_00147	62.222	62.222	100.0	95.918	62.222	62.222	62.222	88.372	95.349	62.222	97.959	62.222	62.222	89.796	97.959
KEBGJNKE_00148	77.632	78.07	100.0	100.0	78.509	78.947	78.947	96.93	97.807	77.928	99.561	78.07	78.947	98.684	99.561
KEBGJNKE_00149	85.475	85.475	100.0	99.441	85.475	85.475	85.475	99.441	99.441	85.475	99.441	86.034	85.475	99.441	99.441
KEBGJNKE_00150	81.974	82.403	100.0	99.149	81.974	81.974	81.974	98.298	97.447	82.403	99.149	81.974	81.974	97.872	99.574
KEBGJNKE_00151	86.228	86.228	100.0	99.701	85.928	85.928	85.928	97.904	98.503	86.228	99.701	85.928	85.629	98.503	100.0
KEBGJNKE_00152	63.913	66.814	99.908	97.16					56.326	66.96	97.758	66.814		55.919	99.817
KEBGJNKE_00153	74.375	74.375	100.0	98.75	74.375	74.375	74.375	98.125	98.75	74.375	98.125	74.375	74.375	98.75	100.0
KEBGJNKE_00154	90.761	90.761	99.548	98.193	90.67	90.761	90.761	99.097	99.187	91.08	98.374	90.58	90.851	99.368	99.368
KEBGJNKE_00155	91.9	89.408	99.065		75.389	91.9	91.9	99.688	90.654	89.097	99.065				98.754
KEBGJNKE_00156			97.101	98.551				100.0	97.101		98.551			98.551	98.551
KEBGJNKE_00157	85.812	85.812	99.493	99.493	82.003	82.003	85.812	99.831	94.304	84.461	99.493	81.834	82.003	99.662	99.493
KEBGJNKE_00158	50.939	50.939	99.453	99.27	50.939	50.939	50.939	99.453	99.088	50.939	99.27	50.731	50.939	99.453	99.453
KEBGJNKE_00159	78.484	78.484	100.0	99.796	78.484	78.484	78.484	99.593	99.647	78.484	99.593	78.484	78.484	99.593	99.593
KEBGJNKE_00160	74.432	74.432	100.0	99.424	75.0	74.716	74.716	98.847	97.695	74.716	100.0	74.432	74.716	98.847	98.559
KEBGJNKE_00161	65.927	65.61	100.0	99.842	65.769	65.61	65.61	99.366	97.94	65.452	100.0	65.769	65.927	99.525	99.842
KEBGJNKE_00162	53.636	53.182	100.0	100.0	53.636	53.182	53.182	97.727	93.636	53.182	100.0	53.182	53.636	97.273	97.727
KEBGJNKE_00163	69.972	69.972	99.432	99.148	69.972	69.972	69.972	98.295	98.58	64.583	99.715	69.972	69.972	98.58	98.58
KEBGJNKE_00164	59.273	59.273	99.66	98.639	59.273	59.273	59.273	92.273	80.906	59.273	100.0	60.0	59.273	98.639	97.959
KEBGJNKE_00165			98.734	100.0				97.468	98.734		100.0			97.468	97.468
KEBGJNKE_00166			99.038	98.077				98.077	99.038		100.0			98.077	99.038
KEBGJNKE_00167			100.0	100.0				97.115	97.115		100.0			97.115	99.038
KEBGJNKE_00168	63.025	63.025	100.0	100.0	63.025	63.025	63.025	98.374	98.374	63.025	100.0	63.025	63.025	100.0	97.561
KEBGJNKE_00169			98.148	99.537				96.759			100.0				98.148
KEBGJNKE_00170	73.214	73.214	98.673	100.0	72.768	72.768	72.768	98.673	100.0	73.214	100.0	72.768	72.768	99.115	99.558
KEBGJNKE_00171			99.18	95.082				97.541	93.443		100.0			96.721	97.541
KEBGJNKE_00172			100.0	98.571				98.571	98.571		100.0			98.571	98.571
KEBGJNKE_00173			100.0	98.582				99.291	97.163		100.0			95.745	97.163
KEBGJNKE_00174	79.245	79.245	100.0	100.0	79.245	79.245	79.245	99.245	100.0	78.539	100.0	79.245	79.245	100.0	99.623
KEBGJNKE_00175	80.392	80.392	100.0	100.0	80.392	80.392	80.392	100.0	100.0	73.438	100.0	80.392	80.392	99.038	100.0
KEBGJNKE_00176	69.856	69.789	99.898	99.796	69.856	69.725	69.725	99.169	99.384	69.44	99.861	69.856	70.576	97.344	98.876
KEBGJNKE_00177	81.905	81.905	100.0	100.0	81.905	81.905	81.905	99.138	100.0	81.905	100.0	81.905	81.905	100.0	100.0
KEBGJNKE_00178	53.506	53.506	100.0	99.474	53.247	53.506	53.506	97.368	97.368	53.247	99.474	53.247	53.247	96.842	98.684
KEBGJNKE_00179	74.459	74.459	99.468	99.468	77.54	77.807	74.459	99.202	98.712	74.459	99.468	77.807	77.807	99.468	99.468
KEBGJNKE_00180	72.449	72.449	99.091	100.0	73.469	73.469	73.469	96.364	98.182	73.469	99.091	73.469	73.469	96.364	99.091
KEBGJNKE_00181	93.151	93.151	100.0	100.0	93.151	93.151	93.151	100.0	100.0	93.151	100.0	93.151	93.151	100.0	100.0
KEBGJNKE_00182	50.637	50.637	97.243	96.992	50.318	50.637	50.637	89.474	93.233		97.243	50.637	50.637	90.181	98.246
KEBGJNKE_00183	68.027	68.027	99.324	97.973	68.027	68.027	68.027	96.575	97.959		99.324	68.027	68.027	98.63	99.324
KEBGJNKE_00184								93.333						68.382	
KEBGJNKE_00185			96.667	100.0				81.111	80.0		98.889			81.111	97.778
KEBGJNKE_00186	53.271	53.271	98.403	99.042	53.583	52.787	52.787	89.776	91.374	52.96	99.681	53.583	53.583	90.096	100.0
KEBGJNKE_00187	76.638	76.638	99.522	99.522	76.638	76.638	76.638	99.043	99.761	76.638	99.522	76.638	76.638	99.043	100.0
KEBGJNKE_00188	56.557	56.557	98.374	98.374	56.557	56.557	56.557	99.187	99.187	56.557	98.374	55.738	56.557	99.187	99.187
KEBGJNKE_00189	51.887	51.887	98.605	99.07	51.887	51.887	51.887	98.605	98.14	51.887	100.0	51.887	51.887	98.14	99.535
KEBGJNKE_00190	79.835	79.835	100.0	100.0	79.835	79.835	79.835	100.0	100.0	79.835	100.0	79.835	79.835	99.595	100.0
KEBGJNKE_00191	56.886	57.485	100.0	100.0	57.485	57.485	57.485	99.405	99.405	57.485	98.81	57.485	57.485	98.81	99.405
KEBGJNKE_00192	50.859	50.859	99.308	99.308	50.859	50.515	50.859	91.349	91.003	50.859	98.616	50.859	50.859	91.003	98.962
KEBGJNKE_00193			99.454	98.907				68.852	69.945		98.361			68.852	99.454
KEBGJNKE_00194			97.88	97.527				94.7	93.993		98.587			96.113	98.587
KEBGJNKE_00195			93.576	93.576				92.882	52.941		91.123			92.882	94.097
KEBGJNKE_00196	84.052	84.052	100.0	100.0	84.052	84.052	84.052	100.0	99.138	84.052	100.0	84.052	84.052	100.0	100.0
KEBGJNKE_00197	67.308	66.667	99.355	98.71	66.667	67.308	67.308	98.065	96.129	67.308	99.355	67.308	66.667	98.71	100.0
KEBGJNKE_00198			69.792	69.792				71.579	74.737		72.917			74.737	81.818
KEBGJNKE_00199			97.277	96.79				81.413	76.999		99.38			93.742	98.515
KEBGJNKE_00200			96.791	96.257				87.701	88.77		96.791			88.77	97.861
KEBGJNKE_00201			84.81	97.468				93.671	88.608		100.0			81.013	97.468
KEBGJNKE_00202			100.0	100.0				98.795	96.386		100.0			100.0	100.0
KEBGJNKE_00203			99.145	99.145					88.034		99.145				99.145
KEBGJNKE_00204				95.604							96.703				
KEBGJNKE_00205			98.198	97.297				89.908	86.239					87.156	97.297
KEBGJNKE_00206			98.039	98.0											
KEBGJNKE_00207			88.235	85.526				97.333	88.0		88.235			97.333	85.526
KEBGJNKE_00208			98.913	97.826				81.522	83.696						98.913
KEBGJNKE_00209	55.319	58.14	100.0		57.447	51.064	51.064	87.805	87.805	55.319		55.319	55.319	95.455	100.0
KEBGJNKE_00210			96.825	100.0				96.825	93.651					96.825	100.0
KEBGJNKE_00211			99.265	83.824											97.794
