gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
NGDEOPKE_00052	100.0	99.315			94.521		96.0			94.521		95.205	99.315		
NGDEOPKE_00053	99.351	97.403			97.403		94.805			96.104		97.403	90.26		
NGDEOPKE_00054	96.053	92.647			89.474		86.842			86.486		92.105	81.944		
NGDEOPKE_00055	82.639	81.944			85.417		82.639			81.944		86.111	85.417		
NGDEOPKE_00056	97.403	87.879			97.403		92.424			95.455		97.403	96.104		
NGDEOPKE_00057	93.056	91.667			98.611		95.139			92.361		96.528	98.611		
NGDEOPKE_00058	88.235	84.314			100.0		100.0	50.0		84.314		98.039	100.0		
NGDEOPKE_00059	96.519	99.684	58.232	58.537	99.684	58.537	98.734	59.006	65.635	100.0	58.232	100.0	99.367	65.635	58.537
NGDEOPKE_00060		100.0	91.339	91.339		91.339			90.551	99.225	91.339		100.0		91.339
NGDEOPKE_00061		98.0	60.294	60.294		60.294		60.294	60.294	98.0	60.294		98.0	60.294	60.294
NGDEOPKE_00062		100.0	95.105	95.105		95.105		95.455	96.503	99.65	94.306		100.0	96.503	95.105
NGDEOPKE_00063	100.0	100.0			100.0		100.0			100.0			100.0		
NGDEOPKE_00064															
NGDEOPKE_00065	100.0	100.0			100.0		100.0			100.0			100.0		
NGDEOPKE_00066	100.0	100.0			99.187		99.187			100.0			99.187		
NGDEOPKE_00067															
NGDEOPKE_00068	99.74	99.221					99.217			99.739			98.153		
NGDEOPKE_00069	99.422	99.422					98.844			99.422					
NGDEOPKE_00070	100.0	100.0			100.0		100.0			100.0			100.0		
NGDEOPKE_00071	100.0	100.0	52.0	52.0	100.0	52.0	100.0	53.333	53.947	98.765	52.0		100.0	53.333	53.333
NGDEOPKE_00072	100.0	98.551	50.0	50.0	100.0	50.0	100.0	50.0	50.0	98.551	50.0		98.551	50.0	50.0
NGDEOPKE_00073	100.0	100.0			100.0		100.0			100.0			99.02		
NGDEOPKE_00074	100.0	97.403	55.882	55.882	100.0	55.882	100.0	55.882	55.882	97.403	55.882		97.403	55.882	55.882
NGDEOPKE_00075	100.0	100.0	84.932	84.932	100.0	84.932	100.0	84.932	84.932	100.0	83.562		100.0	84.932	84.932
NGDEOPKE_00076	96.0				96.0	76.0	96.0								
NGDEOPKE_00077															
NGDEOPKE_00078	100.0	99.725	94.231		99.725	94.505	100.0	94.505		99.725	94.505		99.176		95.367
NGDEOPKE_00079															
NGDEOPKE_00080															
NGDEOPKE_00081															
NGDEOPKE_00082															
NGDEOPKE_00083															
NGDEOPKE_00084															
NGDEOPKE_00085	100.0	97.345			97.345		100.0			99.115		99.115	99.115		
NGDEOPKE_00086	100.0	100.0	93.86	93.86	100.0	93.86	100.0	92.982	92.982	100.0	93.86	100.0	100.0	92.982	93.86
NGDEOPKE_00087					100.0		100.0	60.0	60.0	100.0		100.0	100.0		
NGDEOPKE_00088	98.889	100.0			100.0		100.0			100.0		100.0	100.0		
NGDEOPKE_00089	99.301	99.301	66.434	66.434	99.301	66.434	100.0	66.434	66.434	99.038	66.434	99.301	99.301	66.434	66.434
NGDEOPKE_00090	100.0	100.0	91.111	91.111	100.0	91.111	100.0	91.111	91.667	100.0	91.111	100.0	100.0	91.111	91.111
NGDEOPKE_00091		99.675					100.0								
NGDEOPKE_00092	99.329	99.329	79.195	79.195	99.329	79.195	99.329	79.195	77.064	99.329	79.195	99.329	99.329	79.195	77.064
NGDEOPKE_00093	98.099	97.338	52.918	52.918	98.099	52.918	98.099	52.918	53.307		52.918	100.0	97.719	52.918	52.918
NGDEOPKE_00094	99.163	98.745	51.064	51.064	98.745	51.064	98.745	51.064	51.064	98.745	51.064	100.0	98.745	51.064	51.064
NGDEOPKE_00095	100.0	98.261			98.261		99.13			97.391		99.13	98.261		
NGDEOPKE_00096	99.31	97.931	90.341	90.341	98.276	90.341	98.621	86.339	83.607	95.076	90.341	97.931	98.276	85.792	90.341
NGDEOPKE_00097	99.13	100.0			100.0		99.13			100.0		99.13	100.0		
NGDEOPKE_00098	99.434	99.811	83.588	83.588	99.623	83.588	99.435	83.588	83.588	99.623	83.588	99.434	99.623	83.588	83.588
NGDEOPKE_00099	99.363	100.0	80.645	80.645	100.0	80.645	99.363	80.645	80.645	100.0	80.645	100.0	99.363	80.645	80.645
NGDEOPKE_00100	96.835	98.101			96.835		96.273			98.101		96.835	96.835		
NGDEOPKE_00101	99.569	100.0	85.225	85.225	99.569	85.225	98.06	84.582	85.439	99.118	85.439	100.0	99.569	85.225	85.225
NGDEOPKE_00102	98.864	100.0			100.0		100.0			93.182		100.0	100.0		
NGDEOPKE_00103	99.333	100.0	83.333	83.333	99.333	83.333	99.333	83.333	83.333	99.333	83.333	99.333	99.333	83.333	83.333
NGDEOPKE_00104	99.655	100.0	71.134	71.134	99.31	71.134	99.655	70.79	70.79	99.655	71.134	99.655	99.31	71.134	71.134
NGDEOPKE_00105	100.0	100.0	81.25	81.25	100.0	81.25	100.0	81.25	81.25	100.0	81.25	100.0	100.0	81.25	81.25
NGDEOPKE_00106	100.0	100.0	75.177	75.177	99.645	75.177	99.645	75.532	75.532	100.0	75.177	99.645	99.645	75.532	75.177
NGDEOPKE_00107	90.877	90.877	92.105	91.93	90.877	91.93	100.0	91.579	92.456	90.702	91.93	91.053	90.877	92.105	91.93
NGDEOPKE_00108	100.0	100.0	96.923	96.923	100.0	96.923	100.0	96.923	96.923	100.0	96.923	100.0	100.0	96.923	96.923
NGDEOPKE_00109	99.458			75.204			100.0			96.748		78.32			
NGDEOPKE_00110	99.367	100.0	72.785	72.785	100.0	72.785	100.0	72.152	72.152	100.0	72.785	100.0	100.0	72.152	72.785
NGDEOPKE_00111	100.0	100.0	79.897	79.897	100.0	79.897	100.0	79.381	79.381	99.479	79.897	100.0	99.479	79.381	79.897
NGDEOPKE_00112	99.836	99.754	68.481	68.481	98.769	68.562	100.0	67.997	67.018	99.648	68.481	100.0	98.687	68.73	68.481
NGDEOPKE_00113	99.623	99.623	71.021	71.021	99.623	71.021	100.0	71.646	71.235	99.606	71.021	99.623	99.718	71.125	71.581
NGDEOPKE_00114	98.631	98.686	73.148	72.582	98.686	73.255	97.645	72.077	71.657	98.631	73.255	95.893	98.85	72.582	73.232
NGDEOPKE_00115	88.617	96.517	55.926	56.473	95.896	56.049	99.129	56.468	55.006	96.766	56.473	98.756	94.821	56.343	58.874
NGDEOPKE_00116		97.51			98.76		100.0			97.51		97.521	96.694		
NGDEOPKE_00117	100.0	100.0	62.222	60.0	100.0	62.222	100.0	61.538	61.538	100.0	64.444	100.0	100.0	62.222	62.222
NGDEOPKE_00118	98.696	98.696	78.947	78.947	99.565	78.947	100.0	78.509	78.509	98.655	78.509	99.13	99.565	78.947	78.947
NGDEOPKE_00119	99.441	100.0	85.475	86.034	100.0	85.475	100.0	86.034	86.034	100.0	86.034	99.441	99.441	86.034	86.034
NGDEOPKE_00120	98.723	99.149	81.974	82.833	100.0	81.974	100.0	81.974	81.545	99.149	81.974	98.723	98.723	81.974	82.403
NGDEOPKE_00121	98.86	98.575	85.928	85.629	99.43	85.928	100.0	85.928	86.228	98.86	85.629	98.575	98.86	86.228	85.928
NGDEOPKE_00122	62.722	63.314	63.905	64.497	99.698	63.314	99.396	63.314	63.314	63.314	63.314	62.722	99.698	63.314	63.314
NGDEOPKE_00123	98.75	100.0	74.375	74.375	100.0	74.375	100.0	73.125	75.625	100.0	74.375	99.375	100.0	73.75	74.375
NGDEOPKE_00124	100.0	99.913	90.58	90.58	99.74	90.761	100.0	89.894	90.399	100.0	90.58	99.827	99.827	90.58	90.58
NGDEOPKE_00125	100.0	95.95	91.589		81.62	91.9	100.0	91.589	94.393	97.196	91.589				91.9
NGDEOPKE_00126	100.0	100.0			100.0		100.0			100.0		97.619	100.0		
NGDEOPKE_00127	83.957	84.154							75.838	82.992					
NGDEOPKE_00128	98.994	98.994	51.357	51.357	99.195	50.939	100.0	51.148	51.148	99.195	51.148	98.994	99.396	51.148	51.357
NGDEOPKE_00129	100.0	100.0	78.484	78.689	100.0	78.484	100.0	78.893	82.857	100.0	78.484	100.0	100.0	78.893	78.893
NGDEOPKE_00130	99.148	99.148	74.716	74.716	99.148	74.716	100.0	74.148	73.864	100.0	74.716	99.716	100.0	73.864	74.148
NGDEOPKE_00131	99.049	98.891	65.61	65.61	99.049	65.61	100.0	65.61	65.61	99.208	65.61	99.049	98.891	65.769	65.61
NGDEOPKE_00132	98.198	98.198	53.182	53.182	99.55	53.182	100.0	53.636	54.545	98.198	53.182	99.099	99.55	53.636	53.636
NGDEOPKE_00133	100.0	100.0	69.972	69.972	100.0	69.405	100.0	69.688	69.972	99.479	69.972	99.433	100.0	69.972	69.972
NGDEOPKE_00134	97.63	97.63			79.621		100.0			97.156		97.156	79.147		
NGDEOPKE_00135	98.644	98.305	59.636	60.0	99.661	59.273	100.0	57.075	57.143	99.322	59.273	98.305	98.983	59.636	59.636
NGDEOPKE_00136	100.0	100.0			98.701		100.0			98.701		100.0	97.403		
NGDEOPKE_00137	100.0	100.0			100.0		100.0			99.029		100.0	100.0		
NGDEOPKE_00138	100.0	100.0			100.0		100.0			100.0		100.0	99.038		
NGDEOPKE_00139	98.387	98.387	63.025	63.025	98.387	63.025	100.0	63.025	63.025	98.387	63.025	98.387	98.387	63.025	63.025
NGDEOPKE_00140	99.552	99.552	72.321	72.768	100.0	72.768	100.0	72.321	73.797	99.552	72.768	99.552	100.0	72.768	72.321
NGDEOPKE_00141	100.0	99.0			100.0		100.0			100.0		99.0	100.0		
NGDEOPKE_00142	98.125	98.125			98.75		100.0			98.125		98.125	98.75		
NGDEOPKE_00143	99.245	99.245	79.245	79.245	99.245	79.245	100.0	79.245	79.245	99.087	79.245	99.245	99.245	79.245	79.245
NGDEOPKE_00144	100.0	100.0	80.392	80.392	100.0	80.392	100.0	80.392	80.392	93.75	80.392	100.0	99.038	80.392	80.392
NGDEOPKE_00145	99.741	99.092	69.816	69.816	99.481	69.725	100.0	70.265	70.0	99.52	70.265	99.611	99.607	70.472	69.554
NGDEOPKE_00146	100.0				99.548		100.0					100.0			
NGDEOPKE_00147	100.0	100.0	71.613	71.613	100.0	71.613	100.0	70.968	67.883	100.0	71.613	100.0	100.0	71.613	70.968
NGDEOPKE_00148	100.0	100.0	81.905	81.905	100.0	81.905	100.0	81.905	81.905	100.0	81.905	100.0	100.0	81.905	81.905
NGDEOPKE_00149	99.767	99.767	53.453	53.046	99.535	53.453	100.0	53.197	55.263	99.535	53.197	99.767	99.302	55.526	53.197
NGDEOPKE_00150	100.0	100.0	82.014	82.014	99.281	82.014	99.281	82.014	83.571	100.0	82.014	99.281	99.281	82.014	82.014
NGDEOPKE_00151									81.961	98.929					
NGDEOPKE_00152	100.0	100.0	74.026	74.026	99.571	74.459	100.0	73.593	74.026	100.0	74.026	100.0	100.0	74.026	73.593
NGDEOPKE_00153	98.095	98.095	73.469	73.469	100.0	73.469	99.048	73.196	72.449	100.0	73.469	100.0	99.048	73.196	73.469
NGDEOPKE_00154	100.0	100.0	93.151	93.151	100.0	93.151	100.0	93.151	93.151	100.0	93.151	100.0	100.0	93.151	93.151
NGDEOPKE_00155	100.0	100.0	50.831	51.163	99.688	51.163	100.0	50.0	50.0	99.435	50.166	100.0	100.0	50.331	
NGDEOPKE_00156	100.0	100.0	68.027	68.027	100.0	68.027	100.0	66.438	68.707		68.027	100.0	100.0	67.808	68.027
NGDEOPKE_00157	98.99	98.99			90.426		98.99			92.553		97.98	92.553		
NGDEOPKE_00158	99.669	99.669	53.584	53.925	99.007	52.787	99.669	52.041	53.061	98.013	53.925	98.013	99.007	52.041	52.787
NGDEOPKE_00159	100.0	100.0	76.353	76.353	100.0	76.638	100.0	76.353	76.353	99.715	76.353	100.0	100.0	76.353	76.638
NGDEOPKE_00160	100.0	98.4	58.197	58.197	100.0	56.557	99.2	57.377	57.377	100.0	58.197	99.2	100.0	57.377	57.377
NGDEOPKE_00161	100.0	99.517	52.83	52.358	100.0	51.887	100.0	52.83	52.83	99.517	51.887	100.0	100.0	52.83	51.887
NGDEOPKE_00162	100.0	100.0	79.835	79.835	100.0	79.835	100.0	79.835	79.835	100.0	79.835	100.0	100.0	79.424	79.835
NGDEOPKE_00163	98.817	99.408	57.485	57.485	99.408	57.485	99.408	57.485	57.485	99.408	57.485	100.0	99.408	57.485	57.485
NGDEOPKE_00164	97.436	98.291			98.291		100.0			95.726		97.436	98.291		
NGDEOPKE_00165	99.65	99.301	51.203	51.203	99.301	50.859	99.65	50.172	50.172	99.301	51.203	99.65	99.65	50.172	51.203
NGDEOPKE_00166	95.745	96.099			99.291		100.0			96.454		96.099	95.745		
NGDEOPKE_00167	93.923	94.659			95.203		100.0			95.028		95.018	95.948		
NGDEOPKE_00168	100.0	100.0	84.052	84.052	100.0	84.052	100.0	84.052	83.621	100.0	84.052	100.0	100.0	84.052	84.052
NGDEOPKE_00169	99.359	98.718	66.667	66.026	98.718	67.308	100.0	66.667	65.385	99.359	66.667	100.0	98.718	66.026	67.308
NGDEOPKE_00170	97.361	97.105			96.974		96.447			98.021		97.361	96.579		
NGDEOPKE_00171	95.858	100.0			97.041		90.533			100.0		98.817	97.633		
NGDEOPKE_00172	68.421	100.0			98.246		75.51			100.0		100.0	98.246		
NGDEOPKE_00173	93.407	100.0			98.901		95.604			97.802		100.0	98.901		
NGDEOPKE_00174	100.0	100.0			100.0		97.619			100.0		100.0	100.0		
NGDEOPKE_00175	98.958	100.0			97.917		98.958			100.0		95.833	97.917		
NGDEOPKE_00176	99.24	100.0			95.437		96.578			100.0		98.099	95.437		
NGDEOPKE_00177	98.324	98.883			98.603		98.603			99.441		95.28	98.883		
NGDEOPKE_00178	100.0	100.0			100.0		100.0			100.0		98.02	100.0		
NGDEOPKE_00179	99.01	99.01			83.168		100.0			100.0		87.129	100.0		
NGDEOPKE_00180	100.0	100.0			97.959		100.0			100.0		89.796	100.0		
NGDEOPKE_00181	98.333	98.333			98.333		100.0			100.0			98.333		
NGDEOPKE_00182	99.18	100.0			85.0		100.0			99.18		86.885	85.0		
NGDEOPKE_00183	96.032	96.032			99.206		100.0			96.032		96.825	91.27		
NGDEOPKE_00184	96.104	96.104			98.701		100.0			96.104		94.805	97.403		
NGDEOPKE_00185	100.0	100.0	62.5	62.5	100.0	62.5	100.0		72.222	100.0	64.103	100.0	100.0		62.5
NGDEOPKE_00186	96.226				92.453		100.0			84.906		98.113	92.453		
NGDEOPKE_00187	93.617	100.0			89.362		100.0			91.489		93.617	89.362		
NGDEOPKE_00188							100.0					99.099			
NGDEOPKE_00189	98.131	98.131			95.794		100.0			98.598		98.598	95.794		
NGDEOPKE_00190	93.243	99.091			91.892		100.0			98.182		89.865	91.892		
NGDEOPKE_00191	96.644	95.833			99.306		100.0			95.139		99.306	99.329		
NGDEOPKE_00192	97.0	98.0			99.0		100.0			96.0		97.0	99.0		
NGDEOPKE_00193					98.969		100.0					98.889	100.0		
NGDEOPKE_00194	91.667	91.667			92.958		100.0			93.519		92.593	96.296		
NGDEOPKE_00195	82.979	97.826	51.064		91.489	51.064	100.0			97.872		97.872	97.872		51.064
NGDEOPKE_00196	100.0				97.959		100.0		70.833			98.98	97.959	78.125	
NGDEOPKE_00197	98.551	98.551			100.0		100.0			98.551		100.0	98.551		
NGDEOPKE_00198		98.701			98.684		100.0			97.403		98.701	96.053		
NGDEOPKE_00199	97.101	97.101			100.0		100.0			97.101		98.551	97.101		
NGDEOPKE_00200							100.0						93.333		
NGDEOPKE_00201	92.929	90.722			96.97		100.0			95.876		95.96	98.99		
NGDEOPKE_00202	78.621						100.0					80.0			
NGDEOPKE_00203							100.0			97.917		97.222	97.917		
NGDEOPKE_00204					98.291		100.0						100.0		
NGDEOPKE_00205	100.0				95.455		100.0			98.387		98.485	93.548		
NGDEOPKE_00206	100.0				95.775		100.0			100.0		98.485	95.775		
NGDEOPKE_00207	100.0	98.039					100.0			98.039					
NGDEOPKE_00208	100.0	96.875			100.0		100.0			98.438		98.438	100.0		
NGDEOPKE_00209	93.333	94.167			95.0		100.0			95.833		98.333	98.333		
NGDEOPKE_00210	100.0				100.0		100.0			100.0		100.0	97.059		
