gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	V12_RAST
BOCOCLFO_00062	53.333	53.333	83.75	83.75	53.333	83.75	53.333	53.333	100.0	95.0	53.333	83.75		53.333	98.75
BOCOCLFO_00063			86.747	86.747		86.345			99.608	99.216		86.345			99.608
BOCOCLFO_00064			74.525	74.525		74.525			100.0	100.0		74.525			100.0
BOCOCLFO_00065			99.531	99.688		98.594			98.438	65.468		99.531			99.688
BOCOCLFO_00066	50.0		100.0	100.0	50.0	100.0	50.0	50.0	97.143	92.857		100.0			100.0
BOCOCLFO_00067			100.0	100.0		99.548			99.541	99.548		100.0			100.0
BOCOCLFO_00068			100.0	99.02		100.0			100.0	100.0		100.0			100.0
BOCOCLFO_00069	55.882	55.882	100.0	100.0	55.882	100.0	55.882	55.882	100.0	100.0	55.882	100.0		55.882	100.0
BOCOCLFO_00070			79.922	79.922		79.727			97.656			79.922			79.142
BOCOCLFO_00071	84.932	84.932	100.0	100.0	84.932	100.0	84.932	84.932	100.0	100.0	84.932	98.667		84.932	100.0
BOCOCLFO_00072															
BOCOCLFO_00073															
BOCOCLFO_00074															
BOCOCLFO_00075															
BOCOCLFO_00076			97.561	97.561		96.748			93.496	94.309		96.748			90.244
BOCOCLFO_00077															
BOCOCLFO_00078															
BOCOCLFO_00079			100.0	100.0		100.0			100.0	96.721		100.0			98.361
BOCOCLFO_00081															
BOCOCLFO_00082															
BOCOCLFO_00083			95.238			97.619			100.0			97.619			97.619
BOCOCLFO_00084			97.619			96.429			98.81	96.429		97.619			96.429
BOCOCLFO_00085										99.286					
BOCOCLFO_00086															
BOCOCLFO_00087															
BOCOCLFO_00088															
BOCOCLFO_00089															
BOCOCLFO_00090															
BOCOCLFO_00091															
BOCOCLFO_00092															
BOCOCLFO_00093															
BOCOCLFO_00094															
BOCOCLFO_00095															
BOCOCLFO_00096															
BOCOCLFO_00097															
BOCOCLFO_00098															
BOCOCLFO_00099															
BOCOCLFO_00100															
BOCOCLFO_00101			97.727	97.727		97.727			97.727	97.727		97.727			97.727
BOCOCLFO_00102	92.982	92.982	99.138	99.138	92.982	99.138	92.982	92.982	100.0	100.0	92.982	99.138	92.982	92.982	99.138
BOCOCLFO_00103			100.0	95.714		98.571			100.0	94.286		95.714			98.571
BOCOCLFO_00104	67.133	67.133	100.0	100.0	67.133	100.0	66.434	66.434	100.0	100.0	64.423	100.0	67.133	67.133	100.0
BOCOCLFO_00105			100.0	100.0	90.341	100.0			99.837		83.333	99.837	90.341	84.521	100.0
BOCOCLFO_00106	52.14	52.529	98.227	98.227	52.14	97.872	52.14	52.918	100.0	98.587		98.227	52.918	52.14	98.227
BOCOCLFO_00107	50.638	50.213	100.0	100.0	50.213	100.0	50.213	51.064	100.0	100.0	50.213	100.0	51.064	50.213	100.0
BOCOCLFO_00108			100.0	100.0		99.16			100.0	97.479		100.0			100.0
BOCOCLFO_00109			91.726	91.726		91.726			99.764	98.582		91.726			91.726
BOCOCLFO_00110			99.365	99.683		100.0			99.048	97.778		99.683			99.365
BOCOCLFO_00111	83.779	83.779	99.423	99.423	83.779	99.423	83.779	83.588	100.0	99.423	83.46	99.423	83.779	83.779	99.423
BOCOCLFO_00112	80.645	80.645	100.0	100.0	80.645	100.0	80.645	80.645	100.0	100.0	80.645	100.0	80.645	80.0	100.0
BOCOCLFO_00113			81.132	81.132		81.761			96.203	91.139		81.132			82.39
BOCOCLFO_00114	85.129	85.225	98.945	98.945	85.129	99.367	84.267	85.225	98.945	99.156	85.586	98.734	85.225	85.129	99.367
BOCOCLFO_00115	50.667		100.0	100.0		100.0			100.0	98.81	50.0	100.0			98.81
BOCOCLFO_00116	83.667	83.333	99.666	99.666	83.667	99.331	83.667	83.333	99.666	99.666	83.667	99.666	83.667	83.667	99.666
BOCOCLFO_00117	71.134	71.134	99.656	99.656	71.134	99.656	71.134	71.134	99.656	99.313	71.134	99.656	71.134	71.134	99.656
BOCOCLFO_00118	81.25	81.25	100.0	100.0	81.25	100.0	81.25	81.25	100.0	100.0	81.197	100.0	81.25	81.25	100.0
BOCOCLFO_00119	75.532	75.532	99.645	99.645	75.532	99.291	75.532	75.532	100.0	100.0	75.532	99.645	75.532	75.532	99.645
BOCOCLFO_00120			100.0	100.0		100.0			100.0	97.5		100.0			100.0
BOCOCLFO_00121	85.088	85.088	98.246	98.772	85.088	98.772	92.105	92.105	98.947	99.298	84.912	98.421	85.263	85.088	98.07
BOCOCLFO_00122	96.923	97.163	100.0	100.0	97.163	100.0	96.923	96.923	100.0	100.0	96.923	100.0	97.163	97.163	100.0
BOCOCLFO_00123	72.785	72.152	96.203	96.203	72.152	96.203	72.152	72.152	100.0	100.0	72.152	96.203	72.152	72.152	96.203
BOCOCLFO_00124	79.381	79.381	97.475	97.475	79.381	97.475	79.381	79.381	100.0	100.0	78.866	97.475	79.381	79.381	97.475
BOCOCLFO_00125	68.404	68.485	92.945	92.781	68.954	93.027	68.485	68.485	97.531	90.663	68.412	92.945	68.485	69.036	92.945
BOCOCLFO_00126	64.798	64.798	96.667	96.667	64.798	96.667	64.668	64.668	99.167	98.095	65.411	96.667	64.798	64.798	96.786
BOCOCLFO_00127			93.426	95.32		96.552			97.972	97.565		94.994			93.033
BOCOCLFO_00128	55.244	56.226	86.087	86.46	56.095	86.211	56.095	56.343	94.037	80.941	56.352	86.957	56.76	55.364	88.501
BOCOCLFO_00129			80.658	80.247		80.658				67.105		79.835			
BOCOCLFO_00130	62.222	62.222	89.796	87.755	62.222	89.796	62.222	62.222	100.0	93.023	62.222	89.796	62.222	62.222	89.796
BOCOCLFO_00131	77.632	78.07	98.684	98.684	78.509	98.684	78.947	78.947	98.246	99.123	77.928	98.684	78.07	78.947	98.246
BOCOCLFO_00132	86.034	86.034	99.441	100.0	86.034	99.441	86.034	86.034	100.0	100.0	86.034	100.0	86.592	86.034	100.0
BOCOCLFO_00133	81.974	82.403	97.872	97.872	81.974	97.872	81.974	81.974	99.574	99.574	82.403	97.872	82.833	81.974	98.298
BOCOCLFO_00134	86.527	86.527	98.503	98.204	86.228	98.503	86.228	86.228	98.802	99.401	86.527	98.204	86.228	85.928	98.503
BOCOCLFO_00135			56.218			56.218			62.637	68.756					56.218
BOCOCLFO_00136	73.75	73.75	98.75	97.5	73.75	98.75	73.75	73.75	98.125	97.5	73.75	98.125	73.75	73.75	98.75
BOCOCLFO_00137	90.58	90.58	99.458	98.103	90.67	99.368	90.58	90.58	99.006	99.458	90.892	97.922	90.399	90.67	99.458
BOCOCLFO_00138			98.551	100.0		98.551			98.551	98.551		100.0			100.0
BOCOCLFO_00139	85.812	85.812	99.831	99.831	81.834	99.662	81.834	85.812	99.831	94.093	84.461	99.831	81.664	81.834	99.831
BOCOCLFO_00140	51.357	51.357	99.27	99.088	51.357	99.453	51.148	51.148	100.0	99.635	51.357	99.088	51.148	51.357	99.27
BOCOCLFO_00141	78.893	78.893	99.593	99.796	78.893	99.593	78.893	78.893	100.0	99.647	78.893	99.185	78.893	78.893	100.0
BOCOCLFO_00142	73.58	73.58	98.847	98.271	74.148	98.847	73.864	73.864	99.424	98.271	73.864	98.847	73.58	73.864	99.135
BOCOCLFO_00143	66.086	65.769	99.525	99.366	65.927	99.525	65.769	65.769	99.842	97.781	65.61	99.525	65.927	66.086	99.683
BOCOCLFO_00144	54.091	53.636	97.273	97.273	54.091	97.273	53.636	53.636	98.636	95.455	53.636	97.273	53.636	54.091	98.636
BOCOCLFO_00145	69.972	69.972	98.864	99.148	69.972	98.58	69.972	69.972	99.432	98.864	64.583	98.864	69.972	69.972	99.716
BOCOCLFO_00146	59.636	59.636	98.299	97.959	59.636	98.639	59.636	59.636	92.727	80.583	59.636	98.639	60.364	59.636	97.959
BOCOCLFO_00147			96.203	97.468		97.468			100.0	96.203		97.468			100.0
BOCOCLFO_00148			99.038	98.077		98.077			100.0	99.038		98.077			99.038
BOCOCLFO_00149			97.115	97.115		97.115			100.0	100.0		97.115			98.077
BOCOCLFO_00150	63.025	63.025	100.0	100.0	63.025	100.0	63.025	63.025	98.374	98.374	63.025	100.0	63.025	63.025	97.561
BOCOCLFO_00151										97.927					
BOCOCLFO_00152	73.214	73.214	99.558	99.115	72.768	99.115	72.768	72.768	99.558	100.0	73.214	99.115	72.768	72.768	98.673
BOCOCLFO_00153			95.902	95.082		96.721			98.361	96.721		96.721			98.361
BOCOCLFO_00154			98.413	100.0		98.571			100.0	97.143		98.571			100.0
BOCOCLFO_00155			95.745	94.326		95.745			96.454	96.454		95.745			97.163
BOCOCLFO_00156	79.245	79.245	100.0	100.0	79.245	100.0	79.245	79.245	99.245	100.0	78.539	100.0	79.245	79.245	99.623
BOCOCLFO_00157	80.392	80.392	99.038	99.038	80.392	99.038	80.392	80.392	99.038	99.038	73.438	99.038	80.392	80.392	99.038
BOCOCLFO_00158	70.604	70.449	97.446	97.549	70.604	97.344	70.472	70.472	97.645	97.331	69.44	96.953	70.604	71.183	97.855
BOCOCLFO_00159	81.905	81.905	100.0	100.0	81.905	100.0	81.905	81.905	99.138	100.0	81.905	100.0	81.905	81.905	100.0
BOCOCLFO_00160	53.351	53.351	96.842	96.316	53.093	96.842	53.351	53.351	98.947	98.421	53.093	96.316	53.093	53.093	96.053
BOCOCLFO_00161	74.026	74.026	98.936	99.468	77.273	99.468	77.54	74.026	99.734	98.712	74.026	98.936	77.54	77.54	99.468
BOCOCLFO_00162	72.165	72.165	97.273	96.364	73.196	96.364	73.196	73.196	100.0	95.455	73.196	97.273	73.196	73.196	96.364
BOCOCLFO_00163	93.151	93.151	100.0	100.0	93.151	100.0	93.151	93.151	100.0	100.0	93.151	100.0	93.151	93.151	100.0
BOCOCLFO_00164	50.0	50.0	90.076	89.822		90.331	50.0	50.0	97.455	95.165		91.349	50.0	50.0	91.094
BOCOCLFO_00165	67.808	67.808	98.63	100.0	67.808	98.63	67.808	67.808	97.279	98.63		98.63	67.808	67.808	98.63
BOCOCLFO_00166						68.382			71.324						
BOCOCLFO_00167									100.0	97.368					
BOCOCLFO_00168			81.111	81.111		81.111			100.0	98.889		81.111			81.111
BOCOCLFO_00169	51.084	51.084	90.415	89.776	51.393	90.096	52.041	52.041	99.681	98.403	52.012	90.415	51.703	51.393	90.096
BOCOCLFO_00170	76.353	76.353	99.043	99.043	76.353	99.043	76.353	76.353	100.0	99.282	76.353	99.043	76.353	76.353	99.043
BOCOCLFO_00171	57.377	57.377	99.187	99.187	57.377	99.187	57.377	57.377	100.0	100.0	57.377	99.187	56.557	57.377	100.0
BOCOCLFO_00172	52.83	53.302	99.535	99.07	52.83	98.14	52.83	52.83	99.535	99.07	52.83	98.14	52.83	52.83	97.674
BOCOCLFO_00173	79.424	79.424	99.595	99.595	79.424	99.595	79.424	79.424	99.595	99.595	79.424	99.595	79.424	79.424	99.595
BOCOCLFO_00174	56.886	57.485	98.81	98.81	57.485	98.81	57.485	57.485	99.405	99.405	57.485	98.81	57.485	57.485	99.405
BOCOCLFO_00175	50.172	50.172	91.349	91.349	50.172	91.003	50.515	50.172	99.308	98.27	50.172	91.349	50.172	50.172	91.003
BOCOCLFO_00176			68.306	68.306		68.852			98.361	97.814		68.306			68.306
BOCOCLFO_00177			96.82	96.466		96.113			97.88	94.7		96.82			96.82
BOCOCLFO_00178			94.792	94.792		92.882			99.826	52.768		92.689			96.007
BOCOCLFO_00179	84.052	84.052	100.0	100.0	84.052	100.0	84.052	84.052	100.0	99.138	84.052	100.0	84.052	84.052	100.0
BOCOCLFO_00180	66.026	66.667	99.355	100.0	65.385	98.71	66.026	66.026	99.355	97.419	66.026	99.355	66.026	65.385	98.71
BOCOCLFO_00181									94.043	94.043					
BOCOCLFO_00182									97.797						
BOCOCLFO_00183															
BOCOCLFO_00184			81.053	81.053		92.308			93.0	100.0		84.211			89.474
BOCOCLFO_00185			95.828	95.833		93.865			81.227	71.133		94.233			93.75
BOCOCLFO_00186			89.84	89.305		88.77			82.353	83.422		88.77			89.84
BOCOCLFO_00187			84.81	78.481		81.013			79.747	75.949		81.013			78.481
BOCOCLFO_00188			100.0	100.0		100.0			98.795	96.386		100.0			100.0
BOCOCLFO_00189			93.182	93.182		93.182				93.182		93.182			93.182
BOCOCLFO_00190			100.0	98.305						96.491		90.769			100.0
BOCOCLFO_00191			92.4	91.463								91.87			93.952
BOCOCLFO_00192			88.991	88.073		87.156			97.248	97.248					88.073
BOCOCLFO_00193									97.546	94.479		97.546			
BOCOCLFO_00194			86.928	84.211		97.333			97.333	88.0		86.928			84.211
BOCOCLFO_00195	53.191	55.814	95.455		55.319	95.455			85.366	90.244	53.191		53.191	53.191	95.455
BOCOCLFO_00196			96.825	96.825		96.825			100.0	93.651					96.825
BOCOCLFO_00197	78.125				76.042		78.125	78.125		86.598			77.083	76.042	
BOCOCLFO_00198			86.076	86.076	78.667					91.139	76.0				83.544
BOCOCLFO_00199						95.294				92.941					95.294
BOCOCLFO_00200			85.484	84.677		88.889				92.857					88.889
BOCOCLFO_00201			93.478	96.552		94.828				96.552					93.103
BOCOCLFO_00202			90.625	92.969		92.969			93.407	92.188					91.406
