gene	AP018714	AP018715	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
AMNIBMGE_00054	51.357	51.357	99.818	51.357	99.453	51.357	51.357	99.27	98.905	51.357	99.818	51.148	51.357	99.27	100.0
AMNIBMGE_00055	85.812	85.812	99.662	81.664	99.493	81.664	85.812	99.662	94.093	84.461	99.662	81.494	81.664	99.831	100.0
AMNIBMGE_00056			98.551		97.101			97.101	97.101		98.551			98.551	98.551
AMNIBMGE_00057	91.589	89.097		75.701	99.065	91.589	91.589	98.754	90.343	88.785	100.0				98.442
AMNIBMGE_00058	90.58	90.58	98.103	90.489	99.548	90.58	90.58	99.187	99.277	90.892	98.284	90.399	90.67	99.458	99.819
AMNIBMGE_00059	74.375	74.375	98.75	74.375	100.0	74.375	74.375	98.125	98.75	74.375	98.125	74.375	74.375	98.75	100.0
AMNIBMGE_00060	63.768	66.667	97.01		99.908				56.239	66.814	97.608	66.667		55.919	99.725
AMNIBMGE_00061	86.228	86.228	99.701	85.928	100.0	85.928	85.928	97.904	98.503	86.228	99.701	85.928	85.629	98.503	100.0
AMNIBMGE_00062	81.974	82.403	99.149	81.974	100.0	81.974	81.974	98.298	97.447	82.403	99.149	81.974	81.974	97.872	99.574
AMNIBMGE_00063	85.475	85.475	99.441	85.475	100.0	85.475	85.475	99.441	99.441	85.475	99.441	86.034	85.475	99.441	99.441
AMNIBMGE_00064	77.632	78.07	100.0	78.509	100.0	78.947	78.947	96.93	97.807	77.928	99.561	78.07	78.947	98.684	99.561
AMNIBMGE_00065	62.222	62.222	95.918	62.222	100.0	62.222	62.222	88.372	95.349	62.222	97.959	62.222	62.222	89.796	97.959
AMNIBMGE_00066			96.708		100.0				67.333		96.296			80.658	
AMNIBMGE_00067	55.433	55.926	96.398	56.049	99.876	55.802	55.926	87.205	80.149	56.049	97.516	56.505	55.814	86.087	94.461
AMNIBMGE_00068	73.232	73.232	93.559	73.148	98.016	73.148	73.148	94.828	92.642	73.232	97.701	73.232	73.232	94.828	99.371
AMNIBMGE_00069	64.286	64.286	100.0	64.286	100.0	64.156	64.156	97.024	96.429	64.861	100.0	64.286	64.286	96.667	99.643
AMNIBMGE_00070	67.994	68.075	99.672	68.623	99.918	68.075	68.075	91.632	86.743	68.059	99.836	68.075	68.704	93.191	99.836
AMNIBMGE_00071	79.897	79.897	100.0	79.897	100.0	79.897	79.897	97.475	97.475	79.381	100.0	79.897	79.897	97.475	100.0
AMNIBMGE_00072	73.418	72.785	100.0	72.785	100.0	72.785	72.785	96.203	96.203	72.785	100.0	72.785	72.785	96.203	100.0
AMNIBMGE_00073	96.923	97.163	100.0	97.163	100.0	96.923	96.923	100.0	100.0	96.923	100.0	97.163	97.163	100.0	100.0
AMNIBMGE_00074	85.614	85.614	99.474	85.614	99.474	92.105	92.105	97.895	97.544	85.439	99.123	85.789	85.614	98.246	99.825
AMNIBMGE_00075			100.0		100.0			100.0	97.5		100.0			100.0	100.0
AMNIBMGE_00076	75.177	75.177	100.0	75.177	99.645	75.177	75.177	99.645	99.645	75.177	100.0	75.177	75.177	99.645	100.0
AMNIBMGE_00077	81.25	81.25	100.0	81.25	100.0	81.25	81.25	100.0	100.0	81.197	100.0	81.25	81.25	100.0	100.0
AMNIBMGE_00078	71.134	71.134	100.0	71.134	100.0	71.134	71.134	99.313	99.656	71.134	100.0	71.134	71.134	99.656	100.0
AMNIBMGE_00079	83.667	83.333	100.0	83.667	99.666	83.667	83.333	99.331	99.331	83.667	100.0	83.667	83.667	99.666	100.0
AMNIBMGE_00080	50.667		100.0		100.0			100.0	98.81	50.0	100.0			100.0	98.81
AMNIBMGE_00081	85.129	85.225	100.0	85.129	99.156	84.267	85.225	98.101	98.734	85.586	99.789	85.225	85.129	98.945	99.156
AMNIBMGE_00082			100.0		99.367		51.923	83.648	87.975		100.0			82.39	98.734
AMNIBMGE_00083	80.645	80.645	100.0	80.645	100.0	80.645	80.645	100.0	100.0	80.645	100.0	80.645	80.0	100.0	100.0
AMNIBMGE_00084	83.779	83.779	100.0	83.779	100.0	83.779	83.588	99.423	100.0	83.46	100.0	83.779	83.779	99.423	100.0
AMNIBMGE_00085			99.048		99.365			98.413	97.143		99.048			99.365	100.0
AMNIBMGE_00086			100.0		100.0			91.489	90.544		100.0			91.726	100.0
AMNIBMGE_00087			100.0		99.16			100.0	97.479		100.0			100.0	100.0
AMNIBMGE_00088	50.638	50.213	100.0	50.213	100.0	50.213	51.064	100.0	100.0	50.213	100.0	51.064	50.213	100.0	100.0
AMNIBMGE_00089	52.14	52.529	99.291	52.14	98.936	52.14	52.918	98.227	97.88		99.291	52.918	51.751	98.227	100.0
AMNIBMGE_00090			100.0	90.341	100.0			99.837		83.333	99.837	90.341	84.521	100.0	100.0
AMNIBMGE_00091	67.133	67.133	100.0	67.133	100.0	66.434	66.434	100.0	100.0	64.423	100.0	67.133	67.133	100.0	100.0
AMNIBMGE_00092			95.714		98.571			100.0	94.286		95.714			100.0	98.571
AMNIBMGE_00093	93.86	93.86	100.0	93.86	100.0	93.86	93.86	99.138	99.138	93.86	100.0	93.86	93.86	99.138	100.0
AMNIBMGE_00094			100.0		97.727			97.727	100.0		100.0			97.727	97.727
AMNIBMGE_00095															
AMNIBMGE_00096															
AMNIBMGE_00097															
AMNIBMGE_00098															
AMNIBMGE_00099															
AMNIBMGE_00100															
AMNIBMGE_00101															
AMNIBMGE_00102															
AMNIBMGE_00103															
AMNIBMGE_00104	94.231	94.505		93.956	99.725	94.231	94.231	98.352		94.505	99.725		94.505		99.614
AMNIBMGE_00105															
AMNIBMGE_00106															
AMNIBMGE_00107															
AMNIBMGE_00108															
AMNIBMGE_00109															
AMNIBMGE_00110															
AMNIBMGE_00111					98.81			96.429	98.81		100.0			97.619	98.81
AMNIBMGE_00112					97.619			95.238			97.619			95.238	97.619
AMNIBMGE_00113															
AMNIBMGE_00114															
AMNIBMGE_00115															
AMNIBMGE_00117			100.0		100.0			100.0	96.721		100.0			100.0	98.361
AMNIBMGE_00118															
AMNIBMGE_00119															
AMNIBMGE_00120			100.0		99.187			95.935	96.748		99.187			97.561	92.683
AMNIBMGE_00121															
AMNIBMGE_00122															
AMNIBMGE_00123															
AMNIBMGE_00124															
AMNIBMGE_00125	84.932	84.932	100.0	84.932	100.0	84.932	84.932	100.0	100.0	84.932	98.667		84.932	100.0	100.0
AMNIBMGE_00126			99.804		99.609			80.312			99.413			79.922	99.022
AMNIBMGE_00127	55.882	55.882	100.0	55.882	100.0	55.882	55.882	100.0	100.0	55.882	100.0		55.882	100.0	100.0
AMNIBMGE_00128			99.02		100.0			100.0	100.0		100.0			100.0	100.0
AMNIBMGE_00129			100.0		99.548			99.541	99.548		100.0			100.0	100.0
AMNIBMGE_00130	50.0		100.0	50.0	100.0	50.0	50.0	97.143	92.857		100.0			100.0	100.0
AMNIBMGE_00131			99.844		98.438			98.594	65.827		100.0			99.531	99.531
AMNIBMGE_00132			100.0		100.0			74.525	74.525		100.0			74.525	74.525
AMNIBMGE_00133			100.0		99.605			87.654	87.243		99.605			86.747	86.345
AMNIBMGE_00134	52.0	52.0	100.0	52.0	100.0	52.0	52.0	83.75	79.487	52.0	100.0		52.0	83.75	85.0
AMNIBMGE_00135			99.206		97.619			97.458			99.206			98.305	99.194
AMNIBMGE_00136			99.454		99.454						99.454				97.814
AMNIBMGE_00137			99.593		99.187						99.593				98.374
AMNIBMGE_00138			99.468		99.734			98.663			99.734			99.733	99.202
AMNIBMGE_00139			100.0		99.597			98.367			100.0			98.367	100.0
AMNIBMGE_00140			99.091		100.0						100.0				99.091
AMNIBMGE_00141			100.0		100.0						100.0				98.864
AMNIBMGE_00142			99.359		100.0			75.641	75.641		100.0			75.0	100.0
AMNIBMGE_00143			99.6		100.0			97.2	96.8		99.6			97.2	99.6
AMNIBMGE_00144			92.857		97.115			78.571	80.476		92.857			79.048	90.476
AMNIBMGE_00145	57.927	58.232	99.377	57.927	99.377	57.622	58.232	81.931	81.269	58.232	99.065	58.232	57.927	80.967	93.769
AMNIBMGE_00146			100.0		100.0			95.918	97.959		98.98			97.959	94.898
AMNIBMGE_00147			100.0		99.512			98.049	99.024		99.512			99.024	97.561
AMNIBMGE_00148		95.105	100.0		100.0		95.105	98.951	97.902	94.755	97.153		95.105	97.902	100.0
AMNIBMGE_00149		61.765	100.0		98.529		60.294	100.0	100.0	61.765	100.0		61.765	97.059	98.529
AMNIBMGE_00150		91.339	100.0		100.0		91.339		97.674	91.339	98.45		91.339		100.0
AMNIBMGE_00151			100.0		99.099						99.099				99.099
AMNIBMGE_00152			100.0		99.605				76.875		90.909				99.605
AMNIBMGE_00153			99.462		98.387						94.086				97.312
AMNIBMGE_00154			98.936		96.277			95.213	94.149		95.745			94.149	97.872
AMNIBMGE_00155			98.718								71.053				
AMNIBMGE_00156			100.0								82.432				
AMNIBMGE_00157			100.0		86.047			83.529			82.558			82.558	82.558
AMNIBMGE_00158			100.0		100.0									100.0	
AMNIBMGE_00159			100.0		100.0			60.0					50.0	97.59	
AMNIBMGE_00160			97.333		97.333			70.455	94.667		90.667			98.667	94.667
AMNIBMGE_00161	60.606	58.252	100.0	56.863	98.291	60.606	60.606	98.291	96.581	59.596	98.291	60.606	56.863	97.436	99.145
AMNIBMGE_00162			99.435		98.87			99.435	98.87		99.435			97.74	
AMNIBMGE_00163			100.0		99.479			97.396	98.438		100.0			98.438	100.0
AMNIBMGE_00164	55.446	56.158	99.507	56.158	98.03	56.436	56.436	97.537	97.537	55.446	99.507	55.941	56.158	97.537	99.015
AMNIBMGE_00165	51.724	51.852	100.0	51.724	97.674	51.724	53.086	97.674	96.512	51.724	97.674	51.724	51.724	96.512	98.837
AMNIBMGE_00166	59.545	59.545	99.595	59.545	97.571	60.0	60.0	89.879	89.879		96.761	59.545	59.091	90.283	96.761
AMNIBMGE_00167			99.065		95.327			96.262	95.327		99.065			95.327	99.065
AMNIBMGE_00168			98.843		99.074			96.991	96.759		99.074			97.685	98.843
AMNIBMGE_00169			100.0		100.0			96.591	95.455		100.0			93.182	100.0
AMNIBMGE_00170			100.0		98.496			80.451	84.211		99.248			82.707	99.248
AMNIBMGE_00171			99.329		99.329			71.141	71.141		99.329			70.47	98.658
AMNIBMGE_00172			100.0		100.0			82.828	93.939		100.0			82.828	97.98
AMNIBMGE_00173			92.208		92.208			89.61	85.714		88.312			89.61	88.312
AMNIBMGE_00174			89.815		89.815			92.806							
AMNIBMGE_00175			94.737		95.614			97.297			95.614				96.491
AMNIBMGE_00176			98.925		98.925			92.391	93.478		98.925			92.391	100.0
AMNIBMGE_00177			100.0		100.0			96.154	94.872		100.0			94.872	100.0
AMNIBMGE_00178			97.535		97.183			94.681	91.489		97.183			91.489	97.535
AMNIBMGE_00179			100.0		98.413						50.394				93.651
AMNIBMGE_00180			96.296		100.0				88.889		96.296			90.123	100.0
AMNIBMGE_00181		70.168	99.19		97.967				94.715	72.687	94.332			94.309	97.967
AMNIBMGE_00182			100.0								98.592				
AMNIBMGE_00183			100.0		96.356			96.356			96.356			95.547	95.547
AMNIBMGE_00184			100.0		92.063			92.063	92.063		92.063			92.063	92.063
AMNIBMGE_00185			99.518		98.554			98.795	98.313		98.554			98.554	98.795
AMNIBMGE_00186		62.637	100.0			61.538	61.538					62.637	62.637		
AMNIBMGE_00187			98.462												
AMNIBMGE_00188			99.315		97.26				94.521		97.945				97.26
AMNIBMGE_00189			100.0		88.372				84.553		96.85				88.372
AMNIBMGE_00190			98.182		89.091			78.182	83.636		96.364			76.364	89.091
AMNIBMGE_00191			100.0		96.97			98.485	87.879		100.0	50.746		100.0	96.97
AMNIBMGE_00192			99.083								92.157				
AMNIBMGE_00193			98.305								98.305				
AMNIBMGE_00194			100.0		94.737			94.737	90.789		96.053			94.737	93.421
AMNIBMGE_00195			97.26					84.932	81.333		97.26			85.333	
AMNIBMGE_00196			100.0		96.429						100.0				96.429
AMNIBMGE_00197	91.589	90.196		93.939	91.346	92.157	92.157			91.589		91.176	89.216		91.346
AMNIBMGE_00198			94.366					97.183			95.775			97.183	
AMNIBMGE_00199			100.0								100.0				100.0
AMNIBMGE_00200	91.011				100.0			96.629	96.629	92.135		87.64	84.27		98.876
AMNIBMGE_00201					100.0						95.238			96.825	100.0
AMNIBMGE_00202		74.667	98.667	78.378	97.333						98.667	73.333	80.0		94.667
AMNIBMGE_00203	58.333		100.0	56.25	100.0				91.837		100.0	56.25	56.25		100.0
AMNIBMGE_00204					97.222						97.222				
AMNIBMGE_00205			93.333		95.0						98.333		50.0		95.0
AMNIBMGE_00206			96.97		96.97						96.97				96.97
AMNIBMGE_00207	52.778		96.875		96.875	51.724	51.724			51.724	95.313	51.724	51.724		96.875
AMNIBMGE_00208			99.057								98.113				
AMNIBMGE_00209			98.551		98.551			92.029	92.029		97.826			92.029	99.275
AMNIBMGE_00210								90.323	90.323					97.849	100.0
AMNIBMGE_00211			96.094		96.094			93.407	92.969					90.625	96.094
AMNIBMGE_00212			96.552		94.828				93.103					93.103	93.103
AMNIBMGE_00213			97.845		88.8				82.258					85.484	88.8
