gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	TEX	V12_RAST
OOCDCBIJ_00122	98.864	100.0	54.0	54.0	100.0	54.0	100.0	100.0	54.0	54.0	93.182	54.0	100.0	54.0	
OOCDCBIJ_00123	100.0	99.333	83.667	83.667	100.0	83.667	100.0	99.333	83.667	83.667	100.0	83.667	100.0	83.667	83.667
OOCDCBIJ_00124	99.655	99.31	71.134	71.134	100.0	71.134	99.655	99.31	70.79	70.79	99.655	71.134	99.655	71.134	71.134
OOCDCBIJ_00125	100.0	100.0	81.25	81.25	100.0	81.25	100.0	100.0	81.25	81.25	100.0	81.25	100.0	81.25	81.25
OOCDCBIJ_00126	99.645	99.645	75.177	75.177	100.0	75.177	100.0	99.645	75.532	75.532	99.645	75.177	100.0	75.532	75.177
OOCDCBIJ_00127	100.0	99.474	85.614	85.439	100.0	85.439	90.877	90.877	84.737	84.737	99.825	85.088	99.298	85.088	85.439
OOCDCBIJ_00128	100.0	100.0	97.163	97.163	100.0	97.163	100.0	100.0	97.163	97.163	100.0	97.163	100.0	97.163	97.163
OOCDCBIJ_00129					100.0										
OOCDCBIJ_00130	99.367	100.0	72.785	72.785	100.0	72.785	100.0	100.0	72.152	72.152	100.0	72.785	100.0	72.152	72.785
OOCDCBIJ_00131	99.479	99.479	79.897	79.897	99.479	79.897	99.479	99.479	79.381	79.381	98.958	79.897	99.479	79.381	79.897
OOCDCBIJ_00132	98.523	98.605	69.03	69.03	99.918	69.112	98.687	98.687	68.464	67.236	98.417	69.03	98.687	69.199	69.03
OOCDCBIJ_00133	99.906	99.906	71.021	71.021	99.906	71.021	99.718	99.718	71.799	71.084	99.901	71.021	99.906	70.953	71.581
OOCDCBIJ_00134	98.412	98.467	73.232	72.666	99.726	73.339	96.714	98.85	72.161	71.741	98.412	73.339	96.769	72.666	73.316
OOCDCBIJ_00135	86.165	95.808	55.814	56.601	96.794	55.936	95.438	94.821	55.734	54.289	96.178	56.601	94.821	55.364	58.286
OOCDCBIJ_00136		97.095			97.934		96.694	96.694			98.34		98.347		
OOCDCBIJ_00137	100.0	100.0	62.222	60.0	100.0	62.222	100.0	100.0	61.538	61.538	100.0	64.444	100.0	62.222	62.222
OOCDCBIJ_00138	98.261	98.261	78.947	78.947	99.13	78.947	99.565	99.565	78.509	78.509	98.206	78.509	98.696	78.947	78.947
OOCDCBIJ_00139	100.0	99.441	85.475	86.034	99.441	85.475	99.441	99.441	86.034	86.034	99.441	86.034	98.883	86.034	86.034
OOCDCBIJ_00140	99.149	99.574	81.974	82.833	98.723	81.974	98.723	98.723	81.974	81.545	99.574	81.974	99.149	81.974	82.403
OOCDCBIJ_00141	99.43	99.145	85.629	85.329	99.43	85.629	98.86	98.86	85.629	85.928	99.43	85.329	99.145	85.928	85.629
OOCDCBIJ_00142	62.722	63.314	63.905	64.497	100.0	63.314	99.094	99.698	63.314	63.314	63.314	63.314	62.722	63.314	63.314
OOCDCBIJ_00143	98.75	100.0	74.375	74.375	100.0	74.375	100.0	100.0	73.125	75.625	100.0	74.375	99.375	73.75	74.375
OOCDCBIJ_00144	99.827	99.74	90.67	90.67	99.74	90.851	99.827	99.827	89.982	90.489	99.812	90.67	99.654	90.67	90.67
OOCDCBIJ_00145	100.0	100.0			100.0		100.0	100.0			100.0		97.619		
OOCDCBIJ_00146	100.0	100.0	81.664	82.003	99.831	82.003	100.0	100.0	81.834	85.812	98.997	81.664	99.492	81.834	81.664
OOCDCBIJ_00147	99.598	99.598	51.357	51.357	99.799	50.939	99.396	99.396	51.357	51.357	99.799	51.148	99.598	51.357	51.357
OOCDCBIJ_00148	100.0	100.0	78.484	78.689	100.0	78.484	100.0	100.0	78.893	82.857	100.0	78.484	100.0	78.893	78.893
OOCDCBIJ_00149	99.148	99.148	74.716	74.716	99.148	74.716	100.0	100.0	74.148	73.864	100.0	74.716	99.716	73.864	74.148
OOCDCBIJ_00150	99.842	99.366	65.927	65.927	99.525	65.927	98.891	98.891	65.927	66.086	99.049	65.927	99.525	66.086	65.927
OOCDCBIJ_00151	98.649	98.649	53.636	53.636	100.0	53.636	99.55	99.55	54.091	55.0	98.649	53.636	99.55	54.091	54.091
OOCDCBIJ_00152	100.0	100.0	69.972	69.972	100.0	69.405	100.0	100.0	69.688	69.972	99.479	69.972	99.433	69.972	69.972
OOCDCBIJ_00153	78.673	78.673			98.578		79.147	79.147			78.199		78.673		
OOCDCBIJ_00154	99.661	99.322	59.636	60.0	99.322	59.273	98.983	98.983	57.075	57.143	99.661	59.273	99.322	59.636	59.636
OOCDCBIJ_00155	97.403	97.403			98.701		97.403	97.403			98.701		97.403		
OOCDCBIJ_00156	100.0	100.0			100.0		100.0	100.0			99.029		100.0		
OOCDCBIJ_00157	99.038	99.038			99.038		99.038	99.038			99.038		99.038		
OOCDCBIJ_00158	100.0	100.0	63.025	63.025	100.0	63.025	98.387	98.387	63.025	63.025	100.0	63.025	100.0	63.025	63.025
OOCDCBIJ_00159	99.552	99.552	72.321	72.768	100.0	72.768	100.0	100.0	72.321	73.797	99.552	72.768	99.552	72.768	72.321
OOCDCBIJ_00160	100.0	98.947			100.0		100.0	100.0			100.0		96.97		
OOCDCBIJ_00161	99.375	99.375			100.0		98.75	98.75			99.375		98.125		
OOCDCBIJ_00162	100.0	100.0	79.245	79.245	100.0	79.245	99.245	99.245	79.245	79.245	100.0	79.245	100.0	79.245	79.245
OOCDCBIJ_00163	99.038	99.038	80.392	80.392	99.038	80.392	99.038	99.038	80.392	80.392	92.188	80.392	99.038	80.392	80.392
OOCDCBIJ_00164	99.869	99.868	70.576	70.576	99.607	70.576	99.607	99.607	71.031		99.84	71.17	99.738	71.183	70.273
OOCDCBIJ_00165	100.0	100.0	81.905	81.905	100.0	81.905	100.0	100.0	81.905	81.905	100.0	81.905	100.0	81.905	81.905
OOCDCBIJ_00166	99.535	99.07	53.197	52.792	99.767	53.197	99.302	99.302	52.941	55.0	99.302	52.941	99.535	55.263	52.941
OOCDCBIJ_00167	100.0	100.0	77.54	77.54	99.734	77.807	100.0	100.0	77.273	74.026	100.0	77.54	100.0	77.54	77.273
OOCDCBIJ_00168	97.143	97.143	73.469	73.469	99.048	73.469	100.0	99.048	73.196	72.449	99.048	73.469	99.048	73.196	73.469
OOCDCBIJ_00169	100.0	100.0	93.151	93.151	100.0	93.151	100.0	100.0	93.151	93.151	100.0	93.151	100.0	93.151	93.151
OOCDCBIJ_00170	100.0	100.0	50.831	51.163	99.688	51.163	100.0	100.0	50.0	50.0	99.435	50.166	100.0	50.331	
OOCDCBIJ_00171	100.0	100.0	68.027	68.027	100.0	68.027	100.0	100.0	66.438	68.707		68.027	100.0	67.808	68.027
OOCDCBIJ_00172	93.617	93.617			98.039		93.617	92.553			100.0		93.617		
OOCDCBIJ_00173	99.371	99.371	52.96	53.271	99.371	53.583	99.338	99.007	51.393	52.322	97.799	53.271	98.428	51.393	53.583
OOCDCBIJ_00174	100.0	100.0	76.353	76.353	100.0	76.638	100.0	100.0	76.353	76.353	99.715	76.353	100.0	76.353	76.638
OOCDCBIJ_00175	100.0	98.4	58.197	58.197	100.0	56.557	99.2	100.0	57.377	57.377	100.0	58.197	99.2	57.377	57.377
OOCDCBIJ_00176	100.0	99.517	52.83	52.358	100.0	51.887	100.0	100.0	52.83	52.83	99.517	51.887	100.0	52.83	51.887
OOCDCBIJ_00177	100.0	100.0	79.835	79.835	100.0	79.835	100.0	100.0	79.835	79.835	100.0	79.835	100.0	79.424	79.835
OOCDCBIJ_00178	99.408	100.0	57.485	57.485	100.0	57.485	100.0	99.408	57.485	57.485	100.0	57.485	99.408	57.485	57.485
OOCDCBIJ_00179	99.145	100.0			98.291		98.291	98.291			97.436		97.436		
OOCDCBIJ_00180	100.0	99.65	51.203	51.203	99.65	50.859	99.301	99.65	50.172	50.172	99.65	51.203	100.0	50.172	51.203
OOCDCBIJ_00181	98.582	98.936			95.745		95.745	95.745			96.099		96.099		
OOCDCBIJ_00182	95.948	98.158			94.096		95.948	95.948			96.133		94.28		
OOCDCBIJ_00183	100.0	100.0	84.052	84.052	100.0	84.052	100.0	100.0	84.052	83.621	100.0	84.052	100.0	84.052	84.052
OOCDCBIJ_00184	99.359	98.718	66.026	65.385	98.718	66.667	98.718	98.718	66.026	64.744	99.359	66.026	98.718	65.385	66.667
OOCDCBIJ_00185	98.684	98.684			98.031		96.184	96.579			98.289		97.895		
OOCDCBIJ_00186	98.225	97.633			99.408		91.716	97.633			97.633		96.45		
OOCDCBIJ_00187	97.143				100.0										
OOCDCBIJ_00188	70.175	98.246			100.0		77.551	98.246			98.246		98.246		
OOCDCBIJ_00189	94.505	98.901			100.0		96.703	98.901			98.901		98.901		
OOCDCBIJ_00190	100.0	100.0			100.0		97.619	100.0			100.0		100.0		
OOCDCBIJ_00191	98.958	97.917			100.0		96.875	97.917			97.917		97.917		
OOCDCBIJ_00192	94.677	95.437			100.0		96.578	95.437			95.437		93.916		
OOCDCBIJ_00193	98.883	99.441			99.162		99.721	98.883			98.324		95.28		
OOCDCBIJ_00194	100.0	100.0			100.0		100.0	100.0			100.0		98.02		
OOCDCBIJ_00195	99.01	99.01			83.168		100.0	100.0			100.0		87.129		
OOCDCBIJ_00196	100.0	100.0			97.959		100.0	100.0			100.0		89.796		
OOCDCBIJ_00197	100.0	100.0			100.0		98.333	98.333			98.333				
OOCDCBIJ_00198	86.667	84.167			95.763		84.167	84.167			86.667		94.783		
OOCDCBIJ_00199	93.651	93.651			90.476		91.27	91.27			93.651		92.857		
OOCDCBIJ_00200	96.104	96.104			96.104		97.403	97.403			96.104		92.208		
OOCDCBIJ_00201	91.2	92.8			96.8						92.0		92.8		
OOCDCBIJ_00202	75.342	78.378			100.0						75.342		77.027		
OOCDCBIJ_00203		98.413			100.0								96.825		
OOCDCBIJ_00204	74.603	78.01			60.744						76.72		77.487		
OOCDCBIJ_00205	92.527	94.286											96.085		
OOCDCBIJ_00206	97.143				99.524						99.048				
OOCDCBIJ_00207	92.453				100.0		92.453	92.453			92.453		90.566		
OOCDCBIJ_00208	95.833	89.362			100.0		89.362	89.362			97.917		95.833		
OOCDCBIJ_00209	90.769				100.0						98.462				
OOCDCBIJ_00210	94.86	94.86			100.0		95.794	95.794			95.327		96.262		
OOCDCBIJ_00211	97.973	97.273			100.0		91.892	91.892			96.364		81.757		
OOCDCBIJ_00212	97.315	96.528			100.0		99.329	99.329			95.833		98.611		
OOCDCBIJ_00213	98.0	99.0			100.0		99.0	99.0			97.0		98.0		
OOCDCBIJ_00214					98.969		100.0	100.0					98.889		
OOCDCBIJ_00215	95.37	93.519			97.183		96.296	96.296			97.222		96.296		
