gene	AP018714	AP018715	Ben	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
DIEEDFHO_00105			100.0	90.341	100.0			99.837		83.333	99.837	90.341	84.521	100.0	100.0
DIEEDFHO_00106	52.14	52.529	99.291	52.14	98.936	52.14	52.918	98.227	97.88		100.0	52.918	51.751	98.227	99.291
DIEEDFHO_00107	50.638	50.213	100.0	50.213	100.0	50.213	51.064	100.0	100.0	50.213	100.0	51.064	50.213	100.0	100.0
DIEEDFHO_00108			100.0		99.16			100.0	97.479		100.0			100.0	100.0
DIEEDFHO_00109			100.0		100.0			91.489	90.544		100.0			91.726	100.0
DIEEDFHO_00110			99.048		99.683			98.73	98.095		100.0			99.683	99.048
DIEEDFHO_00111	83.779	83.779	100.0	83.779	100.0	83.779	83.588	99.423	100.0	83.46	100.0	83.779	83.779	99.423	100.0
DIEEDFHO_00112	80.645	80.645	100.0	80.645	100.0	80.645	80.645	100.0	100.0	80.645	100.0	80.645	80.0	100.0	100.0
DIEEDFHO_00113			100.0		99.367		51.923	83.648	87.975		100.0			82.39	98.734
DIEEDFHO_00114	85.129	85.225	100.0	85.129	99.156	84.267	85.225	98.101	98.734	85.586	99.789	85.225	85.129	98.945	99.156
DIEEDFHO_00115	50.667		100.0		100.0			100.0	98.81	50.0	100.0			100.0	98.81
DIEEDFHO_00116	83.667	83.333	100.0	83.667	99.666	83.667	83.333	99.331	99.331	83.667	100.0	83.667	83.667	99.666	100.0
DIEEDFHO_00117	71.134	71.134	100.0	71.134	100.0	71.134	71.134	99.313	99.656	71.134	100.0	71.134	71.134	99.656	100.0
DIEEDFHO_00118	81.25	81.25	100.0	81.25	100.0	81.25	81.25	100.0	100.0	81.197	100.0	81.25	81.25	100.0	100.0
DIEEDFHO_00119	75.177	75.177	100.0	75.177	99.645	75.177	75.177	99.645	99.645	75.177	100.0	75.177	75.177	99.645	100.0
DIEEDFHO_00120			100.0		100.0			100.0	97.5		100.0			100.0	100.0
DIEEDFHO_00121	85.439	85.439	99.474	85.439	100.0	91.93	91.93	98.421	98.07	85.263	99.298	85.614	85.439	98.772	99.298
DIEEDFHO_00122	96.923	97.163	100.0	97.163	100.0	96.923	96.923	100.0	100.0	96.923	100.0	97.163	97.163	100.0	100.0
DIEEDFHO_00123	75.477					75.204	75.204			75.477		92.308			
DIEEDFHO_00124	73.418	72.785	100.0	72.785	100.0	72.785	72.785	96.203	96.203	72.785	100.0	72.785	72.785	96.203	100.0
DIEEDFHO_00125	79.897	79.897	100.0	79.897	100.0	79.897	79.897	97.475	97.475	79.381	100.0	79.897	79.897	97.475	100.0
DIEEDFHO_00126	67.994	68.075	99.672	68.623	99.754	68.075	68.075	91.468	86.917	68.059	99.754	68.075	68.704	93.027	99.672
DIEEDFHO_00127	64.286	64.286	100.0	64.286	100.0	64.156	64.156	97.024	96.429	64.861	100.0	64.286	64.286	96.667	99.643
DIEEDFHO_00128	72.666	72.666	93.559	72.582	94.955	72.582	72.582	95.259	94.581	72.666	95.135	72.666	72.666	95.32	93.354
DIEEDFHO_00129	55.854	56.597	96.398	56.967	96.522	56.35	56.473	87.081	79.678	56.72	98.509	57.197	56.601	86.46	93.595
DIEEDFHO_00130			96.708		96.708				66.667		97.119			80.247	
DIEEDFHO_00131	60.0	60.0	95.918	60.0	95.918	60.0	60.0	86.047	93.023	60.0	95.918	60.0	60.0	87.755	93.878
DIEEDFHO_00132	77.632	78.07	100.0	78.509	100.0	78.947	78.947	96.93	97.807	77.928	99.561	78.07	78.947	98.684	99.561
DIEEDFHO_00133	86.034	86.034	99.441	86.034	99.441	86.034	86.034	100.0	100.0	86.034	100.0	86.592	86.034	100.0	100.0
DIEEDFHO_00134	82.833	83.262	99.149	82.833	99.149	82.833	82.833	98.298	97.447	83.262	99.149	82.833	82.833	97.872	99.574
DIEEDFHO_00135	85.928	85.928	99.701	85.629	99.701	85.629	85.629	97.605	98.204	85.928	100.0	85.629	85.329	98.204	99.701
DIEEDFHO_00136	64.275	67.16	97.01		97.16			58.791	63.702	67.308	98.808	67.16		64.0	97.01
DIEEDFHO_00137	74.684	74.375	98.75	74.375	98.75	74.375	74.375	96.875	98.75	74.375	98.125	74.375	74.375	97.5	98.75
DIEEDFHO_00138	90.58	90.58	98.103	90.67	98.193	90.58	90.58	97.38	97.742	91.08	99.639	90.399	90.67	98.103	98.103
DIEEDFHO_00139			98.551		98.551			98.551	98.551		100.0			100.0	100.0
DIEEDFHO_00140	86.041	86.041	99.662	82.003	99.493	82.003	86.041	99.662	93.882	84.712	99.662	81.834	82.003	99.831	99.662
DIEEDFHO_00141	51.357	51.357	99.818	51.357	99.27	51.357	51.357	99.088	98.723	51.357	99.635	51.148	51.357	99.088	99.818
DIEEDFHO_00142	78.689	78.689	99.796	78.689	99.796	78.689	78.689	99.796	100.0	78.689	99.389	78.689	78.689	99.796	99.796
DIEEDFHO_00143	74.432	74.432	99.424	75.0	99.424	74.716	74.716	98.271	97.695	74.716	99.424	74.432	74.716	98.271	97.983
DIEEDFHO_00144															
DIEEDFHO_00145	65.927	65.61	99.842	65.769	99.842	65.61	65.61	99.208	97.781	65.452	99.842	65.769	65.927	99.366	99.683
DIEEDFHO_00146	53.636	53.182	100.0	53.636	100.0	53.182	53.182	97.727	93.636	53.182	100.0	53.182	53.636	97.273	97.727
DIEEDFHO_00147	69.972	69.972	99.716	69.972	99.148	69.972	69.972	99.148	99.148	64.583	99.432	69.972	69.972	99.148	99.432
DIEEDFHO_00148	60.0	60.0	98.299	60.0	98.639	60.0	60.0	92.727	80.906	60.0	98.639	60.727	60.0	97.959	97.279
DIEEDFHO_00149			98.734		100.0			97.468	98.734		100.0			97.468	97.468
DIEEDFHO_00150			99.038		98.077			98.077	99.038		98.077			98.077	99.038
DIEEDFHO_00151			100.0		100.0			97.115	97.115		100.0			97.115	99.038
DIEEDFHO_00152	63.025	63.025	100.0	63.025	100.0	63.025	63.025	98.374	98.374	63.025	100.0	63.025	63.025	100.0	97.561
DIEEDFHO_00153			97.685		99.537			97.222			99.537				98.611
DIEEDFHO_00154	73.214	73.214	98.673	72.768	100.0	72.768	72.768	98.673	100.0	73.214	100.0	72.768	72.768	99.115	99.558
DIEEDFHO_00155			94.262		95.082			95.902	95.082		95.082			95.082	95.902
DIEEDFHO_00156			98.413		98.571			100.0	97.143		98.571			100.0	100.0
DIEEDFHO_00157			98.582		98.582			97.872	95.745		98.582			94.326	95.745
DIEEDFHO_00158	79.245	79.245	100.0	79.245	100.0	79.245	79.245	99.245	100.0	78.539	100.0	79.245	79.245	100.0	99.623
DIEEDFHO_00159	80.392	80.392	100.0	80.392	100.0	80.392	80.392	100.0	100.0	73.438	100.0	80.392	80.392	99.038	100.0
DIEEDFHO_00160	69.856	69.789	99.694	69.856	99.796	69.725	69.725	99.307	99.589	69.44	99.723	69.856	70.576	97.549	99.081
DIEEDFHO_00161	81.905	81.905	100.0	81.905	100.0	81.905	81.905	99.138	100.0	81.905	100.0	81.905	81.905	100.0	100.0
DIEEDFHO_00162	52.727	52.727	99.474	52.468	99.474	52.727	52.727	97.105	96.842	52.727	98.947	52.468	52.468	96.316	98.158
DIEEDFHO_00163	74.026	74.026	99.468	77.273	99.468	77.54	74.026	99.734	99.571	74.026	99.468	77.54	77.54	99.468	99.468
DIEEDFHO_00164	72.449	72.449	99.091	73.469	100.0	73.469	73.469	96.364	98.182	73.469	99.091	73.469	73.469	96.364	99.091
DIEEDFHO_00165	93.151	93.151	100.0	93.151	100.0	93.151	93.151	100.0	100.0	93.151	100.0	93.151	93.151	100.0	100.0
DIEEDFHO_00166	50.637	50.637	97.243	50.318	96.992	50.637	50.637	89.223	92.481		96.491	50.637	50.637	89.664	96.742
DIEEDFHO_00167	68.027	68.027	98.658	68.027	97.973	68.027	68.027	97.26	98.639		98.658	68.027	68.027	100.0	98.658
DIEEDFHO_00168			96.667		100.0			81.111	80.0		98.889			81.111	97.778
DIEEDFHO_00169	52.96	52.96	98.083	53.271	99.042	53.925	53.925	89.457	91.054	52.648	99.361	53.271	53.271	89.776	99.042
DIEEDFHO_00170	76.353	76.353	100.0	76.353	99.522	76.353	76.353	99.043	99.282	76.353	100.0	76.353	76.353	99.043	99.522
DIEEDFHO_00171	58.197	57.377	100.0	58.197	98.374	57.377	58.197	99.187	99.187	58.197	98.374	57.377	58.197	99.187	99.187
DIEEDFHO_00172	52.358	52.83	99.535	52.358	99.07	52.358	52.358	99.535	99.07	52.358	99.07	52.358	52.358	99.07	98.605
DIEEDFHO_00173	79.835	79.835	100.0	79.835	100.0	79.835	79.835	100.0	100.0	79.835	100.0	79.835	79.835	99.595	100.0
DIEEDFHO_00174	56.886	57.485	100.0	57.485	100.0	57.485	57.485	99.405	99.405	57.485	98.81	57.485	57.485	98.81	99.405
DIEEDFHO_00175	51.203	51.203	100.0	51.203	99.308	50.859	51.203	91.696	91.349	51.203	99.308	51.203	51.203	91.349	99.654
DIEEDFHO_00176			99.454		98.907			68.306	69.399		98.361			68.306	98.361
DIEEDFHO_00177			99.647		97.527			94.346	95.053		98.94			96.466	98.94
DIEEDFHO_00178			100.0		93.576			94.792	52.076		97.65			94.792	97.917
DIEEDFHO_00179	84.052	84.052	100.0	84.052	100.0	84.052	84.052	100.0	99.138	84.052	100.0	84.052	84.052	100.0	100.0
DIEEDFHO_00180	66.026	66.667	99.355	65.385	98.71	66.026	66.026	99.355	97.419	66.026	99.355	66.026	65.385	100.0	98.71
DIEEDFHO_00181			100.0		83.333			73.684	81.053		89.796			81.053	88.542
DIEEDFHO_00182			98.022		96.79			82.571	77.914		97.16			94.975	97.16
DIEEDFHO_00183			99.465		96.257			88.77	89.84		99.465			89.305	97.326
DIEEDFHO_00184			83.544		97.468			93.671	88.608		97.468			78.481	100.0
DIEEDFHO_00185			100.0		100.0			98.795	96.386		100.0			100.0	100.0
DIEEDFHO_00186			99.32		99.145				89.655		95.425				99.32
DIEEDFHO_00187			93.902								95.181			91.463	95.528
DIEEDFHO_00188					95.604						97.802				
DIEEDFHO_00189			99.099		97.297			90.826	87.156					88.073	98.198
DIEEDFHO_00190			100.0		98.0										
DIEEDFHO_00191			91.447		85.526			83.553	75.658		96.053			84.211	98.684
DIEEDFHO_00192			97.826		97.826			80.435	82.609						97.826
DIEEDFHO_00193			96.825		100.0			96.825	93.651					96.825	100.0
DIEEDFHO_00194			83.824		83.824										85.294
DIEEDFHO_00195					100.0										93.023
DIEEDFHO_00196			100.0	85.333					84.81	82.667				86.076	97.468
DIEEDFHO_00197			97.845		92.0				81.452					84.677	92.0
DIEEDFHO_00198			96.552		98.276				96.552					96.552	96.552
DIEEDFHO_00199			96.094		100.0			94.505	94.531					92.969	97.656
