gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
APLKDIED_00041			92.623	95.082		93.443			95.082		93.443			96.721	95.082
APLKDIED_00042	74.332	74.332	100.0	100.0	73.797	100.0	73.797	73.797	100.0	74.332	100.0	73.797	73.797	100.0	99.471
APLKDIED_00043	65.789	65.789	84.211	86.842	65.789	86.842	65.789	65.789	84.211	65.789	86.842	65.789	65.789	86.842	86.842
APLKDIED_00044															
APLKDIED_00045														97.927	
APLKDIED_00046	63.025	63.025	98.374	98.374	63.025	98.374	63.025	63.025	100.0	63.025	98.374	63.025	63.025	98.374	99.187
APLKDIED_00047			97.115	97.115		97.115			100.0		97.115			100.0	98.077
APLKDIED_00048			100.0	99.038		99.038			99.038		99.038			99.038	100.0
APLKDIED_00049			100.0	98.734		98.734			96.203		98.734			96.203	96.203
APLKDIED_00050	57.143	57.143	80.906	80.906	57.143	80.906	57.143	57.143	80.088	57.143	80.906	57.84	57.143	80.583	80.583
APLKDIED_00051	69.972	69.972	98.864	99.148	69.972	98.58	69.972	69.972	98.864	64.583	98.864	69.972	69.972	98.864	99.148
APLKDIED_00052	55.455	54.545	93.636	93.636	55.0	93.636	54.545	54.545	95.909	54.545	93.636	54.545	55.0	95.455	95.909
APLKDIED_00053	66.086	65.769	97.94	97.781	65.927	97.94	65.61	65.61	97.94	65.61	97.94	65.927	66.086	97.781	97.781
APLKDIED_00054	74.148	74.148	97.695	97.695	74.148	97.695	73.864	73.864	98.847	73.864	97.695	73.58	73.864	98.271	98.559
APLKDIED_00055															
APLKDIED_00056	51.357	51.357	98.905	98.723	51.357	99.088	51.148	51.148	99.635	51.357	98.723	51.148	51.357	99.635	98.905
APLKDIED_00057	72.781	72.978						75.838		71.824					
APLKDIED_00058			97.101	98.551		97.101			97.101		98.551			98.551	98.551
APLKDIED_00059	94.393	95.327	90.343		81.62	90.654	94.393	94.393	90.343	96.262	90.343				90.654
APLKDIED_00060	90.399	90.399	99.277	97.742	90.308	99.187	90.399	90.399	99.006	90.704	97.922	90.217	90.489	99.458	99.097
APLKDIED_00061	75.949	75.625	98.75	98.75	75.625	98.75	75.625	75.625	96.875	75.625	98.125	75.625	75.625	97.5	98.75
APLKDIED_00062	64.317	64.74	56.446	63.702		56.533				65.368	63.558	65.512		68.756	56.98
APLKDIED_00063	86.527	86.527	98.503	98.204	86.228	98.503	86.228	86.228	98.802	86.527	98.204	86.228	85.928	99.401	98.503
APLKDIED_00064	81.545	81.974	97.447	97.447	81.545	97.447	81.545	81.545	99.149	81.974	97.447	82.403	81.545	99.574	97.872
APLKDIED_00065	86.034	86.034	99.441	100.0	86.034	99.441	86.034	86.034	100.0	86.034	100.0	86.592	86.034	100.0	100.0
APLKDIED_00066	77.193	77.632	97.807	97.807	78.07	97.807	78.509	78.509	97.368	77.477	97.807	77.632	78.509	99.123	97.368
APLKDIED_00067	61.538	61.538	95.349	93.023	61.538	95.349	61.538	61.538	93.023	61.538	95.349	61.538	61.538	93.023	93.023
APLKDIED_00068			67.333	66.667		67.333			87.209		66.0			67.105	
APLKDIED_00069	54.324	54.635	80.149	79.678	55.117	80.273	54.883	55.006	83.54	54.759	79.678	54.512	54.289	80.941	88.841
APLKDIED_00070			92.642	94.581		95.69			97.31		94.27			97.565	92.252
APLKDIED_00071	71.192	71.192	96.429	96.429	71.192	96.429	71.235	71.235	97.976	72.431	96.429	71.192	71.192	98.095	96.548
APLKDIED_00072	66.532	66.613	86.825	86.999	66.992	86.907	66.613	66.613	91.728	66.406	86.825	66.613	67.073	90.745	86.825
APLKDIED_00073	79.381	79.381	97.475	97.475	79.381	97.475	79.381	79.381	100.0	78.866	97.475	79.381	79.381	100.0	97.475
APLKDIED_00074	72.785	72.152	96.203	96.203	72.152	96.203	72.152	72.152	100.0	72.152	96.203	72.152	72.152	100.0	96.203
APLKDIED_00075															
APLKDIED_00076	96.923	97.163	100.0	100.0	97.163	100.0	96.923	96.923	100.0	96.923	100.0	97.163	97.163	100.0	100.0
APLKDIED_00077	84.737	84.737	97.544	98.07	84.737	98.07	92.456	92.456	98.596	84.561	97.719	85.088	84.737	99.298	97.368
APLKDIED_00078			97.5	97.5		97.5			97.5		97.5			97.5	97.5
APLKDIED_00079	75.532	75.532	99.645	99.645	75.532	99.291	75.532	75.532	100.0	75.532	99.645	75.532	75.532	100.0	99.645
APLKDIED_00080	81.25	81.25	100.0	100.0	81.25	100.0	81.25	81.25	100.0	81.197	100.0	81.25	81.25	100.0	100.0
APLKDIED_00081	70.79	70.79	99.656	99.656	70.79	99.656	70.79	70.79	99.656	70.79	99.656	70.79	70.79	99.313	99.656
APLKDIED_00082	83.667	83.333	99.331	99.331	83.667	99.666	83.667	83.333	100.0	83.667	99.331	83.667	83.667	99.666	99.331
APLKDIED_00083	50.667		98.81	98.81		98.81			98.81	50.0	98.81			98.81	97.619
APLKDIED_00084	85.345	85.439	98.734	98.734	85.345	99.156	84.483	85.439	98.734	85.586	98.523	85.439	85.345	99.156	99.156
APLKDIED_00085			87.975	87.975		87.342		50.0	87.975		87.975			86.076	87.975
APLKDIED_00086	80.645	80.645	100.0	100.0	80.645	100.0	80.645	80.645	100.0	80.645	100.0	80.645	80.0	100.0	100.0
APLKDIED_00087	83.779	83.779	100.0	100.0	83.779	100.0	83.779	83.588	99.423	83.46	100.0	83.779	83.779	99.423	100.0
APLKDIED_00088			97.143	98.095		97.778			98.73		98.095			97.778	97.143
APLKDIED_00089			90.544	90.544		90.544			98.345		90.544			98.582	90.544
APLKDIED_00090			97.479	97.479		96.639			97.479		97.479			97.479	97.479
APLKDIED_00091	50.638	50.213	100.0	100.0	50.213	100.0	50.213	51.064	100.0	50.213	100.0	51.064	50.213	100.0	100.0
APLKDIED_00092	52.529	52.918	97.88	97.88	52.529	97.527	52.529	53.307	98.587		97.88	53.307	52.14	98.587	97.88
APLKDIED_00093	77.064	77.064	100.0	100.0	77.064	100.0	77.064	77.064	100.0	77.064	100.0	77.064	77.064	100.0	100.0
APLKDIED_00094	90.0	89.815	100.0	100.0	90.0	100.0	90.0		100.0	89.815	99.074	90.0	89.815	100.0	100.0
APLKDIED_00095															
APLKDIED_00096	94.828	94.565	100.0	100.0	94.215	100.0			100.0		100.0	94.215	94.565	100.0	100.0
APLKDIED_00097															
APLKDIED_00098	92.537	92.537	100.0	100.0	91.111	100.0	91.667	91.667	100.0	92.537	100.0	91.111	91.111	100.0	100.0
APLKDIED_00099	67.133	67.133	100.0	100.0	67.133	100.0	66.434	66.434	100.0	64.423	100.0	67.133	67.133	100.0	100.0
APLKDIED_00100			94.286	95.714		95.714			94.286		95.714			94.286	92.857
APLKDIED_00101					60.0		60.0	60.0	100.0	60.0		60.0	60.0		
APLKDIED_00102	92.982	92.982	99.138	99.138	92.982	99.138	92.982	92.982	100.0	92.982	99.138	92.982	92.982	100.0	99.138
APLKDIED_00103			100.0	100.0		97.727			97.727		100.0			97.727	97.727
APLKDIED_00104															
APLKDIED_00105															
APLKDIED_00106															
APLKDIED_00107															
APLKDIED_00108															
APLKDIED_00109															
APLKDIED_00110															
APLKDIED_00111														99.286	
APLKDIED_00112			98.81			97.619			95.238		98.81			96.429	97.619
APLKDIED_00113															
APLKDIED_00114			96.721	96.721		96.721			96.721		96.721			96.721	95.082
APLKDIED_00115															
APLKDIED_00116									97.647						97.647
APLKDIED_00117			96.748	96.748		95.935			97.561		97.561			94.309	94.309
APLKDIED_00118									96.364						89.091
APLKDIED_00119	84.932	84.932	100.0	100.0	84.932	100.0	84.932	84.932	100.0	84.932	98.667		84.932	100.0	100.0
APLKDIED_00120			94.118	94.118		94.118			90.196		94.118			98.039	94.118
APLKDIED_00121	55.882	55.882	100.0	100.0	55.882	100.0	55.882	55.882	100.0	55.882	100.0		55.882	100.0	100.0
APLKDIED_00122			100.0	99.02		100.0			100.0		100.0			100.0	100.0
APLKDIED_00123			99.548	99.548		99.095			100.0		99.548			99.548	99.548
APLKDIED_00124	50.0		92.857	92.857	50.0	92.857	50.0	50.0	90.0		92.857			92.857	92.857
APLKDIED_00125			83.516	83.516		83.516			83.516		83.516			83.516	83.516
APLKDIED_00126															
APLKDIED_00127			65.827	65.647		64.568			64.748		65.827			65.468	65.468
APLKDIED_00128			74.525	74.525		74.525			100.0		74.525			100.0	100.0
APLKDIED_00129			87.243	87.243		86.831			99.608		86.831			99.216	98.824
APLKDIED_00130	53.947	53.947	79.487	79.487	53.947	79.487	53.947	53.947	95.0	53.947	79.487		53.947	95.0	93.75
APLKDIED_00131									88.235					86.275	
APLKDIED_00132			75.641	75.0		75.641			99.359		75.641			98.718	75.641
APLKDIED_00133			96.8	97.2		96.8			99.6		97.2			99.2	96.4
APLKDIED_00134			80.476	86.667		79.524			91.429		86.667			91.905	87.619
APLKDIED_00135	65.944	65.635	81.269	81.571	65.325	81.571	65.635	65.635	81.875	65.635	81.269	65.635	65.325	97.188	80.685
APLKDIED_00136			97.959	97.959		97.959			95.918		96.939			100.0	93.878
APLKDIED_00137			99.024	99.024		99.512			98.049		99.512			99.024	97.561
APLKDIED_00138		96.503	97.902	97.902		97.902		96.503	98.951	96.503	96.441		96.503	100.0	97.902
APLKDIED_00139		61.765	100.0	100.0		98.529		60.294	100.0	61.765	100.0		61.765	97.059	98.529
APLKDIED_00140		90.551	97.674	97.037		97.037		90.551		90.551	95.556		90.551		97.037
APLKDIED_00141			100.0	100.0		100.0					97.5				100.0
APLKDIED_00142			76.875	76.875		77.5					92.481				77.5
APLKDIED_00143			94.149	94.149		95.745			96.277		95.213			92.553	96.277
APLKDIED_00144			94.667	94.667		94.667			70.455		94.667			93.333	98.667
APLKDIED_00145	60.606	56.311	96.581	96.581	56.863	98.291	60.606	60.606	96.581	59.596	98.291	60.606	56.863	95.726	97.436
APLKDIED_00146			98.87	99.435		98.87			99.435		99.435			97.74	
APLKDIED_00147			98.438	98.438		97.917			98.438		98.438			100.0	98.438
APLKDIED_00148	56.436	57.143	97.537	97.044	57.143	96.552	57.426	57.426	96.552	56.436	97.044	56.931	57.143	100.0	97.537
APLKDIED_00149	51.724	51.852	96.512	96.512	51.724	94.186	51.724	53.086	98.837	51.724	96.512	51.724	51.724	100.0	95.349
APLKDIED_00150	59.091	59.091	89.879	90.283	59.091	92.308	59.091	59.091	99.19		91.903	59.091	58.636	99.595	91.498
APLKDIED_00151			95.327	94.393		100.0			99.065		94.393			100.0	94.393
APLKDIED_00152			96.759	96.528		96.759			96.528		96.759			97.685	96.528
APLKDIED_00153			95.455	95.455		95.455			98.864		95.455			93.182	95.455
APLKDIED_00154			84.211	84.211		83.459			87.218		84.211			89.474	84.211
APLKDIED_00155			71.141	71.141		71.141			97.987		71.141			95.302	71.141
APLKDIED_00156			93.939	93.939		93.939			84.848		93.939			84.848	91.919
APLKDIED_00157			85.714	83.117		92.208			87.013		90.909			89.61	89.61
APLKDIED_00158			93.478	92.391		92.391			96.894		92.391			97.516	93.478
APLKDIED_00159			94.872	94.872		94.872			91.026		94.872			100.0	94.872
APLKDIED_00160			91.489	92.553		92.199			93.684		92.199			98.596	91.844
APLKDIED_00161											91.339			99.213	
APLKDIED_00162			88.889	88.889		88.889					91.358			98.765	88.889
APLKDIED_00163		73.128	94.715	93.902		94.715				73.128	91.463			98.413	94.715
APLKDIED_00164									92.784					98.454	
APLKDIED_00165			92.063	92.063		100.0			100.0		100.0			100.0	100.0
APLKDIED_00166			98.313	98.313		98.554			98.554		98.313			98.795	98.795
APLKDIED_00167			94.521	93.836		95.205					95.89				95.205
APLKDIED_00168			84.553	84.553		77.6					85.366				77.6
APLKDIED_00169									94.245					94.245	
APLKDIED_00170			83.636	81.818		87.273			83.636		85.455			85.455	87.273
APLKDIED_00171			87.879	87.879		86.364			89.394		87.879			87.879	86.364
APLKDIED_00172	53.659	53.659			53.659	93.064	53.049	53.049	95.954	53.659		54.268	54.878	96.532	93.064
APLKDIED_00173			90.789	90.789		85.526			90.789		89.474			90.789	84.211
APLKDIED_00174			81.333	84.0					94.521		84.0			94.667	
APLKDIED_00175						91.549									91.549
APLKDIED_00176									100.0					99.27	
APLKDIED_00177									98.901					96.703	
APLKDIED_00178															
APLKDIED_00179	95.833	95.833				79.487			93.75	97.917				97.917	
APLKDIED_00180	89.888		96.629			96.629			93.258	88.764		86.517	83.146		95.506
APLKDIED_00181	58.333		91.837	91.837	56.25	91.837					91.837	56.25	56.25		91.837
APLKDIED_00182															
APLKDIED_00183					66.667							63.768	66.667		
APLKDIED_00184														87.143	
APLKDIED_00185															
APLKDIED_00186			92.029	93.478		93.478			94.928		94.203			95.652	91.304
APLKDIED_00187			90.323						100.0					92.473	90.323
APLKDIED_00188			92.969	94.531		94.531			98.901					92.188	93.75
APLKDIED_00189			93.478	96.552		94.828								96.552	93.103
APLKDIED_00190			82.258	81.452		85.714								92.857	85.714
APLKDIED_00191						90.588								92.941	90.588
APLKDIED_00192			84.81	84.81	76.0					76.0				91.139	82.278
APLKDIED_00193	70.833				69.792		70.833	70.833				69.792	69.792	86.598	
APLKDIED_00194			90.476	93.651		93.651			93.651					93.651	93.651
APLKDIED_00195	52.174	52.174	87.805		54.348	87.805			81.395	52.174		52.174	52.174	90.244	87.805
APLKDIED_00196			82.609	82.609		83.696			97.826						82.609
APLKDIED_00197			81.699	75.658		88.0			88.0		79.085			88.0	76.974
APLKDIED_00198									93.252		96.933			94.479	
APLKDIED_00199			88.073	87.156		86.239			96.33					97.248	87.156
