gene	AP018714	AP018715	Ben	Bill	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
FGBNBECL_00193	94.805	94.805				98.701	98.701			94.805		93.506	96.104		
FGBNBECL_00194	89.6	89.6								88.8		89.6	96.8		
FGBNBECL_00195	75.342	78.378								75.342		77.027	100.0		
FGBNBECL_00196		98.413										96.825	100.0		
FGBNBECL_00197													60.744		
FGBNBECL_00198	96.667									98.571			99.524		
FGBNBECL_00199	92.453					92.453	92.453			92.453		90.566	100.0		
FGBNBECL_00200	95.833	89.362				89.362	89.362			97.917		95.833	100.0		
FGBNBECL_00201	90.769									98.462			100.0		
FGBNBECL_00202	94.86	94.86				95.794	95.794			95.327		96.262	100.0		
FGBNBECL_00203	97.973	97.273				91.892	91.892			96.364		81.757	100.0		
FGBNBECL_00204	97.222	96.528				99.306	99.306			95.833		98.611	100.0		
FGBNBECL_00205	98.0	99.0				99.0	99.0			97.0		98.0	100.0		
FGBNBECL_00206						98.969	98.969					98.889	98.969		
FGBNBECL_00207	97.183	94.366				92.958	92.958			98.592		100.0	97.183		
FGBNBECL_00208	85.106	93.478	57.447		57.447	91.489	91.489	54.348	54.348	93.617		93.617	93.617	55.319	57.447
FGBNBECL_00209															
FGBNBECL_00210			85.333	85.333					76.0	86.842				78.667	82.667
FGBNBECL_00211	97.959					97.959	97.959		69.792			98.98	100.0	76.042	
FGBNBECL_00212	98.551	98.551				100.0	100.0			98.551		100.0	98.551		
