gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX
FLJIFKPE_00051	50.0	50.617	98.837	98.837	50.0	98.837	50.0	51.852	96.512	95.349	50.0	96.512	50.0	50.0	95.349
FLJIFKPE_00052	55.941	56.65	99.015	98.522	56.65	98.03	56.931	56.931	97.537	97.537	55.941	98.522	56.436	56.65	97.537
FLJIFKPE_00053			100.0	100.0		99.479			97.396	98.438		100.0			98.438
FLJIFKPE_00054	61.616	57.282	99.145	99.145	57.843	99.145	61.616	61.616	99.145	97.436	60.606	99.145	61.616	57.843	98.291
FLJIFKPE_00055			94.667	94.667		94.667			70.455	98.667		96.0			93.333
FLJIFKPE_00056			82.558	82.558		94.253			96.512			96.552			94.253
FLJIFKPE_00057						95.714									
FLJIFKPE_00058			97.872	97.872		98.404			96.809	96.277		96.809			95.213
FLJIFKPE_00059			97.312	97.849		98.925						94.624			
FLJIFKPE_00060			99.605	99.605		100.0				77.5		91.304			
FLJIFKPE_00061			99.099	99.099		100.0						98.198			
FLJIFKPE_00062		91.339	100.0	100.0		100.0		91.339		97.037	91.339	98.519		91.339	
FLJIFKPE_00063		61.765	98.529	98.529		97.059		60.294	98.529	98.529	61.765	98.529		61.765	95.588
FLJIFKPE_00064		95.105	100.0	100.0		100.0		95.105	98.951	97.902	94.755	97.153		95.105	97.902
FLJIFKPE_00065			97.561	97.561		98.049			97.561	97.561		98.049			98.537
FLJIFKPE_00066			94.898	94.898		94.898			92.857	93.878		93.878			93.878
FLJIFKPE_00067	58.232	58.537	93.769	94.393	58.841	94.393	57.927	58.537	79.439	80.685	58.537	94.081	58.537	58.232	79.751
FLJIFKPE_00068			90.476	96.667		89.524			84.286	87.619		96.667			85.238
FLJIFKPE_00069			99.6	99.2		99.6			96.8	96.4		99.2			96.8
FLJIFKPE_00070			100.0	99.359		100.0			75.641	75.641		100.0			75.0
FLJIFKPE_00071			98.864	98.864		98.864						98.864			
FLJIFKPE_00072			99.091	98.182		99.091						99.091			
FLJIFKPE_00073			100.0	100.0		99.597			98.367			100.0			98.367
FLJIFKPE_00074			99.202	98.936		99.468			98.128			98.936			98.93
FLJIFKPE_00075			98.374	98.78		98.374						98.78			
FLJIFKPE_00076			97.814	98.361		98.361						98.361			
FLJIFKPE_00077			99.194	100.0		98.387			97.458			100.0			98.305
FLJIFKPE_00078	53.333	53.333	85.0	85.0	53.333	85.0	53.333	53.333	98.75	93.75	53.333	85.0		53.333	98.75
FLJIFKPE_00079			86.345	86.345		85.944			99.216	98.824		85.944			99.608
FLJIFKPE_00080			74.525	74.525		74.525			100.0	100.0		74.525			100.0
FLJIFKPE_00081			99.531	99.688		98.594			98.438	65.468		99.531			99.688
FLJIFKPE_00082	50.0		100.0	100.0	50.0	100.0	50.0	50.0	97.143	92.857		100.0			100.0
FLJIFKPE_00083			100.0	100.0		99.548			99.541	99.548		100.0			100.0
FLJIFKPE_00084			100.0	99.02		100.0			100.0	100.0		100.0			100.0
FLJIFKPE_00085	55.882	55.882	100.0	100.0	55.882	100.0	55.882	55.882	100.0	100.0	55.882	100.0		55.882	100.0
FLJIFKPE_00086			99.022	99.217		99.413			79.532			98.826			79.142
FLJIFKPE_00087	84.932	84.932	100.0	100.0	84.932	100.0	84.932	84.932	100.0	100.0	84.932	98.667		84.932	100.0
FLJIFKPE_00088															
FLJIFKPE_00089															
FLJIFKPE_00090															
FLJIFKPE_00091															
FLJIFKPE_00092									89.091	89.091					
FLJIFKPE_00093			92.683	92.683		91.87			96.748	94.309		93.496			90.244
FLJIFKPE_00094															
FLJIFKPE_00095									100.0	97.647					
FLJIFKPE_00096															
FLJIFKPE_00097			98.361	98.387		98.361			98.361	95.082		98.361			98.361
FLJIFKPE_00098															
FLJIFKPE_00100															
FLJIFKPE_00101															
FLJIFKPE_00102			97.619			100.0			97.619			100.0			97.619
FLJIFKPE_00103			98.81			100.0			95.238	97.619		98.81			96.429
FLJIFKPE_00104															
FLJIFKPE_00105															
FLJIFKPE_00106															
FLJIFKPE_00107															
FLJIFKPE_00108															
FLJIFKPE_00109															
FLJIFKPE_00110	95.367	95.367	99.614		95.367	100.0	95.367	95.367	98.069		95.367	100.0		95.367	
FLJIFKPE_00111															
FLJIFKPE_00112															
FLJIFKPE_00113															
FLJIFKPE_00114															
FLJIFKPE_00115															
FLJIFKPE_00116															
FLJIFKPE_00117															
FLJIFKPE_00118															
FLJIFKPE_00119															
FLJIFKPE_00120			97.727	97.727		100.0			97.727	97.727		97.727			97.727
FLJIFKPE_00121	93.86	93.86	100.0	100.0	93.86	100.0	93.86	93.86	99.138	99.138	93.86	100.0	93.86	93.86	99.138
FLJIFKPE_00122			98.571	94.286		97.143			98.571	92.857		94.286			98.571
FLJIFKPE_00123	67.133	67.133	100.0	100.0	67.133	100.0	66.434	66.434	100.0	100.0	64.423	100.0	67.133	67.133	100.0
FLJIFKPE_00124	90.272	89.61	100.0	100.0	90.395	100.0			100.0			99.716	90.395	89.61	100.0
FLJIFKPE_00125					96.805								96.805		
FLJIFKPE_00126	77.064	77.064	100.0	100.0	77.064	100.0	77.064	77.064	100.0	100.0	77.064	100.0	77.064	77.064	100.0
FLJIFKPE_00127	52.14	52.529	100.0	99.291	52.14	98.936	52.14	52.918	98.227	97.88		99.291	52.918	51.751	98.227
FLJIFKPE_00128	50.638	50.213	100.0	100.0	50.213	100.0	50.213	51.064	100.0	100.0	50.213	100.0	51.064	50.213	100.0
FLJIFKPE_00129			100.0	100.0		99.16			100.0	97.479		100.0			100.0
FLJIFKPE_00130			100.0	100.0		100.0			91.489	90.544		100.0			91.726
FLJIFKPE_00131			100.0	99.048		99.365			98.413	97.143		99.048			99.365
FLJIFKPE_00132	83.779	83.779	100.0	100.0	83.779	100.0	83.779	83.588	99.423	100.0	83.46	100.0	83.779	83.779	99.423
FLJIFKPE_00133	80.645	80.645	100.0	100.0	80.645	100.0	80.645	80.645	100.0	100.0	80.645	100.0	80.645	80.0	100.0
FLJIFKPE_00134			98.734	98.734		99.367		51.923	84.906	87.975		98.734			83.648
FLJIFKPE_00135	85.129	85.225	99.156	99.156	85.129	100.0	84.267	85.225	98.734	99.156	85.586	99.156	85.225	85.129	99.367
FLJIFKPE_00136			98.81	98.81		98.81			98.81	97.619	50.0	98.81			98.81
FLJIFKPE_00137	83.667	83.333	100.0	100.0	83.667	99.666	83.667	83.333	99.331	99.331	83.667	100.0	83.667	83.667	99.666
FLJIFKPE_00138	71.134	71.134	100.0	100.0	71.134	100.0	71.134	71.134	99.313	99.656	71.134	100.0	71.134	71.134	99.656
FLJIFKPE_00139	81.25	81.25	100.0	100.0	81.25	100.0	81.25	81.25	100.0	100.0	81.197	100.0	81.25	81.25	100.0
FLJIFKPE_00140	75.177	75.177	100.0	100.0	75.177	99.645	75.177	75.177	99.645	99.645	75.177	100.0	75.177	75.177	99.645
FLJIFKPE_00141			100.0	100.0		100.0			100.0	97.5		100.0			100.0
FLJIFKPE_00142	85.439	85.439	99.825	99.298	85.439	99.298	91.93	91.93	97.719	97.368	85.263	98.947	85.614	85.439	98.07
FLJIFKPE_00143	96.923	97.163	100.0	100.0	97.163	100.0	96.923	96.923	100.0	100.0	96.923	100.0	97.163	97.163	100.0
FLJIFKPE_00144	73.418	72.785	100.0	100.0	72.785	100.0	72.785	72.785	96.203	96.203	72.785	100.0	72.785	72.785	96.203
FLJIFKPE_00145	79.897	79.897	100.0	100.0	79.897	100.0	79.897	79.897	97.475	97.475	79.381	100.0	79.897	79.897	97.475
FLJIFKPE_00146	67.994	68.075	99.836	99.672	68.623	99.918	68.075	68.075	91.632	86.743	68.059	99.836	68.075	68.704	93.191
FLJIFKPE_00147	71.493	71.493	99.643	99.643	71.493	99.643	71.235	71.235	97.381	96.548	72.757	99.643	71.493	71.493	96.786
FLJIFKPE_00148	73.316	73.316	99.371	93.354	73.232	97.798	73.232	73.232	94.421	93.624	73.316	97.483	73.316	73.316	94.421
FLJIFKPE_00149	58.841	58.874	94.461	93.595	58.73	94.606	58.874	58.874	84.824	88.841	58.73	93.595	58.73	58.286	88.501
FLJIFKPE_00150			60.656	63.934		60.656			59.016	59.016		62.295			60.656
FLJIFKPE_00151	62.222	62.222	97.959	93.878	62.222	97.959	62.222	62.222	88.372	93.023	62.222	95.918	62.222	62.222	89.796
FLJIFKPE_00152	77.632	78.07	99.561	99.561	78.509	99.561	78.947	78.947	96.491	97.368	77.928	99.123	78.07	78.947	98.246
FLJIFKPE_00153	86.034	86.034	99.441	100.0	86.034	99.441	86.034	86.034	100.0	100.0	86.034	100.0	86.592	86.034	100.0
FLJIFKPE_00154	82.403	82.833	99.574	99.574	82.403	99.574	82.403	82.403	98.723	97.872	82.833	99.574	82.403	82.403	98.298
FLJIFKPE_00155	86.228	86.228	100.0	99.701	85.928	100.0	85.928	85.928	97.904	98.503	86.228	99.701	85.928	85.629	98.503
FLJIFKPE_00156	63.913	66.667	99.725	97.01		99.817				56.769	66.814	97.608	66.667		55.919
FLJIFKPE_00157	74.375	74.375	100.0	98.75	74.375	100.0	74.375	74.375	98.125	98.75	74.375	98.125	74.375	74.375	98.75
FLJIFKPE_00158	90.58	90.58	99.819	98.103	90.489	99.368	90.58	90.58	99.006	99.097	90.892	98.103	90.399	90.67	99.458
FLJIFKPE_00159	91.9	89.408	98.442		75.389	98.754	91.9	91.9	98.442	90.654	89.097	98.442			
FLJIFKPE_00160			98.551	100.0		98.551			98.551	98.551		100.0			100.0
FLJIFKPE_00161	85.812	85.812	100.0	99.662	81.664	99.493	81.664	85.812	99.662	94.093	84.461	99.662	81.494	81.664	99.831
FLJIFKPE_00162	51.357	51.357	100.0	99.818	51.357	99.453	51.357	51.357	99.27	98.905	51.357	99.818	51.148	51.357	99.27
FLJIFKPE_00163	78.893	78.893	99.593	99.796	78.893	99.593	78.893	78.893	100.0	99.647	78.893	99.185	78.893	78.893	100.0
FLJIFKPE_00164	73.864	73.864	98.559	97.983	74.432	98.559	74.148	74.148	99.712	98.559	74.148	98.559	73.864	74.148	99.135
FLJIFKPE_00165	65.927	65.61	99.842	99.683	65.769	99.842	65.61	65.61	99.525	97.781	65.452	99.842	65.769	65.927	99.683
FLJIFKPE_00166	54.091	53.636	97.727	97.727	54.091	97.727	53.636	53.636	100.0	95.909	53.636	97.727	53.636	54.091	98.636
FLJIFKPE_00167	69.972	69.972	99.148	99.432	69.972	98.58	69.972	69.972	99.716	99.148	64.583	98.864	69.972	69.972	99.716
FLJIFKPE_00168	59.636	59.636	97.619	97.279	59.636	97.959	59.636	59.636	92.727	80.583	59.636	97.959	60.364	59.636	97.959
FLJIFKPE_00169			96.203	97.468		97.468			100.0	96.203		97.468			100.0
FLJIFKPE_00170			100.0	99.038		99.038			99.038	100.0		99.038			99.038
FLJIFKPE_00171			99.038	99.038		99.038			98.077	98.077		99.038			98.077
FLJIFKPE_00172	63.025	63.025	97.561	97.561	63.025	97.561	63.025	63.025	99.187	99.187	63.025	97.561	63.025	63.025	97.561
FLJIFKPE_00173			96.296	98.611		98.148			98.611			98.148			
FLJIFKPE_00174	72.768	72.768	98.23	99.558	72.321	99.558	72.321	72.321	98.23	99.471	72.768	99.558	72.321	72.321	98.673
FLJIFKPE_00175			96.721	95.902		97.541			100.0	95.082		97.541			98.361
FLJIFKPE_00176			98.413	100.0		98.571			100.0	97.143		98.571			100.0
FLJIFKPE_00177			97.163	95.745		97.163			97.872	96.454		97.163			97.163
FLJIFKPE_00178	79.245	79.245	99.623	99.623	79.245	99.623	79.245	79.245	99.623	99.623	78.539	99.623	79.245	79.245	99.623
FLJIFKPE_00179	80.392	80.392	100.0	100.0	80.392	100.0	80.392	80.392	100.0	100.0	73.438	100.0	80.392	80.392	99.038
FLJIFKPE_00180	69.594	69.525	98.979	99.081	69.594	98.876	69.463	69.463	99.584	99.384	69.12	98.892	69.594	70.273	97.855
FLJIFKPE_00181	81.905	81.905	100.0	100.0	81.905	100.0	81.905	81.905	99.138	100.0	81.905	100.0	81.905	81.905	100.0
FLJIFKPE_00182	53.247	53.247	98.684	98.158	52.987	98.684	53.247	53.247	96.579	97.105	52.987	98.684	52.987	52.987	96.053
FLJIFKPE_00183	73.593	73.593	99.468	99.468	77.005	99.468	77.273	73.593	99.734	98.712	73.593	99.468	77.273	77.273	99.468
FLJIFKPE_00184	72.449	72.449	98.182	99.091	73.469	99.091	73.469	73.469	96.364	97.273	73.469	98.182	73.469	73.469	96.364
FLJIFKPE_00185	93.151	93.151	100.0	100.0	93.151	100.0	93.151	93.151	100.0	100.0	93.151	100.0	93.151	93.151	100.0
FLJIFKPE_00186			97.243	96.742		98.246			90.226	93.985		97.995			90.956
FLJIFKPE_00187	68.027	68.027	100.0	98.658	68.027	99.324	68.027	68.027	96.575	97.959		100.0	68.027	68.027	98.63
FLJIFKPE_00188			96.667	97.778		97.778			81.111	80.0		98.889			81.111
FLJIFKPE_00189	53.271	53.271	98.403	99.042	53.583	100.0	52.787	52.787	89.776	91.374	52.96	99.681	53.583	53.583	90.096
FLJIFKPE_00190	76.638	76.638	99.522	99.522	76.638	100.0	76.638	76.638	99.043	99.761	76.638	99.522	76.638	76.638	99.043
FLJIFKPE_00191	57.377	57.377	99.187	99.187	57.377	99.187	57.377	57.377	100.0	100.0	57.377	99.187	56.557	57.377	100.0
FLJIFKPE_00192	51.887	51.887	98.14	98.605	51.887	99.535	51.887	51.887	98.14	97.674	51.887	99.535	51.887	51.887	97.674
FLJIFKPE_00193	79.835	79.835	100.0	100.0	79.835	100.0	79.835	79.835	100.0	100.0	79.835	100.0	79.835	79.835	99.595
FLJIFKPE_00194	56.886	57.485	99.405	99.405	57.485	99.405	57.485	57.485	98.81	98.81	57.485	99.405	57.485	57.485	99.405
FLJIFKPE_00195	51.203	51.203	99.654	99.654	51.203	98.962	50.859	51.203	91.349	91.003	51.203	98.962	51.203	51.203	91.003
FLJIFKPE_00196			98.907	98.361		99.454			68.306	69.399		97.814			68.306
FLJIFKPE_00197			99.293	98.94		98.587			94.7	94.7		100.0			96.82
FLJIFKPE_00198			97.917	97.917		94.097			96.007	52.076		96.867			96.007
FLJIFKPE_00199	84.052	84.052	100.0	100.0	84.052	100.0	84.052	84.052	100.0	99.138	84.052	100.0	84.052	84.052	100.0
FLJIFKPE_00200	67.308	66.667	99.355	98.71	66.667	100.0	67.308	67.308	98.065	96.129	67.308	99.355	67.308	66.667	98.71
FLJIFKPE_00201			88.542	88.542		100.0			83.158	89.474		90.625			89.474
FLJIFKPE_00202			97.401	97.16		98.515			81.66	77.491		98.144			93.75
FLJIFKPE_00203			97.861	97.326		97.861			88.235	89.305		97.861			89.84
FLJIFKPE_00204			83.544	100.0		97.468			93.671	88.608		97.468			78.481
FLJIFKPE_00205			100.0	100.0		100.0			98.795	96.386		100.0			100.0
FLJIFKPE_00206			100.0	99.32		99.145				89.655		96.078			
FLJIFKPE_00207			95.161	95.528								96.748			93.952
FLJIFKPE_00208			99.099	98.198		97.297			90.826	87.156					88.073
FLJIFKPE_00209									94.444	96.296		96.296			94.444
FLJIFKPE_00210									91.379	96.552		94.828			93.103
FLJIFKPE_00211			92.763	98.684		85.526			84.868	76.974		97.368			84.211
FLJIFKPE_00212			100.0	97.826		98.913			80.435	82.609					
