"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AP018714","AP018715","Ben","Bill","Bob","Bop","CCS1","Car","Carl","KY549443","NC_027335","NC_029009","NC_029026","Tex","V12","phief24c_oriented"
"group_7","","hypothetical protein","11","11","1","1","395","3","27","","326","1835","1281","NIGGIMMC_00004","","AMNIBMGE_00090","DIEEDFHO_00105","","KEBGJNKE_00122","JEFDOCMN_00108","","","APLKDIED_00094","EFIMCMEB_00102","MHALOBAC_00119","","BOCOCLFO_00105","FLJIFKPE_00126","OOCDCBIJ_00111"
"group_103","","hypothetical protein","10","10","1","1","90","1","369","","386","404","395","","ENPKHIHN_00180","AMNIBMGE_00150","DIEEDFHO_00058","","KEBGJNKE_00060","","","NGDEOPKE_00060","APLKDIED_00140","EFIMCMEB_00128","MHALOBAC_00058","","","FLJIFKPE_00062","OOCDCBIJ_00089"
"group_14","","hypothetical protein","9","9","1","1","609","1","172","","266","266","266","NIGGIMMC_00129","","AMNIBMGE_00200","","","KEBGJNKE_00015","JEFDOCMN_00005","","","APLKDIED_00180","EFIMCMEB_00184","","IJMJAIPA_00065","","FLJIFKPE_00021","OOCDCBIJ_00019"
"group_106","","Virion protein 4","8","8","1","1","290","1","116","","440","458","446","","","AMNIBMGE_00029","DIEEDFHO_00167","","KEBGJNKE_00183","JEFDOCMN_00174","","","APLKDIED_00022","","MHALOBAC_00182","","BOCOCLFO_00165","FLJIFKPE_00187",""
"group_107","","hypothetical protein","8","8","1","1","523","2","79","","422","422","422","","","AMNIBMGE_00039","DIEEDFHO_00157","","KEBGJNKE_00173","JEFDOCMN_00162","","","APLKDIED_00039","","MHALOBAC_00170","","BOCOCLFO_00155","FLJIFKPE_00177",""
"group_108","","hypothetical protein","8","8","1","1","521","2","77","","365","365","365","","","AMNIBMGE_00041","DIEEDFHO_00155","","KEBGJNKE_00171","JEFDOCMN_00160","","","APLKDIED_00041","","MHALOBAC_00168","","BOCOCLFO_00153","FLJIFKPE_00175",""
"group_109","","hypothetical protein","8","8","1","1","444","2","21","","3638","3656","3650","","","AMNIBMGE_00070","DIEEDFHO_00126","","KEBGJNKE_00142","JEFDOCMN_00128","","","APLKDIED_00072","","MHALOBAC_00139","","BOCOCLFO_00125","FLJIFKPE_00146",""
"group_11","","hypothetical protein","8","8","1","1","97","1","362","","218","227","225","NIGGIMMC_00178","ENPKHIHN_00174","","","FGBNBECL_00071","","","EGEOBHOM_00069","NGDEOPKE_00054","","EFIMCMEB_00134","","IJMJAIPA_00006","","","OOCDCBIJ_00083"
"group_110","","Virion protein 6","8","8","1","1","374","1","413","","263","263","263","","","AMNIBMGE_00094","DIEEDFHO_00101","","KEBGJNKE_00118","JEFDOCMN_00103","","","APLKDIED_00103","","MHALOBAC_00115","","BOCOCLFO_00101","FLJIFKPE_00120",""
"group_111","","hypothetical protein","8","8","1","1","344","1","444","","158","1535","1361","","","AMNIBMGE_00126","DIEEDFHO_00082","","KEBGJNKE_00085","JEFDOCMN_00069","","","APLKDIED_00120","","MHALOBAC_00083","","BOCOCLFO_00070","FLJIFKPE_00086",""
"group_113","","hypothetical protein","8","8","1","1","73","1","386","","293","293","293","","","AMNIBMGE_00146","DIEEDFHO_00062","","KEBGJNKE_00064","JEFDOCMN_00051","","","APLKDIED_00136","","MHALOBAC_00063","","BOCOCLFO_00053","FLJIFKPE_00066",""
"group_115","","hypothetical protein","8","8","1","1","58","1","45","","257","257","257","","","AMNIBMGE_00165","DIEEDFHO_00043","","KEBGJNKE_00046","JEFDOCMN_00038","","","APLKDIED_00149","","MHALOBAC_00044","","BOCOCLFO_00039","FLJIFKPE_00051",""
"group_117","","hypothetical protein","8","8","1","1","41","1","29","","851","854","852","","","AMNIBMGE_00178","DIEEDFHO_00030","","KEBGJNKE_00033","JEFDOCMN_00025","","","APLKDIED_00160","","MHALOBAC_00032","","BOCOCLFO_00028","FLJIFKPE_00039",""
"group_12","","hypothetical protein","8","8","1","1","47","1","35","","230","230","230","","","AMNIBMGE_00173","DIEEDFHO_00035","","KEBGJNKE_00038","JEFDOCMN_00030","","","APLKDIED_00157","","MHALOBAC_00036","","BOCOCLFO_00031","FLJIFKPE_00043",""
"group_125","","hypothetical protein","8","8","1","1","422","5","3","","350","623","588","NIGGIMMC_00018","ENPKHIHN_00020","","","FGBNBECL_00115","","","EGEOBHOM_00117","NGDEOPKE_00105","","EFIMCMEB_00086","","IJMJAIPA_00170","","","OOCDCBIJ_00125"
"group_128","","hypothetical protein","8","8","1","1","454","2","42","","3410","3656","3622","NIGGIMMC_00025","ENPKHIHN_00026","","","FGBNBECL_00122","","","EGEOBHOM_00124","NGDEOPKE_00112","","EFIMCMEB_00078","","IJMJAIPA_00163","","","OOCDCBIJ_00132"
"group_13","","hypothetical protein","8","8","1","1","210","1","263","","695","695","695","NIGGIMMC_00127","ENPKHIHN_00125","","","FGBNBECL_00019","","","EGEOBHOM_00017","NGDEOPKE_00003","","EFIMCMEB_00186","","IJMJAIPA_00058","","","OOCDCBIJ_00029"
"group_130","","Tail fiber protein","8","8","1","1","457","2","44","","5477","5477","5477","NIGGIMMC_00027","ENPKHIHN_00028","","","FGBNBECL_00124","","","EGEOBHOM_00126","NGDEOPKE_00114","","EFIMCMEB_00076","","IJMJAIPA_00161","","","OOCDCBIJ_00134"
"group_133","","hypothetical protein","8","8","1","1","507","2","102","","656","794","776","NIGGIMMC_00056","ENPKHIHN_00057","","","FGBNBECL_00153","","","EGEOBHOM_00155","NGDEOPKE_00143","","EFIMCMEB_00045","","IJMJAIPA_00133","","","OOCDCBIJ_00162"
"group_136","","hypothetical protein","8","8","1","1","538","2","117","","698","1127","912","NIGGIMMC_00064","ENPKHIHN_00065","","","FGBNBECL_00160","","","EGEOBHOM_00162","NGDEOPKE_00152","","EFIMCMEB_00036","","IJMJAIPA_00126","","","OOCDCBIJ_00167"
"group_137","","hypothetical protein","8","8","1","1","558","1","209","","506","506","506","NIGGIMMC_00083","ENPKHIHN_00084","","","FGBNBECL_00179","","","EGEOBHOM_00181","NGDEOPKE_00171","","EFIMCMEB_00017","","IJMJAIPA_00107","","","OOCDCBIJ_00186"
"group_138","","hypothetical protein","8","8","1","1","563","1","213","","287","287","287","NIGGIMMC_00088","ENPKHIHN_00088","","","FGBNBECL_00184","","","EGEOBHOM_00185","NGDEOPKE_00175","","EFIMCMEB_00013","","IJMJAIPA_00103","","","OOCDCBIJ_00191"
"group_139","","hypothetical protein","8","8","1","1","564","1","214","","788","788","788","NIGGIMMC_00089","ENPKHIHN_00089","","","FGBNBECL_00185","","","EGEOBHOM_00186","NGDEOPKE_00176","","EFIMCMEB_00012","","IJMJAIPA_00102","","","OOCDCBIJ_00192"
"group_140","","hypothetical protein","8","8","1","1","565","1","215","","1073","1073","1073","NIGGIMMC_00090","ENPKHIHN_00090","","","FGBNBECL_00186","","","EGEOBHOM_00187","NGDEOPKE_00177","","EFIMCMEB_00011","","IJMJAIPA_00101","","","OOCDCBIJ_00193"
"group_142","","hypothetical protein","8","8","1","1","582","1","236","","299","299","299","NIGGIMMC_00109","ENPKHIHN_00108","","","FGBNBECL_00205","","","EGEOBHOM_00202","NGDEOPKE_00192","","EFIMCMEB_00206","","IJMJAIPA_00082","","","OOCDCBIJ_00213"
"group_143","","hypothetical protein","8","8","1","1","590","1","240","","206","206","206","NIGGIMMC_00113","ENPKHIHN_00111","","","FGBNBECL_00212","","","EGEOBHOM_00001","NGDEOPKE_00197","","EFIMCMEB_00202","","IJMJAIPA_00077","","","OOCDCBIJ_00003"
"group_147","","hypothetical protein","8","8","1","1","155","1","308","","311","311","311","NIGGIMMC_00132","ENPKHIHN_00131","","","FGBNBECL_00025","","","EGEOBHOM_00023","NGDEOPKE_00009","","EFIMCMEB_00181","","IJMJAIPA_00051","","","OOCDCBIJ_00036"
"group_148","","hypothetical protein","8","8","1","1","153","1","310","","191","191","191","NIGGIMMC_00134","ENPKHIHN_00133","","","FGBNBECL_00028","","","EGEOBHOM_00025","NGDEOPKE_00011","","EFIMCMEB_00179","","IJMJAIPA_00049","","","OOCDCBIJ_00039"
"group_149","","hypothetical protein","8","8","1","1","152","1","311","","224","224","224","NIGGIMMC_00135","ENPKHIHN_00134","","","FGBNBECL_00029","","","EGEOBHOM_00026","NGDEOPKE_00012","","EFIMCMEB_00178","","IJMJAIPA_00048","","","OOCDCBIJ_00040"
"group_15","","hypothetical protein","8","8","1","1","94","1","364","","230","230","230","NIGGIMMC_00180","ENPKHIHN_00176","","","FGBNBECL_00073","","","EGEOBHOM_00071","NGDEOPKE_00056","","EFIMCMEB_00132","","IJMJAIPA_00004","","","OOCDCBIJ_00085"
"group_150","","hypothetical protein","8","8","1","1","151","1","314","","251","404","289","NIGGIMMC_00136","ENPKHIHN_00135","","","FGBNBECL_00030","","","EGEOBHOM_00027","NGDEOPKE_00013","","EFIMCMEB_00177","","IJMJAIPA_00047","","","OOCDCBIJ_00041"
"group_151","","hypothetical protein","8","8","1","1","147","1","316","","197","197","197","NIGGIMMC_00138","ENPKHIHN_00137","","","FGBNBECL_00032","","","EGEOBHOM_00029","NGDEOPKE_00015","","EFIMCMEB_00174","","IJMJAIPA_00044","","","OOCDCBIJ_00043"
"group_152","","hypothetical protein","8","8","1","1","145","1","318","","248","248","248","NIGGIMMC_00140","ENPKHIHN_00139","","","FGBNBECL_00034","","","EGEOBHOM_00031","NGDEOPKE_00017","","EFIMCMEB_00172","","IJMJAIPA_00042","","","OOCDCBIJ_00045"
"group_154","","hypothetical protein","8","8","1","1","136","1","327","","365","365","365","NIGGIMMC_00148","ENPKHIHN_00147","","","FGBNBECL_00042","","","EGEOBHOM_00040","NGDEOPKE_00026","","EFIMCMEB_00164","","IJMJAIPA_00033","","","OOCDCBIJ_00053"
"group_155","","hypothetical protein","8","8","1","1","131","1","331","","707","707","707","NIGGIMMC_00152","ENPKHIHN_00151","","","FGBNBECL_00046","","","EGEOBHOM_00044","NGDEOPKE_00030","","EFIMCMEB_00160","","IJMJAIPA_00029","","","OOCDCBIJ_00057"
"group_157","","hypothetical protein","8","8","1","1","128","1","334","","461","461","461","NIGGIMMC_00155","ENPKHIHN_00154","","","FGBNBECL_00049","","","EGEOBHOM_00047","NGDEOPKE_00033","","EFIMCMEB_00157","","IJMJAIPA_00027","","","OOCDCBIJ_00060"
"group_162","","hypothetical protein","8","8","1","1","103","1","355","","254","254","254","NIGGIMMC_00173","ENPKHIHN_00168","","","FGBNBECL_00066","","","EGEOBHOM_00063","NGDEOPKE_00049","","EFIMCMEB_00139","","IJMJAIPA_00011","","","OOCDCBIJ_00077"
"group_168","","Putative major capsid protein","8","8","1","1","400","5","8","","1025","1400","1350","NIGGIMMC_00014","ENPKHIHN_00016","","","FGBNBECL_00111","","","EGEOBHOM_00113","NGDEOPKE_00101","","EFIMCMEB_00092","","IJMJAIPA_00174","","","OOCDCBIJ_00121"
"group_171","","hypothetical protein","8","8","1","1","556","1","208","","2273","2279","2275","NIGGIMMC_00082","ENPKHIHN_00083","","","FGBNBECL_00178","","","EGEOBHOM_00180","NGDEOPKE_00170","","EFIMCMEB_00018","","IJMJAIPA_00108","","","OOCDCBIJ_00185"
"group_177","","hypothetical protein","8","8","1","1","535","2","106","","329","329","329","","","AMNIBMGE_00032","DIEEDFHO_00164","","KEBGJNKE_00180","JEFDOCMN_00171","","","APLKDIED_00025","","MHALOBAC_00179","","BOCOCLFO_00162","FLJIFKPE_00184",""
"group_178","","hypothetical protein","8","8","1","1","534","2","108","","698","1127","1073","","","AMNIBMGE_00033","DIEEDFHO_00163","","KEBGJNKE_00179","JEFDOCMN_00170","","","APLKDIED_00026","","MHALOBAC_00178","","BOCOCLFO_00161","FLJIFKPE_00183",""
"group_180","","hypothetical protein","8","8","1","1","522","2","78","","206","209","208","","","AMNIBMGE_00040","DIEEDFHO_00156","","KEBGJNKE_00172","JEFDOCMN_00161","","","APLKDIED_00040","","MHALOBAC_00169","","BOCOCLFO_00154","FLJIFKPE_00176",""
"group_182","","hypothetical protein","8","8","1","1","480","2","66","","659","659","659","","","AMNIBMGE_00050","DIEEDFHO_00146","","KEBGJNKE_00162","JEFDOCMN_00150","","","APLKDIED_00052","","MHALOBAC_00159","","BOCOCLFO_00144","FLJIFKPE_00166",""
"group_183","","hypothetical protein","8","8","1","1","486","2","60","","206","206","206","","","AMNIBMGE_00056","DIEEDFHO_00139","","KEBGJNKE_00156","JEFDOCMN_00144","","","APLKDIED_00058","","MHALOBAC_00153","","BOCOCLFO_00138","FLJIFKPE_00160",""
"group_184","","hypothetical protein","8","8","1","1","434","2","28","","683","683","683","","","AMNIBMGE_00064","DIEEDFHO_00132","","KEBGJNKE_00148","JEFDOCMN_00134","","","APLKDIED_00066","","MHALOBAC_00145","","BOCOCLFO_00131","FLJIFKPE_00152",""
"group_187","","hypothetical protein","8","8","1","1","302","3","25","","209","209","209","","","AMNIBMGE_00092","DIEEDFHO_00103","","KEBGJNKE_00120","JEFDOCMN_00106","","","APLKDIED_00100","","MHALOBAC_00117","","BOCOCLFO_00103","FLJIFKPE_00122",""
"group_193","","hypothetical protein","8","8","1","1","340","1","448","","209","209","209","","","AMNIBMGE_00130","DIEEDFHO_00078","","KEBGJNKE_00081","JEFDOCMN_00065","","","APLKDIED_00124","","MHALOBAC_00079","","BOCOCLFO_00066","FLJIFKPE_00082",""
"group_197","","hypothetical protein","8","8","1","1","62","1","49","","350","350","350","","","AMNIBMGE_00161","DIEEDFHO_00047","","KEBGJNKE_00050","JEFDOCMN_00042","","","APLKDIED_00145","","MHALOBAC_00048","","BOCOCLFO_00043","FLJIFKPE_00054",""
"group_198","","hypothetical protein","8","8","1","1","59","1","46","","608","608","608","","","AMNIBMGE_00164","DIEEDFHO_00044","","KEBGJNKE_00047","JEFDOCMN_00039","","","APLKDIED_00148","","MHALOBAC_00045","","BOCOCLFO_00040","FLJIFKPE_00052",""
"group_199","","hypothetical protein","8","8","1","1","57","1","44","","740","740","740","","","AMNIBMGE_00166","DIEEDFHO_00042","","KEBGJNKE_00045","JEFDOCMN_00037","","","APLKDIED_00150","","MHALOBAC_00043","","BOCOCLFO_00038","FLJIFKPE_00050",""
"group_200","","hypothetical protein","8","8","1","1","55","1","42","","1295","1295","1295","","","AMNIBMGE_00168","DIEEDFHO_00040","","KEBGJNKE_00043","JEFDOCMN_00035","","","APLKDIED_00152","","MHALOBAC_00041","","BOCOCLFO_00036","FLJIFKPE_00048",""
"group_201","","hypothetical protein","8","8","1","1","54","1","41","","263","263","263","","","AMNIBMGE_00169","DIEEDFHO_00039","","KEBGJNKE_00042","JEFDOCMN_00034","","","APLKDIED_00153","","MHALOBAC_00040","","BOCOCLFO_00035","FLJIFKPE_00047",""
"group_203","","hypothetical protein","8","8","1","1","43","1","31","","278","482","354","","","AMNIBMGE_00176","DIEEDFHO_00032","","KEBGJNKE_00035","JEFDOCMN_00027","","","APLKDIED_00158","","MHALOBAC_00034","","BOCOCLFO_00030","FLJIFKPE_00041",""
"group_204","","hypothetical protein","8","8","1","1","42","1","30","","266","266","266","","","AMNIBMGE_00177","DIEEDFHO_00031","","KEBGJNKE_00034","JEFDOCMN_00026","","","APLKDIED_00159","","MHALOBAC_00033","","BOCOCLFO_00029","FLJIFKPE_00040",""
"group_21","","Virion protein 4","8","8","1","1","291","1","113","","1196","1445","1227","","","AMNIBMGE_00030","DIEEDFHO_00166","","KEBGJNKE_00182","JEFDOCMN_00173","","","APLKDIED_00023","","MHALOBAC_00181","","BOCOCLFO_00164","FLJIFKPE_00186",""
"group_22","","hypothetical protein","8","8","1","1","436","2","27","","128","146","141","","","AMNIBMGE_00065","DIEEDFHO_00131","","KEBGJNKE_00147","JEFDOCMN_00133","","","APLKDIED_00067","","MHALOBAC_00144","","BOCOCLFO_00130","FLJIFKPE_00151",""
"group_220","","hypothetical protein","8","8","1","1","443","2","22","","2516","2519","2517","","","AMNIBMGE_00069","DIEEDFHO_00127","","KEBGJNKE_00143","JEFDOCMN_00129","","","APLKDIED_00071","","MHALOBAC_00140","","BOCOCLFO_00126","FLJIFKPE_00147",""
"group_223","","hypothetical protein","8","8","1","1","381","3","12","","311","428","413","NIGGIMMC_00002","ENPKHIHN_00002","","","FGBNBECL_00099","","","EGEOBHOM_00097","NGDEOPKE_00089","","EFIMCMEB_00105","","IJMJAIPA_00186","","","OOCDCBIJ_00110"
"group_224","","hypothetical protein","8","8","1","1","391","3","1","","344","344","344","NIGGIMMC_00008","ENPKHIHN_00010","","","FGBNBECL_00105","","","EGEOBHOM_00107","NGDEOPKE_00095","","EFIMCMEB_00098","","IJMJAIPA_00180","","","OOCDCBIJ_00115"
"group_225","","hypothetical protein","8","8","1","1","401","5","12","","464","482","467","NIGGIMMC_00013","ENPKHIHN_00015","","","FGBNBECL_00110","","","EGEOBHOM_00112","NGDEOPKE_00100","","EFIMCMEB_00093","","IJMJAIPA_00175","","","OOCDCBIJ_00120"
"group_226","","hypothetical protein","8","8","1","1","419","5","7","","245","263","260","NIGGIMMC_00015","ENPKHIHN_00017","","","FGBNBECL_00112","","","EGEOBHOM_00114","NGDEOPKE_00102","","EFIMCMEB_00090","","IJMJAIPA_00173","","","OOCDCBIJ_00122"
"group_228","","Morphogenesis protein 1","8","8","1","1","455","2","43","","3041","3185","3167","NIGGIMMC_00026","ENPKHIHN_00027","","","FGBNBECL_00123","","","EGEOBHOM_00125","NGDEOPKE_00113","","EFIMCMEB_00077","","IJMJAIPA_00162","","","OOCDCBIJ_00133"
"group_229","","hypothetical protein","8","8","1","1","461","2","50","","671","689","686","NIGGIMMC_00031","ENPKHIHN_00032","","","FGBNBECL_00128","","","EGEOBHOM_00130","NGDEOPKE_00118","","EFIMCMEB_00072","","IJMJAIPA_00157","","","OOCDCBIJ_00138"
"group_230","","hypothetical protein","8","8","1","1","489","2","84","","125","125","125","NIGGIMMC_00039","ENPKHIHN_00040","","","FGBNBECL_00136","","","EGEOBHOM_00138","NGDEOPKE_00126","","EFIMCMEB_00063","","IJMJAIPA_00150","","","OOCDCBIJ_00145"
"group_231","","hypothetical protein","8","8","1","1","496","2","91","","578","1058","998","NIGGIMMC_00046","ENPKHIHN_00047","","","FGBNBECL_00143","","","EGEOBHOM_00145","NGDEOPKE_00133","","EFIMCMEB_00056","","IJMJAIPA_00143","","","OOCDCBIJ_00152"
"group_232","","hypothetical protein","8","8","1","1","499","2","94","","230","230","230","NIGGIMMC_00049","ENPKHIHN_00050","","","FGBNBECL_00146","","","EGEOBHOM_00148","NGDEOPKE_00136","","EFIMCMEB_00053","","IJMJAIPA_00140","","","OOCDCBIJ_00155"
"group_233","","hypothetical protein","8","8","1","1","508","2","103","","194","311","296","NIGGIMMC_00057","ENPKHIHN_00058","","","FGBNBECL_00154","","","EGEOBHOM_00156","NGDEOPKE_00144","","EFIMCMEB_00044","","IJMJAIPA_00132","","","OOCDCBIJ_00163"
"group_234","","hypothetical protein","8","8","1","1","539","2","116","","314","314","314","NIGGIMMC_00065","ENPKHIHN_00066","","","FGBNBECL_00161","","","EGEOBHOM_00163","NGDEOPKE_00153","","EFIMCMEB_00035","","IJMJAIPA_00125","","","OOCDCBIJ_00168"
"group_236","","Virion protein 4","8","8","1","1","541","1","193","","542","962","909","NIGGIMMC_00067","ENPKHIHN_00068","","","FGBNBECL_00163","","","EGEOBHOM_00165","NGDEOPKE_00155","","EFIMCMEB_00033","","IJMJAIPA_00123","","","OOCDCBIJ_00170"
"group_237","","Virion protein 4","8","8","1","1","542","1","194","","176","443","409","NIGGIMMC_00068","ENPKHIHN_00069","","","FGBNBECL_00164","","","EGEOBHOM_00166","NGDEOPKE_00156","","EFIMCMEB_00032","","IJMJAIPA_00122","","","OOCDCBIJ_00171"
"group_238","","hypothetical protein","8","8","1","1","543","1","195","","296","305","299","NIGGIMMC_00069","ENPKHIHN_00070","","","FGBNBECL_00165","","","EGEOBHOM_00167","NGDEOPKE_00157","","EFIMCMEB_00031","","IJMJAIPA_00121","","","OOCDCBIJ_00172"
"group_239","","hypothetical protein","8","8","1","1","544","1","196","","905","953","941","NIGGIMMC_00070","ENPKHIHN_00071","","","FGBNBECL_00166","","","EGEOBHOM_00168","NGDEOPKE_00158","","EFIMCMEB_00030","","IJMJAIPA_00120","","","OOCDCBIJ_00173"
"group_24","","hypothetical protein","8","8","1","1","584","1","238","","212","329","310","NIGGIMMC_00110","ENPKHIHN_00109","","","FGBNBECL_00207","","","EGEOBHOM_00204","NGDEOPKE_00194","","EFIMCMEB_00205","","IJMJAIPA_00080","","","OOCDCBIJ_00215"
"group_240","","hypothetical protein","8","8","1","1","550","1","202","","350","350","350","NIGGIMMC_00076","ENPKHIHN_00077","","","FGBNBECL_00172","","","EGEOBHOM_00174","NGDEOPKE_00164","","EFIMCMEB_00024","","IJMJAIPA_00114","","","OOCDCBIJ_00179"
"group_243","","hypothetical protein","8","8","1","1","562","1","212","","251","251","251","NIGGIMMC_00087","ENPKHIHN_00087","","","FGBNBECL_00183","","","EGEOBHOM_00184","NGDEOPKE_00174","","EFIMCMEB_00014","","IJMJAIPA_00104","","","OOCDCBIJ_00190"
"group_248","","hypothetical protein","8","8","1","1","579","1","233","","641","641","641","NIGGIMMC_00106","ENPKHIHN_00105","","","FGBNBECL_00202","","","EGEOBHOM_00199","NGDEOPKE_00189","","EFIMCMEB_00209","","IJMJAIPA_00085","","","OOCDCBIJ_00210"
"group_25","","hypothetical protein","8","8","1","1","599","1","247","","293","296","295","NIGGIMMC_00116","ENPKHIHN_00117","","","FGBNBECL_00004","","","EGEOBHOM_00005","NGDEOPKE_00201","","EFIMCMEB_00196","","IJMJAIPA_00073","","","OOCDCBIJ_00009"
"group_252","","hypothetical protein","8","8","1","1","605","1","256","","191","191","191","NIGGIMMC_00122","ENPKHIHN_00119","","","FGBNBECL_00008","","","EGEOBHOM_00012","NGDEOPKE_00208","","EFIMCMEB_00191","","IJMJAIPA_00068","","","OOCDCBIJ_00015"
"group_257","","hypothetical protein","8","8","1","1","142","1","321","","356","359","358","NIGGIMMC_00143","ENPKHIHN_00142","","","FGBNBECL_00037","","","EGEOBHOM_00034","NGDEOPKE_00020","","EFIMCMEB_00168","","IJMJAIPA_00039","","","OOCDCBIJ_00048"
"group_259","","hypothetical protein","8","8","1","1","129","1","333","","188","188","188","NIGGIMMC_00154","ENPKHIHN_00153","","","FGBNBECL_00048","","","EGEOBHOM_00046","NGDEOPKE_00032","","EFIMCMEB_00158","","IJMJAIPA_00028","","","OOCDCBIJ_00059"
"group_26","","hypothetical protein","8","8","1","1","146","1","317","","515","515","515","NIGGIMMC_00139","ENPKHIHN_00138","","","FGBNBECL_00033","","","EGEOBHOM_00030","NGDEOPKE_00016","","EFIMCMEB_00173","","IJMJAIPA_00043","","","OOCDCBIJ_00044"
"group_260","","hypothetical protein","8","8","1","1","122","1","340","","182","251","199","NIGGIMMC_00161","ENPKHIHN_00160","","","FGBNBECL_00055","","","EGEOBHOM_00053","NGDEOPKE_00039","","EFIMCMEB_00150","","IJMJAIPA_00021","","","OOCDCBIJ_00066"
