gene	AP018714	AP018715	Ben	Bill	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
FGBNBECL_00159	98.45	98.372	64.063			98.45	98.45	63.76		98.837		99.225	98.992	64.088	
FGBNBECL_00160	97.997	97.997	76.439	76.66	76.529	99.113	97.282	75.45	76.64	99.142	76.439	97.784	98.936	75.54	75.428
FGBNBECL_00161	99.365	99.365	73.0	73.667	73.667	98.73	98.73	76.0	74.242	99.683	73.0	99.365	99.683	76.0	73.667
FGBNBECL_00162	100.0	100.0	85.398	84.956	84.956	99.111	99.111	84.956	84.956	99.556	84.956	100.0	100.0	85.398	84.956
FGBNBECL_00163	99.169	99.169				99.065	99.169			99.449		99.273	99.377		
FGBNBECL_00164	97.973	97.973	74.163	72.967	74.702	98.874	98.874	72.967	73.077		74.94	98.874	98.874	73.206	73.206
FGBNBECL_00165	94.966	94.966				94.966	94.295			99.02		94.631	99.02		
FGBNBECL_00166	99.161	99.161				99.117	99.007			95.702		98.742	99.266		
FGBNBECL_00167	98.955	98.955	75.051	75.051	76.263	98.955	98.765	74.544	74.494	98.86	75.33	98.575	99.43	75.051	75.456
FGBNBECL_00168	99.467	98.933				99.2	99.467			100.0		99.467	100.0		
FGBNBECL_00169	99.034	98.229				98.873	98.873			97.585		97.907	98.712		
FGBNBECL_00170	99.055	98.92	72.599	72.599	72.175	99.325	99.595	72.74	72.034	99.46	72.316	98.92	99.19	72.458	72.599
FGBNBECL_00171	98.817	99.014	68.581	70.134	69.257	98.422	98.817	70.569	70.569	99.014	69.257	99.014	99.014	69.257	68.243
FGBNBECL_00172	98.575	98.86				96.296	96.581			96.296		94.872	99.145		
FGBNBECL_00173	98.485	98.019	64.823	66.372	64.615	97.436	97.669			98.019	66.591	98.019	98.485		66.15
FGBNBECL_00174	96.927	96.572				99.054	99.054			97.4		96.454	96.809		
FGBNBECL_00175	91.877	91.938				94.523	94.523			91.262		99.634	93.538		
FGBNBECL_00176	98.841	99.13	75.529	75.982	75.831	98.986	98.986	76.284	75.431	98.841	76.133	97.826	98.696	76.852	76.284
FGBNBECL_00177	98.932	98.504	70.313	71.094	70.284	97.863	97.863	70.052	69.271	98.932	70.833	99.145	98.932	70.052	71.354
FGBNBECL_00178	98.596	98.294				96.15	97.018			98.026		98.377	98.206		
FGBNBECL_00179	98.817	97.041				93.491	96.844			97.041		96.252	99.211		
FGBNBECL_00180	99.048												100.0		
FGBNBECL_00181	82.313	98.83				80.347	98.83			98.83		98.83	100.0		
FGBNBECL_00182	97.436	98.901				97.436	98.901			98.901		98.901	99.634		
FGBNBECL_00183	99.603	99.603				98.413	99.603			100.0		100.0	100.0		
FGBNBECL_00184	98.958	98.611				98.606	98.611			98.611		98.955	100.0		
FGBNBECL_00185	96.705	96.958				96.705	97.212			97.212		95.184	100.0		
FGBNBECL_00186	99.069	99.348				99.069	99.255			99.069		95.996	99.162		
FGBNBECL_00187	99.01	99.01				99.01	99.01			99.01		96.37	99.01		
FGBNBECL_00188	89.109	89.109				88.779	88.779			89.109		82.258	89.109		
FGBNBECL_00189	97.619	97.619				97.959	97.959			97.959		93.537	97.959		
FGBNBECL_00190	97.778	97.778				97.222	97.222			97.222			98.333		
FGBNBECL_00191	86.45	86.179				86.179	86.179			86.45		94.35	96.893		
FGBNBECL_00192	96.296	96.561				99.471	99.471			96.561		95.767	93.122		
FGBNBECL_00193	97.403	97.403				99.134	99.134			97.403		95.238	97.835		
FGBNBECL_00194	92.0	92.533								91.733		92.267	96.8		
FGBNBECL_00195	89.418	89.175								89.418		89.691	99.561		
FGBNBECL_00196		98.413										98.413	100.0		
FGBNBECL_00197													99.217		
FGBNBECL_00198	97.46									99.365			99.841		
FGBNBECL_00199	96.226					96.226	96.226			95.597		94.969	100.0		
FGBNBECL_00200	95.139	92.199				90.78	90.78			99.306		95.833	100.0		
FGBNBECL_00201	95.897									98.974			100.0		
FGBNBECL_00202	96.729	96.384				97.508	97.508			96.573		96.573	100.0		
FGBNBECL_00203	96.847	96.061				93.287	93.287			95.152		89.095	100.0		
FGBNBECL_00204	97.685	96.759				99.769	99.769			96.528		98.38	100.0		
FGBNBECL_00205	97.333	97.667				98.0	98.0			97.333		98.333	100.0		
FGBNBECL_00206						97.938	97.938					98.519	99.313		
FGBNBECL_00207	95.775	96.244				92.958	92.958			98.122		100.0	93.897		
FGBNBECL_00208	93.617	97.101				95.035	95.035			97.163		97.163	97.163		
FGBNBECL_00209															
FGBNBECL_00210			80.995	81.448					77.027	88.596				81.622	80.09
FGBNBECL_00211	96.246					96.246	96.246		75.694			96.939	98.639	77.972	
FGBNBECL_00212	98.068	98.068				98.551	98.551			95.652		99.034	98.068		
