gene	AP018714	AP018715	Ben	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
DIEEDFHO_00078			99.048		99.048			89.048	83.81		99.048			100.0	100.0
DIEEDFHO_00079			98.944		99.095			96.341	96.833		99.095			99.095	99.849
DIEEDFHO_00080			98.693		98.693			97.712	98.039		98.693			97.059	99.02
DIEEDFHO_00081			100.0		99.134			98.701	97.835		100.0			98.701	100.0
DIEEDFHO_00082			99.217		99.348			82.288			98.891			81.448	98.695
DIEEDFHO_00083	78.774	78.404	99.556	78.774	98.222	78.774	78.774	99.111	98.667	78.404	97.778		78.404	98.667	98.222
DIEEDFHO_00084			94.521		93.151			95.89						92.958	94.521
DIEEDFHO_00085			100.0		100.0			95.89			100.0			97.26	98.63
DIEEDFHO_00086			100.0					100.0			100.0			97.26	100.0
DIEEDFHO_00087			100.0		98.667			98.667			100.0			98.667	100.0
DIEEDFHO_00088			100.0		99.458			96.143	97.521		99.729			98.645	96.143
DIEEDFHO_00089			100.0		100.0			100.0	78.846		100.0			83.516	83.516
DIEEDFHO_00090			100.0		100.0			100.0	100.0		100.0			100.0	100.0
DIEEDFHO_00091			98.907		99.454			98.361	97.268		99.454			98.907	97.849
DIEEDFHO_00093			97.015		97.015			92.537			97.015			97.015	97.015
DIEEDFHO_00094			100.0		100.0			98.649	100.0		100.0			98.649	100.0
DIEEDFHO_00095			100.0		100.0			89.189			89.189			89.189	98.649
DIEEDFHO_00096			100.0		100.0			100.0			100.0			100.0	100.0
DIEEDFHO_00097			100.0		100.0			100.0			100.0			100.0	100.0
DIEEDFHO_00098			100.0		100.0			97.826			100.0			94.565	100.0
DIEEDFHO_00099			100.0								100.0				100.0
DIEEDFHO_00100			100.0		100.0			100.0			100.0			100.0	100.0
DIEEDFHO_00101			99.621		96.591			98.106	98.485		100.0			98.106	96.97
DIEEDFHO_00102	82.405	82.405	100.0	82.405	100.0	82.405	82.405	99.138	99.138	82.405	100.0	82.405	82.405	99.425	100.0
DIEEDFHO_00103			97.143		98.571			96.667	97.619		100.0			96.667	96.667
DIEEDFHO_00104			98.135		97.669			98.368	99.068		100.0			98.601	98.368
DIEEDFHO_00105			98.529	79.092	98.475			97.603		75.991	98.965	78.619	76.23	98.148	98.769
DIEEDFHO_00106			98.818		98.463			97.045	97.644		99.291			97.045	98.818
DIEEDFHO_00107	67.396	67.396	99.396	66.998	99.396	67.396	67.594	99.034	99.155	67.992	99.879	68.182	67.396	98.913	99.396
DIEEDFHO_00108			99.72		99.16			98.88	98.039		100.0			98.88	99.16
DIEEDFHO_00109			99.761		99.364			88.425	87.48		100.0			88.268	99.682
DIEEDFHO_00110			98.836		98.73			98.201	97.778		99.894			98.73	98.942
DIEEDFHO_00111	79.203	78.406	98.718	78.478	98.333	79.058	78.333	97.821	98.526	78.333	99.679	79.058	78.478	98.333	98.654
DIEEDFHO_00112	75.107	75.751	99.873	75.536	99.873	75.536	75.751	97.338	98.859	75.751	100.0	75.536	75.322	97.465	99.873
DIEEDFHO_00113			100.0		99.156			88.889	90.737		100.0			87.841	98.734
DIEEDFHO_00114	82.151	82.302	99.789	82.078	98.875	81.492	82.302	97.82	98.383	83.09	99.578	82.447	82.151	98.523	98.875
DIEEDFHO_00115			99.603		99.603			98.81	98.016		99.603			98.413	98.413
DIEEDFHO_00116	76.436	75.733	99.331	76.319	99.108	76.553	75.733	98.439	98.328	76.671	100.0	76.436	76.671	98.885	99.22
DIEEDFHO_00117	72.308	72.598	98.625	72.189	98.74	72.071	72.598	98.396	98.282	72.071	99.084	72.308	72.189	97.709	98.396
DIEEDFHO_00118	72.698	72.857	99.199	72.857	99.199	72.54	72.857	98.718	97.756	73.95	100.0	72.857	72.857	98.718	98.558
DIEEDFHO_00119	74.558	74.676	99.173	74.144	99.291	74.38	74.676	99.054	99.054	74.558	99.882	74.441	74.262	99.054	99.173
DIEEDFHO_00120			99.583		99.583			100.0	98.333		100.0			99.583	99.583
DIEEDFHO_00121	81.627	81.568	98.772	81.568	99.883	87.244	87.244	97.953	97.661	81.568	98.83	81.861	81.568	98.187	98.713
DIEEDFHO_00122	88.076	85.106	97.636	85.579	97.872	87.805	87.805	97.872	94.55	88.076	97.4	87.234	85.579	97.63	97.872
DIEEDFHO_00123	93.605					93.605	93.605			94.186		92.406			
DIEEDFHO_00124	73.176	72.941	100.0	73.176	100.0	73.176	73.176	91.139	92.405	72.941	99.578	73.882	73.176	91.139	100.0
DIEEDFHO_00125	77.625	77.453	99.495	77.453	100.0	77.625	77.625	94.108	94.781	77.281	99.495	77.969	77.281	94.444	99.495
DIEEDFHO_00126	69.661	69.473	99.043	69.863	99.152	69.397	69.397	88.762	85.664	69.355	99.809	69.664	69.885	89.702	99.043
DIEEDFHO_00127	69.324	69.324	98.451	69.273	98.848	69.521	69.521	90.595	91.508	69.841	98.729	69.668	69.324	90.913	97.937
DIEEDFHO_00128	71.244	71.617	89.224	71.477	90.973	71.396	71.34	89.889	89.538	71.609	91.723	71.842	71.412	89.868	89.108
DIEEDFHO_00129	63.506	63.506	93.83	64.095	93.872	64.134	63.88	84.325	85.089	63.381	96.273	63.155	63.44	85.324	91.815
DIEEDFHO_00130			97.087		97.087				73.497		96.982			95.249	
DIEEDFHO_00131			96.599		96.599			89.922	93.798		98.639			91.156	95.918
DIEEDFHO_00132	74.629	74.815	97.222	74.926	97.222	75.148	75.148	93.86	95.906	74.507	97.076	75.223	75.0	96.053	96.93
DIEEDFHO_00133	76.438	76.022	97.207	76.022	97.207	75.836	75.836	98.138	98.883	76.022	98.324	76.208	76.58	96.648	97.952
DIEEDFHO_00134	77.172	78.498	96.454	77.909	96.454	77.761	77.761	88.369	92.624	78.498	96.312	77.32	77.614	88.652	97.589
DIEEDFHO_00135	76.148	76.048	98.902	75.935	98.902	75.531	75.531	89.022	92.216	76.048	99.401	75.649	76.118	89.222	98.802
DIEEDFHO_00136			95.559		95.559						97.069				95.509
DIEEDFHO_00137	74.017	72.926	95.833	73.362	95.833	73.581	73.581	92.708	97.292	72.926	97.917	73.856	73.799	94.375	96.042
DIEEDFHO_00138	81.879	81.994	94.764	82.03	95.285	81.879	81.818	93.601	94.397	82.596	98.469	81.977	81.903	94.61	94.825
DIEEDFHO_00139			96.618		97.585			97.585	94.203		99.517			98.068	98.551
DIEEDFHO_00140	74.829	74.829	96.847	74.068	95.664	74.124	74.829	95.777	94.94	74.689	96.734	74.549	74.294	95.89	96.847
DIEEDFHO_00141			99.027		98.114			98.175	98.114		98.783			98.236	99.027
DIEEDFHO_00142	76.704	76.779	97.963	76.854	98.778	76.929	76.929	96.809	95.545	76.929	97.352	76.929	76.779	97.352	96.47
DIEEDFHO_00143	72.992	72.992	98.269	72.691	98.365	72.59	72.59	95.865	94.615	72.39	98.365	72.189	72.49	96.154	95.865
DIEEDFHO_00144															
DIEEDFHO_00145			97.2		97.412			96.778	96.83		97.359			96.83	96.989
DIEEDFHO_00146	66.952	66.154	99.242	66.838	99.394	66.323	66.323	96.818	92.273	66.325	99.394	66.495	66.667	95.909	96.97
DIEEDFHO_00147	70.151	70.151	98.39	69.935	97.917	69.828	69.828	97.727	96.686		98.011	69.762	70.259	98.011	97.727
DIEEDFHO_00148	71.262	71.262	97.279	70.598	97.506	70.376	70.376	92.012	95.918	70.219	97.506	70.846	70.533	96.599	95.692
DIEEDFHO_00149			98.312		100.0			97.046	98.312		100.0			98.312	96.203
DIEEDFHO_00150			99.038		98.718			96.795	98.718		98.718			97.115	98.077
DIEEDFHO_00151			98.397		99.038			98.397	98.718		99.038			98.718	99.038
DIEEDFHO_00152	72.587	72.587	99.458	72.201	99.458	73.913	73.913	96.748	96.748	72.587	99.458	72.201	72.201	98.916	96.748
DIEEDFHO_00153			98.302		98.92			97.685			98.92				98.457
DIEEDFHO_00154	70.772	70.772	97.353	70.623	98.525	70.326	70.326	96.618	98.063	70.772	98.525	70.326	70.326	96.035	98.083
DIEEDFHO_00155			96.995		96.995			96.448	97.814		96.995			96.721	96.721
DIEEDFHO_00156			99.034		99.524			99.524	99.048		99.524			99.524	99.524
DIEEDFHO_00157			96.927		96.927			97.872	94.799		97.163			93.853	95.745
DIEEDFHO_00158	74.576	74.576	99.371	74.576	99.371	74.316	74.316	98.239	98.616	75.0	99.497	74.576	74.446	98.491	98.616
DIEEDFHO_00159	77.85	77.85	99.038	77.199	99.038	77.524	77.524	98.397	98.077	76.804	99.359	77.524	77.85	97.436	98.071
DIEEDFHO_00160	69.144	69.214	97.957	69.013	98.332	69.1	69.1	96.814	97.196	68.835	97.922	68.87	70.582	95.54	97.31
DIEEDFHO_00161	77.346	77.67	99.425	77.346	99.425	77.023	77.023	99.138	99.138	77.346	99.425	77.67	77.346	98.563	98.563
DIEEDFHO_00162	65.298	65.2	99.298		98.772			94.912	95.088	64.971	98.421			95.0	97.719
DIEEDFHO_00163	76.48	76.48	98.227	76.66	98.227	76.471	75.84	97.34	96.996	76.64	98.227	76.471	76.353	97.252	97.074
DIEEDFHO_00164	76.211	76.211	97.879	73.667	96.061	73.764	74.242	96.667	96.364	74.0	98.182	73.667	73.244	96.667	95.758
DIEEDFHO_00165	84.956	84.956	99.642	84.956	99.642	85.398	85.398	99.642	100.0	84.956	99.642	84.956	84.956	99.283	99.642
DIEEDFHO_00166			97.16		97.16			92.481	94.57		96.575			92.784	96.825
DIEEDFHO_00167	72.422	72.422	93.96	72.967	94.131	73.034	73.034	94.558	93.736		96.421	73.034	72.584	95.692	94.407
DIEEDFHO_00168			98.148		99.63			82.593	82.593		99.63			82.593	98.889
DIEEDFHO_00169	64.255	64.255	98.403		98.083	64.399		87.433	89.244		99.468			87.859	97.87
DIEEDFHO_00170	74.747	75.152	99.841	75.051	97.528	75.354	75.455	94.976	96.651	75.455	98.884	74.747	75.253	95.375	97.289
DIEEDFHO_00171			100.0		98.103			97.832	98.916		98.103			97.832	98.374
DIEEDFHO_00172			98.14		97.984			97.054	95.814		97.519			96.589	97.829
DIEEDFHO_00173	72.175	72.458	100.0	72.599	97.706	72.316	72.599	97.571	97.841	72.599	98.65	72.034	72.175	96.761	97.841
DIEEDFHO_00174	71.0	71.0	97.222	70.134	97.817	71.0	70.333	94.246	94.444	71.0	97.619	70.667	71.0	94.643	97.222
DIEEDFHO_00175	66.372	65.038	98.27	66.372	98.155	65.708	66.814	84.775	84.775	64.778	98.962	64.319	65.191	85.121	98.385
DIEEDFHO_00176			99.818		98.537			75.271	75.812		97.45			75.36	97.989
DIEEDFHO_00177			99.882		95.995			93.168	92.58		96.702			95.642	97.173
DIEEDFHO_00178			100.0		92.878			93.113			96.875			93.113	96.528
DIEEDFHO_00179	75.68	76.586	99.425	75.982	98.851	75.831	75.831	98.132	96.839	76.435	98.132	76.133	76.284	97.845	98.994
DIEEDFHO_00180	71.094	71.354	96.559	71.094	95.699	71.354	71.354	97.849	95.914	70.833	96.774	70.833	71.094	97.849	96.774
DIEEDFHO_00181			99.66		90.455			87.5	88.851		94.558			88.851	92.759
DIEEDFHO_00182			98.311		96.996			87.019			97.613			96.119	97.49
DIEEDFHO_00183			97.504		96.257			89.483	89.84		99.109			92.157	97.861
DIEEDFHO_00184			88.186		94.515			94.093	91.561		94.515			85.232	99.578
DIEEDFHO_00185			98.795		99.197			97.59	93.173		99.598			99.197	98.795
DIEEDFHO_00186			99.32		98.571				90.783		94.771				99.546
DIEEDFHO_00187			95.473								96.787			93.827	96.845
DIEEDFHO_00188					97.436						98.901				
DIEEDFHO_00189			97.898		96.396			85.627	85.321					85.015	98.498
DIEEDFHO_00190			99.0		95.333										
DIEEDFHO_00191			94.518		89.693			89.035	83.772		97.807			89.693	99.342
DIEEDFHO_00192			98.913		96.739			86.122	90.204						97.101
DIEEDFHO_00193			96.296		99.471			94.709	91.005					93.122	98.942
DIEEDFHO_00194			87.848		87.089										87.848
DIEEDFHO_00195					100.0										95.72
DIEEDFHO_00196			98.734	81.448					84.034	76.923				85.294	97.468
DIEEDFHO_00197			97.989		96.011				84.046					88.319	96.011
DIEEDFHO_00198			97.126		98.276				90.805					93.103	95.402
DIEEDFHO_00199			97.135		99.739			90.441	92.167					92.428	97.396
