gene	AP018714	AP018715	Ben	Bill	Bob	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
KEBGJNKE_00168	71.815	71.815	100.0	99.458	71.429	73.043	73.043	96.748	96.748	71.815	100.0	71.429	71.429	98.374	96.206
KEBGJNKE_00169			99.383	98.92				96.914			100.0				97.685
KEBGJNKE_00170	70.623	70.623	98.235	98.525	70.772	70.475	70.475	97.5	99.472	70.623	100.0	70.475	70.475	95.742	98.378
KEBGJNKE_00171			99.454	96.995				97.268	96.448		100.0			97.541	96.995
KEBGJNKE_00172			99.517	99.524				99.048	99.524		100.0			99.048	99.048
KEBGJNKE_00173			100.0	96.927				97.636	95.035		99.764			93.617	95.035
KEBGJNKE_00174	74.576	74.576	100.0	99.371	74.576	74.316	74.316	97.862	98.491	75.333	98.868	74.576	74.446	98.239	98.491
KEBGJNKE_00175	76.873	76.873	100.0	99.038	76.221	76.547	76.547	98.718	98.718	75.258	99.038	76.547	76.873	98.397	98.714
KEBGJNKE_00176	69.575	69.734	99.081	98.332	69.444	69.531	69.531	97.091	97.811	69.324	98.523	69.301	70.888	95.608	97.378
KEBGJNKE_00177	77.994	78.317	100.0	99.425	77.994	77.67	77.67	99.138	99.138	77.994	100.0	78.317	77.994	98.563	98.563
KEBGJNKE_00178	64.899	64.802	98.947	98.772				95.526	95.614	64.575	98.596			95.526	98.246
KEBGJNKE_00179	76.281	76.281	98.936	98.227	76.529	76.349	75.695	97.429	96.996	76.72	98.936	76.349	76.238	96.897	97.34
KEBGJNKE_00180	76.211	76.211	95.455	96.061	73.667	73.764	74.242	95.152	97.273	73.333	95.455	73.0	73.244	95.152	99.091
KEBGJNKE_00181	84.956	84.956	99.283	99.642	84.956	85.398	85.398	99.283	99.642	84.956	100.0	84.956	84.956	98.925	100.0
KEBGJNKE_00182			97.661	97.16				92.648	94.737		97.577			93.379	98.997
KEBGJNKE_00183	73.543	73.543	97.743	94.131	74.702	74.215	74.215	92.29	93.439		97.291	74.215	73.767	92.971	97.291
KEBGJNKE_00184								94.815						90.945	
KEBGJNKE_00185			98.519	99.63				82.222	82.222		99.259			82.222	98.519
KEBGJNKE_00186	64.306	64.306	97.551	98.083		64.451		87.54	89.137	64.822	98.403			87.966	99.574
KEBGJNKE_00187	75.96	76.364	97.368	97.528	76.263	76.566	76.667	94.577	96.491	76.465	97.847	75.96	76.465	94.976	97.528
KEBGJNKE_00188			98.103	98.103				97.019	98.103		97.832			97.019	98.103
KEBGJNKE_00189			96.744	97.984				96.279	94.729		98.915			95.504	98.605
KEBGJNKE_00190	72.034	72.034	97.706	97.706	72.175	71.893	72.175	98.246	99.055	72.175	98.516	71.61	71.751	97.436	98.516
KEBGJNKE_00191	70.134	70.134	99.405	97.817	69.257	70.134	69.463	94.841	95.04	70.134	97.817	69.799	70.134	95.238	99.008
KEBGJNKE_00192	64.615		98.962	98.155	64.615			84.89	84.66	64.462	97.578		64.733	84.544	97.693
KEBGJNKE_00193			98.72	98.537				75.404	75.404		96.709			75.135	99.454
KEBGJNKE_00194			96.113	95.995				92.815	91.755		96.466			95.289	96.938
KEBGJNKE_00195			92.878	92.878				91.778			92.101			91.604	92.994
KEBGJNKE_00196	75.529	76.133	99.138	98.851	75.831	75.68	75.68	98.132	96.839	75.982	98.707	75.68	75.831	97.845	98.994
KEBGJNKE_00197	70.543	70.284	98.28	95.699	70.284	70.801	70.801	94.839	95.054	70.284	97.634	70.284	70.284	94.839	98.065
KEBGJNKE_00198			90.455	90.455				91.429	92.056		92.273			92.056	99.559
KEBGJNKE_00199			97.566	96.996				86.319	93.678		99.133			95.542	98.886
KEBGJNKE_00200			97.326	96.257				88.592	88.948		97.148			91.622	98.039
KEBGJNKE_00201			87.764	94.515				92.827	91.139		100.0			83.544	94.937
KEBGJNKE_00202			98.795	99.197				97.59	93.173		99.598			99.197	99.598
KEBGJNKE_00203			98.857	98.571					91.714		98.286				98.857
KEBGJNKE_00204				97.436							97.436				
KEBGJNKE_00205			96.096	96.396				86.85	86.239					86.239	96.096
KEBGJNKE_00206			95.752	95.333											
KEBGJNKE_00207			91.447	89.693				95.778	89.556		90.57			96.0	89.912
KEBGJNKE_00208			97.101	96.739				85.145	87.319						96.014
KEBGJNKE_00209		79.452	100.0		79.167	76.136	76.136	93.939	92.424	79.452		79.452	79.452	95.455	99.242
KEBGJNKE_00210			95.767	99.471				95.238	91.534					93.651	99.471
KEBGJNKE_00211			97.304	87.089											97.549
