gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX
FLJIFKPE_00034			94.467	94.467		93.117			95.951			93.387			96.237
FLJIFKPE_00035						96.451									
FLJIFKPE_00036		72.157	97.003	96.866		98.419				90.736	72.661	91.417			90.872
FLJIFKPE_00037			99.588	97.942		99.588				89.3		95.062			90.123
FLJIFKPE_00038			95.767	95.503		96.825									
FLJIFKPE_00039			96.479	98.005		98.474			92.562	88.902		97.297			89.02
FLJIFKPE_00040			99.251	99.251		99.625			97.004	87.266		99.625			87.266
FLJIFKPE_00041			98.208	97.849		97.849			89.063	90.625		97.849			89.453
FLJIFKPE_00042			96.199	95.906		95.906			94.444			96.199			
FLJIFKPE_00043			89.61	88.745		89.61			88.312	89.13		94.805			89.61
FLJIFKPE_00044			96.97	97.306		96.97			81.849	87.879		97.306			82.192
FLJIFKPE_00045			98.658	98.434		99.329			77.828	78.06		98.434			77.149
FLJIFKPE_00046			97.744	97.744		98.997			83.459	83.92		97.243			83.459
FLJIFKPE_00047			99.621	99.621		100.0			96.591	95.833		99.242			95.833
FLJIFKPE_00048			96.836	97.299		99.228			95.756	95.448		97.84			94.753
FLJIFKPE_00049			97.508	97.196		93.769			93.458	93.146		97.819			92.523
FLJIFKPE_00050			96.491	96.626		98.111			89.353	90.027		97.973	65.183		90.027
FLJIFKPE_00051			98.062	98.062		98.837			96.899	96.124		97.674			96.124
FLJIFKPE_00052	65.392		96.88	96.88		97.373	65.731	65.731	95.238	94.581		95.567	66.129		94.581
FLJIFKPE_00053			98.264	99.132		99.479			94.097	95.486		98.785			95.313
FLJIFKPE_00054		68.121	98.006	98.006	67.308	98.291			97.151	96.296		98.006		67.308	97.151
FLJIFKPE_00055			94.977	95.434		94.977				96.0		94.667			93.151
FLJIFKPE_00056			86.777	86.777		97.619			96.899			96.552			96.429
FLJIFKPE_00057						97.183									
FLJIFKPE_00058			95.39	95.567		96.277			95.39	94.149		95.567			93.085
FLJIFKPE_00059			98.746	99.104		99.642						94.624			
FLJIFKPE_00060			99.736	99.736		99.868				89.499		92.095			
FLJIFKPE_00061			99.099	99.099		100.0						97.598			
FLJIFKPE_00062		86.877	98.45	97.778		99.012		87.402		94.568	87.927	96.79		87.402	
FLJIFKPE_00063		87.619	98.039	98.039		98.039		86.667	98.039	98.039	87.619	98.039		87.619	97.059
FLJIFKPE_00064		89.87	99.068	99.184		98.951		89.988	98.601	97.902	89.87	99.143		89.87	97.319
FLJIFKPE_00065			94.309	94.309		95.447			92.033	92.52		95.285			92.683
FLJIFKPE_00066			87.755	87.755		87.755			89.456	89.116		87.415			88.776
FLJIFKPE_00067	69.419	70.553	93.769	93.873	70.949	93.977	68.836	70.923		81.727	70.02	93.873	70.751	69.822	80.924
FLJIFKPE_00068			92.381	97.143		90.635			89.524	90.317		96.667			89.683
FLJIFKPE_00069			97.867	97.733		98.0			90.933	90.0		97.333			90.4
FLJIFKPE_00070			98.291	98.718		98.077			74.145	73.718		98.504			73.504
FLJIFKPE_00071			98.106	98.485		98.864						98.106			
FLJIFKPE_00072			99.091	98.788		99.394						98.788			
FLJIFKPE_00073			98.656	98.118		97.984			95.139			98.118			95.0
FLJIFKPE_00074			96.72	96.454		97.163			95.807			97.163			96.61
FLJIFKPE_00075			97.29	97.696		98.103						97.561			
FLJIFKPE_00076			95.037	95.956		97.243						95.037			
FLJIFKPE_00077			97.051	97.855		98.123			94.051			98.928			94.051
FLJIFKPE_00078			82.979	82.979		82.553			98.333	92.083		81.277			98.333
FLJIFKPE_00079			81.145	81.145		81.145			98.824	98.562		81.425			98.301
FLJIFKPE_00080			85.839	85.839		86.014			98.775	98.284		85.839			98.897
FLJIFKPE_00081			95.885	96.302		94.271			96.354	66.826		95.99			97.76
FLJIFKPE_00082			99.048	100.0		99.048			89.048	83.81		99.048			100.0
FLJIFKPE_00083			99.095	99.849		99.246			96.494	96.983		99.246			99.246
FLJIFKPE_00084			99.02	99.02		99.673			98.039	98.366		99.02			97.386
FLJIFKPE_00085			100.0	100.0		99.134			98.701	97.835		100.0			98.701
FLJIFKPE_00086			98.434	98.695		99.217			82.353			98.108			81.513
FLJIFKPE_00087	78.302	77.934	98.667	98.222	78.302	100.0	78.302	78.302	98.222	98.667	77.934	98.667		77.934	98.667
FLJIFKPE_00088			100.0	94.521		98.63			90.411						98.592
FLJIFKPE_00089			98.63	98.63		98.63			97.26			98.63			98.63
FLJIFKPE_00090			100.0	100.0					100.0			100.0			97.183
FLJIFKPE_00091			100.0	100.0		98.667			98.667			100.0			98.667
FLJIFKPE_00092									95.152	95.758					
FLJIFKPE_00093			96.143	96.143		95.592			97.29	95.935		96.419			95.317
FLJIFKPE_00094			83.516	83.516		83.516			83.516			83.516			100.0
FLJIFKPE_00095									98.824	97.255					
FLJIFKPE_00096			100.0	100.0		100.0			100.0	100.0		100.0			100.0
FLJIFKPE_00097			97.814	97.849		98.361			97.268	97.268		98.361			97.814
FLJIFKPE_00098															
FLJIFKPE_00100			98.851												98.851
FLJIFKPE_00101			100.0			100.0			98.592			100.0			100.0
FLJIFKPE_00102			98.413			100.0			93.651			99.206			93.651
FLJIFKPE_00103			98.413			99.603			95.635	97.619		98.413			94.841
FLJIFKPE_00104			100.0			100.0			100.0			100.0			100.0
FLJIFKPE_00105			100.0			100.0			98.611			100.0			98.611
FLJIFKPE_00106			100.0			100.0			98.63	93.151		100.0			95.89
FLJIFKPE_00107			98.701			100.0			98.701	96.104		100.0			100.0
FLJIFKPE_00108			100.0			100.0			100.0	98.684		100.0			100.0
FLJIFKPE_00109	95.833		100.0		95.833	100.0	95.833	95.833	100.0			100.0			
FLJIFKPE_00110	92.94	93.325	99.101		92.811	99.615	92.94	92.94	97.818		93.325	99.615		92.683	
FLJIFKPE_00111			100.0			100.0			100.0			93.243			91.892
FLJIFKPE_00112			100.0	97.015		100.0			95.89			100.0			100.0
FLJIFKPE_00113			100.0	100.0		100.0			98.649	100.0		100.0			98.649
FLJIFKPE_00114			98.649	98.649		98.649			87.838			87.838			87.838
FLJIFKPE_00115			100.0	100.0		100.0			100.0			100.0			100.0
FLJIFKPE_00116			100.0	100.0		100.0			100.0			100.0			100.0
FLJIFKPE_00117			100.0	100.0		100.0			97.826			100.0			94.565
FLJIFKPE_00118			100.0	100.0								100.0			
FLJIFKPE_00119			100.0	100.0		100.0			100.0			100.0			100.0
FLJIFKPE_00120			96.591	96.97		98.864			97.348	96.97		96.97			97.348
FLJIFKPE_00121	82.405	82.405	100.0	100.0	82.405	100.0	82.405	82.405	99.138	99.138	82.405	100.0	82.405	82.405	99.425
FLJIFKPE_00122			99.524	96.667		98.095			99.048	95.238		96.667			99.048
FLJIFKPE_00123			99.767	98.368		97.902			98.601	98.834		98.368			98.834
FLJIFKPE_00124	79.377	78.863	99.905	98.769	78.833	99.053			97.254			98.295	78.739	79.009	97.917
FLJIFKPE_00125					97.444								97.125		
FLJIFKPE_00126	75.159	75.159	98.165	97.248	75.159	97.859	75.159	74.921	96.636	96.636	75.159	98.777	74.204	75.159	96.942
FLJIFKPE_00127			100.0	98.818		98.7			97.045	97.409		99.054			97.045
FLJIFKPE_00128	67.197		99.517	99.396	67.955	99.517	67.197	67.396	98.671	99.034	67.793	99.275	67.197	67.197	98.551
FLJIFKPE_00129			99.44	99.16		98.88			98.599	97.759		99.16			98.599
FLJIFKPE_00130			99.92	99.682		99.682			88.583	87.638		99.682			88.425
FLJIFKPE_00131			99.894	98.942		99.153			98.413	97.778		99.048			98.942
FLJIFKPE_00132	79.218	78.277	99.936	98.654	78.349	99.167	79.508	78.349	98.013	98.59	78.204	98.718	79.218	78.349	98.141
FLJIFKPE_00133	75.107	75.751	100.0	99.873	75.536	99.747	75.536	75.751	97.212	98.733	75.751	99.873	75.536	75.322	97.338
FLJIFKPE_00134			98.734	98.734		99.578			89.099	90.947		98.734			88.05
FLJIFKPE_00135	82.078	82.229	98.664	98.875	82.004	99.719	81.419	82.229	98.523	98.945	82.881	98.805	82.374	82.078	98.805
FLJIFKPE_00136			98.81	98.413		98.81			99.603	99.206		98.81			99.603
FLJIFKPE_00137	76.671	75.967	99.889	99.22	76.319	99.666	76.553	75.967	97.659	97.993	76.671	99.22	76.671	76.671	98.328
FLJIFKPE_00138	72.071	72.361	99.542	98.396	72.222	99.198	71.834	72.361	98.625	98.282	71.834	98.855	72.071	71.953	98.396
FLJIFKPE_00139	73.175	73.333	99.359	98.558	73.333	99.359	73.016	73.333	99.199	98.237	73.95	98.558	73.333	73.333	99.519
FLJIFKPE_00140	74.087	74.205	100.0	99.173	73.672	99.645	74.144	74.205	98.936	98.936	74.087	99.291	74.205	73.79	98.936
FLJIFKPE_00141			100.0	99.583		100.0			99.583	97.917		99.583			99.167
FLJIFKPE_00142	81.568	81.627	99.942	98.713	81.51	98.713	87.185	87.185	97.251	96.725	81.51	98.246	81.919	81.51	97.368
FLJIFKPE_00143	88.076	86.052	99.764	97.872	86.525	100.0	87.805	87.805	98.345	95.024	88.076	99.527	85.579	86.525	98.578
FLJIFKPE_00144	73.176	72.941	100.0	100.0	73.176	100.0	73.176	73.176	91.139	92.405	72.941	99.578	73.882	73.176	91.139
FLJIFKPE_00145	78.351	78.179	100.0	99.495	78.179	99.495	78.351	78.351	94.276	94.949	78.007	99.663	78.694	78.007	94.613
FLJIFKPE_00146	69.634	69.445	99.891	99.043	69.844	99.836	69.37	69.37	89.022	85.823	69.629	99.125	69.637	69.866	89.893
FLJIFKPE_00147	70.162	70.162	99.484	97.937	70.108	98.571	69.824	69.824	91.508	91.865	70.098	98.532	69.869	70.054	91.31
FLJIFKPE_00148	72.224	72.252	99.176	89.108	72.393	97.273	72.393	72.337	91.992	91.497	72.535	94.876	72.458	72.45	91.62
FLJIFKPE_00149	63.278	63.427	92.998	91.815	63.613	93.047	63.654	63.869	86.056	85.084	63.188	92.061	63.278	63.452	84.78
FLJIFKPE_00150															
FLJIFKPE_00151			99.32	95.918		99.32			90.698	94.574		97.279			91.837
FLJIFKPE_00152	74.332	75.111	98.246	96.93	74.777	98.246	75.0	75.0	94.152	96.345	74.81	97.807	75.074	74.852	96.784
FLJIFKPE_00153	75.651	74.907	98.138	97.952	74.907	98.138	74.721	74.721	97.393	97.207	74.907	98.138	75.093	75.465	96.276
FLJIFKPE_00154	77.467	78.792	96.596	97.589	78.203	96.596	78.056	78.056	87.943	92.482	78.792	96.738	77.614	77.614	87.801
FLJIFKPE_00155	76.447	76.547	99.9	98.802	76.643	99.9	76.239	76.239	89.721	92.914	76.547	98.603	76.148	76.423	90.12
FLJIFKPE_00156			99.817	95.509		99.908						97.555			
FLJIFKPE_00157	74.672	73.581	99.792	96.042	74.454	99.792	74.672	74.672	95.625	96.458	73.581	96.458	74.51	74.891	97.292
FLJIFKPE_00158	81.964	82.115	99.849	94.825	81.843	99.006	81.964	81.964	97.23	97.41	82.208	94.369	81.873	81.837	98.04
FLJIFKPE_00159	90.447	88.37	98.962		81.014	98.858	90.447	90.447	98.754	89.72	86.293	98.858			
FLJIFKPE_00160			98.068	98.551		98.068			98.068	94.686		99.034			98.551
FLJIFKPE_00161	74.696	74.164	100.0	96.847	73.785	97.466	73.857	74.392	97.86	97.281	73.964	99.043	73.942	73.913	97.973
FLJIFKPE_00162			99.878	99.027		98.236			98.175	98.236		99.513			98.236
FLJIFKPE_00163	77.303	77.378	97.963	96.47	77.453	96.47	77.528	77.528	98.642	96.835	77.528	94.908	77.228	77.378	98.235
FLJIFKPE_00164	73.166	73.166	95.101	95.865	72.965	95.197	72.864	72.864	99.135	94.428	72.663	95.197	72.462	72.764	98.751
FLJIFKPE_00165			97.464	96.989		97.781			99.208	97.042		97.728			99.313
FLJIFKPE_00166	66.269	65.136	96.818	96.97	65.812	96.97	65.299	65.299	99.848	94.394	65.306	96.97	65.812	65.641	97.424
FLJIFKPE_00167	69.397	69.397	97.443	97.727	69.289	97.254	69.181	69.181	98.674	96.117		97.348	69.256	69.504	98.39
FLJIFKPE_00168	70.083	70.083	95.692	95.692	69.421	95.918	68.955	68.955	93.425	94.805	68.799	95.918	69.423	69.111	96.145
FLJIFKPE_00169			97.046	96.203		96.203			99.156	96.203		96.203			97.89
FLJIFKPE_00170			97.756	98.077		97.436			98.077	98.718		97.436			98.397
FLJIFKPE_00171			98.077	99.038		98.718			98.718	99.038		98.718			99.038
FLJIFKPE_00172	72.587	72.587	96.206	96.748	72.201	96.206	73.913	73.913	98.374	98.916	72.587	96.206	72.201	72.201	96.748
FLJIFKPE_00173			97.068	98.457		97.685			98.92			97.685			
FLJIFKPE_00174	71.746	71.746	96.912	98.083	71.598	98.378	71.302	71.302	97.941	98.239	71.746	98.378	71.302	71.302	97.063
FLJIFKPE_00175			96.995	96.721		96.995			99.18	96.448		96.995			98.087
FLJIFKPE_00176			98.551	99.524		99.048			100.0	98.571		99.048			100.0
FLJIFKPE_00177			95.035	95.745		95.035			95.981	95.981		95.272			95.745
FLJIFKPE_00178	74.576	74.576	98.491	98.616	74.576	98.491	74.282	74.282	98.868	98.491	75.333	98.365	74.543	74.446	97.987
FLJIFKPE_00179	76.221	76.221	98.714	98.071	75.57	98.714	75.896	75.896	98.714	99.357	75.258	97.749	75.896	76.221	98.392
FLJIFKPE_00180	69.321	69.274	97.549	97.31	69.06	97.378	69.06	69.06	98.615	98.427	68.908	97.461	68.872	70.596	96.663
FLJIFKPE_00181	78.146	78.477	98.563	98.563	78.146	98.563	78.477	78.477	98.851	99.425	78.146	98.563	78.477	78.146	98.851
FLJIFKPE_00182			98.07	97.719		98.246			95.526	95.789		98.07			95.175
FLJIFKPE_00183	75.22	75.22	96.897	97.074	75.428	97.34	75.428	74.34	97.961	97.568	75.073	96.897	75.608	75.338	98.227
FLJIFKPE_00184	76.211	76.211	95.152	95.758	73.667	99.091	73.764	74.242	95.455	96.97	73.333	95.152	73.0	73.244	95.455
FLJIFKPE_00185	84.956	84.956	99.283	99.642	84.956	100.0	85.398	85.398	99.283	99.642	84.956	100.0	84.956	84.956	98.925
FLJIFKPE_00186			97.327	96.825		98.997			93.15	95.238		97.911			93.718
FLJIFKPE_00187	71.685	71.685	96.644	94.407	73.206	97.291	72.36	72.36	91.61	93.065		96.868	72.36	71.91	92.29
FLJIFKPE_00188			97.778	98.889		98.519			82.222	82.222		99.259			82.222
FLJIFKPE_00189	64.595	64.595	97.338	97.87		99.574	64.74		87.753	89.35	65.191	98.19			88.179
FLJIFKPE_00190	75.152	75.558	97.129	97.289	75.456	97.528	75.761	75.862	96.252	96.73	75.862	97.289	75.254	75.659	96.332
FLJIFKPE_00191			98.374	98.374		98.103			97.29	98.374		98.103			97.29
FLJIFKPE_00192			96.279	97.829		98.605			95.504	94.419		98.45			95.504
FLJIFKPE_00193	72.458	72.458	97.841	97.841	72.599	98.516	72.316	72.599	97.841	98.381	72.599	98.381	72.034	72.175	97.301
FLJIFKPE_00194	69.128	69.128	99.206	97.222	68.243	99.008	69.128	68.456	94.246	94.444	69.128	98.016	68.792	69.128	95.04
FLJIFKPE_00195	65.708	65.708	97.809	98.385	66.15	97.693	65.487	66.15	84.429	84.429	65.487	97.578	65.455	66.372	84.544
FLJIFKPE_00196			98.172	97.989		99.454			75.224	75.224		96.161			74.955
FLJIFKPE_00197			97.291	97.173		96.938			93.051	91.991		97.409			96.231
FLJIFKPE_00198			96.528	96.528		92.994			93.634			96.267			93.519
FLJIFKPE_00199	75.982	76.888	98.707	98.994	76.284	98.994	76.133	76.133	98.563	96.983	76.737	98.563	76.133	76.284	98.276
FLJIFKPE_00200	71.354	71.094	98.495	96.774	71.354	98.065	71.615	71.615	94.624	94.839	71.094	98.71	71.094	71.354	95.054
FLJIFKPE_00201			93.103	92.759		99.559			90.714	92.254		94.138			92.254
FLJIFKPE_00202			97.731	97.49		98.886			86.565			98.267			95.466
FLJIFKPE_00203			97.861	97.861		98.039			88.77	89.127		97.326			92.513
FLJIFKPE_00204			87.764	99.578		94.937			94.515	91.983		94.937			84.81
FLJIFKPE_00205			99.197	98.795		99.598			97.189	92.771		99.197			98.795
FLJIFKPE_00206			99.773	99.546		98.857				91.014		95.207			
FLJIFKPE_00207			95.289	96.845								97.531			94.616
FLJIFKPE_00208			98.799	98.498		96.096			85.933	85.627					85.321
FLJIFKPE_00209									96.903	97.788		98.23			97.345
FLJIFKPE_00210									95.977	96.552		97.701			97.126
FLJIFKPE_00211			95.175	99.342		89.912			89.693	84.43		98.465			89.474
FLJIFKPE_00212			97.464	97.101		96.014			86.122	88.571					
