gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	V12_RAST
BOCOCLFO_00041			94.965	95.139		95.139			95.66	99.826		95.139			95.313
BOCOCLFO_00042			96.045	96.234		97.74			96.61	96.61		97.363			
BOCOCLFO_00043	68.056	69.024	97.436	97.436	68.942	96.581			97.721	95.157		96.296	68.056	68.942	97.151
BOCOCLFO_00044			97.333	92.444		92.889				91.556		92.237			93.151
BOCOCLFO_00045			97.2	96.8		98.0									
BOCOCLFO_00046			99.052	99.052		98.578									
BOCOCLFO_00047			86.454	86.454		95.019			97.211			95.238			96.429
BOCOCLFO_00048			93.972	93.794		93.44			93.794	93.085		94.681			93.085
BOCOCLFO_00049				86.154		86.154			95.699	90.769		86.154			87.692
BOCOCLFO_00050		87.619	96.569	96.569		98.039		86.667	96.078	96.078	87.619	96.078		87.619	97.059
BOCOCLFO_00051		89.51	97.319	97.203		96.97		89.627	97.786	98.718	89.627	97.34		89.51	97.319
BOCOCLFO_00052			96.748	96.748		95.61			98.049	97.561		95.772			92.683
BOCOCLFO_00053			97.279	97.279		97.279			91.837	99.32		96.939			88.776
BOCOCLFO_00054	71.897	70.726	88.153	88.153	71.145	88.153	70.843	70.994		95.625	70.76	88.153	71.077	70.643	80.924
BOCOCLFO_00055			85.443	88.73		83.651			99.048	95.873		88.73			89.683
BOCOCLFO_00056			91.333	91.333		91.6			99.467	96.4		91.2			90.4
BOCOCLFO_00057			75.0	73.718		74.573			99.359	98.718		74.145			73.504
BOCOCLFO_00058			94.861	94.722		94.545			99.593			94.583			95.0
BOCOCLFO_00059									98.898	92.708					
BOCOCLFO_00060			97.681	97.681		96.432			98.759			97.235			96.61
BOCOCLFO_00061			93.768	94.051		94.051			99.449			95.184			94.051
BOCOCLFO_00062			83.83	83.83		83.404			100.0	91.667		82.128			98.333
BOCOCLFO_00063			80.839	80.839		80.839			98.693	98.17		81.119			98.301
BOCOCLFO_00064			85.839	85.839		86.014			99.632	98.897		85.839			98.897
BOCOCLFO_00065			95.521	95.156		93.333			96.302	66.547		95.625			97.76
BOCOCLFO_00066			99.048	100.0		99.048			89.048	83.81		99.048			100.0
BOCOCLFO_00067			98.341	99.095		98.492			96.799	96.833		98.492			99.246
BOCOCLFO_00068			96.405	97.059		97.712			99.346	97.059		96.405			97.386
BOCOCLFO_00069			98.701	98.701		98.701			99.134	98.268		98.701			98.701
BOCOCLFO_00070			81.577	81.448		81.513			96.549			81.448			81.513
BOCOCLFO_00071	78.302	77.934	99.111	98.667	78.302	98.667	78.302	78.302	99.556	100.0	77.934	98.222		77.934	98.667
BOCOCLFO_00072			98.592	92.958		97.183			88.732						98.592
BOCOCLFO_00073			97.26	97.26		97.26			98.63			97.26			98.63
BOCOCLFO_00074			97.26	97.26					97.26			97.26			97.183
BOCOCLFO_00075			98.667	98.667		97.333			100.0			98.667			98.667
BOCOCLFO_00076			98.645	98.645		98.103			95.317	96.694		98.374			95.317
BOCOCLFO_00077			83.516	83.516		83.516			83.516			83.516			100.0
BOCOCLFO_00078			100.0	100.0		100.0			100.0	100.0		100.0			100.0
BOCOCLFO_00079			98.907	98.907		99.454			99.454	98.361		99.454			97.814
BOCOCLFO_00081			100.0												98.851
BOCOCLFO_00082			100.0			100.0			98.592			100.0			100.0
BOCOCLFO_00083			93.651			93.651			100.0			94.444			93.651
BOCOCLFO_00084			95.635			94.444			98.413	94.841		95.635			94.841
BOCOCLFO_00085										98.095					
BOCOCLFO_00086			100.0			100.0			100.0			100.0			100.0
BOCOCLFO_00087			98.611			98.611			97.222			98.611			98.611
BOCOCLFO_00088			95.89			95.89			94.521	97.26		95.89			95.89
BOCOCLFO_00089			98.684			100.0			98.684	96.053		100.0			100.0
BOCOCLFO_00090			100.0			100.0			100.0	98.684		100.0			100.0
BOCOCLFO_00091										100.0					
BOCOCLFO_00092			91.892			91.892			91.892			98.649			91.892
BOCOCLFO_00093			100.0	97.015		100.0			95.89			100.0			100.0
BOCOCLFO_00094			98.649	98.649		98.649			100.0	98.649		98.649			98.649
BOCOCLFO_00095			89.189	89.189		89.189			100.0			100.0			87.838
BOCOCLFO_00096			100.0	100.0		100.0			100.0			100.0			100.0
BOCOCLFO_00097			100.0	100.0		100.0			100.0			100.0			100.0
BOCOCLFO_00098			94.565	94.565		94.565			96.703			94.565			94.565
BOCOCLFO_00099									100.0	87.838					
BOCOCLFO_00100			100.0	100.0		100.0			100.0			100.0			100.0
BOCOCLFO_00101			98.485	98.106		96.97			99.242	98.864		98.106			97.348
BOCOCLFO_00102	82.405	82.405	99.425	99.425	82.405	99.425	82.405	82.405	99.138	99.713	82.405	99.425	82.405	82.405	99.425
BOCOCLFO_00103			99.524	96.667		98.095			99.048	95.238		96.667			99.048
BOCOCLFO_00104			98.601	98.601		98.135			98.834	99.068		98.601			98.834
BOCOCLFO_00105			97.603	98.148	78.903	98.802			98.802		76.816	97.93	78.24	76.411	97.917
BOCOCLFO_00106			97.045	97.045		96.69			100.0	97.762		97.281			97.045
BOCOCLFO_00107	67.46		98.551	98.913		98.792		67.659	99.879	98.551		98.792	67.929		98.551
BOCOCLFO_00108			99.16	98.88		98.599			100.0	97.479		98.88			98.599
BOCOCLFO_00109			88.346	88.268		88.11			99.685	98.03		88.268			88.425
BOCOCLFO_00110			98.836	98.73		99.153			99.471	97.354		98.836			98.942
BOCOCLFO_00111	79.435	78.783	98.205	98.333	78.856	98.077	79.29	78.711	99.103	98.397	78.711	98.269	79.146	78.856	98.141
BOCOCLFO_00112	75.536	75.966	97.338	97.465	75.966	97.338	75.966	75.966	99.873	97.465	75.966	97.465	75.966	75.751	97.338
BOCOCLFO_00113			87.841	87.841		88.05			97.257	94.937		87.841			88.05
BOCOCLFO_00114	81.738	81.719	98.453	98.523	81.665	98.664	81.081	81.719	99.015	99.297	82.568	98.101	81.865	81.738	98.805
BOCOCLFO_00115			98.81	98.413		98.81			99.603	99.603		98.81			99.603
BOCOCLFO_00116	76.671	75.967	98.439	98.885	76.553	98.216	76.788	75.967	98.885	98.551	76.905	98.885	76.671	76.905	98.328
BOCOCLFO_00117	72.308	72.835	98.625	97.709	72.308	98.282	72.308	72.835	98.74	98.396	72.071	98.625	72.544	72.308	98.396
BOCOCLFO_00118	73.333	73.492	99.199	98.718	73.492	99.199	73.175	73.492	99.359	98.718	74.23	98.718	73.492	73.492	99.519
BOCOCLFO_00119	74.558	74.676	98.936	99.054	74.144	99.054	74.616	74.676	100.0	100.0	74.558	99.173	74.676	74.262	98.936
BOCOCLFO_00120			99.167	99.583		99.167			99.583	97.917		99.583			99.167
BOCOCLFO_00121	81.765	81.707	97.427	98.187	81.707	98.07	87.946	87.946	99.123	99.006	81.707	97.661	81.882	81.707	97.368
BOCOCLFO_00122	88.076	86.73	98.341	97.63	87.204	98.578	87.805	87.805	97.63	95.035	88.076	98.104	86.019	87.204	98.578
BOCOCLFO_00123	74.118	74.118	91.139	91.139	74.353	91.139	74.118	74.118	100.0	98.312	73.882	91.561	75.059	74.353	91.139
BOCOCLFO_00124	77.835	78.007	94.613	94.444	78.007	94.444	77.835	77.835	97.98	98.316	77.835	94.949	78.179	77.835	94.613
BOCOCLFO_00125	69.492	69.628	89.893	89.702	69.735	90.003	69.773	69.773	96.987	95.967	69.466	89.757	69.637	69.838	89.893
BOCOCLFO_00126	70.065	70.065	90.992	90.913	69.915	91.071	70.262	70.262	97.103	94.286	70.518	91.151	70.292	69.965	91.31
BOCOCLFO_00127			91.997	89.868		93.273			97.01	96.611		92.344			91.62
BOCOCLFO_00128			83.383	85.324	64.228	83.383	63.822	63.723	90.6	86.67		83.776	63.744	64.376	84.78
BOCOCLFO_00129			83.285	95.249		83.285				73.262		83.235			
BOCOCLFO_00130	72.857	72.059	92.517	91.156	73.913	92.517	73.913	73.913	100.0	96.124	72.059	91.333	73.571	73.913	91.837
BOCOCLFO_00131	74.926	74.926	96.784	96.053	75.074	96.784	75.074	75.074	96.491	98.392	74.62	96.491	75.519	74.926	96.784
BOCOCLFO_00132	75.279	74.535	96.276	96.648	74.349	96.276	74.349	74.349	98.138	96.276	74.535	96.089	74.721	75.093	96.276
BOCOCLFO_00133	75.994	76.73	88.085	88.652	76.141	88.085	75.994	75.994	98.156	93.475	76.73	87.943	76.141	76.73	87.801
BOCOCLFO_00134	78.443	78.244	90.02	89.222	77.925	90.02	77.925	77.925	98.303	96.008	78.343	89.321	78.244	78.455	90.12
BOCOCLFO_00135															
BOCOCLFO_00136	73.144	72.052	97.5	94.375	72.926	97.083	73.144	73.144	96.875	95.208	72.052	94.792	72.985	73.362	97.292
BOCOCLFO_00137	81.736	81.826	97.979	94.61	81.857	97.642	81.645	81.585	97.367	98.224	82.325	94.152	81.894	81.73	98.04
BOCOCLFO_00138			97.585	98.068		99.517			99.517	95.169		98.551			98.551
BOCOCLFO_00139	75.076	74.544	97.973	95.89	73.842	98.93	73.913	74.696	99.775	96.979	74.378	98.142	74.055	73.97	97.973
BOCOCLFO_00140			98.236	98.236		98.783			99.818	99.088		98.114			98.236
BOCOCLFO_00141	77.004	77.079	98.099	97.352	77.154	97.488	77.228	77.228	99.185	96.6	77.079	95.927	76.779	77.079	98.235
BOCOCLFO_00142	72.864	72.864	95.389	96.154	72.663	95.485	72.563	72.563	99.328	94.236	72.362	95.485	72.161	72.663	98.751
BOCOCLFO_00143			97.306	96.83		97.623			99.894	97.2		97.57			99.313
BOCOCLFO_00144	66.102	66.063	95.606	95.909	65.646	95.606	65.136	65.136	97.576	94.848	66.29	95.606	66.743	66.743	97.424
BOCOCLFO_00145	69.514	69.514	98.295	98.011	69.189	98.011	69.297	69.297	98.201	96.496		98.106	69.339	69.622	98.39
BOCOCLFO_00146	70.579	70.579	97.732	96.599	69.917	97.959	70.248	70.248	92.473	96.475	69.752	97.959	70.413	70.083	96.145
BOCOCLFO_00147			98.312	98.312		98.312			97.89	97.468		98.312			97.89
BOCOCLFO_00148			96.795	97.115		97.115			99.679	97.756		97.115			98.397
BOCOCLFO_00149			97.756	98.718		98.397			99.679	100.0		98.397			99.038
BOCOCLFO_00150	72.587	72.587	98.374	98.916	72.201	98.374	73.913	73.913	96.748	96.748	72.587	98.374	72.201	72.201	96.748
BOCOCLFO_00151										99.136					
BOCOCLFO_00152	71.217	71.217	96.018	96.035	71.068	95.742	70.772	70.772	97.05	97.359	71.217	95.742	70.772	70.772	97.063
BOCOCLFO_00153			97.541	96.721		97.541			98.361	97.814		97.541			98.087
BOCOCLFO_00154			98.551	99.524		99.048			100.0	98.571		99.048			100.0
BOCOCLFO_00155			93.617	93.853		93.617			94.09	97.4		93.853			95.745
BOCOCLFO_00156	74.576	74.576	98.239	98.491	74.576	98.239	74.316	74.316	97.736	98.742	75.0	97.987	74.576	74.446	97.987
BOCOCLFO_00157	75.244	75.244	98.397	97.436	74.593	98.397	74.919	74.919	99.038	99.038	73.711	97.436	74.919	75.244	98.392
BOCOCLFO_00158	69.622	69.651	95.676	95.54	69.448	95.608	69.535	69.535	95.891	96.033	69.061	95.06	69.274	70.73	96.663
BOCOCLFO_00159	77.994	78.317	98.563	98.563	77.994	98.563	77.67	77.67	98.851	99.425	77.994	98.563	78.317	77.994	98.851
BOCOCLFO_00160	64.402	64.306	95.351	95.0	64.088	95.526	66.335	66.335	98.333	98.246	64.47	95.351	65.983	64.122	95.175
BOCOCLFO_00161	75.11	75.11	96.897	97.252	75.54	96.897	75.54	74.378	98.316	97.568	75.11	96.897	75.54	75.428	98.227
BOCOCLFO_00162	76.0	76.0	96.364	96.667	76.0	95.152	75.556	75.556	100.0	95.455	76.444	96.364	76.0	76.0	95.455
BOCOCLFO_00163	85.398	85.398	99.642	99.283	85.398	98.925	85.841	85.841	99.642	99.283	85.398	98.925	85.398	85.398	98.925
BOCOCLFO_00164			93.548	92.784		93.379			98.472	96.265		93.888			93.718
BOCOCLFO_00165	72.076	72.076	92.29	95.692	73.206	92.971	72.727	72.727	97.506	95.011		93.424	72.727	72.727	92.29
BOCOCLFO_00166						90.945			97.244						
BOCOCLFO_00167									100.0	97.368					
BOCOCLFO_00168			81.481	82.593		82.222			100.0	98.519		82.222			82.222
BOCOCLFO_00169			87.966	87.859		87.966			99.361	97.657		88.285			88.179
BOCOCLFO_00170	74.949	75.152	95.375	95.375	75.051	94.976	75.355	75.456	98.485	96.73	75.659	95.295	75.152	75.254	96.332
BOCOCLFO_00171			97.832	97.832		97.019			99.458	98.916		97.019			97.29
BOCOCLFO_00172			96.279	96.589		95.504			97.364	96.434		95.659			95.504
BOCOCLFO_00173	72.316	72.316	96.761	96.761	72.458	97.436	72.175	72.458	97.436	97.571	72.458	97.031	71.893	72.034	97.301
BOCOCLFO_00174	70.134	70.134	94.643	94.643	69.257	95.238	70.134	69.463	97.421	97.619	70.134	95.833	69.799	70.134	95.04
BOCOCLFO_00175			84.544	85.121		84.544			98.501	97.924		85.236			84.544
BOCOCLFO_00176			75.719	75.36		75.135			98.355	97.623		75.763			74.955
BOCOCLFO_00177			95.76	95.642		95.289			96.113	93.286		97.173			96.231
BOCOCLFO_00178			93.113	93.113		91.604			99.248			92.969			93.519
BOCOCLFO_00179	76.235	77.16	97.557	97.845	76.852	97.845	76.389	76.389	99.425	98.42	77.006	97.701	76.235	76.389	98.276
BOCOCLFO_00180	70.313	70.573	96.129	97.849	70.052	94.839	70.573	70.573	99.57	97.634	70.052	95.054	70.052	70.052	95.054
BOCOCLFO_00181									95.745	96.165					
BOCOCLFO_00182									96.476						
BOCOCLFO_00183															
BOCOCLFO_00184			89.189	88.851		92.056			96.667	100.0		90.878			92.254
BOCOCLFO_00185			96.155	96.119		95.542			87.307	93.425		95.951			95.466
BOCOCLFO_00186			92.335	92.157		91.622			87.344	87.701		91.622			92.513
BOCOCLFO_00187			89.873	85.232		83.544			84.388	82.278		83.544			84.81
BOCOCLFO_00188			98.795	99.197		99.197			97.59	93.976		99.598			98.795
BOCOCLFO_00189			95.455	94.697		95.455				95.556		95.455			95.455
BOCOCLFO_00190			97.175	97.175		94.318				91.176		88.718			97.74
BOCOCLFO_00191			93.2	93.827								94.239			94.616
BOCOCLFO_00192			85.933	85.015		86.239			98.777	98.777					85.321
BOCOCLFO_00193									97.955	96.524		98.773			
BOCOCLFO_00194			91.009	89.693		96.0			97.556	90.889		90.132			89.474
BOCOCLFO_00195	74.648	74.648	95.455		76.389	95.455	74.419	74.419	92.562	95.122	74.648		74.648	74.648	94.697
BOCOCLFO_00196			92.593	93.122		93.651			94.709	92.593					94.18
BOCOCLFO_00197	77.003				77.972		78.049	78.049		87.973			79.021	76.923	
BOCOCLFO_00198			84.874	85.294	81.622					90.717	76.923				84.034
BOCOCLFO_00199						94.118				90.551					94.118
BOCOCLFO_00200			88.034	88.319		90.476				92.857					90.476
BOCOCLFO_00201			91.954	93.103		91.379				92.529					90.805
BOCOCLFO_00202			91.645	92.428		92.708			91.575	90.885					91.906
