gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
EGEOBHOM_00030	96.512	96.899			95.543		100.0			96.512		94.186	95.736		
EGEOBHOM_00031	95.181	95.181			94.779		100.0			95.181		96.386	96.386		
EGEOBHOM_00032	94.55	94.55			94.787		100.0			94.231		96.133	94.787		
EGEOBHOM_00033	98.473	98.982			98.473		100.0			98.473		94.911	99.237		
EGEOBHOM_00034	98.889	99.722			98.889		99.722			98.889		98.039	99.722		
EGEOBHOM_00035	99.415	98.83			99.415		100.0					98.246	98.83		
EGEOBHOM_00036	89.871	95.212			93.923		100.0			95.948		98.895	95.212		
EGEOBHOM_00037	96.344	95.474			93.534		99.355			96.063		96.774	93.319		
EGEOBHOM_00038	96.815	97.028			95.754		100.0			97.028		99.363			
EGEOBHOM_00039							100.0					96.517			
EGEOBHOM_00040	97.541	96.721			96.448		97.814			96.721		96.995	97.541		
EGEOBHOM_00041	100.0	93.889			92.727		100.0			100.0		91.515	100.0		
EGEOBHOM_00042	96.724	97.303			96.532		98.651			97.495		94.605	96.339		
EGEOBHOM_00043	92.389	99.367			99.367		100.0			91.755		95.57	91.332		
EGEOBHOM_00044	99.435	98.729			99.153		100.0			98.023		99.294	97.458		
EGEOBHOM_00045	100.0	100.0			100.0		100.0			97.07			96.703		
EGEOBHOM_00046	99.471	98.413			98.413		100.0			100.0		97.354	100.0		
EGEOBHOM_00047	97.403	96.97			96.753		100.0			98.268		98.485	98.918		
EGEOBHOM_00048	95.48	88.136			88.136		100.0			92.655		97.74	88.136		
EGEOBHOM_00049	94.444	93.939			83.5		100.0			95.96		96.465	94.444		
EGEOBHOM_00050							100.0								
EGEOBHOM_00051	94.737	95.468	64.976	65.135	94.591		100.0					95.175	94.737		
EGEOBHOM_00052	98.333	98.542			99.167		100.0			98.75		99.792	98.958		
EGEOBHOM_00053	99.454	97.814			97.814		100.0			100.0		97.814	96.721		
EGEOBHOM_00054	97.222	95.425	65.4	65.4	95.261		100.0			92.81	65.0	98.366	95.425		65.731
EGEOBHOM_00055	99.686	85.22			79.012		100.0			99.686		99.686	79.012		
EGEOBHOM_00056	94.017	83.486			97.436		100.0			99.145		93.162	97.436		
EGEOBHOM_00057	92.958				92.958		100.0			100.0			92.958		
EGEOBHOM_00058	81.446	92.029			81.446		100.0			98.309		97.826	81.446		
EGEOBHOM_00059	97.656				98.698		100.0			98.148		97.619	98.698		
EGEOBHOM_00060	99.351						100.0					100.0			
EGEOBHOM_00061	98.684				97.268		100.0					100.0	97.268		
EGEOBHOM_00062	98.841	98.841			98.551		98.841					99.13	97.971		
EGEOBHOM_00063	97.647	96.863			96.471		97.647			96.078		97.647	95.686		
EGEOBHOM_00064	97.255	97.647			96.863		97.255			94.902		97.255	97.255		
EGEOBHOM_00065	95.536	94.345			94.94		94.94			94.94		94.048	99.107		
EGEOBHOM_00066	96.889	97.333			93.778		97.333			93.778		94.222	97.333		
EGEOBHOM_00067	98.315	97.191			94.318		98.315			94.886		93.75	97.191		
EGEOBHOM_00068	95.238	94.589			93.939		95.238			96.753		94.156	87.879		
EGEOBHOM_00069	94.737	93.237			94.737		92.982			93.421		93.86	91.589		
EGEOBHOM_00070	93.75	92.593			93.519		88.426			93.287		93.981	93.287		
EGEOBHOM_00071	94.273	91.593			94.273		93.392			95.133		94.69	94.595		
EGEOBHOM_00072	95.602	95.37			98.611		97.917			95.602		97.454	98.611		
EGEOBHOM_00073	81.699	79.739			99.346		99.346			82.353		98.693	98.693		
EGEOBHOM_00074	94.093	96.519	67.85	67.85	97.468	67.85	96.624		70.258	96.414	67.85	97.363	96.519	70.843	68.836
EGEOBHOM_00075	98.679	98.374			98.577		98.12			98.272			98.577		
EGEOBHOM_00076	97.133	97.567			96.907		97.394			97.397			97.503		
EGEOBHOM_00077	99.615	99.615					99.422			99.422					
EGEOBHOM_00078	99.831	98.139			97.619		100.0			98.139			98.126		
EGEOBHOM_00079	100.0	100.0			99.588		100.0			99.588			99.588		
EGEOBHOM_00080	100.0	98.551			100.0		100.0			99.034			99.034		
EGEOBHOM_00081	100.0	99.673			100.0		100.0			99.673			99.346		
EGEOBHOM_00082	100.0	98.268			100.0		100.0			98.268			99.134		
EGEOBHOM_00083	100.0	99.111	79.245	78.774	100.0	78.302	100.0	78.774	78.302	99.111	77.83		99.111	78.302	78.302
EGEOBHOM_00084	100.0				100.0	77.778									
EGEOBHOM_00085	100.0		95.833		100.0	95.833	100.0	95.833			95.833				95.833
EGEOBHOM_00086	100.0	98.808	91.667		98.26	91.667	100.0	91.392		98.808	91.758		97.984		92.94
EGEOBHOM_00087	100.0	100.0			100.0		100.0			100.0			100.0		
EGEOBHOM_00088	100.0				98.649		100.0								
EGEOBHOM_00089	100.0	97.647			98.824		100.0			97.647			97.647		
EGEOBHOM_00090	100.0	98.684			100.0		100.0			100.0			97.368		
EGEOBHOM_00091	100.0	100.0			100.0		100.0			100.0			100.0		
EGEOBHOM_00092	100.0	98.684			98.684		100.0			98.684			98.684		
EGEOBHOM_00093	100.0	98.82			98.82		100.0			99.115		99.705	99.41		
EGEOBHOM_00094	100.0	100.0	82.405	82.405	100.0	82.405	100.0	82.698	82.111	100.0	82.405	100.0	100.0	82.405	82.405
EGEOBHOM_00095					99.234		100.0	74.627	74.627	100.0		99.617	99.234		
EGEOBHOM_00096	99.259	99.259			99.259		100.0			99.259		99.259	99.259		
EGEOBHOM_00097	98.834	98.601			98.368		100.0			98.718		97.902	98.601		
EGEOBHOM_00098	98.0	97.5	76.493	76.493	98.872	76.866	100.0	76.493	77.509	97.5	76.493	98.519	99.624	76.493	76.493
EGEOBHOM_00099															
EGEOBHOM_00100	97.207	98.324	79.33	79.888	97.207	79.888		79.888	80.447	100.0	80.447	98.324	98.324	78.771	79.33
EGEOBHOM_00101															
EGEOBHOM_00102	97.009	97.831	77.273	77.273	96.581	77.706		77.273	80.909	96.312	77.489	98.291	98.048	77.922	77.778
EGEOBHOM_00103		99.784					100.0								
EGEOBHOM_00104	99.105	99.553	75.862	74.654	99.553	75.115	97.092	75.057	73.832	99.553	75.115	98.658	99.776	75.057	75.159
EGEOBHOM_00105	99.873	98.226			98.479		96.578					96.705	98.859		
EGEOBHOM_00106	98.466	99.303	67.197	67.396	98.884	66.998	98.326		67.197	99.024	67.396	97.211	99.303		67.197
EGEOBHOM_00107	97.391	97.391			97.681		97.681			96.812		97.101	97.681		
EGEOBHOM_00108	99.195	93.908	86.68	86.68	93.908	86.293	98.276	83.488	80.891	93.727	86.68	94.023	93.793	82.931	86.68
EGEOBHOM_00109	99.71	97.681			98.261		97.971			97.971		99.71	97.971		
EGEOBHOM_00110	99.036	95.178	79.508	79.058	95.134	79.363	95.417	79.363	79.508	95.166	79.13	99.216	95.041	79.29	79.508
EGEOBHOM_00111	98.726	99.363	75.536	75.536	99.363	75.536	99.363	75.966	76.18	99.363	75.536	99.151	98.938	75.966	75.536
EGEOBHOM_00112	94.617	93.996			94.617		95.859			93.996		94.824	94.617		
EGEOBHOM_00113	98.351	97.849	81.492	81.492	98.423	81.419	97.849	80.904	81.2	97.468	81.346	97.634	98.351	81.081	81.419
EGEOBHOM_00114	98.864	99.242			98.864		99.242			92.045		99.242	100.0		
EGEOBHOM_00115	98.222	97.0	76.553	76.553	98.889	75.778	97.0	76.0	75.667	99.0	76.553	98.222	99.444	76.788	76.553
EGEOBHOM_00116	99.08	98.391	72.255	72.071	99.08	71.834	98.391	71.953	71.716	99.425	72.189	98.851	99.195	72.308	71.834
EGEOBHOM_00117	99.519	98.397	72.54	72.54	99.519	72.54	98.397	73.333	73.016	98.575	72.54	98.718	99.519	73.175	73.016
EGEOBHOM_00118	99.645	99.527	74.144	74.38	99.409	74.144	99.409	74.616	74.616	99.645	74.498	99.173	99.527	74.616	74.144
EGEOBHOM_00119	91.754	91.871	87.244	87.244	91.754	87.185	100.0	87.595	87.888	91.754	86.834	91.871	91.754	87.946	87.185
EGEOBHOM_00120	99.237	98.95	88.076	87.805	99.475	87.805	100.0	86.992	87.062	98.728	88.347	99.475	99.475	87.805	87.805
EGEOBHOM_00121	99.458			93.605			100.0			97.471		98.701			
EGEOBHOM_00122	99.156	98.312	73.176	73.176	98.523	73.176	100.0	74.118	73.882	98.734	73.647	98.101	98.523	74.118	73.176
EGEOBHOM_00123	99.306	99.132	78.351	77.625	99.132	77.625	100.0	77.663	77.312	98.958	78.351	99.653	98.958	77.835	78.351
EGEOBHOM_00124	97.84	98.66	69.37	69.397	96.937	69.37	100.0	69.444	71.017	98.622	69.479	98.961	96.883	69.773	69.37
EGEOBHOM_00125	98.211	98.211	69.824	69.521	98.65	70.076	100.0	70.227	70.415	98.323	69.944	98.023	98.336	70.262	69.824
EGEOBHOM_00126	96.879	96.788	72.337	71.396	96.077	71.94	97.646	71.992	71.521	96.861	71.871	96.641	95.967	71.739	72.365
EGEOBHOM_00127	96.925	96.02	64.12	64.134	95.398	64.12	99.088	65.346	64.482	95.978	63.727	98.176	95.643	63.822	63.654
EGEOBHOM_00128		97.658			99.174		100.0			97.934		97.383	97.796		
EGEOBHOM_00129	98.639	97.959			100.0		100.0			97.959		99.32	100.0	73.913	
EGEOBHOM_00130	98.551	98.694	74.704	75.148	99.275	74.704	100.0	74.629	75.148	98.356	74.852	98.403	99.855	75.074	75.0
EGEOBHOM_00131	97.393	99.814	74.164	75.836	99.628	74.164	100.0	75.093	76.394	99.814	75.836	99.628	98.696	74.349	74.721
EGEOBHOM_00132	97.872	99.007	76.912	77.761	99.716	76.912	100.0	76.289	76.583	99.007	77.059	99.007	98.723	75.994	78.056
EGEOBHOM_00133	97.411	97.603	76.239	75.531	99.62	76.239	100.0	77.416	76.907	97.699	75.834	97.411	97.721	77.925	76.239
EGEOBHOM_00134					98.892		99.295						98.993		
EGEOBHOM_00135	97.917	97.5	74.454	73.581	99.792	74.672	100.0	72.707	74.454	97.5	74.017	97.917	99.375	73.144	74.672
EGEOBHOM_00136	99.163	99.048	81.994	81.879	98.442	82.008	99.625	81.3	81.741	98.905	82.068	98.528	98.529	81.645	81.964
EGEOBHOM_00137	100.0	95.639	90.239		90.637	90.135	100.0	90.031	92.739	95.639	90.135				90.447
EGEOBHOM_00138	100.0	99.206			100.0		96.032			99.206		99.206	100.0		
EGEOBHOM_00139	98.789	98.94	73.857	74.124	99.436	74.324	99.697	74.126	74.924	98.921	73.744	95.544	99.436	73.913	73.857
EGEOBHOM_00140	98.927	98.927			99.195		100.0			99.329		98.927	98.994		
EGEOBHOM_00141	99.185	99.253	77.154	76.929	99.593	76.854	100.0	77.378		99.117	76.704	98.778	99.253	77.228	77.528
EGEOBHOM_00142	98.201	98.201	72.673	72.59	99.337	72.673	100.0	72.864	72.5	99.053	72.673	98.864	98.674	72.563	72.864
EGEOBHOM_00143	98.891	99.155			98.574		100.0			99.313		98.362	98.362		
EGEOBHOM_00144	96.246	98.198	66.553	66.323	98.799	66.553	100.0	65.47	65.952	98.048	66.553	99.099	99.249	65.136	65.299
EGEOBHOM_00145	99.056	99.056	69.289	69.828	98.584	69.405	100.0	69.504	68.811	98.614	69.297	97.734	99.15	69.297	69.181
EGEOBHOM_00146	98.736	98.578			87.304		100.0			97.953		98.262	87.461		
EGEOBHOM_00147	97.74	97.627	71.096	70.376	97.74	70.93	100.0			98.644	70.93	97.851	97.966	70.248	68.955
EGEOBHOM_00148	100.0	100.0			98.268		100.0			98.701		99.134	98.268		
EGEOBHOM_00149	99.029	99.029			99.029		100.0			98.706		99.676	98.706		
EGEOBHOM_00150	100.0	100.0			99.679		100.0			99.679		99.038	99.359		
EGEOBHOM_00151	97.849	97.849	73.043	73.913	95.968	73.043	100.0	73.478	73.478	97.849	73.043	96.505	95.968	73.913	73.913
EGEOBHOM_00152	99.103	99.103	70.858	70.326	99.701	70.475	100.0	71.746	70.919	99.253	70.475	99.402	99.253	70.772	71.302
EGEOBHOM_00153	99.0	99.333			99.667		100.0			99.333		99.333	99.668		
EGEOBHOM_00154	98.333	98.333			97.708		100.0			98.333		98.333	98.75		
EGEOBHOM_00155	97.987	97.987	74.316	74.316	98.365	74.316	100.0	74.151	74.576	97.717	74.837	98.365	98.491	74.316	74.282
EGEOBHOM_00156	99.359	99.359	76.547	77.524	99.359	76.547	100.0	75.896	75.57	99.49	76.873	99.038	98.718	74.919	75.896
EGEOBHOM_00157	99.568	98.617	69.531	69.1	99.092	69.575	100.0	70.102	69.701	99.003	70.425	98.357	99.388	69.535	69.06
EGEOBHOM_00158	100.0				99.849		100.0					100.0			
EGEOBHOM_00159	99.792	99.583	77.285	77.285	98.542	77.023	100.0	76.819	75.077	99.375	77.285	99.375	99.792	75.521	77.023
EGEOBHOM_00160	99.722	99.444	77.67	77.023	99.16	77.67	100.0	77.67	77.994	99.722	77.67	99.444	99.722	77.67	78.477
EGEOBHOM_00161	98.295	98.217	64.585		98.45		100.0			98.217		98.295	97.907		
EGEOBHOM_00162	98.712	98.712	76.259	76.471	99.113	76.349	97.425	75.45	76.8	98.712	76.259	97.784	98.404	75.54	75.428
EGEOBHOM_00163	98.095	98.095	73.004	73.764	98.73	73.764	98.095	75.556	73.384	98.413	73.004	98.095	99.048	75.556	73.764
EGEOBHOM_00164	99.111	99.111	85.841	85.398	99.111	85.398	100.0	85.398	85.398	98.667	85.398	99.111	99.111	85.841	85.398
EGEOBHOM_00165	99.481	99.481			99.065		99.896			99.449		99.169	98.858		
EGEOBHOM_00166	99.099	99.099	74.163	73.034	98.874	74.215	100.0	72.967	73.077		74.94	100.0	99.55	72.727	72.36
EGEOBHOM_00167	100.0	100.0			94.966		99.327			95.638		99.663	95.638		
EGEOBHOM_00168	99.448	99.448	64.74	64.399	99.117	64.451	99.227			95.806	64.74	98.786	99.117		64.74
EGEOBHOM_00169	99.05	99.24	75.354	75.354	98.955	76.566	99.62	74.848	74.798	98.765	75.635	98.67	99.525	75.355	75.761
EGEOBHOM_00170	99.733	99.733			99.2		99.733			99.2		98.667	99.2		
EGEOBHOM_00171	99.839	99.034			98.873		99.678			98.712		98.712	99.517		
EGEOBHOM_00172	99.19	99.595	72.316	72.316	99.325	71.893	99.73	72.458	71.751	99.325	72.034	98.785	99.865	72.175	72.316
EGEOBHOM_00173	98.422	98.619	69.463	71.0	98.422	70.134	98.422	71.044	71.044	99.014	70.134	98.619	98.619	70.134	69.128
EGEOBHOM_00174	96.581	96.866			96.296		99.715			95.442		98.006	96.581		
EGEOBHOM_00175	97.319	97.552	65.487	65.708	97.436		99.068			97.552	65.909	97.552	97.552		65.487
EGEOBHOM_00176	96.454	96.099			99.054		100.0			97.163		95.981	96.572		
EGEOBHOM_00177	93.063	93.738			94.523		100.0			93.677		94.277	95.335		
EGEOBHOM_00178	99.855	99.275	75.68	75.831	98.986	75.68	100.0	75.831	75.0	99.275	75.68	98.261	99.42	76.389	76.133
EGEOBHOM_00179	98.077	97.65	70.833	71.354	97.863	70.801	100.0	70.573	69.792	98.077	71.094	98.718	98.077	70.573	71.615
EGEOBHOM_00180	96.491	96.579			96.15		96.667			96.535		97.149	96.228		
EGEOBHOM_00181	93.491	93.688			93.491		93.491			93.688		93.886	93.491		
EGEOBHOM_00182	98.246	80.347			80.347		80.347			80.347		80.347	80.347		
EGEOBHOM_00183	97.07	97.07			97.436		97.07			97.802		97.07	97.07		
EGEOBHOM_00184	98.016	98.016			98.413		98.016			98.413		98.413	98.413		
EGEOBHOM_00185	98.258	99.303			98.606		99.303			99.303		97.569	98.606		
EGEOBHOM_00186	97.212	97.212			96.705		96.958			96.958		97.212	96.705		
EGEOBHOM_00187	98.324	98.79			99.069		98.696			98.51		95.81	99.348		
EGEOBHOM_00188	99.34	99.34			99.01		100.0			100.0		96.7	100.0		
EGEOBHOM_00189	99.34	99.34			88.779		100.0			99.67		88.779	99.67		
EGEOBHOM_00190	99.66	99.66			97.959		100.0			100.0		93.537	100.0		
EGEOBHOM_00191	99.444	99.444			97.222		100.0			100.0			98.889		
EGEOBHOM_00192	99.727	100.0			85.908		100.0			99.727		89.344	86.721		
EGEOBHOM_00193	96.825	97.09			99.471		100.0			97.09		96.296	93.651		
EGEOBHOM_00194	97.403	97.403			99.134		100.0			97.403		95.238	97.835		
EGEOBHOM_00195	98.165	98.165			100.0		100.0		82.716	98.165		97.248	98.165		
EGEOBHOM_00196	98.742				96.226		100.0			91.824		98.742	96.226		
EGEOBHOM_00197	92.199	98.582			90.78		100.0			91.489		92.908	90.78		
EGEOBHOM_00198							100.0					99.399			
EGEOBHOM_00199	98.91	98.27			97.508		100.0			98.754		98.131	97.508		
EGEOBHOM_00200	95.602	99.091			93.287		100.0			96.97		91.874	93.287		
EGEOBHOM_00201	97.539	96.528			99.769		100.0			96.296		98.611	99.776		
EGEOBHOM_00202	95.333	96.333			98.0		100.0			95.333		96.333	98.0		
EGEOBHOM_00203					97.938		100.0					97.407	98.625		
EGEOBHOM_00204	92.901	92.593			92.958		100.0			93.519		93.519	96.914		
EGEOBHOM_00205	92.908	97.826			95.035		100.0			97.872		97.872	97.872		
EGEOBHOM_00206	97.279				96.246		100.0		74.913			96.587	95.563	78.049	
