gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
APLKDIED_00041			96.448	97.814		96.448			96.721		96.448			97.814	96.448
APLKDIED_00042	71.482	71.482	99.472	98.063	71.295	99.472	70.919	70.919	98.592	71.482	99.472	70.919	70.919	97.359	98.239
APLKDIED_00043			81.879	85.714		85.714					85.714				85.034
APLKDIED_00044															
APLKDIED_00045														99.136	
APLKDIED_00046	72.201	72.201	96.748	96.748	71.815	96.748	73.478	73.478	99.458	72.201	96.748	71.815	71.815	96.748	98.916
APLKDIED_00047			97.756	98.718		98.397			99.679		98.397			100.0	99.038
APLKDIED_00048			99.038	98.718		98.077			97.436		98.077			97.756	98.718
APLKDIED_00049			99.156	98.312		98.312			97.046		98.312			97.468	96.203
APLKDIED_00050			96.475	95.918		96.475			90.377		96.475			96.475	94.805
APLKDIED_00051	69.172	69.172	96.402	96.686	68.845	96.023	68.811	68.811	95.928		96.117	68.886	69.248	96.496	96.117
APLKDIED_00052	65.574	66.43	91.97	92.273	64.873	91.97	65.952	65.952	94.242	66.667	91.97	66.667	66.667	94.848	94.394
APLKDIED_00053			96.038	96.83		96.355			97.2		96.302			97.2	97.042
APLKDIED_00054	72.4	72.4	95.005	94.615	72.7	95.101	72.5	72.5	94.524	72.2	95.101	72.2	72.4	94.236	94.428
APLKDIED_00055															
APLKDIED_00056			98.236	98.114		99.209			99.148		98.114			99.088	98.236
APLKDIED_00057	69.724	69.496						71.681		69.174					
APLKDIED_00058			93.72	94.203		94.686			94.686		94.686			95.169	94.686
APLKDIED_00059	92.739	93.154	89.927		87.696	89.823	92.739	92.739	89.72	94.917	89.823				89.72
APLKDIED_00060	81.771	81.862	97.471	94.397	81.711	97.29	81.741	81.651	98.043	81.977	94.309	81.771	81.585	98.224	97.41
APLKDIED_00061	74.454	73.362	96.25	97.292	74.236	96.25	74.454	74.454	94.375	73.362	97.292	74.292	74.672	95.208	96.458
APLKDIED_00062														93.923	
APLKDIED_00063	77.445	77.246	92.814	92.216	76.907	92.814	76.907	76.907	95.509	77.345	92.016	76.946	77.439	96.008	92.914
APLKDIED_00064	76.289	77.32	91.631	92.624	76.73	91.631	76.583	76.583	92.057	77.32	91.489	76.73	77.32	93.475	92.482
APLKDIED_00065	76.994	76.58	96.462	98.883	76.58	96.462	76.394	76.394	97.765	76.58	97.579	76.766	77.138	96.276	97.207
APLKDIED_00066	74.704	74.815	96.345	95.906	74.852	96.345	75.148	75.148	96.053	74.507	96.053	75.296	75.0	98.392	96.345
APLKDIED_00067			95.349	93.798		95.349			96.124		93.798			96.124	94.574
APLKDIED_00068			75.134	73.497		75.134			91.498		75.49			73.262	
APLKDIED_00069	63.267	63.32	84.623	85.089	64.345	84.623	64.482	63.873	90.315	63.267	85.191	63.901	63.879	86.67	85.084
APLKDIED_00070			91.729	89.538		93.025			95.803		92.055			96.611	91.497
APLKDIED_00071	70.066	70.066	91.667	91.508	70.116	91.825	70.415	70.415	94.802	70.521	91.984	70.365	70.066	94.286	91.865
APLKDIED_00072	70.786	70.737	85.823	85.664	70.905	85.932	71.017	71.017	92.005		85.687	70.955	70.848	95.967	85.823
APLKDIED_00073	77.312	77.487	94.949	94.781	77.487	94.781	77.312	77.312	98.653	77.312	95.286	77.661	77.312	98.316	94.949
APLKDIED_00074	73.882	73.882	92.405	92.405	74.118	92.405	73.882	73.882	98.312	73.647	92.827	74.353	74.118	98.312	92.405
APLKDIED_00075															
APLKDIED_00076	86.792	84.906	94.787	94.55	85.377	95.024	87.062	87.062	95.261	87.332	94.55	84.67	85.377	95.035	95.024
APLKDIED_00077	81.356	81.297	96.784	97.661	81.297	97.544	87.888	87.888	98.596	81.297	97.251	81.531	81.297	99.006	96.725
APLKDIED_00078			97.917	98.333		97.917			98.333		98.333			97.917	97.917
APLKDIED_00079	74.558	74.676	98.936	99.054	74.144	99.054	74.616	74.676	100.0	74.558	99.173	74.676	74.262	100.0	98.936
APLKDIED_00080	73.175	73.651	97.917	97.756	73.333	97.917	73.016	73.651	98.718	74.51	97.756	73.333	73.333	98.718	98.237
APLKDIED_00081	71.716	72.242	98.511	98.282	71.834	98.167	71.716	72.242	98.969	71.479	98.396	71.953	71.834	98.396	98.282
APLKDIED_00082	76.0	75.333	98.105	98.328	75.444	98.105	75.667	75.333	98.328	76.0	98.328	76.0	75.778	98.551	97.993
APLKDIED_00083			98.413	98.016		98.413			99.206		98.413			99.603	99.206
APLKDIED_00084	81.858	82.01	98.312	98.383	81.785	98.805	81.2	82.01	99.015	82.672	98.101	82.156	81.858	99.297	98.945
APLKDIED_00085			90.737	90.737		90.526			96.624		90.737			94.937	90.947
APLKDIED_00086	75.751	76.395	98.733	98.859	76.18	98.986	76.18	76.395	97.338	76.395	98.859	76.18	75.966	97.465	98.733
APLKDIED_00087	79.508	78.711	98.654	98.526	78.783	98.526	79.508	78.639	98.397	78.639	98.462	79.508	78.783	98.397	98.59
APLKDIED_00088			97.672	97.778		97.354			97.672		97.884			97.354	97.778
APLKDIED_00089			87.559	87.48		87.323			97.951		87.48			98.03	87.638
APLKDIED_00090			98.319	98.039		97.759			97.479		98.039			97.479	97.759
APLKDIED_00091	67.594		99.034	99.155	66.799	99.034	67.197	67.396	98.671	67.793	99.034	68.409	67.197	98.551	99.034
APLKDIED_00092			97.409	97.644		97.527			97.762		97.644			97.762	97.409
APLKDIED_00093	73.832	73.832	97.248	98.165	73.832	98.777	73.832	73.52	100.0	73.832	97.859	72.897	73.832	99.083	96.636
APLKDIED_00094	80.303	80.442	95.988	96.605	80.909	97.84	80.909		96.914	80.923	96.296	80.606	80.757	98.457	96.061
APLKDIED_00095															
APLKDIED_00096	82.421	82.182	96.685	97.175	82.044	96.961			99.153		98.305	82.32	82.182	98.023	96.685
APLKDIED_00097															
APLKDIED_00098	77.114	77.612	97.222	97.222	75.655	96.825	77.509	77.509	97.222	77.114	97.222	75.646	75.281	97.222	97.222
APLKDIED_00099			98.601	99.068		98.601			98.834		99.068			99.068	98.834
APLKDIED_00100			95.714	97.619		97.143			95.238		97.619			95.238	95.238
APLKDIED_00101					74.627		74.627	74.627	100.0	74.627		74.627	74.627		
APLKDIED_00102	82.111	82.111	99.138	99.138	82.111	99.138	82.111	82.111	98.851	82.111	99.138	82.111	82.111	99.713	99.138
APLKDIED_00103			98.864	98.485		96.591			98.864		98.485			98.864	96.97
APLKDIED_00104															
APLKDIED_00105									87.838					87.838	
APLKDIED_00106			100.0	100.0		100.0			98.649		100.0			98.649	100.0
APLKDIED_00107														100.0	
APLKDIED_00108			98.684			98.684			98.684		98.684			98.684	98.684
APLKDIED_00109			94.805			96.104			94.805		96.104			96.053	96.104
APLKDIED_00110			93.151			93.151			91.781		93.151			97.26	93.151
APLKDIED_00111														98.095	
APLKDIED_00112			98.413			97.222			95.635		98.413			94.841	97.619
APLKDIED_00113															
APLKDIED_00114			97.268	97.268		97.814			97.814		97.814			98.361	97.268
APLKDIED_00115			100.0	100.0		100.0			100.0		100.0			100.0	100.0
APLKDIED_00116									98.431						97.255
APLKDIED_00117			97.521	97.521		96.97			98.103		97.796			96.694	95.935
APLKDIED_00118									98.182						95.758
APLKDIED_00119	78.302	77.934	99.111	98.667	78.302	98.667	78.302	78.302	99.556	77.934	98.222		77.934	100.0	98.667
APLKDIED_00120			97.727	98.485		98.485			90.85		96.97			98.701	98.485
APLKDIED_00121			97.835	97.835		96.97			99.134		97.835			98.268	97.835
APLKDIED_00122			98.039	98.039		98.693			97.712		98.039			97.059	98.366
APLKDIED_00123			96.682	96.833		96.531			98.933		96.833			96.833	96.983
APLKDIED_00124			83.81	83.81		84.286			83.333		83.81			83.81	83.81
APLKDIED_00125			79.705	78.148		78.519			79.336		79.336			79.336	79.705
APLKDIED_00126															
APLKDIED_00127			67.424	67.065		67.201			66.359		67.484			66.547	66.826
APLKDIED_00128			85.14	85.14		85.664			98.529		85.14			98.897	98.284
APLKDIED_00129			80.839	80.839		80.839			98.954		81.119			98.17	98.562
APLKDIED_00130			75.745	75.745		76.17			91.667		76.17			91.667	92.083
APLKDIED_00131									93.056					92.708	
APLKDIED_00132			74.786	73.504		74.786			99.359		73.932			98.718	73.718
APLKDIED_00133			90.267	90.267		90.533			96.133		90.133			96.4	90.0
APLKDIED_00134			85.079	88.73		83.81			95.556		88.73			95.873	90.317
APLKDIED_00135	71.747	70.188	88.153	88.153	70.877	88.153	70.258	70.692		70.375	88.153	70.692	70.258	95.625	81.727
APLKDIED_00136			97.959	97.959		97.959			91.497		97.619			99.32	89.116
APLKDIED_00137			97.073	97.073		97.073			96.26		97.236			97.561	92.52
APLKDIED_00138		89.86	97.436	97.786		97.552		89.977	99.068	89.977	98.065		89.86	98.718	97.902
APLKDIED_00139		85.714	97.059	97.059		97.059		84.762	100.0	85.714	97.059		85.714	96.078	98.039
APLKDIED_00140		86.352	96.0	93.827		94.568		86.877		87.402	93.333		86.877		94.568
APLKDIED_00141			99.174	99.174		99.174					97.521				99.174
APLKDIED_00142			89.26	89.26		89.26					90.977				89.499
APLKDIED_00143			93.44	93.972		94.681			94.326		93.794			93.085	94.149
APLKDIED_00144			90.667	94.667		95.111					96.889			91.556	96.0
APLKDIED_00145		67.918	95.442	95.442		98.006			96.296		97.151			95.157	96.296
APLKDIED_00146			97.552	97.74		96.987			98.87		96.987			96.61	
APLKDIED_00147			94.792	95.313		95.313			95.486		95.313			99.826	95.486
APLKDIED_00148	64.386		95.402	95.402		93.596			94.745		93.432	64.516		100.0	94.581
APLKDIED_00149			96.512	96.512		95.736			98.45		96.899			100.0	96.124
APLKDIED_00150			89.623	90.027		90.566			98.516		90.148			99.73	90.027
APLKDIED_00151			94.393	94.081		99.377			98.442		94.081			98.754	93.146
APLKDIED_00152			96.142	95.679		96.065			97.762		95.756			96.759	95.448
APLKDIED_00153			96.212	96.212		95.833			98.106		96.591			96.212	95.833
APLKDIED_00154			84.422	84.422		83.92			92.481		85.176			92.732	83.92
APLKDIED_00155			77.083	77.083		77.829			99.329		76.852			98.21	78.06
APLKDIED_00156			88.215	88.552		88.215			83.219		88.552			84.589	87.879
APLKDIED_00157			90.0	86.087		91.304			83.478		91.628			86.522	89.13
APLKDIED_00158			90.217	89.007		89.007			96.894		89.007			97.93	90.625
APLKDIED_00159			88.015	87.266		87.64			86.517		87.64			99.625	87.266
APLKDIED_00160			89.374	89.492		89.492			93.918		89.256			98.596	88.902
APLKDIED_00161											91.579			99.475	
APLKDIED_00162			89.712	89.712		89.712					90.123			99.177	89.3
APLKDIED_00163		71.72	90.761	90.625		90.736				72.222	86.939			99.206	90.736
APLKDIED_00164									93.632					99.142	
APLKDIED_00165			92.063	93.122		98.942			97.884		99.471			98.942	98.942
APLKDIED_00166			96.948	96.948		97.349			96.466		97.269			96.386	97.51
APLKDIED_00167			95.205	94.749		96.575					97.032				96.804
APLKDIED_00168			87.903	87.903		83.155					87.228				83.155
APLKDIED_00169									94.799					94.799	
APLKDIED_00170			86.061	86.061		89.697			92.121		87.273			91.515	89.697
APLKDIED_00171			86.364	86.364		87.435			86.387		87.879			86.911	87.435
APLKDIED_00172						93.256			93.822					94.402	93.256
APLKDIED_00173			90.351	91.667		89.912			91.667		90.351			92.544	89.035
APLKDIED_00174			84.444	84.889					95.413		84.889			96.0	
APLKDIED_00175						93.897									93.897
APLKDIED_00176									98.783					97.567	
APLKDIED_00177									97.436					97.07	
APLKDIED_00178															
APLKDIED_00179	88.889	88.889				85.417			92.361	92.361				94.444	
APLKDIED_00180	88.722		91.76			92.105			90.262	87.594		84.586	83.083		91.729
APLKDIED_00181			93.836	93.151		92.517					94.558				93.197
APLKDIED_00182															
APLKDIED_00183												72.892	75.904		
APLKDIED_00184														92.611	
APLKDIED_00185															
APLKDIED_00186			91.787	92.512		92.271			94.444		92.995			93.961	92.512
APLKDIED_00187			88.889						96.057					91.039	88.889
APLKDIED_00188			91.123	92.167		91.927			94.872					90.885	92.689
APLKDIED_00189			89.08	90.805		90.23								92.529	90.805
APLKDIED_00190			83.191	84.046		86.508								92.857	86.508
APLKDIED_00191						88.976								90.551	88.976
APLKDIED_00192			83.613	84.034	77.027					77.027				90.717	82.773
APLKDIED_00193	74.216				75.694		74.913	74.913				75.347	74.653	87.973	
APLKDIED_00194			88.36	91.005		91.534			92.593					92.593	92.063
APLKDIED_00195			92.424			92.424			92.248					95.122	91.667
APLKDIED_00196			90.612	90.204		87.319			95.652						88.571
APLKDIED_00197			86.057	83.772		89.556			90.222		84.649			90.889	84.43
APLKDIED_00198									95.297		97.342			96.524	
APLKDIED_00199			86.239	85.321		86.239			98.165					98.777	85.627
