gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
JEFDOCMN_00048		85.714	97.059	97.059		97.059		84.762	100.0	85.714	97.059		85.714	96.078	98.039
JEFDOCMN_00049		89.161	98.135	98.485		98.252		89.277	99.068	89.277	98.531		89.161	97.786	98.601
JEFDOCMN_00050			95.772	95.772		94.309			96.26		94.472			98.049	92.033
JEFDOCMN_00051			90.816	90.816		90.816			91.497		90.476			91.837	89.456
JEFDOCMN_00052	73.392	71.397	89.52	89.52	71.397	89.52	70.379	71.175	87.773	71.239	89.52	71.619	70.796	90.393	83.188
JEFDOCMN_00053			85.15	88.571		83.728			95.556		88.571			99.048	89.524
JEFDOCMN_00054			91.867	91.867		92.133			96.133		91.733			99.467	90.933
JEFDOCMN_00055			75.214	73.932		74.786			99.359		74.359			99.359	74.145
JEFDOCMN_00056			94.722	94.583		94.406					94.444			99.593	95.139
JEFDOCMN_00057									93.056					98.898	
JEFDOCMN_00058			96.878	97.056		95.629					96.432			98.759	95.807
JEFDOCMN_00059			93.768	94.051		94.051					95.184			99.449	94.051
JEFDOCMN_00060			83.83	83.83		83.404			91.667		82.128			100.0	98.333
JEFDOCMN_00061			80.979	80.979		80.979			98.954		81.259			98.693	98.824
JEFDOCMN_00062			86.189	86.189		86.364			98.529		86.189			99.632	98.775
JEFDOCMN_00063						99.099									
JEFDOCMN_00064			95.052	95.052		95.625			66.359		95.26			96.302	96.354
JEFDOCMN_00065			89.048	89.048		89.048			83.333		89.048			89.048	89.048
JEFDOCMN_00066			96.189	96.341		96.037			98.933		96.341			96.799	96.494
JEFDOCMN_00067			97.059	97.712		98.366			97.712		97.059			99.346	98.039
JEFDOCMN_00068			98.701	98.701		97.835			99.134		98.701			99.134	98.701
JEFDOCMN_00069			82.418	82.288		82.353					82.03			96.549	82.353
JEFDOCMN_00070	78.774	78.404	99.556	99.111	78.774	98.222	78.774	78.774	99.556	78.404	97.778		78.404	99.556	98.222
JEFDOCMN_00071			90.411	95.89		89.041								88.732	90.411
JEFDOCMN_00072			95.89	95.89		95.89					95.89			98.63	97.26
JEFDOCMN_00073			100.0	100.0							100.0			97.26	100.0
JEFDOCMN_00074			98.667	98.667		97.333					98.667			100.0	98.667
JEFDOCMN_00075									98.182						95.152
JEFDOCMN_00076			96.143	96.143		95.592			98.103		96.419			95.317	97.29
JEFDOCMN_00077			100.0	100.0		100.0			78.846		100.0			83.516	83.516
JEFDOCMN_00078									98.431						98.824
JEFDOCMN_00079			100.0	100.0		100.0			100.0		100.0			100.0	100.0
JEFDOCMN_00080			98.361	98.361		98.907			97.814		98.907			99.454	97.268
JEFDOCMN_00082						96.053					96.053				
JEFDOCMN_00083			96.512			96.512					96.512				
JEFDOCMN_00084			98.592			98.592					98.592			98.592	98.592
JEFDOCMN_00085			93.651			93.651					94.444			100.0	93.651
JEFDOCMN_00086			96.429			95.238			95.635		96.429			98.413	95.635
JEFDOCMN_00087			100.0			100.0					100.0			100.0	100.0
JEFDOCMN_00088			98.611			98.611					98.611			97.222	98.611
JEFDOCMN_00089			98.63			98.63			91.781		98.63			94.521	98.63
JEFDOCMN_00090			97.403			98.701			94.805		98.701			98.684	98.701
JEFDOCMN_00091			100.0			100.0			98.684		100.0			100.0	100.0
JEFDOCMN_00092	95.833		100.0		95.833	100.0	95.833	95.833			100.0				100.0
JEFDOCMN_00093	91.392	91.751	97.894		91.026	97.894	91.392	91.392		91.751	97.802		91.384		97.818
JEFDOCMN_00094			100.0			100.0					93.243			91.892	100.0
JEFDOCMN_00095			95.89	92.537		95.89					95.89			95.89	95.89
JEFDOCMN_00096			98.649	98.649		98.649			98.649		98.649			100.0	98.649
JEFDOCMN_00097			89.189	89.189		89.189					100.0			100.0	87.838
JEFDOCMN_00098			100.0	100.0		100.0					100.0			100.0	100.0
JEFDOCMN_00099			100.0	100.0		100.0					100.0			100.0	100.0
JEFDOCMN_00100			97.826	97.826		97.826					97.826			96.703	97.826
JEFDOCMN_00101									87.838					100.0	
JEFDOCMN_00102			100.0	100.0		100.0					100.0			100.0	100.0
JEFDOCMN_00103			98.485	98.106		96.97			98.864		98.106			99.242	97.348
JEFDOCMN_00104	82.698	82.698	99.138	99.138	82.698	99.138	82.698	82.698	98.851	82.698	99.138	82.698	82.698	99.138	99.138
JEFDOCMN_00105					74.627		74.627	74.627	100.0	74.627		74.627	74.627		
JEFDOCMN_00106			99.524	96.667		98.095			95.238		96.667			99.048	99.048
JEFDOCMN_00107			98.368	98.368		97.902			98.834		98.368			98.834	98.601
JEFDOCMN_00108			96.95	97.603	78.903	98.148				76.584	97.603	78.24	76.343	98.802	97.254
JEFDOCMN_00109			97.045	97.045		96.69			97.762		97.281			100.0	97.045
JEFDOCMN_00110	67.46		98.671	99.034		98.913		67.659	98.671		98.913	67.929		99.879	98.671
JEFDOCMN_00111			99.16	98.88		98.599			97.479		98.88			100.0	98.599
JEFDOCMN_00112			88.504	88.425		88.268			97.951		88.425			99.685	88.583
JEFDOCMN_00113			98.307	98.201		98.624			97.672		98.307			99.471	98.413
JEFDOCMN_00114	79.508	79.001	98.077	97.821	78.928	97.821	79.363	78.928	98.397	78.928	97.885	79.218	78.928	99.103	98.013
JEFDOCMN_00115	75.536	75.966	97.212	97.338	75.966	97.212	75.966	75.966	97.338	75.966	97.338	75.966	75.751	99.873	97.212
JEFDOCMN_00116			88.889	88.889		89.099			96.624		88.889			97.257	89.099
JEFDOCMN_00117	81.56	81.745	97.75	97.82	81.487	98.383	80.904	81.745	99.015	82.5	97.75	81.964	81.56	99.015	98.523
JEFDOCMN_00118			99.206	98.81		99.206			99.206		99.206			99.603	99.603
JEFDOCMN_00119	75.889	74.889	97.77	98.439	75.778	97.77	76.0	74.889	98.328	75.889	98.439	75.889	76.111	98.885	97.659
JEFDOCMN_00120	72.189	72.479	98.855	98.396	72.071	98.511	71.953	72.479	98.969	71.953	98.511	72.189	72.071	98.74	98.625
JEFDOCMN_00121	73.492	73.651	98.878	98.718	73.651	98.878	73.333	73.651	98.718	74.79	98.718	73.651	73.651	99.359	99.199
JEFDOCMN_00122	74.558	74.676	98.936	99.054	74.144	99.054	74.616	74.676	100.0	74.558	99.173	74.676	74.262	100.0	98.936
JEFDOCMN_00123			99.583	100.0		99.583			98.333		100.0			99.583	99.583
JEFDOCMN_00124	81.685	81.627	97.31	97.953	81.627	97.953	87.595	87.595	98.596	81.744	97.661	82.036	81.627	99.123	97.251
JEFDOCMN_00125	87.805	85.816	98.109	97.872	85.816	98.345	86.992	86.992	95.261	87.263	97.872	85.106	85.816	97.63	98.345
JEFDOCMN_00126	74.118	74.118	91.139	91.139	74.353	91.139	74.118	74.118	98.312	73.882	91.561	75.059	74.353	100.0	91.139
JEFDOCMN_00127	77.663	77.835	94.276	94.108	77.835	94.108	77.663	77.663	98.653	77.663	94.613	78.007	77.663	97.98	94.276
JEFDOCMN_00128	69.187	69.351	89.022	88.762	69.349	89.132	69.444	69.444	92.005	69.163	88.859	69.328	69.451	96.987	89.022
JEFDOCMN_00129	69.945	69.945	91.151	90.595	69.794	90.913	70.176	70.176	94.802	70.665	90.913	70.277	69.844	97.103	91.508
JEFDOCMN_00130			92.349	89.889		93.293			95.803		92.344			97.01	91.992
JEFDOCMN_00131	64.992	64.17	83.114	84.325	65.431	83.114	65.346	64.79	90.315	64.915	84.388	65.08	64.831	90.6	86.056
JEFDOCMN_00132			81.439	79.688		81.439			91.498		79.297			78.788	
JEFDOCMN_00133			91.473	89.922		91.473			96.124		90.152			100.0	90.698
JEFDOCMN_00134	74.184	74.481	94.152	93.86	74.629	94.152	74.629	74.629	96.053	74.164	94.152	74.777	74.481	96.491	94.152
JEFDOCMN_00135	76.067	75.279	97.393	98.138	75.279	97.393	75.093	75.093	97.765	75.279	97.579	75.465	75.836	98.138	97.393
JEFDOCMN_00136	76.289	76.73	87.943	88.369	76.436	87.943	76.289	76.289	92.057	76.73	87.801	76.436	76.436	98.156	87.943
JEFDOCMN_00137	78.144	77.944	89.621	89.022	77.416	89.621	77.416	77.416	95.509	78.044	88.922	77.944	78.15	98.303	89.721
JEFDOCMN_00138															
JEFDOCMN_00139															
JEFDOCMN_00140															
JEFDOCMN_00141	72.707	71.616	95.833	92.708	72.489	95.417	72.707	72.707	94.375	71.616	93.125	72.549	72.926	96.875	95.625
JEFDOCMN_00142	81.3	81.329	97.32	93.601	81.3	96.959	81.3	81.241	98.043	82.009	93.496	81.313	81.211	97.367	97.23
JEFDOCMN_00143	90.031	88.162	99.377		81.014	99.896	90.031	90.031	89.72	86.293	99.273				98.754
JEFDOCMN_00144			97.101	97.585		100.0			94.686		98.068			99.517	98.068
JEFDOCMN_00145	75.076	74.544	97.86	95.777	74.055	99.155	74.126	74.696	96.979	74.378	98.029	74.197	74.183	99.775	97.86
JEFDOCMN_00146			98.175	98.175		98.723			99.148		98.054			99.818	98.175
JEFDOCMN_00147	77.154	77.228	97.692	96.809	77.303	96.945	77.378	77.378	96.366	77.228	95.384	76.929	77.228	99.185	98.642
JEFDOCMN_00148	73.166	73.166	95.101	95.865	72.965	95.197	72.864	72.864	94.524	72.663	95.197	72.462	72.965	99.328	99.135
JEFDOCMN_00149			97.253	96.778		97.57			97.2		97.517			99.894	99.208
JEFDOCMN_00150	66.44	65.306	96.667	96.818	66.154	96.818	65.47	65.47	94.242	65.476	96.818	66.154	65.983	97.576	99.848
JEFDOCMN_00151	69.72	69.72	97.254	97.727	69.397	96.875	69.504	69.504	95.928		96.97	69.579	69.828	98.201	98.674
JEFDOCMN_00152			91.551	92.012		91.859			90.377		91.859			92.473	93.425
JEFDOCMN_00153	76.712	76.712	97.175	96.532	78.082	96.61	76.712	76.712	97.945	76.712	96.61	78.767	77.397	95.48	95.48
JEFDOCMN_00154			97.046	97.046		97.046			97.046		97.046			97.89	99.156
JEFDOCMN_00155			96.474	96.795		96.795			97.436		96.795			99.679	98.077
JEFDOCMN_00156			97.436	98.397		98.077			99.679		98.077			99.679	98.718
JEFDOCMN_00157	72.201	72.201	96.748	96.748	71.815	96.748	73.478	73.478	99.458	72.201	96.748	71.815	71.815	96.748	98.374
JEFDOCMN_00158			97.222	97.685		96.914					96.914				98.92
JEFDOCMN_00159	71.893	71.893	98.673	96.618	72.041	97.5	71.746	71.746	98.592	71.893	97.5	71.746	71.746	97.05	97.941
JEFDOCMN_00160			97.268	96.448		97.268			96.721		97.268			98.361	99.18
JEFDOCMN_00161			98.551	99.524		99.048			98.571		99.048			100.0	100.0
JEFDOCMN_00162			97.636	97.872		97.636			95.508		97.872			94.09	95.981
JEFDOCMN_00163	74.576	74.576	97.862	98.239	74.446	97.862	74.151	74.151	98.365	75.0	97.736	74.543	74.446	97.736	98.868
JEFDOCMN_00164	76.221	76.221	98.718	98.397	75.57	98.718	75.896	75.896	98.718	75.258	98.397	75.896	76.221	99.038	98.714
JEFDOCMN_00165	67.166	67.082	97.067	97.73	66.584	97.067	66.916	66.916	99.203	66.916	97.61	66.417	66.667	98.531	98.798
JEFDOCMN_00166									99.371		98.952				
JEFDOCMN_00167	70.237	70.444	97.415	96.814	70.373	97.091	70.102	70.102	98.769	70.028	97.184	70.237	72.12	95.891	98.615
JEFDOCMN_00168	77.994	78.317	99.138	99.138	77.994	99.138	77.67	77.67	99.425	77.994	99.138	78.317	77.994	98.851	98.851
JEFDOCMN_00169	64.078	63.981	95.175	94.912	63.76	95.526	65.829	65.829	97.544	64.12	95.351	65.458	63.795	98.333	95.526
JEFDOCMN_00170	74.671	74.671	97.163	97.34	75.45	97.429	75.45	74.378	97.425	75.11	97.163	75.45	75.158	98.316	97.961
JEFDOCMN_00171	76.0	76.0	96.364	96.667	76.0	95.152	75.556	75.556	95.455	76.444	96.364	76.0	76.0	100.0	95.455
JEFDOCMN_00172	84.956	84.956	99.283	99.642	84.956	99.283	85.398	85.398	99.642	84.956	99.283	84.956	84.956	99.642	99.283
JEFDOCMN_00173			93.15	92.481		92.648			95.739		93.317			98.472	93.15
JEFDOCMN_00174	72.727	72.727	91.61	94.558	72.967	92.29	72.967	72.967	95.238		92.744	72.967	72.488	97.506	91.61
JEFDOCMN_00175						94.815								97.244	
JEFDOCMN_00176									97.368					100.0	
JEFDOCMN_00177			81.481	82.593		82.222			98.519		82.222			100.0	82.222
JEFDOCMN_00178			87.54	87.433		87.54			97.018		87.859			99.361	87.753
JEFDOCMN_00179	74.442	74.645	94.976	94.976	74.544	94.577	74.848	74.949	96.651	75.152	94.737	74.645	74.746	98.485	96.252
JEFDOCMN_00180			97.832	97.832		97.019			98.374		97.019			99.458	97.29
JEFDOCMN_00181			97.364	97.054		96.279			97.829		95.814			97.364	95.504
JEFDOCMN_00182	72.316	72.599	97.571	97.571	72.74	98.246	72.458	72.74	98.65	72.74	97.841	72.175	72.316	97.436	97.841
JEFDOCMN_00183	71.044	71.044	94.246	94.246	70.569	94.841	71.044	70.37	99.802	71.044	94.643	70.707	71.044	97.421	94.246
JEFDOCMN_00184			84.89	84.775		84.89			98.962		84.775			98.501	84.429
JEFDOCMN_00185			75.632	75.271		75.404			97.45		75.315			98.355	75.224
JEFDOCMN_00186			93.286	93.168		92.815			93.64		94.464			96.113	93.051
JEFDOCMN_00187			93.113	93.113		91.778					93.142			99.248	93.634
JEFDOCMN_00188	75.68	76.586	97.845	98.132	76.284	98.132	75.831	75.831	97.845	76.435	97.989	75.68	75.831	99.425	98.563
JEFDOCMN_00189	70.313	70.573	95.699	97.849	70.052	94.839	70.573	70.573	97.634	70.052	94.624	70.052	70.052	99.57	94.624
JEFDOCMN_00190									96.733					95.745	
JEFDOCMN_00191														96.476	
JEFDOCMN_00192														99.123	
JEFDOCMN_00193			87.857	87.5		91.429			96.667		90.357			96.667	90.714
JEFDOCMN_00194			87.044	87.019		86.183			94.815		86.757			87.307	86.429
JEFDOCMN_00195			89.127	89.483		88.592			99.287		89.305			87.344	88.77
JEFDOCMN_00196			87.764	94.093		92.827			96.624		92.827			84.388	94.515
JEFDOCMN_00197			97.189	97.59		97.59			92.369		97.992			97.59	97.189
JEFDOCMN_00198			100.0	100.0		100.0			98.276		100.0			100.0	100.0
JEFDOCMN_00199			86.544	85.627		86.85			98.165					98.777	85.933
JEFDOCMN_00200									95.297		97.546			97.955	
JEFDOCMN_00201			91.228	89.035		95.778			90.222		90.351			97.556	89.693
JEFDOCMN_00202			86.531	86.122		85.145			95.652						86.122
JEFDOCMN_00203			93.939			93.939			92.248					92.562	93.182
JEFDOCMN_00204			93.122	94.709		95.238			92.593					94.709	95.767
