gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	TEX	V12_RAST
OOCDCBIJ_00065	98.542	98.75			98.542		98.958	98.958			98.958		99.167		
OOCDCBIJ_00066	96.175	98.907			98.907		96.721	96.721			96.721		98.907		
OOCDCBIJ_00067	97.222	99.673			99.837		95.425	95.425			93.791		95.425		
OOCDCBIJ_00068	78.704	79.63			100.0	67.577	79.012	79.012	69.123		78.704	69.038	78.704	68.942	67.308
OOCDCBIJ_00069	94.872	84.404			100.0		97.436	97.436			96.581		94.017		
OOCDCBIJ_00070	100.0				100.0		92.958	92.958			92.958				
OOCDCBIJ_00071	99.517	79.137			100.0		81.446	81.446			81.205		81.205		
OOCDCBIJ_00072	97.917				100.0		98.698	98.698			98.413		97.884		
OOCDCBIJ_00073		95.935			99.858						95.522				
OOCDCBIJ_00074	98.907				100.0		97.268	97.268					97.268		
OOCDCBIJ_00075	95.977	94.828			99.425						94.253		95.977		
OOCDCBIJ_00076	98.551	99.13			97.681		97.971	97.391					97.681		
OOCDCBIJ_00077	96.471	98.824			99.216		95.686	96.471			97.255		96.471		
OOCDCBIJ_00078	99.216	99.608			98.824		97.255	99.216			96.863		99.216		
OOCDCBIJ_00079	95.238	95.238			95.536		99.107	94.643			95.536		94.643		
OOCDCBIJ_00080	97.717	100.0			95.434		97.333	97.945			95.662		95.662		
OOCDCBIJ_00081	89.394	87.879			89.394		87.879	89.827			88.312		90.043		
OOCDCBIJ_00082		81.176							68.182						
OOCDCBIJ_00083	91.589	93.204			92.523		91.589	89.72			88.785		90.654		
OOCDCBIJ_00084	96.759	96.991			99.769		93.287	91.204			97.454		99.306		
OOCDCBIJ_00085	97.835	90.789			99.567		94.595	97.835			95.175		98.684		
OOCDCBIJ_00086	95.833	95.602			100.0		98.611	99.306			95.833		98.38		
OOCDCBIJ_00087	81.699	78.431			99.346		98.693	99.346			82.353		98.693		
OOCDCBIJ_00088	95.675	98.101	68.639	68.639	97.89	68.639	96.519	98.207		70.258	99.262	68.639	98.101	70.643	69.822
OOCDCBIJ_00089		99.483	87.402	87.139		87.927		99.483		86.877	99.483	86.614			87.402
OOCDCBIJ_00090		100.0	85.714	85.714		88.571		99.333	85.714	85.714	100.0	85.714		87.619	87.619
OOCDCBIJ_00091		100.0	89.635	89.753		89.753		99.534	89.161	89.86	99.301	89.976		89.51	89.87
OOCDCBIJ_00092	99.085	99.39			99.593		98.577	98.462			99.085				
OOCDCBIJ_00093	95.87	95.958			97.963		97.503	95.782			96.223				
OOCDCBIJ_00094	99.588	99.588			100.0		99.588	99.588			99.177				
OOCDCBIJ_00095	99.034	99.517			99.034		99.034	99.034			100.0				
OOCDCBIJ_00096	99.346	99.673			99.346		99.346	99.346			99.673				
OOCDCBIJ_00097	99.134	99.134			99.134		99.134	99.134			99.134				
OOCDCBIJ_00098	99.111	100.0	78.873	78.404	99.111	77.934	99.111	99.111	78.404	77.934	100.0	77.465		77.934	77.934
OOCDCBIJ_00099	97.984	98.443	92.026		98.075	92.026	97.984	97.984	91.384		98.443	91.934			92.683
OOCDCBIJ_00100	100.0	100.0			100.0		100.0	100.0			100.0				
OOCDCBIJ_00101		100.0									100.0				
OOCDCBIJ_00102	97.647	100.0			98.824		97.647	97.647			100.0				
OOCDCBIJ_00103	97.368	98.684			97.368		97.368	97.368			97.368				
OOCDCBIJ_00104	100.0	100.0			100.0		100.0	100.0			100.0				
OOCDCBIJ_00105	98.684	100.0			100.0		98.684	98.684			100.0				
OOCDCBIJ_00106	99.41	98.23			98.23		99.41	99.41			98.525		99.115		
OOCDCBIJ_00107	100.0	100.0	82.405	82.405	100.0	82.405	100.0	100.0	82.698	82.111	100.0	82.405	100.0	82.405	82.405
OOCDCBIJ_00108					100.0		99.234	99.234	74.627	74.627	99.234		99.617		
OOCDCBIJ_00109	98.519	100.0			100.0		99.259	99.259			100.0		100.0		
OOCDCBIJ_00110	99.301	99.534			99.301		98.601	98.601			100.0		99.301		
OOCDCBIJ_00111	98.5	98.0	78.063	78.063	97.714	78.063	99.624	99.624	77.493	75.281	98.0	77.778	97.143	77.493	78.063
OOCDCBIJ_00112		99.275	76.35	76.23		76.539			76.343		97.917	76.503		76.411	
OOCDCBIJ_00113	98.986	98.226			98.352		98.859	96.705					96.831		
OOCDCBIJ_00114	98.047	99.721	67.197	67.396	99.024	66.998	99.303	98.187		67.197	99.442	67.396	97.071		67.197
OOCDCBIJ_00115	96.232	99.71			100.0		97.681	97.101			99.13		98.261		
OOCDCBIJ_00116	93.333	99.425	88.803	88.803	99.885	88.417	93.793	94.253	83.673	81.076	99.397	88.803	98.966	83.117	88.803
OOCDCBIJ_00117	98.261	99.13			99.71		97.971	99.42			100.0		98.261		
OOCDCBIJ_00118	95.802	99.185	78.349	78.478	100.0	78.494	95.041	98.682	78.928	78.783	99.06	78.551	95.614	78.856	78.349
OOCDCBIJ_00119	99.363	99.151	75.322	75.322	99.575	75.322	98.938	99.151	75.751	75.966	99.151	75.322	99.788	75.751	75.322
OOCDCBIJ_00120	100.0	98.495			100.0		94.617	96.624			98.495		99.355		
OOCDCBIJ_00121	99.857	99.211	82.224	82.151	99.928	81.931	98.351	99.211	81.56	81.858	99.318	82.078	99.14	81.738	82.078
OOCDCBIJ_00122	98.864	99.242			98.864		100.0	99.242			92.045		99.242		
OOCDCBIJ_00123	98.556	96.889	76.671	76.671	99.222	75.889	99.444	96.889	76.111	75.778	99.333	76.671	98.556	76.905	76.671
OOCDCBIJ_00124	98.966	98.276	72.373	72.189	99.885	71.953	99.195	98.276	72.071	71.834	99.31	72.189	98.736	72.308	71.953
OOCDCBIJ_00125	99.679	98.558	72.857	72.857	100.0	72.857	99.519	98.558	73.651	73.333	98.575	72.857	98.718	73.492	73.333
OOCDCBIJ_00126	99.645	99.527	73.79	74.262	99.882	73.79	99.527	99.409	74.262	74.262	99.645	74.144	98.7	74.262	73.79
OOCDCBIJ_00127	99.649	99.474	81.568	81.568	100.0	81.51	91.754	91.754	81.627	81.297	99.883	81.217	98.947	81.707	81.51
OOCDCBIJ_00128	99.213	99.054	86.761	85.579	100.0	86.525	99.475	99.475	85.816	85.377	99.213	86.998	98.345	87.204	86.525
OOCDCBIJ_00129					100.0										
OOCDCBIJ_00130	98.945	99.789	73.176	73.176	100.0	73.176	98.523	98.523	74.353	74.118	99.367	73.647	99.156	74.353	73.176
OOCDCBIJ_00131	99.653	99.826	78.007	77.281	99.826	77.281	98.958	98.958	77.663	77.312	98.958	78.007	99.306	77.835	78.007
OOCDCBIJ_00132	96.773	97.293	69.866	69.885	99.287	69.866	96.883	96.883	69.451	70.848	97.156	69.975	96.937	69.838	69.866
OOCDCBIJ_00133	99.215	99.184	70.054	69.324	99.498	70.288	98.336	98.336	69.844	70.066	99.211	70.125	98.023	69.965	70.054
OOCDCBIJ_00134	97.645	97.572	72.393	71.412	98.886	71.968	95.967	97.809	72.133	71.606	97.663	71.956	95.639	71.823	72.422
OOCDCBIJ_00135	92.893	95.232	63.82	63.44	95.273	63.82	95.643	94.986	64.831	63.879	95.643	63.53	94.657	64.376	63.452
OOCDCBIJ_00136		96.694			98.072		97.796	97.796			97.383		97.658		
OOCDCBIJ_00137	98.639	97.959			100.0		100.0	100.0			97.959		99.32	73.913	
OOCDCBIJ_00138	98.406	98.549	74.556	75.0	99.13	74.556	99.855	99.855	74.481	75.0	98.206	74.704	98.258	74.926	74.852
OOCDCBIJ_00139	98.696	98.51	74.907	76.58	98.324	74.907	98.696	98.696	75.836	77.138	98.51	76.208	98.324	75.093	75.465
OOCDCBIJ_00140	97.73	98.298	76.765	77.614	98.44	76.765	98.723	98.723	76.436	77.32	98.298	76.912	98.582	76.73	77.614
OOCDCBIJ_00141	99.329	98.945	76.423	76.118	97.721	76.423	97.721	97.721	78.15	77.439	99.041	76.524	98.945	78.455	76.423
OOCDCBIJ_00142					99.698		98.993	99.698							
OOCDCBIJ_00143	98.542	97.708	74.672	73.799	99.583	74.891	99.375	99.375	72.926	74.672	97.708	74.236	98.125	73.362	74.891
OOCDCBIJ_00144	98.5	98.615	81.837	81.903	98.874	81.791	98.529	98.615	81.211	81.585	98.811	81.881	98.586	81.73	81.837
OOCDCBIJ_00145	100.0	99.206			100.0		100.0	96.032			99.206		99.206		
OOCDCBIJ_00146	99.167	99.167	73.913	74.294	99.323	74.381	99.436	99.016	74.183	75.0	99.253	73.8	95.77	73.97	73.913
OOCDCBIJ_00147	99.262	99.262			99.396		98.994	98.994			99.396		99.262		
OOCDCBIJ_00148	99.525	99.457	77.004	76.779	99.525	76.704	99.253	99.253	77.228		99.457	76.554	99.253	77.079	77.378
OOCDCBIJ_00149	98.106	98.106	72.573	72.49	98.201	72.573	98.674	98.674	72.965	72.4	98.106	72.573	98.011	72.663	72.764
OOCDCBIJ_00150	98.943	98.679			98.838		98.362	98.362			98.521		98.838		
OOCDCBIJ_00151	96.997	98.949	66.893	66.667	99.55	66.893	99.249	99.249	65.983	66.667	98.799	66.893	99.249	66.743	65.641
OOCDCBIJ_00152	99.528	99.528	69.72	70.259	99.056	69.838	99.15	99.15	69.828	69.248	98.614	69.73	97.639	69.622	69.504
OOCDCBIJ_00153	86.834	86.991			98.894		87.461	87.461			85.938		86.52		
OOCDCBIJ_00154	98.87	98.757	70.93	70.533	97.74	70.764	97.966	97.966			99.096	70.764	99.661	70.083	69.111
OOCDCBIJ_00155	98.268	98.268			99.134		98.268	98.268			99.567		98.268		
OOCDCBIJ_00156	98.382	98.382			99.676		98.706	98.706			99.353		99.029		
OOCDCBIJ_00157	99.359	99.359			99.679		99.359	99.359			99.679		98.397		
OOCDCBIJ_00158	98.118	98.118	71.429	72.201	100.0	71.429	95.968	95.968	71.815	71.815	98.118	71.429	99.462	72.201	72.201
OOCDCBIJ_00159	98.954	98.954	70.858	70.326	99.552	70.475	99.253	99.253	71.746	70.919	99.103	70.475	99.552	70.772	71.302
OOCDCBIJ_00160	98.693	99.003			99.336		99.668	99.668			99.003		99.003		
OOCDCBIJ_00161	99.167	99.167			98.542		98.75	98.75			99.167		98.333		
OOCDCBIJ_00162	98.994	98.994	74.446	74.446	99.371	74.446	98.491	98.491	74.446	74.837	98.174	74.967	98.616	74.446	74.446
OOCDCBIJ_00163	98.718	98.718	76.873	77.85	99.359	76.873	98.718	98.718	76.221	75.896	98.469	77.199	98.397	75.244	76.221
OOCDCBIJ_00164	99.3	99.253	70.888	70.582	99.081	70.888	99.388	99.388	72.12		99.265	72.204	98.513	70.73	70.596
OOCDCBIJ_00165	100.0	99.722	77.994	77.346	99.44	77.994	99.722	99.722	77.994	78.317	100.0	77.994	99.722	77.994	78.146
OOCDCBIJ_00166	98.837	98.45	64.488		98.992		97.907	97.907	63.795		98.605		98.837	64.122	
OOCDCBIJ_00167	97.997	97.997	76.148	76.353	98.936	76.238	98.404	96.996	75.158	76.763	98.569	76.148	97.606	75.428	75.338
OOCDCBIJ_00168	99.048	99.048	72.575	73.244	99.683	73.244	99.048	98.413	76.0	73.764	99.365	72.575	99.048	76.0	73.244
OOCDCBIJ_00169	100.0	100.0	85.398	84.956	100.0	84.956	99.111	99.111	84.956	84.956	99.556	84.956	100.0	85.398	84.956
OOCDCBIJ_00170	99.169	99.169			99.377		98.858	98.962			99.449		99.065		
OOCDCBIJ_00171	98.649	98.649	74.163	72.584	98.874	73.767	99.55	99.55	72.488	72.596		74.463	99.55	72.727	71.91
OOCDCBIJ_00172	95.638	95.638			99.02		95.638	94.966			100.0		95.302		
OOCDCBIJ_00173	99.476	99.476			99.266		99.117	98.786			96.017		98.847		
OOCDCBIJ_00174	99.335	99.525	75.253	75.253	99.43	76.465	99.525	99.335	74.746	74.696	99.05	75.533	98.765	75.254	75.659
OOCDCBIJ_00175	99.467	98.933			100.0		99.2	99.467			100.0		99.467		
OOCDCBIJ_00176	99.678	99.517			98.712		99.517	99.517			98.551		98.229		
OOCDCBIJ_00177	99.055	99.73	72.175	72.175	99.19	71.751	99.865	99.595	72.316	71.61	99.19	71.893	98.65	72.034	72.175
OOCDCBIJ_00178	99.803	100.0	69.463	71.0	99.014	70.134	98.619	99.014	71.044	71.044	99.606	70.134	99.211	70.134	69.128
OOCDCBIJ_00179	99.43	99.715			99.145		96.581	96.866			97.151		95.726		
OOCDCBIJ_00180	97.436	98.601	64.733	65.191	98.485	64.733	97.552	97.786			97.902	65.038	97.669		66.372
OOCDCBIJ_00181	98.582	98.818			96.809		96.572	96.572			96.572		95.863		
OOCDCBIJ_00182	95.273	96.808			93.538		95.335	95.335			95.764		93.538		
OOCDCBIJ_00183	99.275	99.275	75.831	76.284	98.696	75.831	99.42	99.42	75.831	75.287	99.275	75.831	98.841	76.389	76.284
OOCDCBIJ_00184	98.291	97.863	70.313	71.094	98.932	70.284	98.077	98.077	70.052	69.271	98.291	70.833	98.504	70.052	71.354
OOCDCBIJ_00185	98.64	98.684			98.206		96.228	96.974			98.158		98.07		
OOCDCBIJ_00186	98.422	97.83			99.211		93.491	97.633			97.83		97.041		
OOCDCBIJ_00187	99.048				100.0										
OOCDCBIJ_00188	82.313	98.83			100.0		80.347	98.83			98.83		98.83		
OOCDCBIJ_00189	97.802	99.267			99.634		97.07	99.267			99.267		99.267		
OOCDCBIJ_00190	99.603	99.603			100.0		98.413	99.603			100.0		100.0		
OOCDCBIJ_00191	98.958	98.611			100.0		98.606	98.611			98.611		98.955		
OOCDCBIJ_00192	96.705	96.958			100.0		96.705	97.212			97.212		95.184		
OOCDCBIJ_00193	98.79	99.255			99.162		99.348	99.162			98.976		95.717		
OOCDCBIJ_00194	99.34	99.34			99.01		100.0	100.0			100.0		96.7		
OOCDCBIJ_00195	99.67	99.67			89.109		99.67	99.67			100.0		88.449		
OOCDCBIJ_00196	99.66	99.66			97.959		100.0	100.0			100.0		93.537		
OOCDCBIJ_00197	99.444	99.444			98.333		98.889	98.889			98.889				
OOCDCBIJ_00198	87.263	86.992			96.893		86.992	86.992			87.263		94.068		
OOCDCBIJ_00199	95.767	96.032			93.122		93.651	93.651			96.032		94.974		
OOCDCBIJ_00200	98.701	98.701			97.835		97.835	97.835			98.701		93.939		
OOCDCBIJ_00201	94.667	95.2			96.8						94.933		94.933		
OOCDCBIJ_00202	88.889	88.66			99.561						88.889		89.175		
OOCDCBIJ_00203		98.413			100.0								98.413		
OOCDCBIJ_00204	92.821	97.692			99.217						95.385		97.436		
OOCDCBIJ_00205	94.781	95.73											96.797		
OOCDCBIJ_00206	97.619				99.841						99.524				
OOCDCBIJ_00207	96.226				100.0		96.226	96.226			95.597		94.969		
OOCDCBIJ_00208	95.139	92.199			100.0		90.78	90.78			99.306		95.833		
OOCDCBIJ_00209	95.897				100.0						98.974				
OOCDCBIJ_00210	96.729	96.384			100.0		97.508	97.508			96.573		96.573		
OOCDCBIJ_00211	96.847	96.061			100.0		93.287	93.287			95.152		89.095		
OOCDCBIJ_00212	97.763	96.759			100.0		99.776	99.776			96.528		98.38		
OOCDCBIJ_00213	97.333	97.667			100.0		98.0	98.0			97.333		98.333		
OOCDCBIJ_00214					99.313		98.625	98.625					98.889		
OOCDCBIJ_00215	95.37	94.444			93.897		96.914	96.914			95.988		94.753		
