gene	AP018714	AP018715	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
AMNIBMGE_00023	72.175	72.458	100.0	72.599	97.706	72.316	72.599	97.571	97.841	72.599	98.65	72.034	72.175	96.761	97.841
AMNIBMGE_00024			98.14		96.744			97.364	97.054		95.969			96.279	96.279
AMNIBMGE_00025			100.0		98.103			97.832	98.916		98.103			97.832	98.374
AMNIBMGE_00026	74.747	75.152	99.841	75.051	97.368	75.354	75.455	94.976	96.81	75.455	98.724	74.747	75.253	95.375	97.129
AMNIBMGE_00027	64.595	64.595	98.403		97.551	64.74		87.54	89.35	65.068	98.509			87.966	97.338
AMNIBMGE_00028			98.148		98.519			81.481	81.481		98.519			81.481	97.778
AMNIBMGE_00029	73.445	73.445	93.96	74.163	97.743	74.163	74.163	91.61	92.617		97.315	74.163	74.163	92.29	96.644
AMNIBMGE_00030			97.16		97.661			93.15	94.904		96.825			93.548	97.327
AMNIBMGE_00031	85.398	85.398	99.642	85.398	99.283	85.841	85.841	99.283	99.642	85.398	99.283	85.398	85.398	99.642	99.283
AMNIBMGE_00032	75.33	75.33	97.879	73.0	95.455	73.004	74.242	96.364	95.758	73.333	99.697	73.0	72.575	96.364	95.152
AMNIBMGE_00033	75.988	75.988	98.227	76.439	98.936	76.259	75.403	97.163	96.853	76.428	100.0	76.439	76.148	96.897	96.897
AMNIBMGE_00034	64.746	64.648	99.298	64.063	98.947	64.585	64.585	95.175	95.439	64.425	99.123		64.488	95.351	98.07
AMNIBMGE_00035	77.994	78.317	99.425	77.994	100.0	77.67	77.67	99.138	99.138	77.994	100.0	78.317	77.994	98.563	98.563
AMNIBMGE_00036	69.531	69.69	97.957	69.488	99.081	69.488	69.488	97.415	98.222	69.114	99.769	69.257	70.888	95.676	97.549
AMNIBMGE_00037	76.873	76.873	99.038	76.221	100.0	76.547	76.547	98.718	98.718	75.258	99.038	76.547	76.873	98.397	98.714
AMNIBMGE_00038	74.576	74.576	99.371	74.576	100.0	74.316	74.316	97.862	98.491	75.333	98.868	74.576	74.446	98.239	98.491
AMNIBMGE_00039			96.927		100.0			97.636	95.035		99.764			93.617	95.035
AMNIBMGE_00040			99.034		99.517			98.551	99.034		99.517			98.551	98.551
AMNIBMGE_00041			96.995		99.454			97.268	96.448		99.454			97.541	96.995
AMNIBMGE_00042	71.302	71.302	97.353	71.154	98.235	70.858	70.858	98.673	99.472	71.302	98.235	70.858	70.858	96.018	96.912
AMNIBMGE_00043			98.302		99.383			97.222			99.383				97.068
AMNIBMGE_00044	71.815	71.815	99.458	71.429	100.0	73.043	73.043	96.748	96.748	71.815	100.0	71.429	71.429	98.374	96.206
AMNIBMGE_00045			98.397		99.359			97.436	97.756		99.359			97.756	98.077
AMNIBMGE_00046			99.038		98.397			96.474	99.038		98.397			96.795	97.756
AMNIBMGE_00047			98.312		98.312			97.046	99.156		98.312			98.312	97.046
AMNIBMGE_00048	71.429	71.429	97.279	70.764	99.32	71.096	71.096	91.551	96.475	70.598	99.32	71.262	70.93	97.732	95.692
AMNIBMGE_00049	69.612	69.612	98.39	69.289	99.432	69.289	69.289	97.254	96.402		99.527	69.33	69.72	98.295	97.443
AMNIBMGE_00050	67.174	66.385	99.242	67.063	99.848	66.553	66.553	96.667	91.97	66.554	99.848	66.723	66.893	95.606	96.818
AMNIBMGE_00051			97.2		99.577			97.253	96.038		99.63			97.306	97.464
AMNIBMGE_00052	73.073	73.073	98.269	72.773	99.712	72.673	72.673	95.101	95.005	72.472	99.712	72.272	72.573	95.389	95.101
AMNIBMGE_00053	76.929	77.004	97.963	77.079	98.099	77.154	77.154	97.692	96.6	77.004	96.538	76.704	77.004	98.099	97.963
AMNIBMGE_00054			99.027		98.236			98.175	98.236		99.513			98.236	99.878
AMNIBMGE_00055	74.696	74.164	96.847	73.785	97.466	73.857	74.392	97.86	97.281	73.964	99.043	73.942	73.913	97.973	100.0
AMNIBMGE_00056			96.618		97.101			97.101	93.72		97.101			97.585	98.068
AMNIBMGE_00057	90.239	88.37		81.534	99.481	90.239	90.239	99.377	89.927	86.501	99.896				98.962
AMNIBMGE_00058	81.994	82.145	94.764	81.873	99.157	81.994	81.994	97.32	97.471	82.27	94.46	81.903	81.837	97.979	99.849
AMNIBMGE_00059	74.454	73.362	95.833	74.236	99.583	74.454	74.454	95.833	96.25	73.362	96.25	74.292	74.672	97.5	99.792
AMNIBMGE_00060			95.559		99.908						97.555				99.817
AMNIBMGE_00061	76.447	76.547	98.902	76.643	100.0	76.239	76.239	89.621	92.814	76.547	98.703	76.148	76.423	90.02	99.9
AMNIBMGE_00062	76.618	77.647	96.454	77.059	100.0	76.912	76.912	87.943	91.631	77.647	99.574	77.059	76.765	88.085	96.596
AMNIBMGE_00063	75.51	74.349	97.207	74.349	100.0	74.164	74.164	97.393	96.462	74.349	97.765	74.535	74.907	96.276	98.138
AMNIBMGE_00064	74.184	74.519	97.222	74.629	100.0	74.704	74.704	94.152	96.345	74.203	98.099	74.629	74.556	96.784	98.246
AMNIBMGE_00065			96.599		100.0			91.473	95.349		97.959			92.517	99.32
AMNIBMGE_00066			97.087		100.0				75.134		97.365			83.285	
AMNIBMGE_00067	63.767	63.705	93.83	64.268	99.959	64.12	64.393	83.114	84.623	63.602	95.321	63.87	63.82	83.383	92.998
AMNIBMGE_00068	72.196	72.224	89.224	72.365	97.235	72.365	72.309	92.349	91.729	72.506	95.086	72.36	72.422	91.997	99.176
AMNIBMGE_00069	70.162	70.162	98.451	70.108	99.007	69.824	69.824	91.151	91.667	70.098	98.888	69.869	70.054	90.992	99.484
AMNIBMGE_00070	69.634	69.445	99.043	69.844	99.836	69.37	69.37	89.022	85.823	69.629	99.125	69.637	69.866	89.893	99.891
AMNIBMGE_00071	78.351	78.179	99.495	78.179	99.495	78.351	78.351	94.276	94.949	78.007	99.663	78.694	78.007	94.613	100.0
AMNIBMGE_00072	73.176	72.941	100.0	73.176	100.0	73.176	73.176	91.139	92.405	72.941	99.578	73.882	73.176	91.139	100.0
AMNIBMGE_00073	88.347	86.288	97.636	86.761	99.764	88.076	88.076	98.109	94.787	88.347	99.291	85.816	86.761	98.341	99.764
AMNIBMGE_00074	81.627	81.685	98.772	81.568	98.772	87.244	87.244	97.31	96.784	81.568	98.304	81.978	81.568	97.427	99.942
AMNIBMGE_00075			99.583		100.0			99.583	97.917		99.583			99.167	100.0
AMNIBMGE_00076	74.087	74.205	99.173	73.672	99.645	74.144	74.205	98.936	98.936	74.087	99.291	74.205	73.79	98.936	100.0
AMNIBMGE_00077	72.698	72.857	99.199	72.857	100.0	72.54	72.857	98.878	97.917	73.95	99.199	72.857	72.857	99.199	99.359
AMNIBMGE_00078	72.491	72.781	98.625	72.373	99.427	72.255	72.781	98.855	98.511	72.255	99.084	72.491	72.373	98.625	99.542
AMNIBMGE_00079	76.671	75.967	99.331	76.319	99.777	76.553	75.967	97.77	98.105	76.671	99.331	76.671	76.671	98.439	99.889
AMNIBMGE_00080			99.603		100.0			99.206	98.413		100.0			98.81	98.81
AMNIBMGE_00081	82.224	82.374	99.789	82.151	98.664	81.492	82.374	97.75	98.312	83.194	99.508	82.52	82.224	98.453	98.664
AMNIBMGE_00082			100.0		99.156			88.889	90.737		100.0			87.841	98.734
AMNIBMGE_00083	75.107	75.751	99.873	75.536	99.747	75.536	75.751	97.212	98.733	75.751	99.873	75.536	75.322	97.338	100.0
AMNIBMGE_00084	79.218	78.277	98.718	78.349	99.231	79.508	78.349	98.077	98.654	78.204	98.782	79.218	78.349	98.205	99.936
AMNIBMGE_00085			98.836		99.048			98.307	97.672		98.942			98.836	99.894
AMNIBMGE_00086			99.761		99.602			88.504	87.559		99.761			88.346	99.92
AMNIBMGE_00087			99.72		99.44			99.16	98.319		99.72			99.16	99.44
AMNIBMGE_00088	67.594		99.396	66.799	99.517	67.197	67.793	98.671	99.034	67.793	99.275	68.409	67.197	98.551	99.517
AMNIBMGE_00089			98.818		98.7			97.045	97.409		99.054			97.045	100.0
AMNIBMGE_00090			98.529	78.619	98.475			96.95		76.205	98.366	78.524	76.35	97.603	99.905
AMNIBMGE_00091			98.135		97.669			98.368	98.601		98.135			98.601	99.767
AMNIBMGE_00092			97.143		98.571			99.524	95.714		97.143			99.524	99.524
AMNIBMGE_00093	82.405	82.405	100.0	82.405	100.0	82.405	82.405	99.138	99.138	82.405	100.0	82.405	82.405	99.425	100.0
AMNIBMGE_00094			99.621		96.212			98.485	98.864		99.621			98.485	96.591
AMNIBMGE_00095			100.0		100.0			100.0			100.0			100.0	100.0
AMNIBMGE_00096			100.0								100.0				100.0
AMNIBMGE_00097			100.0		100.0			97.826			100.0			94.565	100.0
AMNIBMGE_00098			100.0		100.0			100.0			100.0			100.0	100.0
AMNIBMGE_00099			100.0		100.0			100.0			100.0			100.0	100.0
AMNIBMGE_00100			100.0		100.0			89.189			89.189			89.189	98.649
AMNIBMGE_00101			100.0		100.0			98.649	100.0		100.0			98.649	100.0
AMNIBMGE_00102			97.015		100.0			95.89			100.0			100.0	100.0
AMNIBMGE_00103					100.0			100.0			93.243			91.892	100.0
AMNIBMGE_00104	91.667	92.026		91.484	98.901	91.667	91.667	97.894		92.026	98.626		92.026		99.101
AMNIBMGE_00105	95.833			95.833	100.0	95.833	95.833	100.0			100.0				100.0
AMNIBMGE_00106					100.0			100.0	98.684		100.0			100.0	100.0
AMNIBMGE_00107					98.701			97.403	94.805		98.701			98.684	98.701
AMNIBMGE_00108					100.0			98.63	93.151		100.0			95.89	100.0
AMNIBMGE_00109					100.0			98.611			100.0			98.611	100.0
AMNIBMGE_00110					100.0			100.0			100.0			100.0	100.0
AMNIBMGE_00111					98.016			96.429	98.413		100.0			95.635	98.413
AMNIBMGE_00112					98.413			93.651			99.206			93.651	98.413
AMNIBMGE_00113					100.0			98.592			100.0			100.0	100.0
AMNIBMGE_00114					100.0			96.512			100.0				
AMNIBMGE_00115														100.0	98.851
AMNIBMGE_00117			98.907		99.454			98.361	97.268		99.454			98.907	97.814
AMNIBMGE_00118			100.0		100.0			100.0	100.0		100.0			100.0	100.0
AMNIBMGE_00119			100.0		100.0			100.0	78.846		100.0			83.516	83.516
AMNIBMGE_00120			100.0		99.458			96.143	97.521		99.729			98.645	96.143
AMNIBMGE_00121			100.0		98.667			98.667			100.0			98.667	100.0
AMNIBMGE_00122			100.0					100.0			100.0			97.26	100.0
AMNIBMGE_00123			100.0		100.0			95.89			100.0			97.26	98.63
AMNIBMGE_00124			94.521		98.63			90.411						98.592	100.0
AMNIBMGE_00125	79.245	78.873	99.556	79.245	98.667	79.245	79.245	99.556	99.111	78.873	98.222		78.873	99.111	98.667
AMNIBMGE_00126			99.217		98.956			82.418			99.282			81.577	98.434
AMNIBMGE_00127			100.0		99.134			98.701	97.835		100.0			98.701	100.0
AMNIBMGE_00128			98.693		98.693			97.059	98.039		100.0			96.405	99.02
AMNIBMGE_00129			98.944		98.341			96.189	96.682		99.849			98.341	99.095
AMNIBMGE_00130			99.048		98.095			89.048	83.81		100.0			99.048	99.048
AMNIBMGE_00131			98.854		94.115			95.052	67.424		99.792			95.521	95.885
AMNIBMGE_00132			100.0		99.248			86.189	85.14		100.0			85.839	85.839
AMNIBMGE_00133			100.0		98.946			80.979	80.839		99.341			80.839	81.145
AMNIBMGE_00134			100.0		99.583			83.83	75.745		98.333			83.83	82.979
AMNIBMGE_00135			99.206		96.296			93.768			97.619			93.768	97.051
AMNIBMGE_00136			95.082		95.993						96.357				95.037
AMNIBMGE_00137			99.593		98.645						98.374				97.29
AMNIBMGE_00138			98.05		97.606			96.878			98.493			97.681	96.72
AMNIBMGE_00139			98.656		98.253			94.722			98.387			94.861	98.656
AMNIBMGE_00140			99.091		99.697						99.091				99.091
AMNIBMGE_00141			99.621		99.242						98.485				98.106
AMNIBMGE_00142			98.291		98.932			75.214	74.786		98.504			75.0	98.291
AMNIBMGE_00143			98.267		99.067			91.867	90.267		98.133			91.333	97.867
AMNIBMGE_00144			93.968		96.154			85.15	85.079		93.492			85.443	92.381
AMNIBMGE_00145	70.356	68.972	99.688	68.972	99.792	67.85	69.17		88.153	68.836	99.688	69.17	68.639	88.153	93.769
AMNIBMGE_00146			100.0		100.0			90.816	97.959		99.66			97.279	87.755
AMNIBMGE_00147			100.0		97.073			95.772	97.073		96.911			96.748	94.309
AMNIBMGE_00148		89.635	99.417		99.184		89.753	98.135	97.436	89.635	98.776		89.635	97.319	99.068
AMNIBMGE_00149		85.714	100.0		97.549		84.762	97.059	97.059	85.714	99.02		85.714	96.569	98.039
AMNIBMGE_00150		86.877	98.191		99.483		87.402		96.0	87.927	96.641		87.402		98.45
AMNIBMGE_00151			100.0		99.099						98.498				99.099
AMNIBMGE_00152			100.0		99.605				89.26		92.095				99.736
AMNIBMGE_00153			99.642		99.104						94.444				98.746
AMNIBMGE_00154			99.113		95.567			95.213	93.44		95.745			93.972	95.39
AMNIBMGE_00155			99.573								78.261				
AMNIBMGE_00156			100.0								85.268				
AMNIBMGE_00157			100.0		86.434			84.646			85.537			86.454	86.777
AMNIBMGE_00158			100.0		98.592									99.052	
AMNIBMGE_00159			99.608		99.216									97.2	
AMNIBMGE_00160			95.111		93.778				90.667		90.411			97.333	94.977
AMNIBMGE_00161		69.128	100.0		97.436			97.436	95.442		97.721			97.436	98.006
AMNIBMGE_00162			99.812		95.669			98.305	97.552		97.175			96.045	
AMNIBMGE_00163			99.132		98.09			93.75	94.792		97.743			94.965	98.264
AMNIBMGE_00164	65.462		99.672		95.895	65.4	65.4	94.745	95.402		96.059	65.594		95.402	96.88
AMNIBMGE_00165			100.0		97.674			97.287	96.512		98.837			96.512	98.062
AMNIBMGE_00166	65.039	65.197	99.595	65.512	97.571	64.976	64.976	88.814	89.623		97.432	65.827	65.197	89.623	96.491
AMNIBMGE_00167			99.688		95.016			94.704	94.393		96.573			94.393	97.508
AMNIBMGE_00168			98.457		97.299			96.528	96.142		97.762			96.065	96.836
AMNIBMGE_00169			100.0		99.621			96.97	96.212		99.621			96.212	99.621
AMNIBMGE_00170			100.0		97.243			83.582	84.422		95.99			83.582	97.744
AMNIBMGE_00171			99.776		99.329			76.871	77.083		99.776			76.19	98.658
AMNIBMGE_00172			99.663		100.0			80.822	88.215		98.99			80.479	96.97
AMNIBMGE_00173			93.506		94.372			87.879	90.0		90.476			88.745	89.61
AMNIBMGE_00174			94.427		94.737			94.976							
AMNIBMGE_00175			95.614		95.614			95.322			95.906				96.199
AMNIBMGE_00176			98.925		98.925			88.768	90.217		98.925			89.13	98.208
AMNIBMGE_00177			98.502		98.876			96.255	88.015		98.876			88.015	99.251
AMNIBMGE_00178			96.831		96.831			92.208	89.374		96.592			89.138	96.479
AMNIBMGE_00179			99.735		98.942						66.244				95.767
AMNIBMGE_00180			98.354		100.0				89.712		95.473			90.535	99.588
AMNIBMGE_00181		71.72	99.595		96.458				90.761	72.076	93.387			90.625	97.003
AMNIBMGE_00182			100.0								96.714				
AMNIBMGE_00183			99.73		95.816			96.356			95.816			94.062	94.467
AMNIBMGE_00184			98.942		92.063			91.005	92.063		92.593			92.063	92.063
AMNIBMGE_00185			99.197		96.466			96.466	96.948		97.751			96.386	96.627
AMNIBMGE_00186		73.897	99.242			72.826	72.826					73.188	73.529		
AMNIBMGE_00187			97.436												
AMNIBMGE_00188			99.543		96.119				95.205		96.575				96.347
AMNIBMGE_00189			99.475		90.439				87.903		96.588				90.439
AMNIBMGE_00190			98.788		91.515			83.03	86.061		94.545			89.063	91.515
AMNIBMGE_00191			100.0		91.414			93.939	86.364		94.444			94.444	91.414
AMNIBMGE_00192			99.388								95.752				
AMNIBMGE_00193			98.87								96.045				
AMNIBMGE_00194			97.807		95.175			91.667	90.351		95.614			92.544	94.298
AMNIBMGE_00195			97.717					86.667	84.444		97.717			87.111	
AMNIBMGE_00196			97.619		97.619						99.603				97.619
AMNIBMGE_00197	92.813	94.966		95.638	97.987	94.966	94.966			93.125		94.966	92.953		97.987
AMNIBMGE_00198			94.366					93.897			96.714			93.897	
AMNIBMGE_00199			98.127								98.502				98.502
AMNIBMGE_00200	88.722				98.872			93.258	91.76	89.85		87.594	85.338		98.496
AMNIBMGE_00201					100.0						97.884			98.942	99.471
AMNIBMGE_00202		79.111	97.333	83.482	95.536						95.536	80.444	84.375		94.222
AMNIBMGE_00203			97.959		97.26				93.836		99.315				97.945
AMNIBMGE_00204					93.519						96.759				
AMNIBMGE_00205			96.667		97.222						98.889		78.302		97.222
AMNIBMGE_00206			96.97		95.96						96.465				95.96
AMNIBMGE_00207			94.792		94.792						94.792				94.792
AMNIBMGE_00208			98.428								98.113				
AMNIBMGE_00209			97.826		96.86			89.855	91.787		97.101			92.995	98.792
AMNIBMGE_00210								89.606	88.889					91.039	97.849
AMNIBMGE_00211			97.135		97.389			90.441	91.123					91.645	96.354
AMNIBMGE_00212			97.126		96.552				89.08					91.954	93.678
AMNIBMGE_00213			97.989		93.447				83.191					88.034	93.447
