gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
NGDEOPKE_00072	100.0	98.551			100.0		100.0			99.034			99.034		
NGDEOPKE_00073	100.0	99.673			100.0		100.0			99.673			99.346		
NGDEOPKE_00074	100.0	98.268			100.0		100.0			98.268			99.134		
NGDEOPKE_00075	100.0	99.111	79.245	78.774	100.0	78.302	100.0	78.774	78.302	99.111	77.83		99.111	78.302	78.302
NGDEOPKE_00076	100.0				100.0		100.0								
NGDEOPKE_00077	100.0		95.833		100.0	95.833	100.0	95.833			95.833				95.833
NGDEOPKE_00078	100.0	98.808	91.667		98.26	91.667	100.0	91.392		98.808	91.758		97.984		92.94
NGDEOPKE_00079	100.0	100.0			100.0		100.0			100.0			100.0		
NGDEOPKE_00080	100.0				98.649		100.0								
NGDEOPKE_00081	100.0	97.647			98.824		100.0			97.647			97.647		
NGDEOPKE_00082	100.0	98.684			100.0		100.0			100.0			97.368		
NGDEOPKE_00083	100.0	100.0			100.0		100.0			100.0			100.0		
NGDEOPKE_00084	100.0	98.684			98.684		100.0			98.684			98.684		
NGDEOPKE_00085	100.0	98.82			98.82		100.0			99.115		99.705	99.41		
NGDEOPKE_00086	100.0	100.0	82.405	82.405	100.0	82.405	100.0	82.698	82.111	100.0	82.405	100.0	100.0	82.405	82.405
NGDEOPKE_00087					99.234		100.0	74.627	74.627	100.0		99.617	99.234		
NGDEOPKE_00088	99.259	99.259			99.259		100.0			99.259		99.259	99.259		
NGDEOPKE_00089	98.834	98.601			98.368		100.0			98.718		97.902	98.601		
NGDEOPKE_00090	98.0	97.5	76.493	76.493	98.872	76.866	100.0	76.493	77.509	97.5	76.493	98.519	99.624	76.493	76.493
NGDEOPKE_00091		99.784					100.0								
NGDEOPKE_00092	97.987	97.092	75.632	75.172	97.092	75.172	97.092	75.057	73.52	97.092	75.172	97.539	96.868	74.603	74.921
NGDEOPKE_00093	96.705	96.451			96.831		96.578					99.873	96.705		
NGDEOPKE_00094	98.187	98.187	67.793	67.594	98.605	67.197	98.326	67.659	67.396	98.047	67.594	98.047	98.187	67.659	67.396
NGDEOPKE_00095	99.13	96.812			97.101		97.681			96.232		96.522	97.101		
NGDEOPKE_00096	98.851	94.368	86.1	86.1	94.368	85.714	98.276	83.859	81.262	94.451	86.1	94.368	94.253	83.302	86.1
NGDEOPKE_00097	98.261	99.71			99.13		97.971			99.42		98.261	99.42		
NGDEOPKE_00098	95.543	99.498	78.349	78.333	98.682	78.349	95.417	78.928	78.639	99.497	78.406	95.48	98.682	78.711	78.349
NGDEOPKE_00099	98.938	100.0	75.751	75.751	99.575	75.751	99.363	75.966	76.395	100.0	75.751	99.363	99.151	75.966	75.751
NGDEOPKE_00100	96.624	98.101			96.624		95.859			98.101		97.257	96.624		
NGDEOPKE_00101	99.211	100.0	82.374	82.302	99.283	82.229	97.849	81.745	82.01	99.903	82.229	99.429	99.211	81.719	82.229
NGDEOPKE_00102	99.621	100.0			98.864		99.242			91.667		100.0	99.242		
NGDEOPKE_00103	96.556	100.0	75.967	75.733	96.778	75.222	97.0	74.889	75.333	97.333	75.733	96.444	96.889	75.967	75.967
NGDEOPKE_00104	99.08	100.0	72.781	72.598	98.161	72.361	98.391	72.479	72.242	98.506	72.716	99.54	98.276	72.835	72.361
NGDEOPKE_00105	98.878	100.0	72.857	72.857	98.558	72.857	98.397	73.651	73.651	100.0	72.857	98.558	98.558	73.492	73.333
NGDEOPKE_00106	99.764	99.882	74.205	74.676	99.291	74.205	99.409	74.676	74.676	99.764	74.558	98.582	99.409	74.676	74.205
NGDEOPKE_00107	91.754	91.871	87.244	87.244	91.754	87.185	100.0	87.595	87.888	91.754	86.834	91.871	91.754	87.946	87.185
NGDEOPKE_00108	99.237	98.95	88.076	87.805	99.475	87.805	100.0	86.992	87.062	98.728	88.347	99.475	99.475	87.805	87.805
NGDEOPKE_00109	99.458			93.605			100.0			97.471		98.701			
NGDEOPKE_00110	99.156	98.312	73.176	73.176	98.523	73.176	100.0	74.118	73.882	98.734	73.647	98.101	98.523	74.118	73.176
NGDEOPKE_00111	99.306	99.132	78.351	77.625	99.132	77.625	100.0	77.663	77.312	98.958	78.351	99.653	98.958	77.835	78.351
NGDEOPKE_00112	97.84	98.66	69.37	69.397	96.937	69.37	100.0	69.444	71.017	98.622	69.479	98.961	96.883	69.773	69.37
NGDEOPKE_00113	98.211	98.211	69.824	69.521	98.65	70.076	100.0	70.227	70.415	98.323	69.944	98.023	98.336	70.262	69.824
NGDEOPKE_00114	98.101	98.047	72.28	71.34	97.773	71.884	97.646	71.936	71.465	98.047	71.815	95.073	97.809	71.682	72.309
NGDEOPKE_00115	97.511	96.434	64.393	63.88	95.108	64.393	99.088	64.79	63.873	96.476	63.846	97.927	94.986	63.723	63.869
NGDEOPKE_00116		97.658			99.174		100.0			97.934		97.383	97.796		
NGDEOPKE_00117	98.639	97.959			100.0		100.0			97.959		99.32	100.0	73.913	
NGDEOPKE_00118	98.551	98.694	74.704	75.148	99.275	74.704	100.0	74.629	75.148	98.356	74.852	98.403	99.855	75.074	75.0
NGDEOPKE_00119	97.393	99.814	74.164	75.836	99.628	74.164	100.0	75.093	76.394	99.814	75.836	99.628	98.696	74.349	74.721
NGDEOPKE_00120	97.872	99.007	76.912	77.761	99.716	76.912	100.0	76.289	76.583	99.007	77.059	99.007	98.723	75.994	78.056
NGDEOPKE_00121	97.411	97.603	76.239	75.531	99.62	76.239	100.0	77.416	76.907	97.699	75.834	97.411	97.721	77.925	76.239
NGDEOPKE_00122					99.597		99.295						99.698		
NGDEOPKE_00123	97.917	97.5	74.454	73.581	99.792	74.672	100.0	72.707	74.454	97.5	74.017	97.917	99.375	73.144	74.672
NGDEOPKE_00124	98.961	99.019	81.994	81.818	98.47	81.947	99.625	81.241	81.651	98.779	82.008	98.557	98.615	81.585	81.964
NGDEOPKE_00125	100.0	95.639	90.239		90.637	90.135	100.0	90.031	92.739	95.639	90.135				90.447
NGDEOPKE_00126	96.032	96.825			96.032		96.032			96.825		95.238	96.032		
NGDEOPKE_00127	84.738	84.933							71.681	84.41					
NGDEOPKE_00128	98.927	98.927			99.195		100.0			99.329		98.927	98.994		
NGDEOPKE_00129	99.185	99.253	77.154	76.929	99.593	76.854	100.0	77.378		99.117	76.704	98.778	99.253	77.228	77.528
NGDEOPKE_00130	98.201	98.201	72.673	72.59	99.337	72.673	100.0	72.864	72.5	99.053	72.673	98.864	98.674	72.563	72.864
NGDEOPKE_00131	98.891	99.155			98.574		100.0			99.313		98.362	98.362		
NGDEOPKE_00132	96.246	98.198	66.553	66.323	98.799	66.553	100.0	65.47	65.952	98.048	66.553	99.099	99.249	65.136	65.299
NGDEOPKE_00133	99.056	99.056	69.289	69.828	98.584	69.405	100.0	69.504	68.811	98.614	69.297	97.734	99.15	69.297	69.181
NGDEOPKE_00134	98.736	98.578			87.304		100.0			97.953		98.262	87.461		
NGDEOPKE_00135	97.74	97.627	71.096	70.376	97.74	70.93	100.0			98.644	70.93	97.851	97.966	70.248	68.955
NGDEOPKE_00136	100.0	100.0			98.268		100.0			98.701		99.134	98.268		
NGDEOPKE_00137	99.029	99.029			99.029		100.0			98.706		99.676	98.706		
NGDEOPKE_00138	100.0	100.0			99.679		100.0			99.679		99.038	99.359		
NGDEOPKE_00139	97.849	97.849	73.043	73.913	95.968	73.043	100.0	73.478	73.478	97.849	73.043	96.505	95.968	73.913	73.913
NGDEOPKE_00140	99.103	99.103	70.858	70.326	99.701	70.475	100.0	71.746	70.919	99.253	70.475	99.402	99.253	70.772	71.302
NGDEOPKE_00141	99.0	99.333			99.667		100.0			99.333		99.333	99.668		
NGDEOPKE_00142	98.333	98.333			97.708		100.0			98.333		98.333	98.75		
NGDEOPKE_00143	97.987	97.987	74.316	74.316	98.365	74.316	100.0	74.151	74.576	97.717	74.837	98.365	98.491	74.316	74.282
NGDEOPKE_00144	99.359	99.359	76.547	77.524	99.359	76.547	100.0	75.896	75.57	99.49	76.873	99.038	98.718	74.919	75.896
NGDEOPKE_00145	99.568	98.617	69.531	69.1	99.092	69.575	100.0	70.102	69.701	99.003	70.425	98.357	99.388	69.535	69.06
NGDEOPKE_00146	100.0				99.849		100.0					100.0			
NGDEOPKE_00147	99.792	99.583	77.285	77.285	98.542	77.023	100.0	76.819	75.077	99.375	77.285	99.375	99.792	75.521	77.023
NGDEOPKE_00148	99.722	99.444	77.67	77.023	99.16	77.67	100.0	77.67	77.994	99.722	77.67	99.444	99.722	77.67	78.477
NGDEOPKE_00149	98.295	98.217	64.585		98.45		100.0			98.217		98.295	97.907		
NGDEOPKE_00150	99.762	99.524	77.053	76.812	99.274	76.812	99.516	76.57	77.857	99.524	77.053	96.126	98.305	76.812	76.57
NGDEOPKE_00151									79.085	99.167					
NGDEOPKE_00152	96.996	96.996	75.403	75.84	97.282	75.695	97.425	74.378	76.16	97.568	75.403	96.996	96.996	74.378	74.34
NGDEOPKE_00153	98.095	98.095	74.242	74.242	98.73	74.242	98.095	75.556	74.621	99.048	74.242	98.73	98.413	75.556	74.242
NGDEOPKE_00154	99.111	99.111	85.841	85.398	99.111	85.398	100.0	85.398	85.398	98.667	85.398	99.111	99.111	85.841	85.398
NGDEOPKE_00155	99.585	99.585			99.169		99.896			99.449		99.273	98.962		
NGDEOPKE_00156	99.099	99.099	74.163	73.034	98.874	74.215	100.0	72.967	73.077		74.94	100.0	99.55	72.727	72.36
NGDEOPKE_00157	99.327	99.327			94.295		99.327			94.966		98.99	94.966		
NGDEOPKE_00158	99.117	99.117			99.007		99.227			95.695		98.455	98.786		
NGDEOPKE_00159	98.86	99.05	75.455	75.455	98.765	76.667	99.62	74.949	74.899	98.575	75.736	98.67	99.335	75.456	75.862
NGDEOPKE_00160	100.0	99.467			99.467		99.733			99.467		98.933	99.467		
NGDEOPKE_00161	99.839	99.034			98.873		99.678			98.39		98.39	99.517		
NGDEOPKE_00162	98.92	99.325	72.599	72.599	99.595	72.175	99.73	72.74	72.034	99.595	72.316	99.055	99.595	72.458	72.599
NGDEOPKE_00163	98.817	99.014	68.792	70.333	98.817	69.463	98.422	70.37	70.37	99.408	69.463	99.803	99.014	69.463	68.456
NGDEOPKE_00164	96.866	97.151			96.581		99.715			95.157		98.291	96.866		
NGDEOPKE_00165	97.786	98.019	66.15	66.814	97.669		99.068			97.552	67.045	98.019	97.786		66.15
NGDEOPKE_00166	96.454	96.099			99.054		100.0			97.163		95.981	96.572		
NGDEOPKE_00167	93.063	93.738			94.523		100.0			93.677		94.277	95.335		
NGDEOPKE_00168	99.855	99.275	75.68	75.831	98.986	75.68	100.0	75.831	75.0	99.275	75.68	98.261	99.42	76.389	76.133
NGDEOPKE_00169	98.077	97.65	70.833	71.354	97.863	70.801	100.0	70.573	69.792	98.077	71.094	98.718	98.077	70.573	71.615
NGDEOPKE_00170	97.625	97.412			97.018		96.667			98.285		97.581	96.974		
NGDEOPKE_00171	96.45	99.803			96.844		93.491			99.803		99.014	97.633		
NGDEOPKE_00172	82.313	100.0			98.83		80.347			100.0		100.0	98.83		
NGDEOPKE_00173	97.802	100.0			98.901		97.07			99.267		100.0	99.267		
NGDEOPKE_00174	99.206	100.0			99.603		98.016			99.603		99.603	99.603		
NGDEOPKE_00175	98.958	100.0			98.611		99.303			100.0		97.561	98.611		
NGDEOPKE_00176	99.24	99.493			97.212		96.958			100.0		97.465	97.212		
NGDEOPKE_00177	99.069	99.534			99.255		98.696			99.814		95.81	99.162		
NGDEOPKE_00178	99.34	99.34			99.01		100.0			100.0		96.7	100.0		
NGDEOPKE_00179	99.34	99.34			88.779		100.0			99.67		88.779	99.67		
NGDEOPKE_00180	99.66	99.66			97.959		100.0			100.0		93.537	100.0		
NGDEOPKE_00181	99.444	99.444			97.222		100.0			100.0			98.889		
NGDEOPKE_00182	99.727	100.0			85.908		100.0			99.727		89.344	86.721		
NGDEOPKE_00183	96.825	97.09			99.471		100.0			97.09		96.296	93.651		
NGDEOPKE_00184	97.403	97.403			99.134		100.0			97.403		95.238	97.835		
NGDEOPKE_00185	98.165	98.165			100.0		100.0		82.716	98.165		97.248	98.165		
NGDEOPKE_00186	98.742				96.226		100.0			91.824		98.742	96.226		
NGDEOPKE_00187	92.199	98.582			90.78		100.0			91.489		92.908	90.78		
NGDEOPKE_00188							100.0					99.399			
NGDEOPKE_00189	98.91	98.27			97.508		100.0			98.754		98.131	97.508		
NGDEOPKE_00190	95.602	99.091			93.287		100.0			96.97		91.874	93.287		
NGDEOPKE_00191	97.539	96.528			99.769		100.0			96.296		98.611	99.776		
NGDEOPKE_00192	95.333	96.333			98.0		100.0			95.333		96.333	98.0		
NGDEOPKE_00193					97.938		100.0					97.407	98.625		
NGDEOPKE_00194	92.901	92.593			92.958		100.0			93.519		93.519	96.914		
NGDEOPKE_00195	92.908	97.826			95.035		100.0			97.872		97.872	97.872		
NGDEOPKE_00196	97.279				96.246		100.0		74.913			96.587	95.563	78.049	
NGDEOPKE_00197	98.551	98.551			98.551		100.0			94.203		99.517	96.618		
NGDEOPKE_00198		97.835			96.476		100.0			98.268		98.268	96.035		
NGDEOPKE_00199	95.146	95.146			97.585		100.0			97.573		96.618	95.631		
NGDEOPKE_00200							100.0						97.778		
NGDEOPKE_00201	92.929	93.836			94.949		100.0			95.89		95.96	97.98		
NGDEOPKE_00202	83.448						100.0					83.448			
NGDEOPKE_00203							100.0			96.991		97.454	98.38		
NGDEOPKE_00204					98.575		100.0						100.0		
NGDEOPKE_00205	100.0				95.455		100.0			97.895		97.475	93.583		
NGDEOPKE_00206	99.531				97.156		100.0			99.531		98.477	97.156		
NGDEOPKE_00207	99.34	96.732					100.0			96.732					
NGDEOPKE_00208	99.479	98.438			98.958		100.0			98.958		98.438	98.958		
NGDEOPKE_00209	95.0	95.278			95.833		100.0			96.111		97.222	97.778		
NGDEOPKE_00210	98.039				99.02		100.0			99.02		100.0	99.02		
